Date,Close/Last,Volume,Open,High,Low
01/05/2024,$13.73,2588742,$13.68,$13.88,$13.68
01/04/2024,$13.62,2475383,$13.61,$13.725,$13.60
01/03/2024,$13.34,2716885,$13.37,$13.42,$13.295
01/02/2024,$13.61,2093623,$13.60,$13.71,$13.55
12/29/2023,$13.55,1187854,$13.64,$13.65,$13.51
12/28/2023,$13.62,1443342,$13.69,$13.72,$13.61
12/27/2023,$13.77,1707865,$13.71,$13.81,$13.69
12/26/2023,$13.73,1475635,$13.70,$13.75,$13.65
12/22/2023,$13.66,2388408,$13.62,$13.68,$13.58
12/21/2023,$13.52,4336124,$13.53,$13.545,$13.415
12/20/2023,$13.30,3001610,$13.47,$13.50,$13.29
12/19/2023,$13.25,1829206,$13.17,$13.26,$13.155
12/18/2023,$13.07,1924061,$13.10,$13.125,$13.03
12/15/2023,$13.14,2602405,$13.15,$13.215,$13.11
12/14/2023,$13.13,4240854,$13.00,$13.23,$12.98
12/13/2023,$12.99,3191113,$12.79,$13.015,$12.67
12/12/2023,$12.88,1985976,$12.83,$12.90,$12.80
12/11/2023,$12.81,2230976,$12.79,$12.84,$12.70
12/08/2023,$12.77,2664356,$12.61,$12.78,$12.59
12/07/2023,$12.53,2565820,$12.40,$12.54,$12.355
12/06/2023,$12.45,2566573,$12.54,$12.65,$12.44
12/05/2023,$12.46,2710788,$12.47,$12.54,$12.44
12/04/2023,$12.49,2355177,$12.47,$12.565,$12.43
12/01/2023,$12.59,2234700,$12.42,$12.60,$12.42
11/30/2023,$12.45,3163340,$12.48,$12.525,$12.4197
11/29/2023,$12.37,2421767,$12.27,$12.43,$12.26
11/28/2023,$12.16,1480960,$12.12,$12.20,$12.09
11/27/2023,$12.09,1492916,$12.14,$12.17,$12.05
11/24/2023,$12.15,917828,$12.16,$12.20,$12.135
11/22/2023,$12.09,1103582,$12.13,$12.14,$12.06
11/21/2023,$12.19,1435386,$12.30,$12.3195,$12.1725
11/20/2023,$12.34,1580164,$12.30,$12.36,$12.294
11/17/2023,$12.20,2675778,$12.08,$12.22,$12.07
11/16/2023,$11.85,2060855,$11.85,$11.88,$11.80
11/15/2023,$11.84,1977854,$11.80,$11.88,$11.80
11/14/2023,$11.63,2260510,$11.45,$11.67,$11.45
11/13/2023,$11.34,2139339,$11.25,$11.36,$11.235
11/10/2023,$11.29,2169650,$11.22,$11.29,$11.13
11/09/2023,$11.18,2218295,$11.29,$11.3399,$11.15
11/08/2023,$11.28,1818686,$11.26,$11.325,$11.23
11/07/2023,$11.25,1750712,$11.18,$11.26,$11.15
11/06/2023,$11.39,1757620,$11.47,$11.471,$11.355
11/03/2023,$11.48,4029518,$11.45,$11.53,$11.40
11/02/2023,$11.34,4353338,$11.21,$11.35,$11.19
11/01/2023,$11.06,4567732,$11.05,$11.14,$10.9841
10/31/2023,$11.01,2890097,$11.05,$11.10,$10.915
10/30/2023,$11.09,3269126,$11.09,$11.12,$11.00
10/27/2023,$10.93,3493627,$11.07,$11.09,$10.90
10/26/2023,$10.93,4752127,$10.96,$11.005,$10.83
10/25/2023,$10.80,8092889,$10.73,$10.92,$10.6975
10/24/2023,$10.06,3327792,$10.06,$10.12,$10.00
10/23/2023,$10.15,3143861,$10.10,$10.265,$10.075
10/20/2023,$10.11,2509247,$10.22,$10.25,$10.05
10/19/2023,$10.23,3197288,$10.25,$10.3914,$10.21
10/18/2023,$10.33,3357003,$10.45,$10.475,$10.285
10/17/2023,$10.65,2126868,$10.56,$10.72,$10.55
10/16/2023,$10.70,2445760,$10.65,$10.75,$10.625
10/13/2023,$10.42,3236247,$10.51,$10.575,$10.39
10/12/2023,$10.60,1752856,$10.70,$10.71,$10.54
10/11/2023,$10.82,2704713,$10.77,$10.85,$10.73
10/10/2023,$10.78,2041756,$10.81,$10.865,$10.76
10/09/2023,$10.55,1599612,$10.45,$10.57,$10.445
10/06/2023,$10.70,2908426,$10.57,$10.75,$10.49
10/05/2023,$10.54,2333912,$10.42,$10.56,$10.42
10/04/2023,$10.49,2047561,$10.42,$10.51,$10.345
10/03/2023,$10.37,4178033,$10.49,$10.50,$10.345
10/02/2023,$10.61,3418715,$10.87,$10.885,$10.58
09/29/2023,$10.99,1861631,$11.08,$11.11,$10.97
09/28/2023,$10.94,3379335,$10.86,$10.99,$10.84
09/27/2023,$10.90,3673754,$10.81,$10.93,$10.74
09/26/2023,$10.60,2479565,$10.53,$10.695,$10.53
09/25/2023,$10.69,1712558,$10.67,$10.71,$10.56
09/22/2023,$10.72,2012106,$10.86,$10.87,$10.715
09/21/2023,$10.71,2438291,$10.70,$10.78,$10.65
09/20/2023,$10.70,1429010,$10.87,$10.91,$10.69
09/19/2023,$10.73,1209546,$10.76,$10.795,$10.70
09/18/2023,$10.73,2441361,$10.93,$10.93,$10.705
09/15/2023,$10.93,1743632,$10.90,$10.98,$10.89
09/14/2023,$11.01,1735669,$10.98,$11.04,$10.955
09/13/2023,$10.84,2701406,$10.82,$10.88,$10.78
09/12/2023,$10.57,1355595,$10.50,$10.62,$10.48
09/11/2023,$10.56,1493621,$10.60,$10.655,$10.55
09/08/2023,$10.33,1446989,$10.30,$10.36,$10.24
09/07/2023,$10.22,2244850,$10.28,$10.325,$10.211
09/06/2023,$10.27,1824462,$10.27,$10.325,$10.21
09/05/2023,$10.40,2432373,$10.60,$10.65,$10.40
09/01/2023,$10.89,2048259,$10.91,$10.98,$10.86
08/31/2023,$10.89,1857200,$11.03,$11.055,$10.85
08/30/2023,$11.15,1148953,$11.18,$11.22,$11.12
08/29/2023,$11.17,1694157,$11.06,$11.18,$11.06
08/28/2023,$10.96,2182934,$10.90,$10.99,$10.90
08/25/2023,$10.72,1615272,$10.78,$10.7999,$10.6372
08/24/2023,$10.71,1405400,$10.71,$10.825,$10.71
08/23/2023,$10.71,1021385,$10.62,$10.72,$10.60
08/22/2023,$10.61,1284179,$10.74,$10.755,$10.61
08/21/2023,$10.73,1002003,$10.74,$10.74,$10.635
08/18/2023,$10.72,1514226,$10.62,$10.76,$10.6091
08/17/2023,$10.72,1814829,$10.82,$10.84,$10.69
08/16/2023,$10.69,1544521,$10.77,$10.85,$10.69
08/15/2023,$10.78,1924452,$10.88,$10.90,$10.77
08/14/2023,$10.90,1684185,$10.80,$10.915,$10.77
08/11/2023,$10.95,2038911,$10.90,$11.01,$10.86
08/10/2023,$10.96,1871670,$11.09,$11.16,$10.94
08/09/2023,$10.82,1778139,$10.85,$10.955,$10.79
08/08/2023,$10.75,2680174,$10.62,$10.765,$10.56
08/07/2023,$11.10,1063416,$11.09,$11.155,$11.07
08/04/2023,$11.02,1573668,$11.01,$11.1257,$10.985
08/03/2023,$10.96,1488539,$10.77,$10.97,$10.74
08/02/2023,$10.73,2094321,$10.79,$10.795,$10.655
08/01/2023,$11.00,1799808,$11.05,$11.095,$10.945
07/31/2023,$11.13,1137980,$11.09,$11.18,$11.09
07/28/2023,$11.11,2501288,$11.19,$11.22,$11.07
07/27/2023,$11.06,4945393,$11.36,$11.36,$11.03
07/26/2023,$11.66,4243549,$11.60,$11.75,$11.59
07/25/2023,$11.61,7210509,$11.50,$11.74,$11.43
07/24/2023,$11.35,1776552,$11.27,$11.3987,$11.27
07/21/2023,$11.32,2007228,$11.35,$11.3775,$11.28
07/20/2023,$11.28,2139979,$11.38,$11.415,$11.255
07/19/2023,$11.25,2604976,$11.23,$11.28,$11.2025
07/18/2023,$11.07,2937516,$10.97,$11.1285,$10.96
07/17/2023,$11.03,4105661,$10.92,$11.055,$10.88
07/14/2023,$10.75,3422905,$10.95,$10.95,$10.75
07/13/2023,$10.80,2377805,$10.72,$10.80,$10.695
07/12/2023,$10.49,2220027,$10.40,$10.515,$10.395
