Date,Close/Last,Volume,Open,High,Low
01/05/2024,$29.16,2755397,$28.63,$29.37,$28.63
01/04/2024,$28.60,3104248,$28.95,$29.22,$28.52
01/03/2024,$29.01,3188636,$28.47,$29.06,$28.37
01/02/2024,$28.80,2175138,$29.21,$29.31,$28.68
12/29/2023,$29.48,1780984,$29.70,$29.865,$29.425
12/28/2023,$29.72,2010691,$30.05,$30.10,$29.67
12/27/2023,$30.06,1853704,$30.15,$30.41,$30.05
12/26/2023,$30.44,1200116,$30.25,$30.44,$30.14
12/22/2023,$30.15,1140919,$30.05,$30.235,$30.01
12/21/2023,$29.99,2096116,$30.02,$30.13,$29.67
12/20/2023,$29.79,2392684,$29.97,$30.50,$29.77
12/19/2023,$30.11,2750766,$30.00,$30.305,$29.705
12/18/2023,$29.94,2735330,$29.755,$30.05,$29.50
12/15/2023,$29.62,5655835,$29.03,$29.705,$28.87
12/14/2023,$28.94,4306775,$29.00,$29.39,$28.295
12/13/2023,$28.99,3058454,$28.85,$29.0733,$28.47
12/12/2023,$28.72,2622031,$27.90,$28.72,$27.86
12/11/2023,$27.94,3503883,$27.53,$27.97,$27.51
12/08/2023,$27.59,2916882,$27.62,$27.89,$27.42
12/07/2023,$27.70,2198011,$27.56,$27.80,$27.405
12/06/2023,$27.59,3189237,$28.39,$28.42,$27.59
12/05/2023,$28.33,2264838,$28.19,$28.48,$28.045
12/04/2023,$28.31,2589339,$28.61,$28.74,$28.17
12/01/2023,$28.78,3094050,$28.22,$28.795,$27.96
11/30/2023,$28.18,8075429,$28.10,$28.43,$27.82
11/29/2023,$28.08,2634853,$28.29,$28.67,$28.07
11/28/2023,$28.12,2507056,$28.33,$28.43,$28.055
11/27/2023,$28.35,2763055,$28.40,$28.695,$28.255
11/24/2023,$28.53,1319118,$28.15,$28.62,$28.15
11/22/2023,$28.15,2480914,$28.10,$28.435,$27.99
11/21/2023,$27.93,3095709,$27.70,$28.24,$27.66
11/20/2023,$27.70,3121246,$27.12,$27.785,$27.05
11/17/2023,$27.14,3418208,$26.54,$27.14,$26.39
11/16/2023,$26.46,5027363,$27.00,$27.18,$26.245
11/15/2023,$27.54,3328687,$27.50,$27.835,$27.44
11/14/2023,$27.40,2849945,$27.45,$27.54,$27.035
11/13/2023,$27.03,3662711,$26.49,$27.185,$26.335
11/10/2023,$26.61,3453064,$26.14,$26.61,$25.90
11/09/2023,$26.25,3449942,$26.23,$26.67,$25.99
11/08/2023,$26.13,3433528,$25.89,$26.375,$25.7876
11/07/2023,$25.89,4177135,$25.87,$26.505,$25.83
11/06/2023,$25.77,2894138,$25.98,$26.04,$25.315
11/03/2023,$26.00,7253089,$25.38,$26.0375,$24.28
11/02/2023,$26.43,3490562,$26.50,$26.685,$26.19
11/01/2023,$26.16,2548508,$26.37,$26.52,$25.90
10/31/2023,$26.30,2799519,$26.14,$26.525,$26.03
10/30/2023,$26.11,2295701,$26.09,$26.235,$25.91
10/27/2023,$25.94,2076177,$26.49,$26.635,$25.78
10/26/2023,$26.37,2447565,$26.35,$26.73,$26.16
10/25/2023,$26.31,2033341,$27.19,$27.28,$26.27
10/24/2023,$27.31,2175620,$26.75,$27.34,$26.75
10/23/2023,$26.53,2070433,$26.59,$26.83,$26.38
10/20/2023,$26.69,2465920,$27.24,$27.37,$26.62
10/19/2023,$27.32,1832231,$27.66,$27.90,$27.30
10/18/2023,$27.62,3077738,$27.62,$28.085,$27.60
10/17/2023,$27.72,2891213,$27.51,$27.77,$27.02
10/16/2023,$27.78,2418689,$27.77,$28.27,$27.75
10/13/2023,$27.64,1964284,$27.98,$28.06,$27.435
10/12/2023,$28.01,2164030,$28.29,$28.29,$27.89
10/11/2023,$28.22,2593394,$28.01,$28.32,$27.905
10/10/2023,$27.93,2993893,$27.92,$28.28,$27.85
10/09/2023,$27.91,1709123,$27.50,$27.915,$27.46
10/06/2023,$27.63,1565739,$26.73,$27.73,$26.73
10/05/2023,$26.91,2326324,$26.96,$27.13,$26.675
10/04/2023,$27.04,2109603,$26.83,$27.177,$26.80
10/03/2023,$26.79,1910753,$27.20,$27.49,$26.76
10/02/2023,$27.30,1475362,$27.22,$27.415,$27.12
09/29/2023,$27.23,1780171,$27.48,$27.615,$27.195
09/28/2023,$27.23,1601335,$27.03,$27.395,$26.805
09/27/2023,$27.12,2710295,$27.00,$27.39,$26.99
09/26/2023,$26.90,1703022,$27.14,$27.23,$26.765
09/25/2023,$27.24,1656693,$26.89,$27.365,$26.865
09/22/2023,$26.89,2144146,$26.75,$27.095,$26.72
09/21/2023,$26.66,2073793,$26.51,$26.91,$26.40
09/20/2023,$26.68,1552392,$26.54,$27.14,$26.505
09/19/2023,$26.51,2658114,$26.51,$26.85,$26.40
09/18/2023,$26.57,2916883,$26.37,$26.75,$26.30
09/15/2023,$26.95,6586165,$27.46,$27.545,$26.7701
09/14/2023,$27.58,2074145,$27.67,$27.869,$27.40
09/13/2023,$27.61,2173623,$27.58,$27.66,$27.31
09/12/2023,$27.56,1975327,$27.67,$27.90,$27.45
09/11/2023,$27.96,3485421,$28.00,$28.48,$27.80
09/08/2023,$27.88,1954371,$27.90,$27.975,$27.665
09/07/2023,$27.90,4360783,$27.45,$28.07,$27.38
09/06/2023,$27.57,2250255,$27.51,$27.72,$27.405
09/05/2023,$27.62,2376253,$27.62,$27.898,$27.44
09/01/2023,$27.86,2056975,$28.07,$28.235,$27.67
08/31/2023,$27.79,3680433,$27.68,$28.00,$27.68
08/30/2023,$27.57,1858115,$27.79,$28.025,$27.51
08/29/2023,$27.89,2027782,$27.65,$27.95,$27.605
08/28/2023,$27.65,1712074,$27.36,$27.73,$27.36
08/25/2023,$27.29,1814618,$27.05,$27.42,$26.87
08/24/2023,$26.93,3939284,$27.33,$27.54,$26.895
08/23/2023,$27.24,1653534,$27.26,$27.43,$27.03
08/22/2023,$27.08,2083773,$27.08,$27.30,$26.92
08/21/2023,$26.91,2011154,$26.80,$27.04,$26.725
08/18/2023,$26.74,2880552,$26.33,$26.90,$26.06
08/17/2023,$26.66,3791790,$27.01,$27.02,$26.651
08/16/2023,$27.04,4507831,$27.61,$27.785,$27.02
08/15/2023,$27.86,3279739,$28.13,$28.57,$27.83
08/14/2023,$28.35,3153960,$27.74,$28.405,$27.68
08/11/2023,$27.82,3112895,$27.65,$27.98,$27.62
08/10/2023,$27.65,2977388,$27.82,$28.06,$27.41
08/09/2023,$27.61,2989278,$27.89,$28.015,$27.375
08/08/2023,$27.80,5030889,$27.94,$28.17,$27.46
08/07/2023,$28.24,5075621,$27.83,$28.485,$27.63
08/04/2023,$27.49,6698030,$26.84,$27.97,$26.10
08/03/2023,$25.95,5046826,$25.75,$26.1475,$25.63
08/02/2023,$25.87,3874813,$26.42,$26.46,$25.81
08/01/2023,$26.75,3541202,$26.84,$27.01,$26.62
07/31/2023,$26.95,3310431,$26.66,$26.97,$26.65
07/28/2023,$26.63,2966577,$26.92,$27.115,$26.60
07/27/2023,$26.71,2868927,$27.05,$27.23,$26.62
07/26/2023,$26.72,5912485,$26.55,$26.86,$26.37
07/25/2023,$26.75,3120865,$26.79,$27.025,$26.63
07/24/2023,$26.80,3015205,$26.99,$27.10,$26.75
07/21/2023,$26.99,3327022,$27.57,$27.59,$26.945
07/20/2023,$27.51,3738007,$27.90,$27.99,$27.425
07/19/2023,$28.10,6716459,$28.15,$28.68,$27.935
07/18/2023,$28.03,4139792,$27.82,$28.11,$27.74
07/17/2023,$27.81,3620039,$27.255,$27.86,$27.18
07/14/2023,$27.29,4023227,$27.73,$27.81,$27.21
07/13/2023,$27.78,4375698,$27.66,$27.98,$27.56
07/12/2023,$27.55,3079118,$27.70,$27.82,$27.44
07/11/2023,$27.50,3353531,$27.49,$27.765,$27.24
07/10/2023,$27.36,2710286,$26.92,$27.44,$26.92
07/07/2023,$26.97,3608648,$26.70,$27.235,$26.665
07/06/2023,$26.73,3636704,$26.35,$26.76,$26.08
07/05/2023,$26.59,4720843,$26.40,$26.635,$26.28
07/03/2023,$26.63,1330439,$26.64,$26.73,$26.53
06/30/2023,$26.67,3775105,$26.80,$26.87,$26.595
06/29/2023,$26.72,2250188,$26.72,$26.78,$26.41
06/28/2023,$26.72,3537902,$26.13,$26.73,$26.06
06/27/2023,$26.14,3158477,$25.89,$26.22,$25.66
06/26/2023,$25.83,4039727,$26.45,$26.45,$25.80
06/23/2023,$26.33,5379013,$26.19,$26.59,$26.06
06/22/2023,$26.43,7099104,$25.72,$26.49,$25.62
06/21/2023,$25.75,5366652,$25.94,$26.285,$25.6225
06/20/2023,$25.95,5663077,$25.64,$26.145,$25.64
06/16/2023,$25.97,47223330,$26.00,$26.15,$25.58
06/15/2023,$25.83,5467671,$24.98,$25.935,$24.825
06/14/2023,$25.10,5131651,$24.77,$25.16,$24.70
06/13/2023,$24.88,4674791,$24.60,$24.89,$24.465
06/12/2023,$24.60,4806899,$24.00,$24.61,$23.92
06/09/2023,$24.00,4154488,$23.67,$24.35,$23.67
06/08/2023,$23.63,2962415,$23.38,$23.67,$23.36
06/07/2023,$23.40,4031131,$23.85,$24.11,$23.32
06/06/2023,$23.84,4043172,$23.87,$23.96,$23.55
06/05/2023,$23.93,5241634,$23.83,$24.11,$23.62
06/02/2023,$23.68,3122787,$23.32,$23.72,$23.18
06/01/2023,$23.19,2916915,$22.96,$23.34,$22.93
05/31/2023,$23.02,5028896,$22.47,$23.13,$22.47
05/30/2023,$22.69,3548367,$23.00,$23.06,$22.41
05/26/2023,$22.81,3737728,$22.54,$22.93,$22.52
05/25/2023,$22.51,3470071,$22.10,$22.56,$22.06
05/24/2023,$22.07,3398249,$22.15,$22.29,$22.02
05/23/2023,$22.24,2277857,$22.30,$22.60,$22.22
05/22/2023,$22.48,3457295,$22.545,$22.765,$22.40
05/19/2023,$22.69,3465850,$22.66,$22.75,$22.53
05/18/2023,$22.57,2866958,$22.26,$22.60,$22.15
05/17/2023,$22.33,3897516,$22.11,$22.415,$22.02
05/16/2023,$22.07,4370656,$22.32,$22.49,$21.72
05/15/2023,$22.61,6226332,$22.02,$22.815,$21.97
05/12/2023,$22.02,6689137,$21.75,$22.23,$21.70
05/11/2023,$21.72,3756897,$21.73,$21.79,$21.53
05/10/2023,$21.76,3838032,$21.43,$21.905,$21.27
05/09/2023,$21.20,3413985,$21.30,$21.55,$21.19
05/08/2023,$21.42,4677532,$21.46,$21.56,$21.26
05/05/2023,$21.31,7564401,$20.70,$21.445,$20.50
05/04/2023,$19.62,3887834,$19.78,$19.965,$19.545
05/03/2023,$19.88,3210315,$20.12,$20.21,$19.87
05/02/2023,$20.03,4570875,$20.39,$20.49,$19.77
05/01/2023,$20.35,3130904,$20.22,$20.425,$20.14
04/28/2023,$20.34,3324367,$19.99,$20.41,$19.93
04/27/2023,$20.16,8403542,$21.25,$21.28,$20.02
04/26/2023,$20.89,2404390,$21.20,$21.34,$20.83
04/25/2023,$21.07,2564042,$21.40,$21.42,$21.05
04/24/2023,$21.50,1736052,$21.61,$21.73,$21.345
04/21/2023,$21.73,2102565,$21.54,$21.83,$21.54
04/20/2023,$21.76,2315235,$21.72,$21.90,$21.62
04/19/2023,$21.91,1769467,$22.02,$22.08,$21.86
04/18/2023,$22.15,2527761,$22.20,$22.325,$22.085
04/17/2023,$22.05,2769294,$22.05,$22.18,$21.84
04/14/2023,$22.05,2817054,$21.89,$22.10,$21.715
