Date,Close/Last,Volume,Open,High,Low
10/23/2023,$55.55,1420698,$55.91,$55.91,$54.80
10/20/2023,$56.16,1604036,$56.69,$57.23,$56.00
10/19/2023,$56.69,1076957,$57.16,$57.50,$56.30
10/18/2023,$57.28,1686718,$55.98,$57.43,$55.642
10/17/2023,$55.75,1577702,$54.78,$56.00,$54.50
10/16/2023,$54.99,1439422,$54.37,$55.16,$54.01
10/13/2023,$53.59,1277311,$54.26,$54.49,$53.4775
10/12/2023,$53.45,1473418,$54.34,$54.34,$52.55
10/11/2023,$54.09,1204160,$53.70,$54.23,$52.89
10/10/2023,$54.26,1631841,$52.91,$54.48,$52.65
10/09/2023,$52.99,1732692,$52.92,$53.40,$51.83
10/06/2023,$52.07,1779259,$53.05,$53.05,$51.93
10/05/2023,$52.55,1734641,$51.89,$52.90,$51.81
10/04/2023,$52.25,3078691,$53.42,$53.58,$51.25
10/03/2023,$54.15,2289819,$55.23,$55.555,$53.03
10/02/2023,$56.40,1681950,$57.29,$57.39,$55.64
09/29/2023,$56.93,2148789,$58.51,$58.78,$56.621
09/28/2023,$58.63,1808486,$57.42,$58.84,$57.42
09/27/2023,$57.52,2478416,$57.29,$58.00,$56.76
09/26/2023,$56.82,1619913,$56.89,$57.3099,$56.38
09/25/2023,$57.89,1915400,$57.51,$58.6075,$57.166
09/22/2023,$57.58,2429004,$59.66,$60.0164,$57.49
09/21/2023,$59.26,2672042,$59.48,$61.57,$59.055
09/20/2023,$58.52,1717256,$58.78,$59.72,$58.48
09/19/2023,$59.08,1824021,$60.73,$60.78,$58.60
09/18/2023,$60.35,1958398,$60.30,$61.31,$59.68
09/15/2023,$59.26,6855630,$59.56,$59.95,$58.82
09/14/2023,$60.20,1905734,$61.56,$61.7399,$60.09
09/13/2023,$60.97,1812728,$61.62,$61.77,$60.53
09/12/2023,$61.31,1717123,$61.08,$61.92,$60.8211
09/11/2023,$61.21,2895249,$61.58,$62.20,$60.57
09/08/2023,$60.99,2780579,$59.20,$61.24,$58.42
09/07/2023,$58.39,2269099,$57.40,$58.62,$57.40
09/06/2023,$57.25,1792280,$56.99,$57.60,$56.10
09/05/2023,$57.22,2076067,$57.31,$58.14,$56.505
09/01/2023,$56.88,1872223,$56.09,$57.48,$55.72
08/31/2023,$55.09,2462394,$55.71,$55.71,$54.77
08/30/2023,$55.77,1546195,$56.31,$56.575,$55.68
08/29/2023,$56.29,1527469,$56.48,$56.67,$55.85
08/28/2023,$56.46,1549979,$56.90,$57.41,$56.18
08/25/2023,$57.10,2106273,$56.12,$57.81,$55.99
08/24/2023,$56.03,1626767,$55.15,$56.3059,$55.11
08/23/2023,$55.36,2113494,$56.06,$56.24,$54.77
08/22/2023,$56.55,1802538,$56.74,$57.31,$56.40
08/21/2023,$56.84,1921350,$57.60,$57.83,$56.13
08/18/2023,$57.61,2238056,$56.13,$57.88,$56.07
08/17/2023,$56.74,1833000,$57.25,$57.53,$56.61
08/16/2023,$56.65,4344420,$56.18,$58.51,$55.96
08/15/2023,$56.22,2221805,$56.85,$56.87,$55.54
08/14/2023,$57.95,1492639,$58.95,$58.99,$57.80
08/11/2023,$59.34,1723225,$58.31,$59.61,$58.285
08/10/2023,$58.22,1819460,$58.97,$59.47,$58.17
08/09/2023,$58.71,2276138,$57.49,$59.16,$57.28
08/08/2023,$57.42,1967536,$55.94,$57.49,$55.70
08/07/2023,$56.38,2830297,$55.12,$56.55,$54.97
08/04/2023,$54.94,2875839,$53.54,$55.665,$53.23
08/03/2023,$53.04,4298546,$52.06,$53.31,$50.79
08/02/2023,$51.62,2722200,$52.26,$52.64,$51.39
08/01/2023,$52.33,1689081,$51.89,$52.635,$51.75
07/31/2023,$52.09,1693910,$51.92,$52.60,$51.84
07/28/2023,$51.60,2017178,$51.11,$51.63,$50.71
07/27/2023,$50.69,1613042,$51.14,$51.415,$50.34
07/26/2023,$50.90,1953702,$49.60,$51.235,$49.60
07/25/2023,$49.90,1911664,$50.06,$50.61,$49.46
07/24/2023,$50.28,2731529,$49.46,$51.16,$49.25
07/21/2023,$48.96,1679942,$48.60,$49.2173,$48.30
07/20/2023,$48.34,1715762,$47.95,$48.485,$47.73
07/19/2023,$47.40,1142787,$46.79,$47.50,$46.55
07/18/2023,$46.58,1396086,$46.46,$47.54,$46.28
07/17/2023,$46.06,1394587,$46.17,$46.42,$45.63
07/14/2023,$46.21,1771314,$46.75,$46.77,$45.72
07/13/2023,$47.02,1375389,$46.74,$47.14,$46.25
07/12/2023,$46.44,1703676,$47.35,$47.635,$46.13
07/11/2023,$46.78,2110507,$45.50,$46.92,$45.45
07/10/2023,$45.27,1317886,$45.59,$46.03,$45.21
07/07/2023,$45.76,2168272,$44.65,$46.45,$44.65
07/06/2023,$44.67,1654804,$44.20,$44.775,$43.29
07/05/2023,$44.74,1463909,$45.01,$45.20,$44.45
07/03/2023,$44.70,696666,$44.98,$45.38,$44.575
06/30/2023,$44.61,1840429,$44.77,$44.81,$44.09
06/29/2023,$44.47,1516041,$44.04,$44.63,$43.79
06/28/2023,$43.90,1892570,$43.60,$44.00,$43.16
06/27/2023,$43.62,2406582,$42.92,$43.76,$42.34
06/26/2023,$42.81,2666681,$42.58,$43.175,$42.08
06/23/2023,$42.50,3003602,$42.08,$43.23,$42.00
06/22/2023,$42.55,2336370,$43.94,$44.165,$42.49
06/21/2023,$44.54,1567431,$43.60,$44.89,$43.415
06/20/2023,$44.49,1875727,$45.88,$45.88,$44.36
06/16/2023,$46.00,3655601,$45.85,$46.24,$45.52
06/15/2023,$45.71,2781977,$44.60,$45.79,$44.53
06/14/2023,$44.60,1594790,$45.86,$46.05,$43.98
06/13/2023,$45.40,1450970,$46.19,$46.78,$45.39
06/12/2023,$45.75,1459819,$44.79,$45.90,$44.79
06/09/2023,$45.82,1618173,$46.04,$46.04,$45.07
06/08/2023,$45.83,2709145,$46.04,$46.21,$44.89
06/07/2023,$46.04,2200595,$44.25,$46.095,$43.93
06/06/2023,$43.93,2848750,$42.72,$44.12,$42.53
06/05/2023,$43.09,2434257,$43.61,$43.752,$42.09
06/02/2023,$43.26,2272643,$42.32,$43.53,$42.01
06/01/2023,$41.32,2232107,$41.76,$42.33,$41.09
05/31/2023,$41.44,4757081,$41.58,$41.9199,$41.11
05/30/2023,$42.39,1640671,$42.15,$42.79,$41.73
05/26/2023,$42.94,2499391,$43.18,$43.30,$42.36
05/25/2023,$42.84,2087619,$42.80,$43.11,$42.00
05/24/2023,$43.51,2353196,$43.32,$43.88,$42.61
05/23/2023,$43.13,4202845,$42.86,$44.00,$42.26
05/22/2023,$42.30,2808080,$41.67,$42.65,$41.35
05/19/2023,$41.35,2076711,$42.17,$42.29,$41.22
05/18/2023,$41.78,2492497,$40.32,$41.83,$40.12
05/17/2023,$40.54,2483135,$39.46,$40.88,$39.17
05/16/2023,$39.39,2184997,$40.20,$40.3819,$39.08
