Date,Close/Last,Volume,Open,High,Low
01/05/2024,$84.32,397964,$84.28,$84.7214,$84.1803
01/04/2024,$84.55,319000,$84.36,$84.96,$84.19
01/03/2024,$84.58,404276,$85.23,$85.235,$84.16
01/02/2024,$85.72,520753,$85.62,$86.1225,$85.07
12/29/2023,$86.18,314239,$86.73,$86.78,$86.07
12/28/2023,$86.89,315490,$86.39,$87.12,$86.27
12/27/2023,$86.44,294416,$86.49,$86.80,$86.02
12/26/2023,$86.40,309992,$85.26,$86.82,$85.26
12/22/2023,$85.66,491815,$85.65,$85.8046,$85.05
12/21/2023,$85.23,377085,$86.37,$86.37,$84.80
12/20/2023,$85.75,478403,$85.17,$86.93,$85.17
12/19/2023,$85.50,557328,$85.89,$86.55,$85.32
12/18/2023,$85.85,532804,$86.56,$86.84,$85.72
12/15/2023,$87.49,639318,$88.29,$88.47,$87.30
12/14/2023,$88.60,358761,$88.01,$89.28,$88.01
12/13/2023,$88.11,416969,$88.75,$89.00,$87.03
12/12/2023,$88.82,319407,$89.31,$89.39,$88.82
12/11/2023,$89.34,467710,$89.46,$90.06,$88.93
12/08/2023,$89.38,179463,$88.03,$89.50,$88.03
12/07/2023,$88.09,259788,$87.82,$88.42,$87.375
12/06/2023,$87.65,276072,$88.00,$88.78,$87.47
12/05/2023,$87.54,256369,$87.26,$87.77,$87.02
12/04/2023,$87.87,291264,$86.46,$87.95,$86.46
12/01/2023,$87.00,282379,$85.95,$87.06,$85.41
11/30/2023,$86.13,499327,$86.15,$86.26,$85.3297
11/29/2023,$86.09,362961,$87.02,$87.78,$85.92
11/28/2023,$86.51,364873,$86.66,$87.22,$86.21
11/27/2023,$86.76,540535,$86.04,$86.80,$85.69
11/24/2023,$86.46,153433,$86.63,$86.65,$85.86
11/22/2023,$86.67,639759,$85.64,$87.01,$85.4055
11/21/2023,$85.00,1118878,$83.66,$85.25,$83.45
11/20/2023,$83.67,588882,$81.57,$83.94,$81.57
11/17/2023,$81.57,1699099,$80.55,$82.60,$79.01
11/16/2023,$87.77,552517,$87.61,$89.06,$87.33
11/15/2023,$88.66,581816,$88.58,$89.57,$88.35
11/14/2023,$88.52,455978,$87.50,$88.83,$87.29
11/13/2023,$86.68,281003,$87.00,$87.00,$86.18
11/10/2023,$87.12,274132,$85.63,$87.26,$85.08
11/09/2023,$85.56,241817,$86.01,$86.525,$85.15
11/08/2023,$85.85,393826,$86.30,$86.67,$85.81
11/07/2023,$85.96,439590,$85.14,$86.28,$84.74
11/06/2023,$85.10,287753,$84.79,$85.215,$84.30
11/03/2023,$84.73,286184,$83.92,$85.32,$83.92
11/02/2023,$83.49,299109,$81.86,$83.615,$81.48
11/01/2023,$81.55,352186,$81.03,$81.94,$80.88
10/31/2023,$80.94,325206,$79.56,$81.25,$79.5438
10/30/2023,$79.47,224172,$79.27,$79.96,$78.93
10/27/2023,$78.64,205427,$79.21,$79.49,$78.29
10/26/2023,$79.23,219533,$79.82,$80.32,$79.22
10/25/2023,$79.46,287378,$80.38,$80.64,$79.44
10/24/2023,$80.59,313497,$80.40,$81.44,$80.24
10/23/2023,$80.00,346662,$79.60,$80.42,$79.36
10/20/2023,$79.88,391125,$80.10,$80.48,$78.93
10/19/2023,$80.41,366900,$80.92,$81.38,$80.20
10/18/2023,$80.79,275184,$81.38,$82.005,$80.64
10/17/2023,$82.01,369131,$81.03,$82.935,$80.805
10/16/2023,$81.55,262807,$81.06,$82.42,$81.03
10/13/2023,$80.44,290564,$80.99,$81.36,$80.12
10/12/2023,$81.30,227590,$81.74,$82.23,$80.79
10/11/2023,$81.81,205835,$81.81,$82.23,$81.265
10/10/2023,$81.66,334651,$81.12,$82.32,$80.66
10/09/2023,$80.88,267392,$80.02,$81.012,$79.76
10/06/2023,$80.62,280940,$79.29,$81.06,$79.29
10/05/2023,$79.86,277810,$79.50,$80.27,$79.27
10/04/2023,$79.62,386040,$79.36,$79.945,$78.75
10/03/2023,$79.15,415461,$80.15,$80.94,$78.88
10/02/2023,$80.70,488933,$79.25,$80.82,$78.7875
09/29/2023,$79.26,387903,$80.05,$80.225,$79.12
09/28/2023,$79.34,356574,$77.97,$79.90,$77.97
09/27/2023,$78.28,323912,$78.89,$79.205,$78.195
09/26/2023,$78.36,294256,$80.03,$80.03,$78.34
09/25/2023,$80.53,275820,$81.07,$81.53,$80.31
09/22/2023,$81.24,203588,$81.49,$82.36,$81.23
09/21/2023,$81.28,327270,$81.44,$81.87,$81.14
09/20/2023,$81.84,319067,$82.70,$83.25,$81.82
09/19/2023,$82.38,360828,$82.26,$82.97,$81.90
09/18/2023,$82.47,260738,$81.48,$82.64,$81.39
09/15/2023,$81.77,724163,$82.17,$82.17,$81.285
09/14/2023,$82.32,320763,$81.63,$82.58,$81.585
09/13/2023,$81.48,371515,$81.90,$82.14,$81.28
09/12/2023,$82.02,508591,$82.77,$83.71,$81.74
09/11/2023,$83.46,265685,$83.86,$84.01,$83.09
09/08/2023,$83.52,241566,$83.60,$83.89,$83.20
09/07/2023,$83.93,442305,$83.23,$84.21,$83.10
09/06/2023,$83.99,299232,$84.38,$84.57,$83.73
09/05/2023,$84.48,331217,$84.50,$85.035,$83.99
09/01/2023,$85.03,267537,$84.82,$85.25,$84.47
08/31/2023,$84.47,696003,$85.28,$85.49,$84.38
08/30/2023,$85.29,397388,$84.84,$85.61,$84.725
08/29/2023,$84.98,413368,$83.91,$84.98,$83.91
08/28/2023,$84.21,489313,$83.66,$84.70,$83.555
08/25/2023,$83.62,527298,$82.84,$84.15,$82.55
08/24/2023,$82.84,461591,$83.75,$84.20,$82.81
08/23/2023,$83.58,661119,$83.22,$83.8799,$82.75
08/22/2023,$83.15,1478403,$85.64,$86.12,$82.87
08/21/2023,$85.66,11148030,$84.81,$86.62,$84.47
08/18/2023,$84.81,3180927,$82.51,$85.59,$81.94
08/17/2023,$76.82,605784,$76.42,$77.88,$76.42
08/16/2023,$76.09,354529,$76.90,$77.29,$75.87
08/15/2023,$77.12,383223,$77.65,$78.05,$77.06
08/14/2023,$78.01,459327,$76.43,$78.05,$76.375
08/11/2023,$76.69,258452,$76.42,$77.04,$76.08
08/10/2023,$76.90,416302,$77.75,$78.04,$76.63
08/09/2023,$77.13,287151,$77.38,$77.92,$76.49
08/08/2023,$77.56,386359,$78.07,$78.16,$76.795
08/07/2023,$78.94,518458,$79.13,$80.84,$78.63
08/04/2023,$79.25,1192292,$86.30,$86.4923,$79.001
08/03/2023,$87.84,428537,$87.32,$87.93,$87.05
08/02/2023,$87.87,349588,$88.17,$88.17,$87.27
08/01/2023,$88.87,281956,$88.31,$89.25,$88.245
07/31/2023,$88.61,353256,$88.55,$88.86,$88.085
07/28/2023,$88.43,305728,$88.14,$88.60,$87.93
07/27/2023,$87.69,396297,$89.89,$89.975,$87.515
07/26/2023,$89.22,165227,$89.09,$89.585,$88.70
07/25/2023,$89.30,247028,$88.62,$89.38,$88.48
07/24/2023,$88.57,168175,$88.80,$89.22,$88.06
