Date,Close/Last,Volume,Open,High,Low
01/03/2024,$55.03,3731711,$56.13,$56.53,$54.99
01/02/2024,$57.02,3471018,$58.89,$58.9391,$56.67
12/29/2023,$59.45,2593253,$60.20,$61.1706,$59.30
12/28/2023,$60.20,1926551,$59.50,$60.47,$59.34
12/27/2023,$59.76,2166664,$60.38,$60.54,$59.68
12/26/2023,$60.39,2244179,$60.55,$60.90,$60.14
12/22/2023,$60.69,2840883,$60.41,$61.278,$60.2314
12/21/2023,$60.47,2698594,$60.48,$60.87,$59.5604
12/20/2023,$59.63,5451300,$61.33,$61.90,$59.59
12/19/2023,$62.43,5331540,$61.375,$62.82,$60.78
12/18/2023,$61.54,8056816,$62.37,$62.74,$60.36
12/15/2023,$63.11,30387630,$55.865,$64.76,$55.15
12/14/2023,$56.12,5244841,$56.80,$57.79,$55.85
12/13/2023,$56.15,5790843,$56.00,$56.2913,$54.65
12/12/2023,$56.00,9080152,$54.04,$56.15,$53.88
12/11/2023,$53.72,13152860,$49.665,$53.8793,$49.665
12/08/2023,$49.73,21422040,$46.00,$50.50,$44.34
12/07/2023,$47.44,9039139,$47.23,$47.56,$46.53
12/06/2023,$47.36,8308118,$46.72,$49.085,$46.705
12/05/2023,$46.06,4292012,$45.75,$46.35,$45.42
12/04/2023,$45.88,4946681,$45.69,$46.1991,$45.11
12/01/2023,$45.99,5938324,$43.14,$46.08,$42.76
11/30/2023,$43.10,3738396,$43.81,$44.26,$42.89
11/29/2023,$43.62,3720739,$43.29,$44.33,$43.29
11/28/2023,$42.71,3437493,$42.19,$43.03,$42.125
11/27/2023,$42.35,3457928,$42.51,$42.89,$42.17
11/24/2023,$42.74,877064,$42.22,$42.88,$42.21
11/22/2023,$42.26,2088613,$42.77,$42.92,$42.115
11/21/2023,$42.50,2545324,$43.38,$43.38,$42.21
11/20/2023,$43.80,2427399,$43.03,$43.94,$42.99
11/17/2023,$42.95,2158116,$42.80,$43.07,$42.39
11/16/2023,$42.62,2173840,$43.05,$43.08,$42.30
11/15/2023,$43.38,2997324,$42.94,$43.98,$42.63
11/14/2023,$42.73,3403281,$42.15,$43.23,$42.08
11/13/2023,$41.12,2451298,$40.78,$41.42,$40.64
11/10/2023,$40.98,2859978,$39.96,$41.125,$39.65
11/09/2023,$40.04,3503397,$41.31,$41.40,$39.85
11/08/2023,$41.13,1487378,$41.25,$41.30,$40.68
11/07/2023,$41.08,2175214,$40.77,$41.27,$40.3601
11/06/2023,$40.41,1798394,$41.30,$41.526,$40.07
11/03/2023,$41.09,2932031,$40.07,$41.27,$40.07
11/02/2023,$39.88,3287493,$39.42,$40.21,$39.21
11/01/2023,$38.69,2443765,$38.81,$38.945,$38.20
10/31/2023,$38.88,2616047,$38.91,$39.075,$38.34
10/30/2023,$38.77,2094957,$38.71,$39.00,$38.11
10/27/2023,$38.53,2175375,$39.15,$39.34,$38.44
10/26/2023,$38.96,2411438,$39.49,$39.89,$38.79
10/25/2023,$39.39,2272298,$40.06,$40.145,$38.91
10/24/2023,$40.54,1557350,$40.36,$40.9788,$39.945
10/23/2023,$40.08,2144382,$39.88,$40.44,$39.36
10/20/2023,$40.27,2094731,$40.94,$40.97,$40.18
10/19/2023,$41.14,2077983,$41.94,$42.21,$41.04
10/18/2023,$41.65,1822759,$42.32,$42.555,$41.55
10/17/2023,$42.48,2999265,$41.29,$42.91,$41.24
10/16/2023,$41.67,2680334,$40.68,$41.935,$40.35
10/13/2023,$40.57,3120165,$40.35,$40.705,$39.92
10/12/2023,$40.45,4019317,$42.23,$42.30,$40.40
10/11/2023,$42.23,2310006,$42.35,$42.88,$42.07
10/10/2023,$42.35,3623672,$42.38,$43.07,$42.28
10/09/2023,$42.38,2452139,$41.72,$42.458,$41.38
10/06/2023,$42.13,3659697,$40.63,$42.34,$40.5346
