Date,Close/Last,Volume,Open,High,Low
10/23/2023,$19.04,616848,$18.80,$19.21,$18.6001
10/20/2023,$18.86,519665,$19.10,$19.23,$18.8001
10/19/2023,$19.10,659082,$19.53,$19.68,$18.96
10/18/2023,$19.51,854956,$19.02,$19.51,$18.92
10/17/2023,$19.09,4024603,$18.56,$19.45,$18.55
10/16/2023,$18.63,1176882,$19.25,$19.41,$18.03
10/13/2023,$18.89,1052348,$18.15,$19.18,$18.15
10/12/2023,$18.04,323171,$18.32,$18.37,$17.80
10/11/2023,$18.25,509640,$18.21,$18.45,$18.04
10/10/2023,$18.14,1010159,$17.93,$18.66,$17.91
10/09/2023,$17.81,1017808,$16.82,$17.99,$16.79
10/06/2023,$16.86,643221,$16.59,$16.895,$16.315
10/05/2023,$16.58,346492,$16.22,$16.67,$16.20
10/04/2023,$16.27,344085,$16.11,$16.34,$15.81
10/03/2023,$16.18,353637,$16.20,$16.39,$16.11
10/02/2023,$16.27,488890,$16.63,$16.75,$16.185
09/29/2023,$16.70,1003816,$16.75,$16.84,$16.49
09/28/2023,$16.61,288079,$16.63,$16.79,$16.59
09/27/2023,$16.76,523086,$16.58,$16.98,$16.49
09/26/2023,$16.41,268244,$16.45,$16.6226,$16.39
09/25/2023,$16.52,347082,$16.25,$16.56,$16.23
09/22/2023,$16.36,340865,$16.83,$16.85,$16.32
09/21/2023,$16.70,600540,$16.82,$17.305,$16.64
09/20/2023,$16.95,413965,$16.78,$17.12,$16.69
09/19/2023,$16.73,376254,$17.15,$17.2599,$16.60
09/18/2023,$17.14,486350,$16.68,$17.28,$16.53
09/15/2023,$16.69,5056031,$16.43,$16.85,$16.365
09/14/2023,$16.42,683021,$16.49,$16.69,$16.24
09/13/2023,$16.44,652413,$17.47,$17.54,$16.40
09/12/2023,$17.57,550648,$17.13,$17.74,$17.10
09/11/2023,$17.28,587195,$17.05,$17.39,$17.03
09/08/2023,$16.88,353492,$17.26,$17.38,$16.705
09/07/2023,$17.29,445003,$17.14,$17.35,$16.99
09/06/2023,$17.14,518003,$17.42,$17.66,$16.96
09/05/2023,$17.43,541462,$17.40,$17.64,$17.165
09/01/2023,$17.42,485564,$17.29,$17.70,$17.29
08/31/2023,$17.12,379447,$17.13,$17.31,$17.06
08/30/2023,$17.09,357356,$16.93,$17.32,$16.93
08/29/2023,$16.98,268064,$16.64,$17.05,$16.62
08/28/2023,$16.64,215950,$16.50,$16.76,$16.46
08/25/2023,$16.40,289752,$16.60,$16.60,$16.12
08/24/2023,$16.40,224895,$16.72,$16.88,$16.40
08/23/2023,$16.72,180387,$16.66,$16.84,$16.61
08/22/2023,$16.63,240761,$16.63,$16.83,$16.48
08/21/2023,$16.50,364489,$16.41,$16.60,$16.17
08/18/2023,$16.30,269536,$15.91,$16.35,$15.75
08/17/2023,$16.01,313203,$16.55,$16.69,$15.99
08/16/2023,$16.48,456549,$16.85,$16.95,$16.43
08/15/2023,$16.89,263619,$17.07,$17.22,$16.78
08/14/2023,$17.11,346685,$17.00,$17.42,$17.00
08/11/2023,$17.09,267215,$17.32,$17.32,$17.06
08/10/2023,$17.33,424785,$17.08,$17.44,$17.01
08/09/2023,$17.01,279969,$17.16,$17.16,$16.92
08/08/2023,$17.16,290482,$17.29,$17.29,$17.02
08/07/2023,$17.33,290620,$17.22,$17.43,$16.98
08/04/2023,$17.08,455449,$16.71,$17.40,$16.69
08/03/2023,$16.69,583722,$17.28,$17.28,$16.68
08/02/2023,$17.39,1623060,$16.49,$17.96,$16.488
08/01/2023,$16.45,835291,$16.68,$16.77,$16.38
07/31/2023,$16.69,590332,$16.83,$16.96,$16.65
07/28/2023,$16.83,370381,$16.72,$16.88,$16.451
07/27/2023,$16.50,577946,$16.96,$16.96,$16.37
07/26/2023,$16.93,429777,$17.11,$17.25,$16.85
07/25/2023,$17.15,330691,$16.85,$17.195,$16.71
07/24/2023,$16.90,395943,$16.91,$16.99,$16.6885
07/21/2023,$17.15,297257,$17.21,$17.38,$17.05
07/20/2023,$17.22,411118,$16.66,$17.235,$16.66
07/19/2023,$16.70,550594,$17.27,$17.29,$16.65
07/18/2023,$17.21,356793,$17.30,$17.42,$17.145
07/17/2023,$17.23,709867,$16.99,$17.55,$16.95
07/14/2023,$17.02,427343,$16.91,$17.065,$16.73
07/13/2023,$16.88,431975,$17.02,$17.04,$16.5699
07/12/2023,$16.99,313058,$17.25,$17.29,$16.93
07/11/2023,$16.98,360710,$17.07,$17.18,$16.87
07/10/2023,$17.05,683955,$16.72,$17.11,$16.59
07/07/2023,$16.64,557537,$16.70,$17.01,$16.63
07/06/2023,$16.58,557267,$16.92,$16.96,$16.54
07/05/2023,$16.99,483787,$17.31,$17.39,$16.99
07/03/2023,$17.43,289981,$17.40,$17.48,$17.245
06/30/2023,$17.34,570832,$17.40,$17.59,$17.30
06/29/2023,$17.25,581955,$17.06,$17.27,$16.88
06/28/2023,$16.98,468814,$16.84,$17.33,$16.81
06/27/2023,$16.83,428828,$16.49,$16.84,$16.472
06/26/2023,$16.49,660238,$16.38,$16.67,$15.74
06/23/2023,$16.47,7526500,$16.85,$17.00,$16.43
06/22/2023,$16.89,530140,$17.01,$17.0899,$16.765
06/21/2023,$17.18,876404,$16.95,$17.50,$16.84
06/20/2023,$16.95,650622,$16.79,$17.06,$16.65
06/16/2023,$16.94,3781231,$17.05,$17.18,$16.50
06/15/2023,$16.92,699525,$16.79,$16.99,$16.69
06/14/2023,$16.76,727171,$17.01,$17.23,$16.74
06/13/2023,$17.07,654810,$16.60,$17.10,$16.475
06/12/2023,$16.47,594879,$16.15,$16.73,$16.0601
06/09/2023,$16.24,880196,$17.02,$17.25,$16.16
06/08/2023,$16.67,1019576,$16.13,$16.72,$15.92
06/07/2023,$16.06,508692,$16.07,$16.32,$16.06
06/06/2023,$16.00,727667,$16.11,$16.345,$15.97
06/05/2023,$15.90,1159761,$15.59,$16.13,$15.53
06/02/2023,$15.50,452221,$15.50,$15.65,$15.395
06/01/2023,$15.33,435919,$15.14,$15.33,$14.83
05/31/2023,$15.10,685451,$14.94,$15.15,$14.831
05/30/2023,$15.01,439654,$14.79,$15.13,$14.74
05/26/2023,$14.66,316849,$14.40,$14.75,$14.36
05/25/2023,$14.27,397850,$14.61,$14.71,$14.12
05/24/2023,$14.64,265776,$14.94,$14.94,$14.575
05/23/2023,$15.02,364691,$15.34,$15.41,$14.99
05/22/2023,$15.48,333230,$15.46,$15.55,$15.36
05/19/2023,$15.53,506023,$15.83,$15.90,$15.43
05/18/2023,$15.75,557912,$15.36,$15.76,$15.27
05/17/2023,$15.36,272462,$15.20,$15.42,$15.20
05/16/2023,$15.11,359688,$15.20,$15.20,$14.89
05/15/2023,$15.315,391716,$15.18,$15.49,$15.14
05/12/2023,$15.11,258370,$15.34,$15.35,$15.00
05/11/2023,$15.32,331586,$15.37,$15.44,$15.15
05/10/2023,$15.39,491016,$14.99,$15.39,$14.95
05/09/2023,$14.99,1338062,$15.15,$15.19,$14.15
05/08/2023,$15.77,511533,$15.72,$15.855,$15.62
05/05/2023,$15.73,396243,$15.37,$15.74,$15.23
05/04/2023,$15.35,699842,$14.71,$15.71,$14.65
05/03/2023,$15.13,519083,$15.01,$15.3269,$15.00
05/02/2023,$14.99,559056,$15.32,$15.32,$14.84
05/01/2023,$15.30,552515,$15.01,$15.30,$14.99
04/28/2023,$15.05,476767,$15.00,$15.16,$14.935
04/27/2023,$14.99,512642,$14.78,$15.01,$14.50
04/26/2023,$14.77,612580,$15.00,$15.00,$14.6245
04/25/2023,$14.95,492803,$14.98,$15.05,$14.84
04/24/2023,$15.05,445748,$15.01,$15.10,$14.83
04/21/2023,$15.03,380656,$15.02,$15.11,$14.88
04/20/2023,$15.02,596667,$14.90,$15.02,$14.80
04/19/2023,$14.91,468133,$14.70,$14.91,$14.665
04/18/2023,$14.74,633003,$14.31,$14.81,$14.27
04/17/2023,$14.36,568339,$14.72,$14.72,$14.28
04/14/2023,$14.70,387492,$14.78,$14.815,$14.50
04/13/2023,$14.76,654879,$15.11,$15.145,$14.62
04/12/2023,$15.06,574221,$15.09,$15.25,$14.97
04/11/2023,$14.98,619911,$14.50,$15.03,$14.50
04/10/2023,$14.50,1328806,$14.18,$14.645,$14.16
04/06/2023,$14.16,872427,$13.76,$14.20,$13.71
04/05/2023,$13.70,868035,$13.89,$13.96,$12.98
04/04/2023,$13.34,973485,$12.90,$13.64,$12.83
04/03/2023,$12.87,802022,$12.94,$12.94,$12.60
03/31/2023,$12.97,4041513,$12.37,$13.00,$12.27
03/30/2023,$12.30,942515,$12.05,$12.33,$11.85
03/29/2023,$12.19,2147995,$11.55,$12.22,$10.80
03/28/2023,$11.60,2086417,$12.99,$12.99,$11.27
03/27/2023,$12.85,631510,$12.90,$13.03,$12.76
03/24/2023,$12.85,346085,$12.71,$12.85,$12.59
03/23/2023,$12.74,288277,$12.89,$13.045,$12.73
03/22/2023,$12.82,478032,$12.93,$13.03,$12.79
03/21/2023,$12.93,459783,$12.69,$12.95,$12.69
03/20/2023,$12.61,504939,$12.53,$12.67,$12.475
03/17/2023,$12.50,445405,$12.62,$12.66,$12.3425
03/16/2023,$12.65,403723,$12.21,$12.66,$12.141
03/15/2023,$12.35,600192,$12.53,$12.53,$12.03
03/14/2023,$12.63,362600,$12.56,$12.84,$12.56
03/13/2023,$12.41,492676,$12.38,$12.47,$12.11
03/10/2023,$12.54,609821,$12.76,$12.885,$12.45
03/09/2023,$12.87,438875,$13.03,$13.07,$12.76
03/08/2023,$13.01,485671,$13.09,$13.09,$12.92
03/07/2023,$13.08,380193,$13.05,$13.22,$13.05
03/06/2023,$13.08,406532,$13.04,$13.14,$12.94
03/03/2023,$13.03,409920,$13.04,$13.17,$12.98
03/02/2023,$13.01,388344,$12.97,$13.10,$12.915
03/01/2023,$13.00,465661,$12.95,$13.07,$12.92
02/28/2023,$13.00,752184,$13.05,$13.06,$12.85
02/27/2023,$13.01,515457,$13.17,$13.23,$12.93
02/24/2023,$13.11,234526,$13.04,$13.37,$12.8715
02/23/2023,$13.15,510206,$13.02,$13.43,$12.99
02/22/2023,$13.00,706788,$12.97,$13.07,$12.87
02/21/2023,$13.02,489797,$13.08,$13.12,$12.95
02/17/2023,$13.16,482799,$13.07,$13.19,$12.90
02/16/2023,$13.05,401995,$13.37,$13.37,$13.02
02/15/2023,$13.44,407609,$13.49,$13.658,$13.34
02/14/2023,$13.59,705547,$13.58,$13.84,$13.49
02/13/2023,$13.59,823018,$13.60,$13.85,$13.51
02/10/2023,$13.51,827751,$13.51,$13.69,$13.23
02/09/2023,$13.35,599099,$13.34,$13.59,$13.29
02/08/2023,$13.29,899204,$13.00,$13.345,$12.86
02/07/2023,$13.12,704386,$13.19,$13.24,$12.87
02/06/2023,$13.19,581361,$13.31,$13.345,$13.128
02/03/2023,$13.31,638997,$13.19,$13.54,$13.13
02/02/2023,$13.25,1021855,$12.95,$13.27,$12.7389
02/01/2023,$12.89,1117955,$13.34,$13.34,$12.86
01/31/2023,$13.35,654544,$13.15,$13.48,$13.13
01/30/2023,$13.15,495059,$13.39,$13.53,$13.07
01/27/2023,$13.48,600099,$13.25,$13.61,$13.1901
01/26/2023,$13.16,902026,$13.05,$13.26,$12.84
01/25/2023,$12.94,720010,$12.76,$13.06,$12.64
01/24/2023,$13.01,1058962,$12.68,$13.215,$12.25
01/23/2023,$12.91,546668,$12.85,$13.13,$12.79
01/20/2023,$12.89,301518,$12.90,$12.99,$12.73
01/19/2023,$12.84,858421,$13.08,$13.13,$12.76
01/18/2023,$13.11,537921,$13.11,$13.36,$13.08
01/17/2023,$13.00,832260,$13.35,$13.35,$12.80
01/13/2023,$13.19,1164620,$12.67,$13.44,$12.62
01/12/2023,$12.86,529097,$12.89,$12.89,$12.50
01/11/2023,$12.78,862757,$13.00,$13.25,$12.64
01/10/2023,$13.03,1005459,$12.60,$13.05,$12.49
01/09/2023,$12.64,581545,$12.79,$12.94,$12.525
01/06/2023,$12.66,905630,$12.81,$13.06,$12.49
01/05/2023,$12.52,983618,$12.10,$12.60,$11.85
01/04/2023,$12.22,806256,$12.23,$12.33,$11.98
01/03/2023,$12.14,1306329,$12.78,$12.82,$11.99
12/30/2022,$12.78,750240,$12.87,$12.94,$12.455
12/29/2022,$12.90,2265388,$12.65,$13.11,$12.50
12/28/2022,$12.58,1283121,$12.83,$13.255,$12.50
12/27/2022,$12.81,984497,$13.06,$13.07,$12.47
12/23/2022,$13.15,1665597,$12.52,$13.29,$12.41
12/22/2022,$12.48,1751586,$12.19,$12.74,$12.00
12/21/2022,$12.30,722810,$12.08,$12.47,$12.08
12/20/2022,$12.04,1510924,$12.00,$12.45,$11.79
12/19/2022,$11.96,1724346,$12.04,$12.30,$11.69
12/16/2022,$12.07,3423070,$11.68,$12.49,$11.68
12/15/2022,$11.91,2039036,$11.81,$11.96,$11.59
12/14/2022,$11.85,1466053,$11.43,$11.99,$11.43
12/13/2022,$11.70,802726,$11.55,$11.84,$11.47
12/12/2022,$11.36,800127,$11.32,$11.47,$10.76
12/09/2022,$11.23,2455649,$11.00,$11.50,$10.99
12/08/2022,$11.00,630962,$10.89,$11.23,$10.8829
12/07/2022,$10.78,872326,$10.68,$11.34,$10.68
12/06/2022,$10.75,1416565,$10.92,$11.13,$10.55
12/05/2022,$10.78,1591897,$9.78,$11.0999,$9.6764
12/02/2022,$9.71,1664819,$9.48,$9.95,$9.40
12/01/2022,$9.64,3236469,$9.78,$9.78,$9.30
11/30/2022,$10.11,2344901,$10.81,$10.81,$9.11
11/29/2022,$10.99,905304,$11.55,$12.49,$10.05
11/28/2022,$9.87,N/A,$9.87,$9.87,$9.87
11/25/2022,$9.87,413164,$9.90,$10.05,$9.71
11/23/2022,$9.91,307874,$10.13,$10.20,$9.82
11/22/2022,$10.11,135961,$10.06,$10.16,$9.95
