Date,Close/Last,Volume,Open,High,Low
01/05/2024,$54.27,1197416,$54.67,$55.25,$54.04
01/04/2024,$55.03,473572,$55.40,$55.89,$54.82
01/03/2024,$55.05,763893,$54.84,$55.50,$54.47
01/02/2024,$55.12,404549,$54.83,$55.45,$54.78
12/29/2023,$54.80,403540,$55.15,$55.15,$54.72
12/28/2023,$54.94,478984,$55.17,$55.41,$54.88
12/27/2023,$55.09,576212,$55.05,$55.44,$54.87
12/26/2023,$55.02,472520,$55.00,$55.275,$54.85
12/22/2023,$54.73,495368,$54.54,$55.07,$54.41
12/21/2023,$54.34,579158,$53.59,$54.37,$53.59
12/20/2023,$53.49,603560,$53.79,$54.22,$53.49
12/19/2023,$53.78,601847,$53.36,$53.83,$53.05
12/18/2023,$53.59,813919,$53.86,$54.43,$53.55
12/15/2023,$53.03,2420944,$53.49,$53.75,$52.32
12/14/2023,$54.48,1140337,$55.24,$55.43,$54.31
12/13/2023,$54.78,1108362,$54.09,$54.85,$53.49
12/12/2023,$54.18,1129994,$54.59,$54.59,$53.80
12/11/2023,$54.78,899428,$55.92,$56.12,$54.76
12/08/2023,$56.14,723923,$55.75,$56.185,$55.4801
12/07/2023,$55.56,888863,$56.71,$56.94,$55.49
12/06/2023,$56.42,496659,$57.06,$57.36,$56.34
12/05/2023,$57.21,664859,$58.21,$58.29,$57.095
12/04/2023,$58.27,728154,$57.25,$58.30,$57.0551
12/01/2023,$57.47,1001413,$56.50,$57.785,$56.50
11/30/2023,$57.29,686447,$57.17,$57.76,$57.04
11/29/2023,$57.15,671086,$56.84,$57.63,$56.38
11/28/2023,$56.73,745889,$57.10,$57.34,$56.6941
11/27/2023,$56.97,648900,$57.00,$57.0062,$56.59
11/24/2023,$57.12,168015,$56.81,$57.29,$56.70
11/22/2023,$56.68,2036054,$56.06,$57.00,$56.05
11/21/2023,$56.70,801824,$56.45,$56.98,$56.16
11/20/2023,$56.53,546934,$57.00,$57.075,$56.29
11/17/2023,$56.24,388378,$55.99,$56.45,$55.86
11/16/2023,$55.68,427838,$56.06,$56.365,$55.09
11/15/2023,$56.25,469606,$55.80,$56.47,$55.80
11/14/2023,$55.88,330912,$55.27,$55.96,$55.2401
11/13/2023,$54.89,457640,$54.65,$55.08,$54.17
11/10/2023,$54.43,904631,$54.94,$55.21,$54.04
11/09/2023,$55.00,604704,$54.71,$55.16,$54.63
11/08/2023,$54.42,440094,$55.15,$55.15,$54.41
11/07/2023,$55.19,616963,$55.39,$55.59,$54.89
11/06/2023,$55.95,437737,$56.50,$56.69,$55.62
11/03/2023,$56.53,854591,$57.42,$57.50,$56.45
11/02/2023,$57.42,567029,$55.03,$57.42,$55.03
11/01/2023,$55.34,732548,$54.25,$55.38,$53.32
10/31/2023,$53.97,491305,$53.54,$54.14,$53.244
10/30/2023,$53.36,612617,$53.43,$53.79,$52.90
10/27/2023,$52.98,453823,$54.00,$54.17,$52.88
10/26/2023,$54.13,459955,$53.41,$54.355,$53.30
10/25/2023,$53.87,700805,$53.84,$54.33,$53.63
10/24/2023,$53.97,470435,$54.37,$54.59,$53.51
10/23/2023,$54.24,420941,$54.63,$54.845,$54.19
10/20/2023,$55.08,536583,$55.45,$55.47,$54.755
10/19/2023,$55.36,577469,$55.18,$55.97,$55.02
10/18/2023,$55.29,577047,$55.95,$55.95,$55.05
10/17/2023,$55.88,816007,$55.53,$56.23,$55.345
10/16/2023,$55.66,500024,$55.68,$55.68,$54.96
10/13/2023,$55.32,392583,$55.46,$55.62,$54.9805
10/12/2023,$54.89,414912,$54.75,$55.03,$54.4044
10/11/2023,$54.39,514548,$53.65,$54.62,$53.57
10/10/2023,$54.00,716162,$53.95,$54.28,$53.63
10/09/2023,$53.93,713045,$54.30,$54.50,$53.65
10/06/2023,$53.46,986481,$52.40,$53.75,$52.08
10/05/2023,$53.40,848302,$51.80,$53.425,$51.79
10/04/2023,$52.20,1185246,$51.57,$52.22,$50.99
10/03/2023,$51.47,874198,$51.02,$51.48,$50.875
10/02/2023,$51.64,790622,$52.70,$52.70,$51.29
09/29/2023,$52.92,647053,$53.36,$53.50,$52.79
09/28/2023,$53.31,639117,$53.16,$53.505,$52.91
09/27/2023,$53.24,609465,$52.99,$53.6258,$52.83
09/26/2023,$52.68,947274,$53.43,$53.52,$52.55
09/25/2023,$53.81,717814,$53.17,$53.875,$52.87
09/22/2023,$53.30,846810,$52.88,$53.55,$52.88
09/21/2023,$52.75,755447,$53.50,$53.50,$52.565
09/20/2023,$53.57,714665,$52.84,$54.10,$52.84
09/19/2023,$52.94,804918,$53.44,$53.44,$52.92
09/18/2023,$53.28,768902,$52.99,$53.49,$52.89
09/15/2023,$52.93,1532947,$52.49,$52.98,$52.38
09/14/2023,$53.57,678959,$53.63,$53.67,$53.10
09/13/2023,$52.88,705077,$53.17,$53.30,$52.205
09/12/2023,$53.15,754560,$52.40,$53.40,$52.27
09/11/2023,$52.10,655506,$52.32,$52.5871,$52.005
09/08/2023,$52.10,558223,$51.70,$52.24,$51.56
09/07/2023,$51.48,1422553,$51.12,$51.97,$51.00
09/06/2023,$50.57,592770,$51.67,$51.685,$50.54
09/05/2023,$51.91,480615,$52.41,$52.80,$51.91
09/01/2023,$52.60,254211,$52.81,$52.99,$52.375
08/31/2023,$52.29,582340,$52.74,$52.74,$52.21
08/30/2023,$52.48,408168,$52.15,$52.79,$52.08
08/29/2023,$52.15,410591,$51.94,$52.33,$51.4525
08/28/2023,$51.83,274098,$51.58,$52.28,$51.49
08/25/2023,$51.58,408195,$51.44,$51.83,$51.22
08/24/2023,$51.38,363410,$51.72,$52.14,$51.35
08/23/2023,$51.77,538855,$51.83,$51.95,$51.16
08/22/2023,$52.02,454471,$51.98,$52.46,$51.91
08/21/2023,$51.84,294529,$51.80,$52.01,$51.44
08/18/2023,$51.53,388839,$51.21,$51.77,$51.07
08/17/2023,$51.28,316673,$51.46,$51.76,$51.25
08/16/2023,$51.10,419294,$51.35,$51.74,$51.09
08/15/2023,$51.55,345945,$52.11,$52.11,$51.47
08/14/2023,$52.34,750327,$52.57,$52.64,$52.34
08/11/2023,$52.57,472834,$52.32,$52.875,$52.06
08/10/2023,$52.42,354880,$53.01,$53.335,$52.31
08/09/2023,$53.00,358745,$53.28,$53.75,$52.83
08/08/2023,$52.82,414968,$51.97,$52.95,$51.52
08/07/2023,$52.63,757511,$52.07,$52.81,$51.96
08/04/2023,$52.13,654714,$52.18,$52.69,$51.90
08/03/2023,$52.18,513073,$51.60,$52.34,$51.2194
08/02/2023,$51.62,745105,$51.62,$51.92,$51.06
08/01/2023,$52.00,927704,$53.98,$53.98,$51.325
07/31/2023,$53.52,618629,$53.30,$53.52,$52.99
07/28/2023,$53.04,522914,$52.71,$53.20,$52.35
07/27/2023,$52.36,402985,$52.25,$52.75,$52.05
07/26/2023,$52.20,466175,$52.04,$52.50,$51.81
07/25/2023,$52.41,398010,$52.60,$52.82,$52.32
07/24/2023,$52.57,457720,$52.56,$52.87,$52.42
07/21/2023,$52.41,518761,$52.59,$52.62,$52.08
07/20/2023,$52.23,391899,$52.48,$52.49,$52.075
07/19/2023,$52.08,482725,$52.08,$52.615,$51.79
07/18/2023,$52.15,382641,$51.67,$52.75,$51.585
07/17/2023,$51.56,442292,$51.64,$51.94,$51.48
07/14/2023,$51.67,497999,$52.49,$52.49,$51.61
07/13/2023,$52.82,418789,$52.36,$52.87,$52.31
07/12/2023,$52.29,550692,$52.00,$52.40,$51.67
07/11/2023,$51.59,498209,$50.86,$51.76,$50.70
07/10/2023,$50.57,359976,$50.14,$50.67,$50.14
07/07/2023,$50.29,850497,$49.33,$50.71,$49.20
07/06/2023,$49.51,472928,$49.43,$49.63,$49.06
07/05/2023,$49.72,316489,$49.73,$49.92,$49.44
07/03/2023,$49.83,263236,$49.62,$50.485,$49.435
06/30/2023,$49.57,727444,$49.83,$50.12,$49.35
06/29/2023,$49.52,720048,$48.50,$49.755,$48.41
06/28/2023,$48.33,367865,$48.16,$48.39,$47.7431
06/27/2023,$48.01,511185,$47.59,$48.08,$47.28
06/26/2023,$47.68,806694,$46.82,$48.32,$46.60
06/23/2023,$46.58,1100453,$47.27,$47.52,$46.36
06/22/2023,$47.58,449281,$48.00,$48.14,$47.40
06/21/2023,$48.23,403787,$47.80,$48.66,$47.61
06/20/2023,$47.97,547961,$48.24,$48.24,$47.66
06/16/2023,$48.52,1343570,$48.54,$48.67,$48.14
06/15/2023,$48.33,658001,$47.92,$48.71,$47.89
06/14/2023,$48.72,1049319,$49.23,$49.62,$48.49
06/13/2023,$49.21,829878,$49.32,$50.045,$49.09
06/12/2023,$49.07,917823,$48.69,$49.25,$48.3234
06/09/2023,$48.82,727368,$49.15,$49.26,$48.67
06/08/2023,$49.15,457972,$49.08,$49.285,$48.32
06/07/2023,$48.95,847724,$48.00,$49.098,$47.78
06/06/2023,$47.81,395672,$47.23,$48.01,$47.18
06/05/2023,$47.55,484654,$48.13,$48.225,$47.29
06/02/2023,$47.77,522180,$46.68,$47.99,$46.53
06/01/2023,$46.16,572428,$45.43,$46.35,$45.33
05/31/2023,$45.46,983852,$45.24,$45.75,$45.24
05/30/2023,$45.56,758153,$45.90,$46.21,$45.20
05/26/2023,$46.15,533788,$46.53,$46.65,$45.91
05/25/2023,$46.57,744453,$46.67,$46.88,$46.27
05/24/2023,$46.60,602230,$47.34,$47.34,$46.45
05/23/2023,$47.29,517284,$46.79,$47.61,$46.74
05/22/2023,$46.89,633685,$47.10,$47.40,$46.43
05/19/2023,$47.08,786463,$47.91,$47.98,$47.05
05/18/2023,$47.83,632118,$46.79,$47.85,$46.44
05/17/2023,$47.15,658700,$47.39,$47.51,$46.875
05/16/2023,$47.05,906585,$47.55,$47.80,$46.94
05/15/2023,$47.83,1101889,$47.52,$48.36,$47.44
05/12/2023,$46.97,561774,$46.84,$47.08,$46.59
05/11/2023,$46.64,681062,$46.66,$46.835,$45.98
05/10/2023,$47.04,864445,$47.47,$47.53,$46.50
05/09/2023,$46.85,645912,$46.29,$46.94,$46.02
05/08/2023,$46.43,703603,$47.30,$47.4485,$46.18
05/05/2023,$46.92,717210,$46.36,$47.18,$46.35
05/04/2023,$45.46,606797,$45.48,$45.955,$45.105
05/03/2023,$45.53,856005,$46.26,$46.75,$45.38
05/02/2023,$46.60,1042043,$49.31,$49.31,$45.89
05/01/2023,$49.02,893278,$48.93,$49.555,$48.79
04/28/2023,$49.27,1033958,$48.31,$49.76,$48.31
