Date,Close/Last,Volume,Open,High,Low
01/05/2024,$98.54,2192115,$98.49,$98.75,$97.57
01/04/2024,$98.49,2423704,$99.00,$99.35,$98.355
01/03/2024,$98.78,3687569,$97.93,$98.885,$97.495
01/02/2024,$97.81,3352256,$96.52,$98.28,$96.13
12/29/2023,$97.04,2295313,$96.64,$97.27,$96.35
12/28/2023,$96.92,1912800,$96.06,$97.0599,$96.00
12/27/2023,$96.30,1987644,$96.40,$96.78,$96.015
12/26/2023,$96.73,2228525,$96.62,$97.51,$96.43
12/22/2023,$96.86,1927521,$96.84,$97.64,$96.32
12/21/2023,$96.36,3072565,$95.94,$96.50,$95.22
12/20/2023,$95.68,3428493,$96.64,$97.27,$95.55
12/19/2023,$96.81,2711939,$97.51,$97.54,$96.46
12/18/2023,$97.17,4277125,$97.20,$98.33,$96.75
12/15/2023,$96.63,8742774,$97.99,$98.147,$95.62
12/14/2023,$98.31,6870784,$98.76,$99.48,$97.985
12/13/2023,$98.08,3970186,$95.50,$98.14,$94.85
12/12/2023,$95.33,3942732,$95.49,$95.50,$94.12
12/11/2023,$95.36,4989081,$94.04,$95.40,$93.59
12/08/2023,$94.39,3271726,$94.45,$94.74,$93.80
12/07/2023,$94.46,3813022,$93.90,$94.885,$93.325
12/06/2023,$93.94,3260503,$92.85,$93.96,$92.65
12/05/2023,$92.47,2601202,$92.86,$92.97,$91.90
12/04/2023,$92.73,2796541,$92.02,$93.23,$92.02
12/01/2023,$92.64,4016542,$92.20,$92.65,$91.55
11/30/2023,$92.28,4959398,$91.66,$92.40,$91.12
11/29/2023,$90.71,2986958,$91.22,$91.685,$90.36
11/28/2023,$91.13,2774331,$90.96,$91.93,$90.72
11/27/2023,$90.93,2439422,$90.86,$91.125,$90.17
11/24/2023,$90.74,1472374,$90.24,$90.79,$89.915
11/22/2023,$90.36,2553301,$90.00,$90.44,$89.52
11/21/2023,$89.88,2483933,$89.53,$89.93,$88.73
11/20/2023,$89.30,3637493,$89.52,$90.04,$88.27
11/17/2023,$90.01,3340656,$90.64,$90.68,$89.6801
11/16/2023,$90.18,3872271,$89.35,$90.58,$89.35
11/15/2023,$89.61,3175645,$89.77,$90.92,$89.18
11/14/2023,$89.85,5739227,$88.63,$89.90,$88.50
11/13/2023,$87.02,3396633,$88.19,$88.39,$86.61
11/10/2023,$88.27,2491099,$88.47,$88.68,$87.725
11/09/2023,$87.96,3441800,$88.53,$89.37,$87.91
11/08/2023,$88.36,3623858,$88.78,$88.97,$87.16
11/07/2023,$89.28,3054464,$90.00,$90.01,$89.12
11/06/2023,$89.72,3370772,$90.18,$90.58,$89.47
11/03/2023,$90.28,4022855,$91.16,$91.97,$90.23
11/02/2023,$89.89,4553051,$89.50,$90.595,$88.99
11/01/2023,$89.54,3944539,$89.20,$89.99,$88.32
10/31/2023,$88.89,3094565,$88.35,$88.93,$87.91
10/30/2023,$87.90,2426908,$87.84,$88.67,$87.06
10/27/2023,$87.53,2764436,$88.86,$89.12,$87.09
10/26/2023,$89.20,3033546,$88.45,$89.75,$88.22
10/25/2023,$88.15,2652833,$87.64,$88.44,$87.17
10/24/2023,$87.76,3213165,$87.11,$88.26,$86.83
10/23/2023,$86.33,3172110,$86.20,$87.62,$85.79
10/20/2023,$87.03,3468582,$87.51,$88.86,$87.01
10/19/2023,$87.78,3134349,$87.92,$88.85,$87.27
10/18/2023,$88.19,2790110,$88.97,$89.42,$87.63
10/17/2023,$88.96,2911560,$88.77,$89.7643,$88.4805
10/16/2023,$89.46,2993524,$89.00,$89.86,$88.42
10/13/2023,$88.68,3277003,$88.94,$89.5399,$88.05
10/12/2023,$88.03,3172508,$89.53,$90.03,$87.19
10/11/2023,$89.87,2658873,$89.40,$90.12,$88.6498
