Date,Close/Last,Volume,Open,High,Low
01/05/2024,$39.80,1208557,$40.58,$41.44,$39.54
01/04/2024,$40.85,919648,$41.37,$41.599,$40.665
01/03/2024,$41.05,1427083,$41.23,$41.90,$40.70
01/02/2024,$42.07,1262662,$42.88,$43.67,$42.00
12/29/2023,$43.18,812474,$43.69,$43.77,$42.84
12/28/2023,$43.86,619474,$44.45,$44.53,$43.71
12/27/2023,$44.57,1114590,$44.00,$44.97,$43.91
12/26/2023,$44.32,755515,$42.86,$44.44,$42.60
12/22/2023,$42.84,699814,$42.53,$42.93,$42.21
12/21/2023,$42.73,1142562,$41.97,$42.92,$41.89
12/20/2023,$41.34,890997,$41.63,$42.10,$41.16
12/19/2023,$41.70,923403,$41.63,$42.01,$41.39
12/18/2023,$41.07,874451,$41.04,$41.56,$40.34
12/15/2023,$40.82,2311877,$42.18,$42.39,$40.65
12/14/2023,$42.35,1375969,$41.89,$42.52,$41.71
12/13/2023,$41.60,977131,$41.14,$41.67,$40.21
12/12/2023,$41.12,1212025,$41.15,$41.77,$40.97
12/11/2023,$41.16,1570620,$40.00,$41.53,$39.8205
12/08/2023,$39.77,885861,$39.55,$40.00,$39.14
12/07/2023,$39.64,726339,$39.21,$39.72,$38.77
12/06/2023,$39.31,1058664,$38.61,$39.62,$38.61
12/05/2023,$37.82,1069059,$38.35,$38.89,$37.76
12/04/2023,$38.49,1336294,$37.62,$38.985,$37.62
12/01/2023,$37.56,1476852,$35.92,$37.655,$35.60
11/30/2023,$36.01,1328551,$36.22,$36.40,$35.80
11/29/2023,$36.19,1301120,$35.85,$36.71,$35.63
11/28/2023,$35.44,1187264,$35.30,$35.45,$34.77
11/27/2023,$35.39,1210458,$35.34,$35.91,$35.06
11/24/2023,$35.55,370494,$35.78,$35.78,$35.22
11/22/2023,$35.72,911373,$35.71,$36.60,$35.58
11/21/2023,$35.48,683604,$36.14,$36.14,$35.46
11/20/2023,$36.30,727365,$36.32,$36.445,$35.835
11/17/2023,$36.25,805538,$36.72,$36.72,$35.79
11/16/2023,$36.31,697838,$36.72,$36.89,$35.99
11/15/2023,$36.84,1115780,$36.46,$37.34,$36.40
11/14/2023,$36.38,1495300,$34.80,$36.48,$34.43
11/13/2023,$34.02,882195,$34.39,$34.39,$33.62
11/10/2023,$33.95,1082466,$33.77,$34.27,$33.24
11/09/2023,$33.75,841322,$34.00,$34.39,$33.545
11/08/2023,$33.74,1090790,$34.56,$34.83,$33.44
11/07/2023,$34.20,1409868,$34.89,$34.95,$33.78
11/06/2023,$35.02,1037811,$35.25,$35.68,$34.74
11/03/2023,$35.28,1580734,$34.32,$35.47,$34.32
11/02/2023,$33.84,2119200,$35.38,$35.86,$33.035
11/01/2023,$34.48,3234468,$36.70,$36.75,$33.55
10/31/2023,$33.92,2435988,$33.31,$34.26,$32.895
10/30/2023,$33.40,1487699,$33.22,$33.88,$32.29
10/27/2023,$32.73,830726,$32.71,$33.34,$32.46
10/26/2023,$32.70,834155,$33.00,$33.11,$32.02
10/25/2023,$32.65,798005,$32.04,$32.83,$31.95
10/24/2023,$32.45,1004891,$32.81,$33.25,$32.265
10/23/2023,$32.54,1322492,$32.42,$33.34,$32.12
10/20/2023,$32.98,1006634,$33.14,$33.37,$32.59
10/19/2023,$33.05,968205,$33.32,$34.19,$32.905
10/18/2023,$33.23,1423323,$34.34,$34.34,$32.96
10/17/2023,$33.65,1540067,$31.91,$33.98,$31.91
10/16/2023,$32.04,1330173,$30.71,$32.28,$30.695
10/13/2023,$30.37,1019568,$29.99,$30.69,$29.68
10/12/2023,$30.06,980282,$30.95,$30.99,$29.65
10/11/2023,$30.87,741750,$30.84,$31.19,$30.22
10/10/2023,$30.86,618474,$30.00,$31.11,$29.925
10/09/2023,$29.85,1308167,$29.04,$30.36,$28.23
10/06/2023,$29.51,1301404,$30.37,$30.51,$29.05
10/05/2023,$30.54,1038695,$30.44,$30.97,$30.28
10/04/2023,$30.63,1331099,$29.85,$30.66,$29.34
10/03/2023,$29.75,1389068,$31.03,$31.18,$29.46
10/02/2023,$31.35,1254584,$31.37,$32.03,$31.195
09/29/2023,$31.59,1997870,$33.54,$33.88,$31.46
09/28/2023,$31.05,1195819,$29.69,$31.17,$29.43
09/27/2023,$29.45,1549510,$29.02,$29.98,$28.94
09/26/2023,$28.92,1519072,$29.38,$29.835,$28.86
09/25/2023,$29.58,998738,$29.78,$30.33,$29.455
09/22/2023,$30.15,1083551,$31.35,$31.37,$30.14
09/21/2023,$31.72,776316,$31.95,$32.52,$31.71
09/20/2023,$32.20,1076567,$32.00,$33.20,$32.00
09/19/2023,$31.83,908163,$31.09,$31.93,$30.92
09/18/2023,$31.14,1001600,$31.58,$31.60,$31.10
09/15/2023,$31.42,1326275,$32.23,$32.30,$31.215
09/14/2023,$32.36,954071,$31.90,$32.475,$31.43
09/13/2023,$31.67,1295406,$31.15,$31.87,$30.87
09/12/2023,$31.21,1115431,$30.41,$31.68,$30.18
09/11/2023,$30.54,1345133,$31.30,$31.33,$30.145
09/08/2023,$31.13,981455,$31.21,$31.73,$30.90
09/07/2023,$31.30,1172347,$30.39,$31.405,$30.23
09/06/2023,$30.63,1009343,$31.29,$31.45,$30.62
09/05/2023,$31.35,1514274,$32.36,$32.36,$31.05
09/01/2023,$32.67,944378,$32.81,$33.10,$32.185
08/31/2023,$32.73,783317,$32.74,$33.17,$32.25
08/30/2023,$32.64,1037561,$32.48,$32.84,$32.31
08/29/2023,$32.51,987053,$32.04,$32.73,$32.04
08/28/2023,$32.37,824933,$33.00,$33.38,$32.30
08/25/2023,$33.05,932569,$34.00,$34.05,$32.79
08/24/2023,$33.77,742833,$34.32,$34.50,$33.74
08/23/2023,$34.20,723247,$34.00,$34.56,$33.58
08/22/2023,$33.97,853903,$33.71,$34.20,$33.07
08/21/2023,$33.66,1178971,$34.09,$34.60,$33.35
08/18/2023,$34.12,1694368,$33.08,$34.39,$32.92
08/17/2023,$33.26,1293572,$34.56,$34.85,$33.24
08/16/2023,$34.36,3335295,$35.00,$35.28,$33.36
08/15/2023,$36.37,1739738,$36.78,$37.06,$35.92
08/14/2023,$36.71,2132811,$37.00,$37.285,$36.00
08/11/2023,$37.55,1040801,$38.46,$38.54,$37.52
08/10/2023,$38.60,991902,$38.93,$40.15,$38.40
08/09/2023,$38.66,883246,$39.11,$39.30,$38.58
08/08/2023,$38.93,790780,$39.06,$39.44,$38.278
08/07/2023,$39.54,919886,$39.22,$40.18,$38.99
08/04/2023,$38.71,930035,$39.51,$40.16,$38.65
08/03/2023,$39.03,763994,$38.81,$39.40,$38.51
08/02/2023,$38.95,735874,$38.24,$39.29,$37.61
08/01/2023,$38.87,899691,$38.85,$39.1225,$37.84
07/31/2023,$39.28,660437,$38.64,$39.65,$38.57
07/28/2023,$38.57,788965,$39.12,$39.42,$38.43
07/27/2023,$38.65,724158,$39.40,$39.92,$38.61
07/26/2023,$39.21,536512,$37.75,$39.285,$37.75
07/25/2023,$37.75,784327,$38.02,$38.33,$37.255
07/24/2023,$38.18,760339,$38.89,$39.06,$37.78
07/21/2023,$38.99,580272,$39.78,$39.88,$38.98
07/20/2023,$39.40,577062,$39.33,$39.80,$38.955
07/19/2023,$39.60,586376,$38.70,$39.725,$38.53
07/18/2023,$38.49,567414,$37.02,$38.55,$36.75
07/17/2023,$37.36,527577,$37.57,$38.34,$37.35
07/14/2023,$37.96,566058,$37.93,$38.09,$37.33
07/13/2023,$38.10,584186,$38.31,$38.57,$37.98
07/12/2023,$38.26,510089,$38.79,$39.02,$38.00
07/11/2023,$38.06,780952,$38.13,$38.83,$37.69
07/10/2023,$37.87,812677,$36.34,$38.00,$36.275
07/07/2023,$36.34,569055,$35.99,$36.95,$35.705
07/06/2023,$35.67,456044,$35.42,$35.76,$34.85
07/05/2023,$35.70,1228323,$36.76,$36.76,$35.215
07/03/2023,$37.06,632224,$36.51,$37.17,$36.13
06/30/2023,$36.60,768936,$36.89,$37.15,$36.51
06/29/2023,$36.49,1472638,$36.16,$36.99,$36.16
06/28/2023,$36.20,1015172,$35.79,$36.24,$35.23
06/27/2023,$35.80,935108,$34.88,$36.005,$34.455
06/26/2023,$34.47,1204648,$32.31,$34.89,$32.31
06/23/2023,$34.05,2220380,$34.70,$35.34,$33.77
06/22/2023,$35.28,933519,$35.81,$35.88,$35.054
06/21/2023,$36.09,599923,$36.25,$36.60,$35.86
06/20/2023,$36.57,753883,$36.12,$37.08,$36.06
06/16/2023,$36.39,980398,$36.78,$36.78,$35.91
06/15/2023,$36.47,744317,$36.40,$37.01,$35.93
06/14/2023,$36.15,875435,$37.58,$37.68,$35.76
06/13/2023,$37.39,723756,$37.81,$38.13,$37.00
06/12/2023,$37.82,1100051,$36.32,$38.08,$36.25
06/09/2023,$36.00,1035166,$35.22,$36.29,$35.22
06/08/2023,$35.67,1978452,$35.88,$36.015,$34.07
06/07/2023,$36.39,2736357,$39.31,$40.92,$35.575
06/06/2023,$38.82,969270,$38.06,$39.045,$37.55
06/05/2023,$38.62,886324,$39.71,$39.81,$38.46
06/02/2023,$39.92,1049415,$38.79,$40.02,$38.33
06/01/2023,$38.12,1015528,$36.74,$38.515,$36.71
05/31/2023,$36.58,1710269,$37.25,$37.55,$35.60
05/30/2023,$37.28,928195,$39.00,$39.335,$37.23
05/26/2023,$38.90,732228,$38.66,$39.42,$38.66
05/25/2023,$38.81,613103,$40.28,$40.35,$38.76
05/24/2023,$39.82,923078,$39.02,$39.85,$38.22
05/23/2023,$39.47,812229,$39.40,$39.79,$38.67
05/22/2023,$39.34,691562,$39.40,$39.74,$39.04
05/19/2023,$39.54,697134,$40.90,$40.98,$39.20
05/18/2023,$40.58,891995,$39.43,$40.805,$39.25
05/17/2023,$39.23,663695,$38.00,$39.53,$37.77
05/16/2023,$37.54,556302,$38.11,$38.11,$37.07
05/15/2023,$38.09,798144,$37.06,$38.13,$36.25
05/12/2023,$36.99,668131,$36.40,$37.31,$36.12
05/11/2023,$36.31,910267,$36.33,$36.69,$35.625
05/10/2023,$36.48,963591,$37.74,$37.98,$36.25
05/09/2023,$37.40,511046,$36.79,$37.63,$36.47
05/08/2023,$36.96,703256,$38.18,$38.70,$36.74
05/05/2023,$38.05,1065825,$39.69,$40.09,$37.51
05/04/2023,$39.00,1690033,$39.60,$40.68,$38.63
05/03/2023,$38.76,4030276,$36.72,$39.99,$34.23
05/02/2023,$40.27,1964897,$39.60,$40.66,$38.71
05/01/2023,$40.28,1661386,$39.77,$40.90,$39.635
04/28/2023,$39.92,1176646,$38.91,$39.94,$38.83
04/27/2023,$38.91,607824,$38.36,$39.09,$37.82
04/26/2023,$37.97,697006,$38.29,$39.10,$37.96
04/25/2023,$38.17,681401,$39.13,$39.245,$37.88
04/24/2023,$39.34,777606,$38.99,$39.38,$38.62
04/21/2023,$39.17,735977,$38.33,$39.415,$38.23
04/20/2023,$38.19,718014,$38.20,$39.07,$37.88
04/19/2023,$38.50,468943,$38.01,$38.50,$37.84
04/18/2023,$38.22,764252,$37.57,$38.46,$37.555
04/17/2023,$37.18,594641,$37.47,$37.85,$36.55
04/14/2023,$37.30,742508,$37.29,$38.155,$36.82
04/13/2023,$36.93,836192,$36.35,$37.52,$36.16
04/12/2023,$35.98,875304,$38.32,$38.395,$35.94
04/11/2023,$38.03,633835,$38.29,$38.595,$37.91
04/10/2023,$38.20,913938,$37.23,$38.70,$36.99
04/06/2023,$37.43,613545,$37.85,$37.91,$36.875
04/05/2023,$37.73,834813,$37.14,$37.76,$36.49
04/04/2023,$37.32,965485,$37.81,$38.40,$36.53
04/03/2023,$37.57,793505,$38.18,$38.31,$36.64
03/31/2023,$38.00,1276759,$37.55,$38.05,$36.97
03/30/2023,$37.22,960584,$36.12,$37.61,$35.97
03/29/2023,$35.90,710924,$36.26,$36.29,$35.48
03/28/2023,$35.88,1060274,$35.13,$36.26,$35.01
03/27/2023,$35.26,1227595,$36.07,$36.07,$34.76
03/24/2023,$35.78,1379044,$36.09,$36.60,$35.50
03/23/2023,$36.22,1421779,$37.53,$37.885,$35.20
03/22/2023,$37.33,1152437,$37.18,$38.25,$36.71
03/21/2023,$37.22,1361315,$36.99,$38.06,$36.93
03/20/2023,$36.34,1286770,$36.07,$37.055,$35.68
03/17/2023,$35.76,1538985,$35.80,$36.2419,$35.22
03/16/2023,$36.14,1115166,$35.79,$37.56,$35.33
03/15/2023,$36.21,1074436,$34.44,$36.22,$34.11
03/14/2023,$35.22,1082781,$35.53,$36.37,$34.76
03/13/2023,$34.49,1810074,$34.00,$34.57,$32.62
03/10/2023,$34.81,1498510,$36.40,$36.47,$34.47
03/09/2023,$36.42,1525851,$38.38,$38.70,$36.245
03/08/2023,$38.31,658584,$38.01,$38.48,$37.45
03/07/2023,$38.02,1075171,$38.43,$38.97,$37.84
03/06/2023,$38.39,809170,$38.69,$38.94,$37.82
03/03/2023,$38.69,815319,$39.67,$39.685,$38.26
03/02/2023,$39.93,533918,$38.97,$40.02,$38.51
03/01/2023,$39.06,731809,$38.01,$39.16,$37.735
02/28/2023,$38.00,1217294,$38.07,$38.465,$37.70
02/27/2023,$38.02,639314,$38.72,$38.86,$37.8994
02/24/2023,$38.43,978413,$39.13,$39.36,$38.27
02/23/2023,$39.88,1077724,$40.88,$40.935,$38.96
02/22/2023,$40.73,987366,$39.38,$40.76,$38.8599
02/21/2023,$38.74,1264779,$38.88,$39.43,$37.72
02/17/2023,$39.40,1191531,$40.18,$40.51,$39.06
02/16/2023,$40.75,1082569,$40.45,$42.12,$40.36
02/15/2023,$41.06,525801,$40.52,$41.17,$40.41
02/14/2023,$40.85,628550,$40.56,$41.29,$39.92
02/13/2023,$40.67,684954,$40.19,$40.93,$39.82
02/10/2023,$40.20,895859,$40.12,$40.35,$39.44
02/09/2023,$40.67,1021872,$41.29,$41.55,$40.3801
02/08/2023,$40.74,758186,$40.51,$40.975,$40.16
02/07/2023,$41.12,1006877,$40.09,$41.16,$39.39
02/06/2023,$40.35,934288,$40.00,$40.93,$39.80
02/03/2023,$41.09,1558674,$39.86,$41.38,$39.46
02/02/2023,$40.47,2064095,$40.39,$41.12,$39.20
