Date,Close/Last,Volume,Open,High,Low
01/05/2024,$68.04,1040141,$66.98,$68.42,$66.87
01/04/2024,$66.88,781762,$67.07,$67.53,$66.36
01/03/2024,$67.10,509787,$67.01,$67.305,$66.55
01/02/2024,$67.16,520507,$66.00,$67.19,$65.99
12/29/2023,$66.72,431833,$67.17,$67.27,$66.364
12/28/2023,$67.24,362130,$67.30,$67.86,$66.95
12/27/2023,$67.55,427849,$67.59,$67.825,$67.44
12/26/2023,$67.46,275085,$67.18,$67.90,$67.00
12/22/2023,$67.18,438450,$66.84,$67.45,$66.63
12/21/2023,$66.52,364751,$66.10,$66.67,$65.955
12/20/2023,$65.81,480108,$66.49,$66.71,$65.80
12/19/2023,$66.72,492932,$66.26,$66.829,$66.0974
12/18/2023,$65.97,603803,$65.71,$66.256,$65.39
12/15/2023,$65.51,1886684,$67.09,$67.30,$65.33
12/14/2023,$67.52,986355,$67.58,$68.28,$67.355
12/13/2023,$66.97,737676,$65.97,$67.34,$65.87
12/12/2023,$65.99,598603,$65.66,$66.46,$65.34
12/11/2023,$65.63,651760,$65.12,$65.75,$64.375
12/08/2023,$64.80,674501,$64.90,$65.028,$64.15
12/07/2023,$64.99,472542,$65.06,$65.13,$64.27
12/06/2023,$65.10,411917,$65.60,$66.11,$64.68
12/05/2023,$65.47,421388,$66.58,$66.79,$65.38
12/04/2023,$66.83,547111,$66.50,$67.03,$66.19
12/01/2023,$66.39,500301,$65.30,$66.53,$65.26
11/30/2023,$65.17,558723,$64.24,$65.25,$63.775
11/29/2023,$64.33,432450,$64.90,$65.21,$64.27
11/28/2023,$64.59,326803,$65.16,$65.16,$64.55
11/27/2023,$65.13,476811,$65.97,$66.18,$64.94
11/24/2023,$66.19,134354,$65.98,$66.335,$65.79
11/22/2023,$66.06,341468,$65.82,$66.195,$65.61
11/21/2023,$65.46,334897,$65.09,$65.68,$64.925
11/20/2023,$64.94,451209,$63.88,$64.995,$63.79
11/17/2023,$64.33,426428,$64.25,$64.60,$64.03
11/16/2023,$63.83,555057,$63.79,$64.32,$63.59
11/15/2023,$63.90,843891,$64.55,$65.21,$63.865
11/14/2023,$64.67,702781,$63.93,$65.4451,$63.93
11/13/2023,$63.40,636785,$63.06,$64.50,$63.015
11/10/2023,$62.85,1357326,$63.55,$63.57,$62.58
11/09/2023,$63.58,483519,$64.15,$64.3013,$63.17
11/08/2023,$64.05,377693,$64.69,$64.775,$63.68
11/07/2023,$64.39,431160,$64.36,$64.61,$63.92
11/06/2023,$64.44,717782,$63.80,$64.53,$63.51
11/03/2023,$64.07,668217,$63.62,$64.34,$63.36
11/02/2023,$63.26,649238,$62.77,$63.58,$62.70
11/01/2023,$62.56,548347,$61.92,$62.88,$61.57
10/31/2023,$62.56,847392,$61.08,$62.76,$61.08
10/30/2023,$60.63,1009480,$61.11,$61.1814,$59.57
10/27/2023,$60.85,1453814,$62.94,$62.94,$57.55
10/26/2023,$61.23,759394,$61.91,$62.56,$61.12
10/25/2023,$62.03,690298,$62.16,$62.995,$61.68
10/24/2023,$62.50,639166,$61.45,$63.00,$61.21
10/23/2023,$62.35,798399,$62.98,$63.64,$62.12
10/20/2023,$63.04,662902,$63.32,$63.72,$62.77
10/19/2023,$63.36,480703,$64.30,$64.41,$62.98
10/18/2023,$64.27,641722,$64.59,$65.42,$64.08
10/17/2023,$64.74,586190,$63.52,$65.3599,$63.39
10/16/2023,$63.77,450438,$63.88,$64.535,$63.5619
10/13/2023,$63.47,502588,$62.60,$63.855,$62.60
10/12/2023,$62.59,1089300,$64.48,$64.51,$61.85
10/11/2023,$64.25,798173,$65.63,$65.63,$64.10
10/10/2023,$65.86,576236,$65.44,$65.89,$65.27
10/09/2023,$65.51,673948,$64.95,$65.62,$64.38
10/06/2023,$65.04,734689,$65.68,$66.07,$65.01
10/05/2023,$66.03,826666,$66.38,$67.245,$65.99
10/04/2023,$66.35,493114,$65.90,$66.385,$65.40
10/03/2023,$65.91,752910,$66.63,$66.89,$65.82
10/02/2023,$66.65,551176,$66.89,$66.98,$66.21
09/29/2023,$67.16,597851,$67.65,$67.835,$66.90
09/28/2023,$67.57,601047,$67.56,$68.01,$66.88
09/27/2023,$67.11,890589,$67.55,$68.12,$66.235
09/26/2023,$67.77,770377,$69.88,$71.00,$67.59
09/25/2023,$70.06,505617,$70.25,$70.995,$69.96
09/22/2023,$70.37,492123,$70.20,$70.93,$70.085
09/21/2023,$70.22,508604,$69.69,$70.355,$69.26
