Date,Close/Last,Volume,Open,High,Low
01/05/2024,$69.04,831863,$69.10,$69.94,$68.665
01/04/2024,$69.56,918497,$69.20,$70.58,$68.90
01/03/2024,$69.34,1156650,$70.48,$70.76,$69.29
01/02/2024,$71.13,711732,$70.33,$71.375,$70.135
12/29/2023,$70.54,757672,$71.20,$71.405,$70.49
12/28/2023,$71.62,783868,$70.94,$71.73,$70.94
12/27/2023,$71.42,868246,$70.99,$71.7025,$70.77
12/26/2023,$70.96,708160,$70.92,$71.39,$70.89
12/22/2023,$71.13,1021159,$71.45,$71.86,$71.07
12/21/2023,$71.01,966843,$70.78,$71.06,$69.94
12/20/2023,$70.31,1255087,$71.95,$72.30,$70.18
12/19/2023,$71.94,701701,$72.41,$72.84,$71.85
12/18/2023,$72.12,938093,$72.24,$72.72,$71.74
12/15/2023,$71.90,3144071,$72.25,$72.4675,$70.74
12/14/2023,$72.72,1492151,$73.66,$74.04,$72.03
12/13/2023,$72.52,1367389,$70.72,$72.77,$70.51
12/12/2023,$70.85,741761,$71.15,$71.58,$70.61
12/11/2023,$71.04,593660,$70.57,$71.255,$70.435
12/08/2023,$70.81,811564,$70.64,$70.92,$70.355
12/07/2023,$71.00,938205,$71.40,$71.64,$70.77
12/06/2023,$71.52,864053,$71.98,$72.405,$71.31
12/05/2023,$71.72,893496,$72.04,$72.04,$71.19
12/04/2023,$72.23,1148247,$71.60,$72.30,$71.14
12/01/2023,$71.87,1487248,$71.03,$71.94,$70.65
11/30/2023,$71.10,1061214,$70.05,$71.12,$69.88
11/29/2023,$70.09,832632,$70.57,$71.18,$70.03
11/28/2023,$70.07,1262009,$70.18,$70.65,$69.88
11/27/2023,$70.59,887094,$70.17,$71.09,$70.01
11/24/2023,$70.09,272168,$69.53,$70.2999,$69.47
11/22/2023,$69.73,531786,$70.33,$70.59,$69.62
11/21/2023,$69.46,663166,$69.43,$69.61,$68.90
11/20/2023,$69.52,613082,$69.24,$69.755,$68.88
11/17/2023,$69.54,934165,$70.51,$70.60,$69.33
11/16/2023,$69.95,1419650,$69.79,$70.46,$69.29
11/15/2023,$69.38,1150198,$68.84,$69.84,$68.84
11/14/2023,$69.00,1267590,$67.33,$69.44,$67.04
11/13/2023,$65.46,733397,$65.39,$65.80,$65.01
11/10/2023,$65.66,1116874,$65.52,$65.76,$64.86
11/09/2023,$64.99,860230,$66.14,$66.14,$64.61
11/08/2023,$65.86,926851,$65.87,$66.13,$65.20
11/07/2023,$65.68,1326780,$66.46,$66.6499,$65.20
11/06/2023,$66.35,1566252,$67.60,$67.715,$65.48
11/03/2023,$67.87,1954201,$67.69,$68.675,$67.50
11/02/2023,$66.76,2045387,$66.91,$67.42,$66.53
11/01/2023,$65.99,1749067,$65.75,$66.15,$65.13
10/31/2023,$65.80,1494313,$66.00,$66.48,$65.58
10/30/2023,$65.71,1068087,$64.93,$65.94,$64.035
10/27/2023,$64.34,1719839,$66.53,$66.53,$64.13
10/26/2023,$66.29,1824037,$64.68,$66.41,$64.54
10/25/2023,$64.43,1151247,$64.67,$65.14,$64.195
10/24/2023,$65.09,1951570,$64.86,$65.44,$64.45
10/23/2023,$64.70,1301331,$63.55,$65.625,$63.55
10/20/2023,$64.83,1670576,$65.82,$66.23,$64.81
10/19/2023,$65.60,2090601,$67.35,$67.84,$65.51
10/18/2023,$67.98,1668642,$67.70,$68.35,$66.40
10/17/2023,$68.01,2903963,$64.07,$68.815,$63.29
10/16/2023,$65.21,1650390,$64.87,$65.33,$64.26
10/13/2023,$64.58,1341129,$64.58,$64.80,$63.955
10/12/2023,$64.30,1050987,$64.92,$65.40,$64.00
10/11/2023,$65.38,1669406,$64.63,$65.66,$64.41
10/10/2023,$64.18,1347316,$63.72,$64.89,$63.33
10/09/2023,$64.03,1275252,$63.17,$64.09,$63.08
10/06/2023,$63.72,1610410,$63.45,$64.545,$63.01
10/05/2023,$64.00,2068792,$63.16,$64.445,$63.16
10/04/2023,$63.46,1736854,$62.05,$63.54,$61.83
10/03/2023,$61.58,1271359,$61.86,$62.24,$61.24
10/02/2023,$62.36,1252572,$63.37,$63.60,$60.47
09/29/2023,$63.71,1380216,$64.45,$64.92,$63.02
09/28/2023,$63.53,1691133,$63.65,$63.83,$63.06
09/27/2023,$63.81,1558439,$65.68,$65.79,$63.53
