Date,Close/Last,Volume,Open,High,Low
10/20/2023,$91.47,5700833,$92.87,$93.23,$91.33
10/19/2023,$93.14,2678805,$93.81,$95.11,$93.10
10/18/2023,$93.70,2503443,$95.20,$95.20,$93.64
10/17/2023,$95.97,2196537,$96.155,$96.96,$95.79
10/16/2023,$96.35,2670695,$96.18,$97.19,$96.02
10/13/2023,$94.76,2148964,$96.39,$96.80,$94.49
10/12/2023,$96.05,1853157,$97.50,$97.50,$95.375
10/11/2023,$97.09,2231340,$96.39,$97.22,$96.065
10/10/2023,$96.37,2688347,$96.00,$97.23,$95.755
10/09/2023,$95.87,2581145,$95.04,$95.99,$94.77
10/06/2023,$95.04,2154736,$93.39,$95.92,$93.26
10/05/2023,$93.59,2758386,$94.30,$94.67,$93.34
10/04/2023,$94.66,3361362,$94.75,$95.25,$93.89
10/03/2023,$94.85,2743179,$95.25,$95.85,$94.03
10/02/2023,$95.71,2600619,$96.36,$96.88,$95.05
09/29/2023,$96.57,2041477,$97.79,$97.93,$96.445
09/28/2023,$97.01,1861447,$97.02,$97.64,$96.60
09/27/2023,$96.86,2323152,$96.43,$97.25,$95.57
09/26/2023,$95.60,2496840,$97.98,$97.98,$95.59
09/25/2023,$98.10,1869202,$96.80,$98.14,$96.40
09/22/2023,$97.10,2448719,$96.52,$97.64,$96.33
09/21/2023,$96.49,2181290,$97.79,$97.84,$96.44
09/20/2023,$98.01,1646275,$99.04,$99.67,$97.89
09/19/2023,$98.82,1891736,$99.99,$100.01,$98.14
09/18/2023,$99.61,2163159,$98.87,$100.38,$98.78
09/15/2023,$98.86,7287061,$98.20,$99.69,$97.895
09/14/2023,$98.60,2637021,$98.40,$99.06,$98.04
09/13/2023,$97.68,2497053,$99.66,$99.94,$97.42
09/12/2023,$99.92,2447928,$100.14,$100.62,$99.79
09/11/2023,$100.12,3921459,$99.01,$100.56,$98.91
09/08/2023,$98.95,1952228,$99.03,$99.65,$98.59
09/07/2023,$99.40,3304194,$98.52,$99.61,$98.1862
09/06/2023,$98.67,2406288,$97.73,$98.9499,$97.51
09/05/2023,$97.88,2897805,$98.77,$99.00,$97.66
09/01/2023,$98.92,1762343,$98.35,$99.39,$98.35
08/31/2023,$98.25,2604483,$98.54,$99.15,$98.01
08/30/2023,$98.29,3229705,$98.79,$99.10,$97.64
08/29/2023,$98.65,2235322,$98.12,$98.79,$97.895
08/28/2023,$98.12,2228878,$98.39,$98.82,$97.94
08/25/2023,$97.64,4124896,$96.21,$98.38,$96.21
08/24/2023,$95.75,2030508,$96.43,$97.285,$95.705
08/23/2023,$96.63,1975756,$96.19,$96.92,$95.81
08/22/2023,$96.08,2339336,$96.40,$97.27,$95.50
08/21/2023,$95.06,1842859,$95.79,$95.91,$94.135
08/18/2023,$95.79,1978814,$95.05,$96.26,$95.00
08/17/2023,$95.73,2561009,$96.85,$97.31,$95.70
08/16/2023,$96.01,2493933,$95.38,$96.68,$95.38
08/15/2023,$95.47,2026515,$95.37,$95.80,$95.25
08/14/2023,$95.90,2232746,$95.49,$95.99,$95.31
08/11/2023,$95.74,1338910,$95.63,$96.21,$95.265
08/10/2023,$95.51,1614572,$95.46,$96.45,$95.12
08/09/2023,$96.04,2246813,$96.74,$97.40,$95.97
08/08/2023,$96.50,2099551,$96.35,$96.73,$95.32
08/07/2023,$97.22,2459386,$96.31,$97.40,$96.15
08/04/2023,$95.55,3560587,$96.77,$97.69,$95.42
08/03/2023,$95.89,4754052,$96.11,$97.30,$95.46
08/02/2023,$95.14,7346451,$98.54,$98.54,$94.41
08/01/2023,$91.63,3131334,$90.75,$91.855,$90.41
07/31/2023,$91.35,3971789,$91.43,$91.7597,$90.79
07/28/2023,$90.97,2807651,$92.53,$92.65,$90.58
07/27/2023,$91.84,1869979,$92.64,$92.94,$91.5687
07/26/2023,$92.39,1789558,$91.77,$92.64,$91.69
07/25/2023,$92.59,1844875,$91.77,$92.729,$91.77
07/24/2023,$92.24,2205374,$91.60,$92.57,$91.57
07/21/2023,$91.23,1643561,$91.82,$92.05,$91.165
07/20/2023,$91.89,1844373,$92.27,$92.75,$91.80
07/19/2023,$91.67,1958447,$91.32,$91.92,$90.51
07/18/2023,$91.80,1841145,$91.09,$91.98,$90.86
07/17/2023,$91.32,1886840,$91.83,$92.04,$90.975
07/14/2023,$92.09,1738414,$92.29,$92.306,$91.33
07/13/2023,$92.32,1888814,$92.30,$92.65,$91.90
07/12/2023,$92.12,2871498,$92.64,$93.04,$91.635
07/11/2023,$91.80,3559192,$89.90,$91.95,$89.90
07/10/2023,$89.43,3332624,$89.02,$90.02,$88.98
07/07/2023,$88.94,1816508,$87.83,$89.56,$87.81
07/06/2023,$88.24,2199033,$88.66,$88.88,$87.47
07/05/2023,$89.41,1801574,$90.00,$90.50,$89.41
07/03/2023,$90.76,1217239,$90.04,$91.06,$89.61
06/30/2023,$90.39,2491149,$89.59,$90.73,$89.455
06/29/2023,$89.22,2661972,$89.50,$89.78,$88.73
06/28/2023,$89.35,3453921,$89.66,$89.94,$88.97
06/27/2023,$89.63,2571736,$88.50,$89.99,$88.36
06/26/2023,$88.31,2423485,$87.22,$88.44,$86.88
