Date,Close/Last,Volume,Open,High,Low
01/05/2024,$36.70,2642712,$36.66,$36.98,$36.52
01/04/2024,$36.50,5765189,$36.65,$36.89,$36.465
01/03/2024,$36.47,3128548,$36.18,$36.59,$36.17
01/02/2024,$36.30,4183541,$36.03,$36.315,$35.95
12/29/2023,$36.02,3506558,$36.08,$36.13,$35.94
12/28/2023,$36.08,3418063,$36.24,$36.4799,$35.99
12/27/2023,$36.31,3133635,$36.25,$36.52,$36.16
12/26/2023,$36.32,2395026,$36.10,$36.4899,$36.045
12/22/2023,$36.32,3414457,$36.10,$36.4899,$36.045
12/21/2023,$35.81,4596997,$35.50,$35.8299,$35.48
12/20/2023,$35.35,5787887,$36.00,$36.11,$35.34
12/19/2023,$35.92,3457278,$35.59,$36.055,$35.57
12/18/2023,$35.51,3783927,$35.71,$35.78,$35.40
12/15/2023,$35.38,5660421,$35.46,$35.60,$35.22
12/14/2023,$35.56,7858290,$35.83,$35.995,$35.45
12/13/2023,$35.48,8110205,$34.76,$35.55,$34.61
12/12/2023,$34.68,3926775,$34.97,$35.12,$34.435
12/11/2023,$34.99,3911428,$34.95,$35.06,$34.83
12/08/2023,$34.92,3169319,$34.87,$34.9599,$34.74
12/07/2023,$34.80,2905056,$34.99,$34.99,$34.73
12/06/2023,$34.87,4025115,$35.14,$35.29,$34.86
12/05/2023,$35.09,4526317,$35.08,$35.29,$35.015
12/04/2023,$35.15,10479150,$34.96,$35.2999,$34.91
12/01/2023,$35.18,7287831,$34.87,$35.33,$34.87
11/30/2023,$34.87,4976567,$34.64,$34.96,$34.41
11/29/2023,$34.51,4881475,$34.35,$34.70,$34.35
11/28/2023,$34.15,4345570,$34.05,$34.375,$34.00
11/27/2023,$33.94,9124591,$34.07,$34.17,$33.855
11/24/2023,$34.23,1684592,$33.98,$34.34,$33.965
11/22/2023,$33.93,6390871,$33.61,$33.99,$33.505
11/21/2023,$33.86,5787680,$33.70,$33.96,$33.58
11/20/2023,$33.68,9946872,$33.70,$33.855,$33.59
11/17/2023,$33.68,7474282,$33.22,$33.81,$33.14
11/16/2023,$32.90,9590221,$33.28,$33.44,$32.76
11/15/2023,$33.40,4784433,$33.32,$33.71,$33.27
11/14/2023,$33.27,13770170,$33.65,$33.68,$33.1722
11/13/2023,$33.81,7615176,$33.40,$33.85,$33.30
11/10/2023,$33.40,3319745,$33.52,$33.64,$33.096
11/09/2023,$33.37,3174726,$33.71,$33.93,$33.36
11/08/2023,$33.56,3760876,$33.47,$33.83,$33.40
11/07/2023,$33.64,4131232,$33.56,$33.83,$33.455
11/06/2023,$33.85,4267155,$34.05,$34.11,$33.78
11/03/2023,$33.83,11494480,$33.90,$34.17,$33.595
11/02/2023,$33.51,6862946,$32.66,$33.66,$32.65
11/01/2023,$32.40,7240000,$32.18,$32.46,$31.94
10/31/2023,$32.04,4714703,$31.88,$32.1079,$31.68
10/30/2023,$31.86,4424026,$31.63,$31.98,$31.465
10/27/2023,$31.39,5452203,$32.16,$32.20,$31.31
10/26/2023,$32.00,4770430,$32.06,$32.2583,$31.88
10/25/2023,$32.26,6242051,$31.98,$32.38,$31.82
10/24/2023,$32.13,6477040,$32.29,$32.34,$31.95
10/23/2023,$32.12,9783534,$31.73,$32.255,$31.47
10/20/2023,$31.82,7050118,$32.01,$32.02,$31.64
10/19/2023,$32.09,8209468,$32.11,$32.38,$31.87
10/18/2023,$32.18,7221084,$32.55,$32.55,$31.94
10/17/2023,$32.59,7698034,$32.79,$33.015,$32.43
10/16/2023,$33.15,4061665,$32.91,$33.235,$32.68
10/13/2023,$32.73,4613259,$32.88,$32.90,$32.45
10/12/2023,$32.55,4227284,$32.95,$32.96,$32.202
10/11/2023,$32.81,2911352,$32.45,$32.86,$32.4001
10/10/2023,$32.42,5041412,$32.35,$32.4892,$32.055
10/09/2023,$32.37,3129692,$32.21,$32.48,$32.08
