Date,Close/Last,Volume,Open,High,Low
10/20/2023,$98.89,14475360,$99.56,$103.98,$97.27
10/19/2023,$115.90,6508447,$121.76,$122.67,$115.56
10/18/2023,$123.84,3434311,$128.00,$128.18,$122.89
10/17/2023,$129.24,3755201,$125.24,$132.16,$124.52
10/16/2023,$127.11,3111084,$121.30,$128.23,$121.01
10/13/2023,$123.81,2803926,$123.87,$125.7999,$121.88
10/12/2023,$124.58,3260138,$127.46,$127.81,$122.85
10/11/2023,$128.61,4132298,$127.36,$131.91,$126.20
10/10/2023,$125.75,5107846,$119.83,$127.915,$119.21
10/09/2023,$119.75,2908470,$117.30,$120.2283,$116.265
10/06/2023,$119.16,3385264,$113.98,$119.67,$112.50
10/05/2023,$116.01,3477543,$116.99,$117.75,$112.42
10/04/2023,$117.18,5025310,$114.76,$120.06,$112.90
10/03/2023,$114.22,4961417,$115.00,$116.13,$111.44
10/02/2023,$116.84,3253782,$119.20,$120.6599,$116.25
09/29/2023,$120.15,2704842,$121.70,$124.675,$118.93
09/28/2023,$120.02,3312820,$120.90,$121.78,$116.35
09/27/2023,$120.11,2943007,$120.12,$122.75,$118.3501
09/26/2023,$119.15,2457892,$119.74,$120.32,$117.59
09/25/2023,$121.10,2747811,$119.175,$123.74,$118.8001
09/22/2023,$119.92,4061231,$126.37,$126.50,$119.405
09/21/2023,$124.85,3685428,$124.215,$125.88,$122.17
09/20/2023,$123.97,4526451,$122.28,$127.4699,$121.05
09/19/2023,$122.09,5737672,$119.50,$124.19,$119.40
09/18/2023,$117.16,3600842,$119.15,$119.30,$116.86
09/15/2023,$120.30,3613346,$121.50,$122.79,$119.44
09/14/2023,$122.31,3454490,$121.25,$123.40,$119.89
09/13/2023,$119.60,3538608,$123.30,$123.68,$118.585
09/12/2023,$123.35,3162913,$120.42,$124.389,$119.46
09/11/2023,$122.19,3200369,$122.295,$124.14,$120.304
09/08/2023,$120.23,2866052,$122.11,$122.2899,$119.51
09/07/2023,$122.23,3411169,$121.00,$122.34,$118.14
09/06/2023,$123.03,2787661,$127.21,$127.685,$122.05
09/05/2023,$127.77,2383952,$127.30,$130.50,$127.06
09/01/2023,$128.73,2808743,$128.99,$132.3344,$127.98
