Date,Close/Last,Volume,Open,High,Low
01/05/2024,$30.54,434982,$30.43,$30.82,$30.31
01/04/2024,$30.61,629098,$30.43,$30.685,$30.07
01/03/2024,$30.58,541990,$31.73,$31.74,$30.49
01/02/2024,$31.86,528473,$31.49,$32.015,$31.45
12/29/2023,$31.68,351261,$31.92,$32.01,$31.61
12/28/2023,$31.95,309076,$31.90,$32.16,$31.78
12/27/2023,$31.97,305124,$32.23,$32.25,$31.86
12/26/2023,$32.22,431999,$32.25,$32.42,$31.951
12/22/2023,$32.16,388402,$31.72,$32.33,$31.515
12/21/2023,$31.77,286479,$31.91,$32.14,$31.40
12/20/2023,$31.52,473548,$32.01,$32.20,$31.46
12/19/2023,$32.22,478249,$32.47,$32.49,$31.99
12/18/2023,$32.07,467578,$31.91,$32.285,$31.645
12/15/2023,$31.75,1844674,$32.23,$32.30,$31.44
12/14/2023,$32.17,726547,$32.51,$32.795,$32.09
12/13/2023,$31.99,635143,$31.16,$32.14,$30.81
12/12/2023,$31.20,573166,$31.09,$31.25,$30.65
12/11/2023,$31.23,439430,$31.00,$31.23,$30.83
12/08/2023,$30.93,441312,$31.00,$31.205,$30.43
12/07/2023,$30.96,392971,$30.83,$30.98,$30.61
12/06/2023,$30.84,456628,$30.94,$31.32,$30.77
12/05/2023,$30.74,511113,$31.65,$31.80,$30.54
12/04/2023,$31.81,789463,$30.76,$31.89,$30.76
12/01/2023,$31.01,623753,$30.82,$31.18,$30.81
11/30/2023,$30.84,666693,$30.95,$31.05,$30.51
11/29/2023,$30.94,488472,$31.22,$31.44,$30.70
11/28/2023,$31.17,434132,$30.82,$31.47,$30.76
11/27/2023,$31.24,479617,$31.18,$31.37,$30.90
11/24/2023,$31.30,184961,$31.19,$31.55,$31.09
11/22/2023,$31.10,577184,$31.04,$31.32,$30.85
11/21/2023,$30.78,545194,$31.47,$31.47,$30.74
11/20/2023,$31.47,806214,$31.60,$31.925,$30.9625
11/17/2023,$32.18,1086223,$32.45,$32.62,$31.76
11/16/2023,$32.36,862180,$33.49,$33.65,$32.32
11/15/2023,$33.68,1398769,$33.94,$34.01,$32.45
11/14/2023,$36.12,1553528,$34.77,$36.725,$34.75
11/13/2023,$33.63,1443306,$33.97,$34.31,$33.39
11/10/2023,$33.98,553908,$34.14,$34.14,$33.47
11/09/2023,$33.89,532216,$34.03,$34.05,$33.47
11/08/2023,$33.80,702854,$34.02,$34.37,$33.77
11/07/2023,$33.96,606589,$33.54,$34.005,$33.4937
11/06/2023,$33.57,602972,$33.33,$33.625,$32.99
11/03/2023,$33.47,699275,$33.00,$33.90,$33.00
11/02/2023,$32.62,660715,$31.81,$32.645,$31.81
11/01/2023,$31.50,634240,$31.56,$31.838,$31.16
10/31/2023,$31.58,609487,$31.35,$31.86,$31.35
10/30/2023,$31.19,444919,$31.50,$31.70,$31.18
10/27/2023,$31.22,632571,$31.59,$31.78,$31.04
10/26/2023,$31.68,470496,$31.38,$31.92,$31.18
10/25/2023,$31.34,537518,$31.57,$31.82,$31.169
10/24/2023,$31.75,684689,$31.71,$32.12,$31.58
10/23/2023,$31.40,630189,$31.74,$32.22,$31.39
10/20/2023,$31.84,636418,$32.31,$32.475,$31.83
10/19/2023,$32.16,608695,$32.29,$32.71,$32.12
10/18/2023,$32.26,507616,$32.10,$32.475,$31.77
10/17/2023,$31.93,812343,$31.55,$32.36,$31.55
10/16/2023,$31.56,592867,$31.29,$31.77,$30.885
10/13/2023,$30.96,938080,$29.85,$31.03,$29.5802
10/12/2023,$29.58,761669,$30.30,$30.375,$29.55
10/11/2023,$30.40,563135,$30.31,$30.55,$30.08
10/10/2023,$30.25,639027,$29.49,$30.46,$29.40
10/09/2023,$29.31,576605,$28.78,$29.41,$28.57
10/06/2023,$28.96,939679,$28.72,$29.01,$27.68
10/05/2023,$28.80,1076719,$30.23,$30.30,$28.595
10/04/2023,$30.36,560290,$30.35,$30.535,$30.095
10/03/2023,$30.27,1124319,$31.24,$31.41,$30.18
10/02/2023,$31.23,816914,$31.96,$32.085,$31.20
09/29/2023,$32.04,759814,$32.32,$32.39,$31.76
09/28/2023,$32.29,597124,$31.76,$32.31,$31.76
09/27/2023,$31.76,635290,$32.37,$32.62,$31.67
09/26/2023,$32.37,534760,$32.64,$32.82,$32.36
09/25/2023,$32.71,461592,$32.55,$32.82,$32.49
09/22/2023,$32.77,447362,$33.47,$33.60,$32.75
09/21/2023,$33.40,733251,$34.00,$34.00,$33.18
09/20/2023,$34.04,473859,$34.33,$34.50,$33.97
09/19/2023,$34.17,835304,$33.68,$34.469,$33.68
09/18/2023,$33.74,600210,$34.37,$34.37,$33.53
09/15/2023,$34.26,12386460,$34.24,$34.73,$34.16
09/14/2023,$34.39,812417,$33.72,$34.43,$33.72
09/13/2023,$33.61,727193,$34.38,$34.4407,$33.56
09/12/2023,$34.30,585161,$34.78,$34.95,$34.24
09/11/2023,$34.83,726239,$35.50,$35.53,$34.81
09/08/2023,$35.08,743411,$35.47,$35.675,$35.08
09/07/2023,$35.32,833548,$35.54,$35.69,$35.08
09/06/2023,$35.48,665380,$35.30,$35.60,$34.87
09/05/2023,$35.37,1352419,$34.59,$35.94,$34.55
09/01/2023,$34.40,553856,$34.50,$34.75,$34.271
08/31/2023,$34.35,507960,$35.22,$35.31,$34.35
08/30/2023,$35.17,327751,$34.63,$35.199,$34.63
08/29/2023,$34.69,272971,$34.43,$34.72,$34.201
08/28/2023,$34.30,449736,$33.82,$34.36,$33.46
08/25/2023,$34.56,471430,$34.78,$35.02,$34.195
08/24/2023,$34.61,340519,$34.62,$35.10,$34.50
08/23/2023,$34.74,358316,$34.43,$34.77,$34.2768
08/22/2023,$34.25,485657,$34.01,$34.29,$33.7613
08/21/2023,$33.99,475895,$34.26,$34.37,$33.88
08/18/2023,$34.63,517027,$34.48,$34.87,$34.405
08/17/2023,$34.47,474762,$34.84,$34.91,$34.35
08/16/2023,$34.74,581137,$34.43,$35.38,$34.43
08/15/2023,$34.35,354378,$34.64,$34.64,$34.09
08/14/2023,$34.73,335351,$34.59,$34.86,$34.43
08/11/2023,$34.84,482170,$34.29,$34.84,$34.19
08/10/2023,$34.10,590677,$35.07,$35.12,$33.95
08/09/2023,$35.06,879636,$32.70,$35.12,$32.47
08/08/2023,$32.82,1923635,$31.75,$32.82,$30.52
08/07/2023,$36.13,587257,$36.39,$36.68,$35.63
08/04/2023,$36.10,549240,$36.99,$37.18,$35.93
08/03/2023,$37.02,675066,$36.51,$37.32,$36.48
08/02/2023,$36.47,646770,$35.49,$36.65,$35.49
08/01/2023,$35.75,513457,$35.36,$35.96,$35.25
07/31/2023,$35.70,401687,$36.06,$36.07,$35.65
07/28/2023,$36.01,876600,$35.36,$36.11,$35.28
07/27/2023,$35.15,453292,$35.34,$35.36,$35.016
07/26/2023,$35.23,337082,$34.92,$35.36,$34.92
07/25/2023,$35.04,700384,$34.30,$35.21,$34.03
07/24/2023,$34.24,418276,$33.73,$34.25,$33.22
07/21/2023,$33.80,473080,$33.85,$34.29,$33.6319
07/20/2023,$33.61,296573,$33.88,$33.89,$33.31
07/19/2023,$33.83,671616,$33.46,$34.00,$33.395
07/18/2023,$33.46,378059,$33.43,$34.075,$33.29
07/17/2023,$33.47,272564,$33.73,$34.01,$33.345
07/14/2023,$33.74,327265,$33.99,$33.99,$33.45
07/13/2023,$34.12,319516,$33.77,$34.175,$33.75
07/12/2023,$33.66,413640,$33.60,$33.80,$33.50
07/11/2023,$33.27,380804,$33.17,$33.56,$32.92
07/10/2023,$32.95,496815,$32.85,$33.65,$32.82
07/07/2023,$33.01,389847,$32.70,$33.20,$32.6914
07/06/2023,$32.78,312427,$32.93,$33.0707,$32.35
07/05/2023,$33.23,402391,$33.78,$33.78,$33.13
07/03/2023,$34.08,187976,$33.44,$34.08,$33.2604
06/30/2023,$33.58,305124,$33.64,$33.775,$33.47
06/29/2023,$33.38,326135,$33.01,$33.78,$32.81
06/28/2023,$32.97,264213,$32.71,$33.01,$32.44
06/27/2023,$32.91,313784,$32.37,$33.08,$32.37
06/26/2023,$32.45,393336,$31.91,$32.715,$31.91
06/23/2023,$32.12,687397,$33.04,$33.185,$32.05
06/22/2023,$33.35,316304,$33.64,$33.67,$33.215
06/21/2023,$33.46,460087,$32.97,$33.53,$32.6801
06/20/2023,$32.97,364049,$33.95,$34.00,$32.95
06/16/2023,$33.98,964677,$34.16,$34.16,$33.60
06/15/2023,$33.83,488327,$33.35,$33.83,$33.02
06/14/2023,$33.29,439590,$33.61,$33.99,$33.095
06/13/2023,$33.45,503117,$33.12,$33.63,$32.99
06/12/2023,$33.22,357497,$33.29,$33.49,$33.03
06/09/2023,$33.13,387031,$33.52,$33.565,$32.95
06/08/2023,$33.67,298636,$33.40,$33.77,$33.24
06/07/2023,$33.38,515763,$33.06,$33.49,$32.76
06/06/2023,$33.03,552012,$32.95,$33.27,$32.64
06/05/2023,$33.11,391115,$32.98,$33.72,$32.905
06/02/2023,$34.17,390218,$33.54,$34.27,$33.52
06/01/2023,$33.35,500746,$32.81,$33.375,$32.605
05/31/2023,$32.60,699040,$33.18,$33.60,$32.48
05/30/2023,$33.16,450802,$34.01,$34.10,$33.14
05/26/2023,$34.17,278686,$33.70,$34.27,$33.70
05/25/2023,$33.76,372373,$33.74,$33.96,$33.40
05/24/2023,$34.06,414985,$34.25,$34.31,$33.87
05/23/2023,$34.51,393662,$34.67,$35.28,$34.51
05/22/2023,$34.70,462401,$34.75,$34.80,$34.26
