Date,Close/Last,Volume,Open,High,Low
10/23/2023,$95.66,276887,$95.69,$96.44,$95.15
10/20/2023,$96.11,280197,$96.62,$97.52,$95.95
10/19/2023,$96.44,242053,$97.73,$98.06,$96.00
10/18/2023,$97.81,215058,$97.81,$99.55,$97.07
10/17/2023,$97.68,312305,$96.16,$98.90,$96.03
10/16/2023,$96.26,212034,$95.62,$97.50,$95.62
10/13/2023,$95.64,298427,$95.04,$96.21,$94.75
10/12/2023,$94.52,376065,$97.16,$97.49,$94.42
10/11/2023,$96.90,293807,$97.55,$97.74,$95.445
10/10/2023,$96.93,332560,$94.31,$97.00,$93.80
10/09/2023,$94.30,129852,$92.90,$94.63,$91.61
10/06/2023,$93.00,280256,$91.93,$93.50,$90.7801
10/05/2023,$91.95,206851,$91.06,$92.14,$90.82
10/04/2023,$91.38,237230,$90.81,$91.69,$90.00
10/03/2023,$90.62,177987,$91.26,$92.1886,$90.53
10/02/2023,$92.04,285051,$92.50,$92.58,$90.97
09/29/2023,$92.93,416814,$94.11,$94.47,$92.50
09/28/2023,$93.97,280644,$92.81,$94.31,$92.81
09/27/2023,$92.59,182514,$92.78,$93.50,$91.36
09/26/2023,$92.74,206587,$93.82,$94.37,$92.68
09/25/2023,$94.11,158254,$92.92,$94.20,$92.92
09/22/2023,$93.60,176348,$93.21,$93.95,$92.89
09/21/2023,$93.45,206590,$94.03,$94.40,$93.20
09/20/2023,$94.21,133400,$93.20,$94.47,$93.20
09/19/2023,$93.08,164827,$93.91,$94.20,$92.40
09/18/2023,$93.81,192242,$92.83,$93.95,$92.6901
09/15/2023,$92.98,977293,$93.00,$93.95,$91.68
09/14/2023,$93.28,371495,$94.24,$94.95,$92.92
09/13/2023,$93.81,415197,$93.62,$94.075,$91.44
09/12/2023,$93.67,219234,$94.23,$94.89,$93.47
09/11/2023,$94.43,239542,$96.01,$96.10,$94.32
09/08/2023,$96.01,234329,$96.40,$96.40,$94.86
09/07/2023,$96.18,164786,$95.00,$96.54,$95.00
09/06/2023,$95.41,197528,$95.90,$96.585,$94.67
09/05/2023,$95.57,433023,$99.20,$99.56,$94.11
09/01/2023,$99.13,539544,$100.46,$102.00,$98.82
08/31/2023,$100.22,541484,$101.90,$104.04,$99.95
08/30/2023,$101.77,401709,$97.78,$102.21,$97.78
08/29/2023,$98.14,159990,$97.84,$98.30,$96.865
08/28/2023,$98.10,173775,$98.09,$99.27,$97.83
08/25/2023,$98.15,109213,$97.43,$98.16,$96.815
08/24/2023,$97.32,194117,$97.31,$98.32,$97.235
08/23/2023,$97.56,141868,$97.51,$98.195,$97.275
08/22/2023,$97.10,136136,$96.42,$97.60,$96.42
08/21/2023,$96.54,191768,$96.79,$97.33,$95.38
08/18/2023,$96.99,184316,$96.19,$97.515,$96.18
08/17/2023,$96.37,291014,$97.96,$98.50,$96.07
08/16/2023,$98.00,304403,$97.95,$98.77,$97.59
08/15/2023,$97.91,179124,$98.02,$98.505,$96.70
08/14/2023,$98.30,142597,$97.60,$98.805,$97.4701
08/11/2023,$98.10,113966,$97.50,$98.24,$97.22
08/10/2023,$97.72,181771,$97.74,$98.095,$97.275
08/09/2023,$97.22,187390,$97.14,$97.35,$95.91
08/08/2023,$96.97,175983,$96.41,$97.19,$95.985
08/07/2023,$97.02,233004,$97.27,$97.94,$96.54
08/04/2023,$96.94,412305,$98.60,$98.60,$96.3701
08/03/2023,$98.50,345517,$96.92,$98.78,$96.49
08/02/2023,$97.00,371856,$93.98,$97.10,$93.98
08/01/2023,$94.70,292150,$96.00,$97.82,$93.16
07/31/2023,$96.87,577838,$93.11,$97.00,$92.64
07/28/2023,$93.05,490756,$91.90,$94.15,$90.79
07/27/2023,$90.39,443181,$91.00,$91.85,$89.79
07/26/2023,$91.75,197667,$93.21,$93.83,$91.585
07/25/2023,$93.35,207723,$92.08,$93.38,$91.38
07/24/2023,$92.60,190580,$93.53,$93.57,$91.89
07/21/2023,$93.38,313999,$93.10,$95.039,$92.82
07/20/2023,$92.75,326546,$92.68,$93.82,$92.18
07/19/2023,$92.30,384501,$90.05,$92.64,$90.05
07/18/2023,$89.76,189484,$90.16,$91.30,$89.44
07/17/2023,$89.94,220578,$91.01,$91.5652,$89.93
07/14/2023,$91.20,160061,$89.90,$91.29,$89.6589
07/13/2023,$89.84,245415,$89.63,$90.27,$89.47
07/12/2023,$89.51,299368,$90.12,$90.125,$88.93
07/11/2023,$89.68,249201,$89.11,$89.84,$88.79
07/10/2023,$89.30,327626,$89.03,$90.49,$88.93
07/07/2023,$89.03,320763,$90.63,$91.024,$89.01
07/06/2023,$90.63,393519,$90.92,$91.57,$89.44
07/05/2023,$91.79,398107,$93.58,$93.66,$91.33
07/03/2023,$93.89,92471,$95.01,$95.34,$93.35
06/30/2023,$95.46,205410,$95.55,$96.20,$95.42
06/29/2023,$95.35,248061,$93.97,$96.10,$93.47
06/28/2023,$94.04,146521,$93.27,$94.08,$92.745
06/27/2023,$93.40,157623,$91.72,$94.195,$91.72
06/26/2023,$91.90,181810,$91.11,$92.59,$90.76
06/23/2023,$90.91,445070,$92.10,$92.72,$90.26
06/22/2023,$92.59,211802,$93.56,$93.56,$92.37
06/21/2023,$93.52,255856,$94.21,$94.21,$92.64
06/20/2023,$94.38,270461,$94.34,$94.60,$93.72
06/16/2023,$94.55,864188,$95.74,$95.74,$93.39
06/15/2023,$94.60,254186,$92.87,$94.70,$91.59
06/14/2023,$92.67,289208,$93.26,$93.855,$91.87
06/13/2023,$93.13,208735,$93.32,$94.32,$92.92
06/12/2023,$93.43,178406,$92.66,$93.72,$92.20
06/09/2023,$92.86,112624,$92.86,$93.43,$92.50
06/08/2023,$93.15,163393,$93.78,$93.80,$92.06
06/07/2023,$94.12,301574,$93.58,$95.17,$92.55
06/06/2023,$93.38,297330,$91.81,$93.60,$91.12
06/05/2023,$91.55,251741,$91.14,$92.459,$90.86
06/02/2023,$91.61,252813,$89.46,$91.925,$89.46
06/01/2023,$88.47,216159,$88.41,$89.1776,$87.1379
05/31/2023,$88.61,526639,$88.08,$89.45,$87.20
05/30/2023,$88.05,200458,$88.41,$89.559,$87.60
05/26/2023,$88.57,245991,$88.70,$89.44,$88.12
05/25/2023,$88.91,265534,$91.25,$91.425,$88.40
05/24/2023,$91.82,371988,$91.52,$92.14,$90.74
05/23/2023,$91.73,258751,$91.86,$91.87,$90.635
05/22/2023,$91.96,147403,$91.85,$92.99,$91.35
05/19/2023,$91.86,303812,$91.62,$92.275,$90.67
05/18/2023,$90.85,256755,$90.99,$91.26,$89.75
05/17/2023,$91.29,256111,$91.75,$91.75,$89.60
05/16/2023,$91.25,169209,$91.50,$92.39,$90.84
05/15/2023,$92.03,167952,$91.33,$92.13,$90.75
05/12/2023,$91.88,111715,$92.89,$93.305,$91.4789
05/11/2023,$92.56,208933,$92.20,$92.59,$91.00
05/10/2023,$92.46,164278,$92.27,$92.945,$91.40
05/09/2023,$91.81,275532,$92.61,$92.88,$91.81
05/08/2023,$92.64,246904,$92.50,$93.07,$91.03
05/05/2023,$92.48,340402,$93.25,$94.27,$92.39
05/04/2023,$92.39,440808,$93.25,$94.8525,$90.32
05/03/2023,$93.73,468450,$95.65,$96.5461,$93.39
05/02/2023,$95.05,313157,$96.59,$96.62,$93.98
05/01/2023,$97.25,263785,$97.32,$98.75,$96.83
04/28/2023,$97.09,494405,$95.79,$97.46,$94.92
04/27/2023,$96.13,578398,$98.26,$99.55,$95.76
04/26/2023,$99.71,515267,$101.02,$101.83,$99.63
04/25/2023,$101.89,487358,$99.63,$102.26,$99.38
04/24/2023,$99.96,228887,$98.87,$100.06,$98.7608
04/21/2023,$99.02,185241,$98.65,$99.7284,$98.075
04/20/2023,$98.41,184123,$98.05,$98.42,$97.10
04/19/2023,$98.33,180633,$98.29,$98.67,$97.535
04/18/2023,$98.13,184773,$98.59,$98.96,$97.37
04/17/2023,$98.31,274943,$98.37,$98.58,$97.57
04/14/2023,$98.47,217020,$98.40,$98.86,$97.62
04/13/2023,$98.40,282320,$98.74,$98.87,$97.78
04/12/2023,$98.16,343711,$99.51,$100.2996,$98.02
04/11/2023,$99.12,500611,$98.62,$100.29,$98.5634
04/10/2023,$98.41,322902,$96.92,$99.07,$96.86
04/06/2023,$97.23,200329,$97.85,$98.095,$96.705
04/05/2023,$97.30,338857,$94.88,$97.47,$94.46
04/04/2023,$94.83,344839,$95.27,$96.01,$94.39
04/03/2023,$95.16,802809,$95.57,$97.75,$94.76
03/31/2023,$95.54,592730,$93.62,$95.615,$93.27
03/30/2023,$93.01,449859,$92.01,$93.23,$91.565
03/29/2023,$91.59,438396,$92.44,$92.74,$90.44
03/28/2023,$91.91,176942,$91.23,$92.01,$90.63
03/27/2023,$91.57,140793,$91.35,$92.32,$90.805
03/24/2023,$90.69,242927,$87.45,$90.76,$87.35
03/23/2023,$87.83,179287,$89.18,$90.01,$87.55
03/22/2023,$89.32,273609,$91.46,$91.755,$89.18
03/21/2023,$91.76,282595,$91.94,$92.84,$91.05
03/20/2023,$91.60,337676,$90.70,$91.89,$90.70
03/17/2023,$90.28,728113,$89.31,$91.45,$88.78
03/16/2023,$89.65,215993,$87.37,$90.22,$87.37
03/15/2023,$88.24,252869,$87.99,$88.61,$86.67
03/14/2023,$89.35,256991,$88.13,$89.495,$87.765
03/13/2023,$86.76,202464,$86.72,$88.72,$85.4955
03/10/2023,$87.59,243826,$88.70,$89.71,$87.13
03/09/2023,$88.86,203176,$89.11,$89.22,$88.185
03/08/2023,$88.65,254085,$88.16,$88.75,$87.68
03/07/2023,$88.18,298443,$90.13,$90.13,$88.01
03/06/2023,$90.27,379275,$90.99,$90.99,$89.47
03/03/2023,$91.45,300192,$91.05,$91.59,$90.44
03/02/2023,$90.82,204798,$90.49,$90.83,$90.07
03/01/2023,$90.48,236612,$89.00,$90.62,$89.00
02/28/2023,$89.48,466415,$90.64,$90.89,$89.395
02/27/2023,$90.63,274375,$90.03,$90.93,$89.955
02/24/2023,$89.83,219361,$89.40,$90.49,$88.49
02/23/2023,$89.73,235540,$90.45,$91.675,$87.93
02/22/2023,$90.48,221204,$91.02,$91.93,$90.2287
02/21/2023,$90.645,174400,$90.42,$91.19,$89.76
02/17/2023,$91.32,292883,$92.84,$93.61,$91.27
02/16/2023,$92.54,302348,$90.89,$93.30,$90.39
02/15/2023,$91.28,200686,$89.44,$91.55,$88.87
02/14/2023,$90.09,156100,$91.00,$91.50,$89.49
02/13/2023,$91.20,167542,$90.54,$92.085,$90.54
02/10/2023,$90.47,223196,$89.08,$90.97,$88.77
02/09/2023,$89.00,186909,$90.20,$90.50,$88.93
02/08/2023,$89.82,230459,$89.50,$90.00,$88.615
02/07/2023,$89.86,224653,$90.26,$90.26,$88.56
02/06/2023,$90.36,278895,$92.50,$93.05,$89.82
02/03/2023,$92.40,397712,$95.08,$95.98,$91.81
02/02/2023,$93.98,388732,$93.86,$94.21,$92.88
02/01/2023,$93.99,272208,$93.34,$94.51,$92.10
01/31/2023,$93.25,269209,$92.61,$93.25,$91.365
01/30/2023,$91.70,237543,$91.28,$91.95,$90.70
01/27/2023,$91.38,265469,$91.74,$91.89,$90.31
01/26/2023,$92.07,169423,$92.40,$92.80,$91.46
01/25/2023,$91.80,193204,$90.75,$91.82,$90.1799
01/24/2023,$91.12,206014,$93.18,$93.18,$91.0014
01/23/2023,$93.12,256312,$93.41,$94.46,$92.07
01/20/2023,$93.16,318385,$94.11,$94.51,$92.235
01/19/2023,$93.66,195390,$94.14,$94.932,$93.42
01/18/2023,$93.67,260562,$94.73,$95.23,$92.69
01/17/2023,$94.63,268324,$98.29,$98.29,$93.64
01/13/2023,$98.53,207117,$97.50,$99.52,$97.50
01/12/2023,$97.75,196592,$96.00,$97.85,$95.17
01/11/2023,$95.73,244511,$94.11,$95.92,$93.83
01/10/2023,$94.19,245854,$94.69,$95.00,$93.32
01/09/2023,$94.64,236702,$96.00,$96.49,$94.58
01/06/2023,$96.08,256105,$95.43,$98.10,$94.59
01/05/2023,$94.19,247223,$95.88,$95.88,$94.19
01/04/2023,$95.88,245352,$94.51,$96.295,$94.37
01/03/2023,$94.51,229011,$95.23,$95.69,$93.32
12/30/2022,$94.61,182136,$95.27,$95.49,$93.64
12/29/2022,$95.43,159461,$93.84,$95.65,$93.422
12/28/2022,$93.41,122776,$95.55,$95.905,$93.25
12/27/2022,$95.26,134538,$95.05,$96.205,$94.42
12/23/2022,$95.04,150739,$94.47,$95.21,$93.73
12/22/2022,$94.47,204119,$96.52,$96.72,$93.84
12/21/2022,$96.79,194346,$96.18,$97.42,$96.115
12/20/2022,$95.32,228705,$95.54,$96.30,$94.92
12/19/2022,$95.25,258043,$95.20,$96.12,$94.47
12/16/2022,$95.67,1251797,$93.52,$95.80,$93.43
12/15/2022,$95.12,495074,$94.44,$95.79,$93.29
12/14/2022,$95.44,309459,$93.68,$96.68,$93.68
12/13/2022,$93.18,242438,$94.25,$94.93,$92.97
12/12/2022,$92.94,195847,$91.09,$94.27,$90.32
12/09/2022,$90.87,221688,$92.82,$93.53,$90.87
12/08/2022,$93.61,176398,$91.96,$93.885,$91.85
12/07/2022,$92.10,167292,$91.89,$92.915,$91.60
12/06/2022,$91.53,174766,$92.03,$92.33,$90.38
12/05/2022,$91.70,237376,$93.83,$93.83,$91.07
12/02/2022,$94.28,200268,$94.09,$95.31,$90.60
12/01/2022,$94.35,192045,$95.78,$96.51,$94.18
11/30/2022,$95.00,277859,$92.92,$95.06,$91.92
11/29/2022,$93.23,122365,$92.78,$93.88,$92.475
11/28/2022,$92.71,152843,$93.55,$94.335,$92.09
11/25/2022,$94.12,68868,$93.40,$94.31,$93.2842
11/23/2022,$92.93,171545,$94.56,$94.82,$92.22
11/22/2022,$94.24,200726,$94.08,$94.745,$93.17
11/21/2022,$93.38,196102,$92.90,$93.88,$92.21
11/18/2022,$92.50,207028,$93.08,$94.4499,$91.76
11/17/2022,$91.76,119738,$90.73,$91.925,$89.65
11/16/2022,$91.32,173636,$91.91,$92.45,$90.395
11/15/2022,$91.90,161106,$92.53,$93.92,$91.13
11/14/2022,$91.85,181175,$91.49,$93.51,$90.765
11/11/2022,$92.32,273947,$95.00,$95.135,$90.605
11/10/2022,$94.88,230371,$92.09,$95.00,$91.44
11/09/2022,$90.04,139242,$91.60,$92.07,$89.60
11/08/2022,$91.73,141975,$92.15,$92.81,$91.05
11/07/2022,$92.01,181474,$91.60,$92.54,$90.835
11/04/2022,$91.24,138656,$91.92,$92.25,$89.59
11/03/2022,$91.25,227306,$90.30,$91.65,$89.02
11/02/2022,$90.67,241785,$91.84,$93.66,$90.54
11/01/2022,$91.69,320509,$90.77,$92.388,$89.775
10/31/2022,$89.78,241843,$89.52,$91.43,$89.1801
10/28/2022,$89.96,349025,$86.89,$90.47,$86.02
10/27/2022,$86.51,358243,$91.08,$91.10,$86.33
10/26/2022,$90.09,433115,$89.22,$91.04,$88.40
10/25/2022,$88.18,229276,$87.50,$89.17,$87.10
10/24/2022,$87.54,267692,$86.15,$87.76,$85.55
10/21/2022,$85.51,287959,$83.82,$85.70,$82.21
10/20/2022,$84.46,327367,$84.70,$85.40,$83.81
10/19/2022,$84.70,249856,$85.16,$85.95,$83.61
10/18/2022,$85.36,276617,$87.74,$88.54,$85.105
10/17/2022,$86.34,221042,$84.21,$86.70,$83.52
10/14/2022,$82.90,262754,$86.66,$86.69,$82.84
10/13/2022,$85.48,364060,$82.41,$85.57,$81.17
10/12/2022,$83.57,191547,$85.25,$85.25,$83.43
10/11/2022,$85.34,361121,$84.98,$86.16,$84.34
10/10/2022,$85.38,332788,$82.82,$85.4886,$82.41
10/07/2022,$82.50,336999,$83.09,$83.765,$81.90
10/06/2022,$83.93,333868,$83.71,$85.05,$83.33
10/05/2022,$84.12,413716,$82.59,$84.61,$81.79
10/04/2022,$83.28,292976,$82.10,$83.8399,$81.59
10/03/2022,$81.45,295158,$81.11,$82.04,$79.49
09/30/2022,$79.50,401810,$81.25,$81.9997,$79.42
09/29/2022,$80.95,248689,$80.39,$81.12,$79.1712
09/28/2022,$81.00,255526,$80.09,$81.465,$79.23
09/27/2022,$79.55,175113,$80.95,$81.15,$78.84
09/26/2022,$80.62,201644,$79.64,$81.03,$79.32
09/23/2022,$79.64,527525,$83.54,$83.54,$79.18
09/22/2022,$84.02,280044,$86.02,$86.02,$83.49
09/21/2022,$86.34,306545,$85.97,$87.79,$85.74
09/20/2022,$85.64,245876,$86.14,$86.14,$84.19
09/19/2022,$86.41,274425,$83.92,$86.45,$83.35
09/16/2022,$84.77,807421,$84.98,$85.245,$83.77
09/15/2022,$84.95,284093,$85.50,$88.02,$84.615
09/14/2022,$84.33,209051,$84.10,$85.17,$83.415
09/13/2022,$84.38,209840,$86.16,$87.58,$84.08
09/12/2022,$87.17,293091,$87.52,$88.545,$86.60
09/09/2022,$87.12,157441,$87.06,$88.04,$86.49
09/08/2022,$86.76,157555,$86.51,$87.80,$86.21
09/07/2022,$86.96,233036,$83.19,$87.14,$83.19
09/06/2022,$83.48,264292,$82.75,$83.78,$82.51
09/02/2022,$82.48,214541,$84.22,$84.365,$81.78
09/01/2022,$84.01,406262,$85.04,$85.27,$82.75
08/31/2022,$85.30,157285,$85.08,$86.24,$84.14
08/30/2022,$84.69,173767,$87.03,$87.11,$84.385
08/29/2022,$87.03,165855,$86.80,$87.24,$85.31
08/26/2022,$86.93,183193,$90.33,$90.33,$86.54
08/25/2022,$90.50,184089,$89.80,$91.05,$89.435
08/24/2022,$89.59,113853,$89.16,$89.96,$89.03
08/23/2022,$89.42,165513,$89.42,$90.71,$89.38
08/22/2022,$89.74,163749,$89.91,$90.73,$88.49
08/19/2022,$90.71,206769,$90.72,$91.54,$89.9154
08/18/2022,$91.24,297993,$90.00,$91.26,$89.575
08/17/2022,$90.06,277731,$87.92,$90.6625,$87.52
08/16/2022,$88.54,178965,$88.67,$89.66,$87.90
08/15/2022,$89.27,208508,$86.92,$89.27,$86.795
08/12/2022,$87.84,107806,$86.22,$87.99,$86.22
08/11/2022,$86.11,139295,$86.60,$87.63,$85.75
08/10/2022,$86.75,155541,$85.80,$87.3813,$85.40
08/09/2022,$85.31,163043,$85.38,$86.75,$84.615
08/08/2022,$85.89,139763,$84.72,$86.35,$84.70
08/05/2022,$84.87,138369,$83.55,$85.245,$83.25
08/04/2022,$83.87,170556,$86.16,$86.34,$83.535
08/03/2022,$85.97,247051,$87.40,$87.99,$85.1591
08/02/2022,$87.23,283767,$82.81,$88.13,$82.41
08/01/2022,$81.87,272258,$80.40,$82.13,$79.77
07/29/2022,$79.69,149759,$79.56,$79.975,$78.23
07/28/2022,$79.95,134973,$79.59,$80.1198,$78.10
07/27/2022,$79.54,157018,$79.29,$80.23,$78.805
07/26/2022,$79.69,98425,$78.77,$79.78,$78.12
07/25/2022,$78.77,108839,$78.92,$79.46,$78.38
07/22/2022,$78.77,190148,$78.36,$79.55,$77.66
07/21/2022,$78.03,199778,$76.60,$78.05,$72.53
07/20/2022,$76.46,193876,$76.36,$76.749,$75.81
07/19/2022,$76.02,215510,$75.39,$76.93,$75.39
07/18/2022,$74.52,156024,$75.39,$76.075,$74.46
07/15/2022,$75.33,173059,$75.11,$75.79,$74.20
07/14/2022,$73.63,117631,$72.73,$73.76,$71.72
07/13/2022,$73.69,133801,$72.86,$74.02,$72.51
07/12/2022,$73.87,192463,$73.27,$74.48,$72.87
07/11/2022,$73.47,169930,$74.63,$74.67,$73.275
07/08/2022,$75.06,136144,$74.75,$75.94,$74.45
07/07/2022,$75.10,144180,$74.79,$75.88,$73.485
07/06/2022,$74.24,224186,$75.83,$75.955,$73.53
07/05/2022,$75.25,273828,$74.89,$75.36,$73.02
07/01/2022,$75.69,209675,$73.62,$76.22,$72.57
06/30/2022,$73.47,286898,$74.52,$75.30,$72.99
06/29/2022,$75.58,149630,$73.89,$75.68,$73.39
06/28/2022,$73.92,154913,$76.03,$76.84,$73.83
06/27/2022,$75.91,149659,$75.57,$76.66,$74.86
06/24/2022,$75.25,352108,$73.67,$75.39,$73.67
06/23/2022,$72.92,156756,$72.01,$73.035,$71.8886
06/22/2022,$71.84,213309,$70.75,$72.31,$70.29
06/21/2022,$71.06,409598,$74.51,$75.34,$70.88
06/17/2022,$74.00,463131,$74.63,$75.92,$73.97
06/16/2022,$72.79,240382,$72.23,$72.81,$71.24
06/15/2022,$73.51,233057,$73.32,$74.36,$72.50
06/14/2022,$72.77,299353,$74.13,$74.13,$71.81
06/13/2022,$73.65,198621,$74.39,$75.1978,$73.27
06/10/2022,$75.87,130292,$75.11,$76.50,$75.11
06/09/2022,$76.27,164860,$76.23,$77.21,$75.64
06/08/2022,$76.50,219060,$79.73,$80.64,$76.19
06/07/2022,$79.83,152123,$78.74,$80.37,$78.565
06/06/2022,$79.53,154944,$79.85,$80.005,$78.74
06/03/2022,$79.21,143741,$79.81,$80.30,$79.06
06/02/2022,$80.26,143587,$78.02,$80.39,$77.37
06/01/2022,$78.14,235259,$81.71,$81.71,$77.94
05/31/2022,$81.17,231867,$81.86,$82.61,$80.8543
05/27/2022,$82.41,163593,$81.31,$82.47,$79.60
05/26/2022,$80.60,195195,$80.11,$81.51,$78.09
05/25/2022,$79.47,169485,$78.60,$80.22,$78.00
05/24/2022,$78.55,237159,$79.32,$79.32,$77.175
05/23/2022,$79.43,326421,$79.92,$80.94,$77.81
