Date,Close/Last,Volume,Open,High,Low
01/05/2024,$32.03,2822747,$32.61,$32.64,$31.945
01/04/2024,$32.13,1675067,$32.61,$32.66,$32.115
01/03/2024,$32.13,2206035,$31.48,$32.155,$31.38
01/02/2024,$31.48,1796747,$31.53,$31.785,$31.425
12/29/2023,$31.64,1481660,$31.90,$31.90,$31.6025
12/28/2023,$31.56,1281846,$31.89,$32.02,$31.54
12/27/2023,$32.23,1110602,$32.38,$32.46,$32.175
12/26/2023,$32.26,956793,$32.00,$32.37,$31.97
12/22/2023,$31.76,826959,$31.93,$32.00,$31.685
12/21/2023,$31.60,1392671,$31.40,$31.61,$31.30
12/20/2023,$31.09,1779695,$31.62,$31.72,$31.09
12/19/2023,$31.66,1840313,$31.52,$31.67,$31.385
12/18/2023,$31.71,2831177,$31.90,$31.97,$31.62
12/15/2023,$30.86,2531322,$31.16,$31.19,$30.61
12/14/2023,$31.59,3217391,$31.54,$31.72,$31.46
12/13/2023,$30.85,2373460,$30.43,$30.855,$30.18
12/12/2023,$30.13,2080967,$29.94,$30.21,$29.845
12/11/2023,$30.31,2121116,$30.41,$30.45,$30.18
12/08/2023,$30.79,1844197,$30.52,$30.83,$30.495
12/07/2023,$30.35,3357977,$30.55,$30.72,$30.185
12/06/2023,$29.78,2488758,$30.05,$30.15,$29.72
12/05/2023,$30.21,1701771,$30.68,$30.78,$30.20
12/04/2023,$30.81,3180316,$30.92,$31.11,$30.635
12/01/2023,$31.71,3177808,$31.63,$32.035,$31.56
11/30/2023,$31.87,3601304,$32.37,$32.61,$31.775
11/29/2023,$32.09,3080475,$32.32,$32.385,$31.865
11/28/2023,$32.53,2437907,$32.77,$32.87,$32.50
11/27/2023,$32.79,2709477,$33.16,$33.19,$32.65
11/24/2023,$32.91,2197884,$32.96,$33.24,$32.86
11/22/2023,$32.20,2995346,$31.68,$32.26,$31.505
11/21/2023,$32.59,2815738,$32.88,$32.92,$32.555
11/20/2023,$32.88,2069114,$32.79,$33.09,$32.70
11/17/2023,$32.41,3006028,$31.89,$32.53,$31.885
11/16/2023,$31.59,2281855,$31.83,$32.00,$31.33
11/15/2023,$32.62,2048723,$32.70,$33.02,$32.62
11/14/2023,$32.63,1723989,$32.36,$32.765,$32.26
11/13/2023,$33.47,2108340,$33.04,$33.625,$32.98
11/10/2023,$33.06,2636083,$32.79,$33.11,$32.33
11/09/2023,$32.21,2623569,$32.28,$32.68,$32.21
11/08/2023,$31.74,1876745,$32.19,$32.33,$31.63
11/07/2023,$32.15,2430052,$32.38,$32.41,$32.01
11/06/2023,$33.21,2484598,$33.90,$33.91,$33.21
11/03/2023,$33.14,2188321,$33.37,$33.53,$32.915
11/02/2023,$33.76,1948801,$33.26,$33.815,$33.13
11/01/2023,$33.22,3228911,$33.29,$33.56,$33.015
10/31/2023,$33.37,2208358,$33.42,$33.71,$33.12
10/30/2023,$33.73,2344713,$34.13,$34.21,$33.42
10/27/2023,$33.59,3774674,$33.62,$33.87,$33.15
10/26/2023,$32.96,3347497,$32.57,$33.0295,$32.48
10/25/2023,$33.36,2747514,$33.15,$33.42,$33.06
10/24/2023,$33.03,2926640,$33.27,$33.34,$32.95
10/23/2023,$33.51,2602208,$33.69,$33.80,$33.31
10/20/2023,$34.00,2030418,$34.38,$34.49,$33.895
10/19/2023,$34.49,2693612,$34.33,$34.615,$34.08
10/18/2023,$34.73,3558519,$34.59,$34.73,$34.3562
10/17/2023,$34.53,3402999,$34.10,$34.64,$34.08
10/16/2023,$34.46,2128940,$34.58,$34.58,$34.19
10/13/2023,$34.44,2986360,$34.20,$34.52,$33.945
10/12/2023,$33.67,2500240,$33.86,$33.88,$33.465
10/11/2023,$33.47,3798373,$33.38,$33.51,$33.03
10/10/2023,$33.89,2867918,$33.50,$33.97,$33.395
10/09/2023,$33.37,3100323,$32.77,$33.455,$32.71
10/06/2023,$31.51,3004211,$30.93,$31.655,$30.75
10/05/2023,$31.02,2993671,$30.60,$31.15,$30.60
10/04/2023,$30.79,2594189,$31.22,$31.22,$30.54
10/03/2023,$31.54,3540119,$31.71,$31.815,$31.29
10/02/2023,$32.26,2656442,$32.87,$32.91,$32.065
09/29/2023,$32.79,2087464,$33.30,$33.32,$32.725
09/28/2023,$32.98,2285447,$32.77,$33.10,$32.77
09/27/2023,$33.04,2001580,$32.71,$33.115,$32.615
09/26/2023,$32.05,1560788,$32.04,$32.23,$31.98
09/25/2023,$32.36,1383860,$32.18,$32.385,$31.99
09/22/2023,$32.12,1463999,$32.33,$32.505,$32.105
09/21/2023,$32.15,2524197,$32.43,$32.53,$32.15
09/20/2023,$32.90,2219701,$33.02,$33.38,$32.90
09/19/2023,$32.95,3252340,$33.21,$33.31,$32.91
09/18/2023,$32.69,2043813,$32.89,$32.89,$32.57
09/15/2023,$32.72,2457949,$33.02,$33.14,$32.72
09/14/2023,$33.08,2093942,$33.10,$33.1975,$32.975
09/13/2023,$32.49,1641516,$32.69,$32.75,$32.30
09/12/2023,$32.60,1970620,$32.40,$32.80,$32.40
09/11/2023,$32.40,2151304,$32.86,$32.88,$32.345
09/08/2023,$32.33,1858428,$32.50,$32.635,$32.29
09/07/2023,$31.94,3188094,$31.70,$31.96,$31.525
09/06/2023,$31.77,3207501,$31.91,$32.30,$31.53
09/05/2023,$31.62,1917199,$31.97,$32.00,$31.575
09/01/2023,$31.60,2745257,$31.82,$31.87,$31.34
08/31/2023,$30.57,2487788,$30.91,$30.91,$30.38
08/30/2023,$30.90,1524486,$30.90,$31.04,$30.82
08/29/2023,$30.84,1824280,$30.42,$30.91,$30.30
08/28/2023,$30.30,1586770,$30.24,$30.47,$30.15
08/25/2023,$30.02,2466524,$30.20,$30.23,$29.72
08/24/2023,$29.55,2737543,$29.66,$29.91,$29.54
08/23/2023,$30.08,1610247,$29.79,$30.20,$29.52
08/22/2023,$30.58,1619728,$30.80,$30.84,$30.56
08/21/2023,$30.78,3154880,$30.94,$31.05,$30.575
08/18/2023,$30.39,2799494,$30.04,$30.42,$29.96
08/17/2023,$30.45,2364691,$30.56,$30.855,$30.44
08/16/2023,$29.91,2627205,$30.21,$30.5003,$29.86
08/15/2023,$30.54,2931189,$30.81,$30.81,$30.49
08/14/2023,$30.65,2265123,$30.45,$30.70,$30.27
08/11/2023,$31.74,2008075,$31.65,$32.06,$31.55
08/10/2023,$31.71,4185482,$32.38,$32.43,$31.625
08/09/2023,$32.55,7932355,$32.33,$33.00,$32.105
08/08/2023,$30.86,2500631,$30.13,$30.875,$29.895
08/07/2023,$30.90,2213243,$31.04,$31.04,$30.68
08/04/2023,$31.01,3264329,$31.09,$31.48,$30.985
08/03/2023,$30.53,2216109,$30.14,$30.63,$30.05
08/02/2023,$29.83,1629979,$30.23,$30.28,$29.735
08/01/2023,$30.47,1825963,$30.41,$30.59,$30.205
07/31/2023,$30.68,2284627,$30.60,$30.805,$30.39
07/28/2023,$29.90,2203595,$29.94,$30.17,$29.73
07/27/2023,$30.07,2416136,$30.61,$30.62,$30.03
07/26/2023,$30.61,3009664,$30.28,$30.85,$30.10
07/25/2023,$31.44,2388797,$31.15,$31.65,$31.07
07/24/2023,$31.36,1926510,$31.04,$31.51,$31.01
07/21/2023,$30.87,2308851,$30.90,$30.915,$30.575
07/20/2023,$30.66,1918042,$30.60,$30.73,$30.3828
07/19/2023,$30.09,2530486,$29.72,$30.19,$29.69
07/18/2023,$29.91,3450160,$29.48,$29.98,$29.38
07/17/2023,$29.37,2024807,$29.30,$29.46,$29.09
07/14/2023,$29.23,2812341,$30.08,$30.08,$29.185
07/13/2023,$30.30,2504613,$30.07,$30.39,$29.98
07/12/2023,$30.15,2328139,$30.31,$30.42,$30.105
07/11/2023,$29.84,2368978,$29.33,$29.87,$29.29
07/10/2023,$28.91,1704491,$28.93,$29.1408,$28.775
07/07/2023,$28.95,3564475,$28.39,$29.02,$28.325
07/06/2023,$28.32,2096737,$28.65,$28.725,$28.06
07/05/2023,$29.24,1926037,$29.73,$29.74,$29.16
07/03/2023,$29.40,1223839,$29.69,$29.80,$29.40
06/30/2023,$29.21,1781102,$29.30,$29.32,$29.12
06/29/2023,$29.01,2414315,$28.79,$29.06,$28.71
06/28/2023,$28.89,2466156,$28.74,$29.03,$28.445
06/27/2023,$28.76,2222019,$28.94,$28.94,$28.615
06/26/2023,$29.01,2341043,$28.80,$29.20,$28.76
06/23/2023,$28.38,3957573,$28.40,$28.56,$28.30
06/22/2023,$29.30,2250564,$29.43,$29.52,$29.22
06/21/2023,$30.07,1969311,$29.69,$30.275,$29.67
06/20/2023,$30.13,4625518,$29.94,$30.1775,$29.63
06/16/2023,$30.13,4548862,$30.51,$30.52,$30.00
06/15/2023,$30.75,3587449,$30.52,$30.91,$30.435
06/14/2023,$29.74,4095613,$30.41,$30.54,$29.49
06/13/2023,$30.13,4844581,$29.84,$30.53,$29.83
06/12/2023,$29.00,4552533,$28.88,$29.145,$28.78
06/09/2023,$29.21,4657732,$28.69,$29.25,$28.60
06/08/2023,$28.22,3109065,$28.12,$28.29,$27.815
06/07/2023,$27.86,3421198,$27.43,$27.89,$27.325
06/06/2023,$26.94,2942345,$26.49,$26.995,$26.45
06/05/2023,$27.26,3209791,$27.67,$27.90,$27.15
06/02/2023,$26.89,2870560,$26.65,$26.96,$26.59
06/01/2023,$25.82,2455442,$25.44,$25.985,$25.385
05/31/2023,$25.33,4638934,$25.33,$25.615,$25.2301
05/30/2023,$25.98,3199024,$26.06,$26.06,$25.66
05/26/2023,$26.53,2419652,$26.75,$26.82,$26.41
05/25/2023,$26.69,4929233,$27.39,$27.39,$26.47
05/24/2023,$27.84,4171944,$28.29,$28.34,$27.67
05/23/2023,$27.91,2293754,$27.60,$28.07,$27.499
05/22/2023,$27.50,2337673,$27.54,$27.68,$27.21
05/19/2023,$27.62,2527962,$27.77,$27.83,$27.47
05/18/2023,$27.55,3193207,$27.78,$27.825,$27.155
05/17/2023,$27.93,1627664,$27.72,$28.065,$27.44
05/16/2023,$27.54,3098456,$27.96,$28.20,$27.54
05/15/2023,$28.32,2935621,$28.20,$28.445,$28.10
05/12/2023,$27.89,3766577,$28.22,$28.34,$27.75
05/11/2023,$27.75,2555965,$27.96,$28.02,$27.59
05/10/2023,$29.19,2545632,$29.69,$29.74,$28.98
05/09/2023,$29.44,2839353,$29.06,$29.60,$29.00
05/08/2023,$29.63,2908569,$30.21,$30.27,$29.62
05/05/2023,$29.54,3259249,$29.28,$29.66,$29.18
05/04/2023,$27.73,4351409,$27.93,$28.14,$27.435
05/03/2023,$26.99,4205535,$27.15,$27.31,$26.93
05/02/2023,$27.55,4482026,$28.15,$28.15,$27.25
05/01/2023,$28.65,2199299,$28.52,$28.92,$28.40
04/28/2023,$28.74,1668569,$27.97,$28.83,$27.92
04/27/2023,$28.01,3255455,$27.80,$28.1275,$27.70
04/26/2023,$28.16,2784984,$28.64,$28.76,$28.08
04/25/2023,$28.30,2785860,$28.70,$28.72,$28.19
04/24/2023,$28.92,1556814,$28.58,$28.935,$28.57
04/21/2023,$28.44,1650678,$28.52,$28.575,$28.285
04/20/2023,$28.58,2121440,$28.24,$28.60,$28.24
04/19/2023,$28.51,2233776,$28.51,$28.65,$28.32
04/18/2023,$29.06,1892087,$28.96,$29.20,$28.83
04/17/2023,$29.32,2151096,$29.60,$29.64,$29.175
04/14/2023,$29.54,2893828,$29.81,$29.875,$29.32
04/13/2023,$29.52,2351100,$29.59,$29.74,$29.45
04/12/2023,$29.38,3020501,$29.73,$29.75,$29.25
04/11/2023,$29.00,4509993,$28.865,$29.1086,$28.71
04/10/2023,$28.84,2926076,$28.80,$28.985,$28.54
04/06/2023,$28.72,3408610,$29.50,$29.575,$28.60
04/05/2023,$29.30,2339178,$29.25,$29.50,$29.13
04/04/2023,$29.35,5499094,$29.97,$29.97,$29.085
04/03/2023,$30.42,5580267,$30.13,$30.48,$29.99
03/31/2023,$28.43,2307523,$28.52,$28.71,$28.33
03/30/2023,$28.44,1889674,$28.64,$28.66,$28.28
03/29/2023,$28.10,2239365,$28.28,$28.365,$27.955
03/28/2023,$28.38,4154919,$27.86,$28.475,$27.80
03/27/2023,$27.56,2003813,$27.22,$27.595,$27.045
03/24/2023,$27.06,3468555,$26.85,$27.20,$26.575
03/23/2023,$27.45,4338749,$28.19,$28.285,$27.225
03/22/2023,$27.51,3657899,$27.77,$28.11,$27.51
03/21/2023,$27.92,5830792,$28.40,$28.42,$27.64
03/20/2023,$27.34,4154831,$27.24,$27.485,$27.015
03/17/2023,$27.08,4761474,$27.32,$27.40,$26.84
03/16/2023,$27.11,6116526,$26.54,$27.17,$26.28
03/15/2023,$27.34,6154566,$27.00,$27.52,$26.595
03/14/2023,$28.64,5190103,$28.94,$29.46,$28.30
03/13/2023,$29.00,5091311,$28.77,$29.565,$28.54
03/10/2023,$29.79,5716930,$29.89,$30.22,$29.68
03/09/2023,$29.51,6044245,$29.54,$30.23,$29.35
03/08/2023,$29.83,3142330,$30.04,$30.32,$29.67
03/07/2023,$30.10,1940720,$30.61,$30.67,$29.95
03/06/2023,$30.99,2024551,$30.95,$31.13,$30.76
03/03/2023,$31.22,3245155,$30.26,$31.265,$30.24
03/02/2023,$31.11,1962140,$30.91,$31.155,$30.78
03/01/2023,$30.86,2979393,$30.49,$30.89,$30.39
