Date,Close/Last,Volume,Open,High,Low
10/23/2023,$22.60,16754860,$22.60,$22.74,$22.47
10/20/2023,$20.20,838606,$20.72,$20.72,$19.99
10/19/2023,$20.65,670199,$20.94,$21.27,$20.65
10/18/2023,$21.11,972676,$20.79,$21.1475,$20.55
10/17/2023,$20.85,623745,$20.73,$21.09,$20.49
10/16/2023,$20.85,536640,$20.94,$21.09,$20.52
10/13/2023,$20.69,369372,$20.60,$20.77,$20.37
10/12/2023,$20.59,609255,$20.70,$20.99,$20.41
10/11/2023,$20.82,844894,$20.51,$20.865,$20.43
10/10/2023,$20.32,1226562,$20.83,$21.048,$20.31
10/09/2023,$20.85,1216489,$20.46,$21.28,$20.46
10/06/2023,$20.80,1372569,$20.16,$21.04,$20.11
10/05/2023,$20.16,2448744,$18.73,$20.17,$18.72
10/04/2023,$18.71,614340,$18.43,$18.92,$18.39
10/03/2023,$18.44,594958,$18.54,$18.67,$18.28
10/02/2023,$18.63,1222249,$17.96,$18.76,$17.96
09/29/2023,$17.99,682596,$17.44,$18.06,$17.355
09/28/2023,$17.24,530682,$17.70,$17.70,$17.015
09/27/2023,$17.70,652815,$17.75,$17.86,$17.645
09/26/2023,$17.68,539855,$17.71,$17.86,$17.655
09/25/2023,$17.82,223238,$17.59,$17.92,$17.59
09/22/2023,$17.66,588174,$17.62,$17.76,$17.435
09/21/2023,$17.55,664168,$17.76,$17.84,$17.51
09/20/2023,$17.87,805114,$17.99,$18.15,$17.85
09/19/2023,$17.99,666665,$18.05,$18.07,$17.73
09/18/2023,$18.10,813472,$17.62,$18.41,$17.60
09/15/2023,$17.72,1513119,$17.48,$17.79,$17.35
09/14/2023,$17.50,357793,$17.57,$17.70,$17.49
09/13/2023,$17.50,280007,$17.58,$17.58,$17.35
09/12/2023,$17.62,277555,$17.48,$17.72,$17.48
09/11/2023,$17.60,248307,$17.66,$17.725,$17.465
09/08/2023,$17.50,199534,$17.66,$17.76,$17.35
09/07/2023,$17.64,291164,$17.76,$17.835,$17.48
09/06/2023,$18.04,326641,$18.18,$18.19,$17.74
09/05/2023,$18.14,524176,$17.91,$18.38,$17.84
09/01/2023,$17.91,401333,$17.78,$18.09,$17.75
08/31/2023,$17.71,758306,$17.69,$17.84,$17.52
08/30/2023,$17.66,725849,$17.24,$17.855,$17.22
08/29/2023,$17.34,864965,$16.59,$17.38,$16.555
08/28/2023,$16.60,510457,$16.75,$16.96,$16.44
08/25/2023,$16.73,326753,$16.35,$16.75,$16.30
08/24/2023,$16.28,308752,$16.40,$16.435,$16.25
08/23/2023,$16.41,267384,$16.37,$16.50,$16.30
08/22/2023,$16.31,245934,$16.55,$16.55,$16.27
08/21/2023,$16.49,420123,$16.36,$16.63,$16.32
08/18/2023,$16.45,315006,$16.44,$16.61,$16.18
08/17/2023,$16.59,697328,$16.94,$17.04,$16.59
08/16/2023,$16.91,564879,$16.80,$17.01,$16.80
08/15/2023,$17.00,548181,$17.00,$17.265,$16.915
08/14/2023,$17.02,611446,$16.77,$17.045,$16.68
08/11/2023,$16.91,355698,$16.72,$17.02,$16.69
08/10/2023,$16.87,502917,$17.16,$17.275,$16.79
08/09/2023,$16.94,745334,$16.88,$17.01,$16.595
08/08/2023,$16.93,517481,$17.19,$17.39,$16.9105
08/07/2023,$17.48,525322,$17.19,$17.525,$16.99
08/04/2023,$17.27,844205,$17.08,$17.65,$16.755
08/03/2023,$17.18,2246144,$17.85,$18.70,$16.96
08/02/2023,$18.35,704938,$18.77,$18.77,$18.34
08/01/2023,$19.00,357895,$19.00,$19.06,$18.64
07/31/2023,$18.96,332078,$18.65,$18.98,$18.65
07/28/2023,$18.62,453021,$18.52,$18.68,$18.41
07/27/2023,$18.31,344494,$18.50,$18.579,$18.24
07/26/2023,$18.28,280733,$18.25,$18.43,$18.23
07/25/2023,$18.33,224435,$18.50,$18.65,$18.27
07/24/2023,$18.45,437774,$18.47,$18.49,$18.24
07/21/2023,$18.38,389853,$18.88,$19.04,$18.22
07/20/2023,$18.75,238003,$18.98,$19.13,$18.67
07/19/2023,$19.15,343754,$19.48,$19.55,$19.01
07/18/2023,$19.36,310235,$19.33,$19.46,$19.14
07/17/2023,$19.25,341435,$19.12,$19.34,$19.08
07/14/2023,$19.07,255204,$19.04,$19.17,$18.73
07/13/2023,$18.98,601113,$18.88,$19.448,$18.74
07/12/2023,$19.58,578730,$19.47,$19.70,$19.28
07/11/2023,$19.24,352398,$18.82,$19.32,$18.775
07/10/2023,$18.76,287583,$18.73,$18.98,$18.72
07/07/2023,$18.72,243155,$18.58,$18.92,$18.58
07/06/2023,$18.65,528640,$18.50,$18.79,$18.26
07/05/2023,$18.71,570561,$18.52,$18.765,$18.23
07/03/2023,$18.52,277266,$18.99,$19.0199,$18.49
06/30/2023,$19.09,615588,$19.00,$19.3783,$18.99
06/29/2023,$19.00,418706,$18.75,$19.16,$18.75
06/28/2023,$18.72,429967,$18.62,$18.97,$18.62
06/27/2023,$18.64,471426,$17.88,$18.67,$17.85
06/26/2023,$17.54,346365,$17.62,$17.8858,$17.52
06/23/2023,$17.75,2408140,$17.82,$18.06,$17.55
06/22/2023,$18.09,392429,$17.72,$18.105,$17.61
06/21/2023,$17.82,550261,$18.08,$18.13,$17.54
06/20/2023,$18.26,550632,$17.94,$18.30,$17.605
06/16/2023,$18.12,970131,$18.52,$18.52,$17.93
06/15/2023,$18.34,727475,$18.19,$18.55,$18.04
06/14/2023,$18.24,857978,$18.69,$18.77,$18.205
06/13/2023,$18.77,480109,$18.70,$18.97,$18.52
06/12/2023,$18.50,469553,$18.29,$18.665,$18.29
06/09/2023,$18.19,493284,$18.49,$18.76,$18.08
06/08/2023,$18.45,350862,$18.87,$18.90,$18.32
06/07/2023,$18.92,550930,$19.41,$19.68,$18.835
06/06/2023,$19.45,442578,$19.02,$19.54,$19.02
06/05/2023,$19.13,352190,$19.10,$19.13,$18.68
06/02/2023,$19.11,378200,$18.98,$19.32,$18.87
06/01/2023,$18.87,517012,$18.83,$19.14,$18.22
05/31/2023,$18.98,2596223,$18.10,$19.00,$18.095
05/30/2023,$18.18,369995,$18.35,$18.835,$18.18
05/26/2023,$18.14,297432,$17.86,$18.40,$17.86
05/25/2023,$17.91,280781,$18.29,$18.39,$17.89
05/24/2023,$18.09,367893,$18.12,$18.30,$17.88
05/23/2023,$18.35,492411,$18.63,$18.86,$18.33
05/22/2023,$18.67,494700,$17.97,$18.70,$17.91
05/19/2023,$17.97,323258,$17.92,$17.98,$17.78
05/18/2023,$17.80,385908,$17.79,$18.065,$17.57
05/17/2023,$17.80,327875,$17.46,$17.865,$17.32
05/16/2023,$17.40,355189,$17.20,$17.44,$17.125
05/15/2023,$17.33,304193,$16.79,$17.35,$16.65
05/12/2023,$16.72,314774,$16.88,$16.99,$16.56
05/11/2023,$16.83,326256,$17.01,$17.01,$16.59
05/10/2023,$17.07,462108,$16.60,$17.09,$16.555
05/09/2023,$16.52,372722,$16.27,$16.61,$16.27
05/08/2023,$16.37,498789,$15.94,$16.55,$15.94
05/05/2023,$16.00,726883,$16.46,$16.61,$15.85
05/04/2023,$16.16,657413,$16.55,$16.96,$15.45
05/03/2023,$16.54,389997,$16.55,$16.88,$16.385
05/02/2023,$16.59,272086,$17.02,$17.11,$16.59
05/01/2023,$17.09,353554,$17.01,$17.26,$16.94
04/28/2023,$17.17,387981,$17.10,$17.26,$16.835
04/27/2023,$17.23,411370,$16.95,$17.355,$16.78
