Date,Close/Last,Volume,Open,High,Low
01/03/2024,$2.30,17544750,$2.44,$2.47,$2.12
01/02/2024,$2.92,3235092,$2.92,$3.08,$2.87
12/29/2023,$2.99,6066584,$3.15,$3.27,$2.64
12/28/2023,$3.08,8242463,$2.89,$3.28,$2.85
12/27/2023,$2.83,5983195,$2.63,$2.94,$2.62
12/26/2023,$2.58,4990070,$2.37,$2.6352,$2.34
12/22/2023,$2.36,3699990,$2.31,$2.44,$2.25
12/21/2023,$2.33,7469739,$2.39,$2.53,$2.305
12/20/2023,$2.27,10797620,$2.40,$2.4888,$2.205
12/19/2023,$2.34,8281670,$2.17,$2.38,$2.1601
12/18/2023,$2.11,8576562,$1.88,$2.17,$1.855
12/15/2023,$1.82,8353764,$1.77,$1.96,$1.72
12/14/2023,$1.73,28059100,$1.85,$1.96,$1.71
12/13/2023,$1.51,3302002,$1.48,$1.53,$1.38
12/12/2023,$1.47,1740922,$1.39,$1.50,$1.37
12/11/2023,$1.41,2996737,$1.48,$1.48,$1.345
12/08/2023,$1.49,2888452,$1.57,$1.595,$1.48
12/07/2023,$1.58,2160449,$1.51,$1.60,$1.50
12/06/2023,$1.50,2636742,$1.53,$1.59,$1.485
12/05/2023,$1.56,2156334,$1.55,$1.60,$1.5399
12/04/2023,$1.54,5832710,$1.44,$1.61,$1.44
12/01/2023,$1.44,5705250,$1.38,$1.465,$1.27
11/30/2023,$1.33,5319893,$1.27,$1.45,$1.27
11/29/2023,$1.27,4014826,$1.22,$1.29,$1.19
11/28/2023,$1.22,3347863,$1.26,$1.26,$1.1601
11/27/2023,$1.23,2099943,$1.25,$1.27,$1.20
11/24/2023,$1.25,2382265,$1.24,$1.33,$1.225
11/22/2023,$1.21,2965165,$1.21,$1.265,$1.17
11/21/2023,$1.19,2541785,$1.23,$1.26,$1.15
11/20/2023,$1.22,3472576,$1.20,$1.30,$1.15
11/17/2023,$1.19,3071003,$1.11,$1.22,$1.08
11/16/2023,$1.11,3282541,$1.13,$1.14,$1.04
11/15/2023,$1.15,7271888,$1.12,$1.34,$1.12
11/14/2023,$1.09,3103904,$0.97,$1.11,$0.9607
11/13/2023,$0.9455,1834536,$0.90,$0.948,$0.871
11/10/2023,$0.9052,3053131,$0.91,$0.94,$0.865
11/09/2023,$0.884,3233726,$1.00,$1.03,$0.8815
11/08/2023,$0.9909,4463082,$1.05,$1.0698,$0.9251
11/07/2023,$1.03,2978830,$1.06,$1.10,$1.0101
11/06/2023,$0.956,3257992,$1.06,$1.10,$0.9164
11/03/2023,$1.03,3128942,$0.921,$1.06,$0.909
11/02/2023,$0.884,2462311,$0.8617,$0.9058,$0.85
11/01/2023,$0.859,1507385,$0.8288,$0.859,$0.8101
10/31/2023,$0.8288,3126406,$0.8378,$0.8557,$0.7946
10/30/2023,$0.8263,2960118,$0.779,$0.8295,$0.7701
10/27/2023,$0.7746,2728918,$0.7499,$0.7899,$0.7391
10/26/2023,$0.7304,4040797,$0.78,$0.792,$0.706
