Date,Close/Last,Volume,Open,High,Low
10/23/2023,$101.91,176094,$101.98,$103.09,$101.16
10/20/2023,$101.77,279356,$103.76,$103.76,$101.63
10/19/2023,$103.68,358956,$104.20,$104.893,$102.80
10/18/2023,$104.51,197229,$105.94,$105.94,$104.45
10/17/2023,$105.66,376273,$102.69,$106.74,$101.76
10/16/2023,$102.71,229553,$100.48,$102.74,$99.03
10/13/2023,$99.65,110842,$100.48,$101.34,$99.57
10/12/2023,$100.38,101794,$101.52,$101.64,$100.02
10/11/2023,$101.35,129562,$101.24,$101.78,$100.97
10/10/2023,$100.78,177549,$101.57,$101.99,$100.66
10/09/2023,$101.51,243239,$99.98,$102.1275,$99.98
10/06/2023,$100.73,272609,$100.49,$101.68,$99.79
10/05/2023,$101.04,272001,$100.68,$102.33,$100.65
10/04/2023,$100.57,212220,$99.67,$100.63,$98.32
10/03/2023,$99.91,207127,$99.95,$100.06,$97.805
10/02/2023,$100.14,183908,$99.91,$100.80,$99.195
09/29/2023,$100.38,159561,$101.40,$102.09,$100.12
09/28/2023,$100.92,245094,$97.77,$101.19,$97.13
09/27/2023,$97.45,141000,$97.30,$97.89,$96.69
09/26/2023,$97.30,193895,$98.24,$98.37,$95.00
09/25/2023,$98.435,334356,$96.69,$99.27,$96.33
09/22/2023,$97.18,299897,$95.78,$97.25,$95.44
09/21/2023,$95.94,144298,$94.97,$96.43,$94.55
09/20/2023,$95.48,88321,$96.58,$97.50,$95.39
09/19/2023,$96.40,137424,$96.23,$97.00,$95.31
09/18/2023,$95.77,123699,$96.14,$96.14,$94.89
09/15/2023,$95.88,458422,$95.55,$96.985,$95.26
09/14/2023,$95.69,199002,$96.35,$97.22,$95.21
09/13/2023,$95.49,232088,$92.89,$96.23,$92.89
09/12/2023,$92.83,154926,$91.38,$92.97,$91.38
09/11/2023,$91.18,198174,$88.79,$92.12,$88.79
09/08/2023,$88.15,88476,$89.16,$89.16,$88.05
09/07/2023,$88.97,145000,$90.32,$91.245,$88.25
09/06/2023,$90.24,122659,$90.45,$90.86,$89.92
09/05/2023,$90.24,164806,$91.13,$91.65,$89.54
09/01/2023,$91.67,177613,$89.66,$92.41,$89.66
08/31/2023,$89.32,130106,$89.28,$90.38,$89.22
08/30/2023,$89.03,88681,$89.20,$89.96,$88.88
08/29/2023,$89.47,100575,$89.16,$89.86,$88.9401
08/28/2023,$89.19,88036,$89.40,$90.395,$89.155
08/25/2023,$89.40,95399,$89.17,$89.80,$88.69
08/24/2023,$88.99,101800,$89.27,$90.46,$88.895
08/23/2023,$89.79,100921,$89.72,$90.315,$89.455
08/22/2023,$89.80,134555,$90.50,$90.50,$89.70
08/21/2023,$90.50,121459,$90.84,$90.85,$89.86
08/18/2023,$90.88,423604,$91.29,$92.50,$90.80
08/17/2023,$91.61,131320,$93.00,$93.00,$91.33
08/16/2023,$93.03,143767,$93.26,$93.60,$92.67
08/15/2023,$93.38,154088,$94.24,$94.24,$92.91
08/14/2023,$94.78,139400,$95.33,$95.565,$93.93
08/11/2023,$95.98,116423,$95.78,$96.395,$95.58
08/10/2023,$96.20,115469,$96.22,$97.11,$95.88
08/09/2023,$96.23,104459,$96.48,$96.82,$95.82
08/08/2023,$96.81,136953,$98.90,$98.90,$94.58
08/07/2023,$99.44,436457,$99.93,$100.925,$99.02
08/04/2023,$99.84,320135,$98.84,$100.25,$98.00
08/03/2023,$98.75,211504,$96.66,$98.81,$95.9799
08/02/2023,$97.10,118911,$97.02,$97.84,$96.44
08/01/2023,$97.69,199910,$94.97,$97.90,$94.05
07/31/2023,$95.28,258382,$95.41,$96.82,$94.855
07/28/2023,$95.42,196633,$98.34,$98.34,$94.48
07/27/2023,$97.65,320684,$100.00,$102.68,$96.87
07/26/2023,$97.36,212503,$96.46,$97.86,$96.25
07/25/2023,$96.83,94105,$96.49,$97.33,$96.095
07/24/2023,$96.75,115006,$97.30,$97.91,$96.74
07/21/2023,$97.46,140595,$97.94,$97.94,$96.87
07/20/2023,$97.57,128552,$97.84,$97.95,$96.925
07/19/2023,$97.88,140974,$97.81,$98.31,$97.05
07/18/2023,$97.52,190328,$95.59,$97.72,$95.59
07/17/2023,$95.71,98498,$94.60,$95.94,$94.44
07/14/2023,$94.81,115016,$95.37,$95.37,$94.06
07/13/2023,$95.34,76817,$95.38,$95.90,$95.215
07/12/2023,$95.31,147160,$95.00,$96.005,$94.3826
07/11/2023,$94.32,154389,$94.29,$94.97,$93.78
07/10/2023,$94.36,189210,$92.05,$95.08,$92.05
07/07/2023,$91.97,272232,$91.58,$93.26,$90.44
07/06/2023,$91.68,128432,$91.28,$92.075,$89.74
07/05/2023,$91.96,187242,$93.52,$93.52,$91.785
07/03/2023,$93.68,106926,$92.85,$93.90,$92.85
06/30/2023,$93.33,278180,$93.40,$94.51,$92.65
06/29/2023,$92.69,213017,$92.21,$93.06,$91.93
06/28/2023,$92.21,206380,$93.11,$93.7085,$91.63
06/27/2023,$93.18,234710,$92.50,$93.20,$92.08
06/26/2023,$91.77,174860,$92.95,$94.42,$91.75
06/23/2023,$92.74,974324,$92.22,$93.30,$91.84
06/22/2023,$92.98,224502,$93.77,$94.21,$92.44
06/21/2023,$93.61,185633,$94.33,$95.00,$93.38
06/20/2023,$94.39,269146,$93.40,$95.24,$93.22
06/16/2023,$93.82,569620,$95.12,$95.49,$93.525
06/15/2023,$94.14,240698,$94.23,$95.21,$93.76
06/14/2023,$94.39,209438,$94.94,$95.46,$93.815
06/13/2023,$94.70,190617,$95.66,$96.45,$94.50
06/12/2023,$95.63,207459,$96.65,$96.97,$95.00
06/09/2023,$96.65,418556,$97.69,$99.32,$96.355
06/08/2023,$97.55,168884,$99.22,$99.22,$97.45
06/07/2023,$99.10,248982,$99.24,$100.35,$98.88
06/06/2023,$98.90,231715,$97.21,$99.685,$96.47
06/05/2023,$97.18,165227,$99.55,$99.82,$96.68
06/02/2023,$100.15,233959,$98.08,$100.525,$97.2401
06/01/2023,$97.40,140607,$98.54,$98.54,$96.69
05/31/2023,$98.54,222171,$98.40,$99.165,$96.48
05/30/2023,$98.44,129196,$97.12,$98.51,$95.89
05/26/2023,$97.00,137950,$96.60,$97.12,$95.68
05/25/2023,$96.68,123034,$97.07,$97.155,$96.13
05/24/2023,$97.35,164020,$98.39,$98.39,$97.14
05/23/2023,$99.13,126736,$100.28,$100.34,$99.034
05/22/2023,$100.69,112143,$102.27,$102.27,$100.52
05/19/2023,$101.86,124349,$103.72,$103.88,$101.53
05/18/2023,$103.20,100939,$103.11,$103.505,$102.11
05/17/2023,$103.27,162596,$103.88,$103.88,$102.65
05/16/2023,$103.02,103003,$102.38,$103.26,$101.36
05/15/2023,$103.03,280694,$102.35,$103.65,$101.40
05/12/2023,$102.00,246677,$101.57,$103.8867,$101.57
05/11/2023,$101.49,211857,$102.63,$102.63,$100.90
05/10/2023,$103.40,116909,$104.86,$105.00,$102.74
05/09/2023,$103.78,115430,$102.94,$104.245,$102.60
05/08/2023,$103.73,117129,$104.94,$104.94,$103.45
05/05/2023,$104.80,168730,$102.67,$105.68,$102.67
05/04/2023,$101.87,160415,$100.50,$102.06,$98.96
05/03/2023,$101.06,151411,$102.15,$102.69,$100.84
05/02/2023,$101.84,153239,$101.35,$102.505,$99.845
05/01/2023,$100.79,188268,$102.99,$103.46,$100.61
04/28/2023,$103.03,215366,$103.66,$104.75,$102.4975
04/27/2023,$102.70,305848,$95.58,$104.43,$95.58
04/26/2023,$95.31,200426,$95.17,$95.83,$94.31
04/25/2023,$95.90,123059,$95.84,$96.52,$95.35
04/24/2023,$96.54,73969,$96.54,$97.325,$96.15
04/21/2023,$96.87,151346,$96.83,$97.38,$95.73
04/20/2023,$96.93,98882,$97.13,$97.87,$96.725
04/19/2023,$97.61,121287,$96.18,$97.90,$95.51
04/18/2023,$96.20,169416,$95.54,$96.20,$94.06
04/17/2023,$96.72,89703,$96.25,$96.77,$95.69
04/14/2023,$96.06,117884,$96.76,$97.78,$95.31
04/13/2023,$96.51,88724,$95.77,$96.56,$95.01
04/12/2023,$95.97,134644,$97.11,$97.38,$95.64
04/11/2023,$96.31,159962,$96.27,$97.23,$95.80
04/10/2023,$95.60,211250,$92.86,$95.77,$92.85
04/06/2023,$93.26,210473,$92.90,$93.83,$92.38
04/05/2023,$93.07,173050,$93.16,$94.11,$92.06
04/04/2023,$93.73,162518,$96.01,$96.01,$93.02
04/03/2023,$95.84,161518,$95.16,$95.96,$94.6892
03/31/2023,$95.37,209254,$94.78,$95.61,$94.18
03/30/2023,$94.12,149033,$95.22,$95.79,$93.585
03/29/2023,$94.59,166576,$94.45,$95.205,$93.29
03/28/2023,$94.15,192976,$92.67,$94.925,$92.60
03/27/2023,$93.04,151104,$93.62,$93.72,$92.42
03/24/2023,$93.03,198106,$91.26,$93.67,$90.715
03/23/2023,$92.29,213245,$91.52,$93.74,$90.99
03/22/2023,$91.43,229771,$94.44,$95.03,$91.33
03/21/2023,$94.56,253726,$92.19,$94.61,$92.00
03/20/2023,$90.95,237357,$90.06,$92.24,$89.905
03/17/2023,$89.54,469395,$92.55,$92.55,$89.08
03/16/2023,$93.05,195284,$91.07,$93.59,$90.89
03/15/2023,$92.00,284103,$89.91,$92.535,$89.63
03/14/2023,$91.69,333258,$90.05,$93.07,$89.35
03/13/2023,$88.08,319677,$87.00,$89.11,$86.74
03/10/2023,$88.21,322634,$87.64,$89.09,$87.325
03/09/2023,$88.17,311602,$87.59,$89.195,$87.24
03/08/2023,$87.54,177374,$88.39,$88.98,$87.19
03/07/2023,$88.31,153395,$89.09,$89.69,$87.48
03/06/2023,$89.08,172487,$90.06,$90.32,$88.65
03/03/2023,$90.06,116398,$89.48,$90.24,$88.56
03/02/2023,$89.16,184552,$88.11,$89.30,$87.3601
03/01/2023,$88.64,177501,$87.95,$89.01,$87.67
02/28/2023,$88.25,147055,$88.60,$89.55,$88.18
02/27/2023,$88.62,97386,$89.35,$89.92,$88.285
02/24/2023,$88.69,146431,$88.13,$89.255,$87.9101
02/23/2023,$88.71,124757,$89.30,$90.13,$88.285
02/22/2023,$89.36,185654,$88.27,$90.20,$88.16
02/21/2023,$88.17,198957,$90.31,$90.465,$88.08
02/17/2023,$91.05,184778,$91.21,$92.35,$90.78
02/16/2023,$91.20,198930,$90.10,$91.695,$86.10
02/15/2023,$90.53,190207,$89.49,$90.89,$89.10
02/14/2023,$90.19,175427,$90.17,$90.765,$89.27
02/13/2023,$90.04,166728,$88.94,$90.15,$87.945
02/10/2023,$89.55,152276,$90.47,$91.055,$89.33
02/09/2023,$90.52,245662,$93.38,$93.865,$90.51
02/08/2023,$93.28,333787,$89.61,$93.87,$89.61
02/07/2023,$90.07,208856,$87.72,$90.37,$87.01
02/06/2023,$88.27,188778,$89.50,$89.98,$87.70
02/03/2023,$89.57,303573,$90.26,$90.755,$86.12
02/02/2023,$91.05,445346,$92.85,$95.45,$89.11
02/01/2023,$91.76,208929,$91.59,$92.41,$90.225
01/31/2023,$92.18,200696,$91.09,$92.238,$90.24
01/30/2023,$90.94,143455,$90.45,$92.24,$90.145
01/27/2023,$90.53,167659,$91.11,$91.83,$90.41
01/26/2023,$91.11,198836,$91.03,$91.93,$89.85
01/25/2023,$90.50,189344,$90.43,$90.685,$89.17
01/24/2023,$90.91,122162,$91.66,$91.66,$90.28
01/23/2023,$91.68,296951,$89.13,$91.78,$88.37
01/20/2023,$89.06,294243,$88.71,$89.42,$87.75
01/19/2023,$88.00,300967,$86.74,$88.60,$85.30
01/18/2023,$86.64,173584,$87.56,$88.57,$86.25
01/17/2023,$87.70,174768,$89.65,$90.18,$87.31
01/13/2023,$89.54,150541,$89.64,$90.04,$89.00
01/12/2023,$90.12,166642,$89.93,$91.26,$89.44
01/11/2023,$89.58,148884,$89.77,$92.82,$88.98
01/10/2023,$89.79,214386,$89.77,$90.13,$89.05
01/09/2023,$90.13,217865,$89.71,$91.49,$89.35
01/06/2023,$89.31,243485,$88.95,$89.84,$88.09
01/05/2023,$88.00,317447,$87.42,$88.389,$86.06
01/04/2023,$86.70,179486,$88.31,$88.73,$86.27
01/03/2023,$88.00,307291,$87.16,$88.95,$86.82
12/30/2022,$86.91,87499,$87.83,$87.91,$86.55
12/29/2022,$88.13,197947,$88.13,$88.90,$87.59
12/28/2022,$87.30,137028,$88.00,$88.48,$86.65
12/27/2022,$87.90,127973,$88.00,$88.30,$87.22
12/23/2022,$87.93,123130,$88.00,$88.85,$86.84
12/22/2022,$87.96,181212,$87.33,$88.39,$86.375
12/21/2022,$87.85,167263,$87.58,$90.3687,$87.02
12/20/2022,$86.70,148857,$86.73,$88.465,$85.55
12/19/2022,$86.55,141149,$88.53,$89.35,$85.85
12/16/2022,$88.53,971904,$86.17,$89.16,$85.91
12/15/2022,$87.48,180500,$89.81,$89.81,$87.21
12/14/2022,$90.93,194794,$92.45,$93.82,$90.25
12/13/2022,$92.70,229591,$94.00,$94.93,$92.00
12/12/2022,$91.85,187355,$91.48,$93.30,$90.78
12/09/2022,$91.08,203481,$90.48,$91.13,$89.765
12/08/2022,$90.70,160545,$90.87,$91.55,$89.70
12/07/2022,$90.23,107095,$90.90,$92.005,$90.17
12/06/2022,$90.95,111051,$91.50,$92.70,$90.03
12/05/2022,$91.59,124394,$92.81,$92.81,$90.32
12/02/2022,$93.51,107385,$92.46,$94.01,$92.46
12/01/2022,$93.66,100606,$94.19,$94.19,$92.075
