Date,Close/Last,Volume,Open,High,Low
01/05/2024,$41.41,8228617,$41.25,$41.97,$41.10
01/04/2024,$41.55,11897520,$41.12,$41.58,$40.72
01/03/2024,$41.37,13722980,$40.97,$41.69,$40.59
01/02/2024,$42.09,9620896,$41.96,$42.54,$41.755
12/29/2023,$42.57,6509679,$42.41,$42.92,$42.27
12/28/2023,$43.02,5426731,$42.95,$43.25,$42.875
12/27/2023,$43.20,7172571,$43.04,$43.42,$42.78
12/26/2023,$42.83,6701020,$42.60,$43.08,$42.51
12/22/2023,$42.38,6984632,$42.53,$42.84,$42.10
12/21/2023,$42.23,7032254,$41.97,$42.30,$41.825
12/20/2023,$41.34,10798740,$41.77,$42.35,$41.29
12/19/2023,$42.18,16499790,$42.03,$42.615,$42.00
12/18/2023,$41.35,12242020,$41.57,$42.44,$41.34
12/15/2023,$41.50,23084720,$40.95,$41.955,$40.95
12/14/2023,$41.97,29234550,$40.30,$42.315,$40.30
12/13/2023,$39.19,15442470,$37.49,$39.23,$37.14
12/12/2023,$37.42,13640470,$37.70,$37.77,$37.17
12/11/2023,$37.87,8606765,$37.53,$38.04,$37.30
12/08/2023,$38.15,19549150,$37.05,$38.4099,$36.89
12/07/2023,$36.37,10691600,$36.57,$36.85,$36.04
12/06/2023,$36.25,9356936,$36.87,$37.18,$36.20
12/05/2023,$36.57,13057240,$37.33,$37.33,$36.545
12/04/2023,$37.61,15675120,$38.09,$38.58,$37.50
12/01/2023,$39.24,18671380,$37.84,$39.46,$37.7405
11/30/2023,$37.32,10438950,$37.27,$37.47,$36.93
11/29/2023,$37.17,9792329,$37.43,$37.58,$36.77
11/28/2023,$37.22,11345440,$36.71,$37.50,$36.46
11/27/2023,$36.59,8251556,$36.53,$36.67,$36.16
11/24/2023,$36.84,3536721,$36.74,$37.215,$36.605
11/22/2023,$36.89,7624507,$36.80,$37.04,$36.5201
11/21/2023,$37.00,11351780,$36.97,$37.53,$36.85
11/20/2023,$36.65,12322920,$36.16,$37.095,$36.075
11/17/2023,$36.00,8961771,$35.90,$36.24,$35.47
11/16/2023,$35.54,10034910,$35.89,$36.10,$35.29
11/15/2023,$36.00,14733400,$35.48,$36.38,$35.29
11/14/2023,$35.17,11724620,$34.55,$35.68,$34.55
11/13/2023,$33.43,8944481,$33.61,$33.93,$33.375
11/10/2023,$33.68,9924697,$33.09,$33.83,$32.825
11/09/2023,$33.24,9730518,$34.03,$34.2184,$33.09
11/08/2023,$33.61,10634670,$33.875,$34.285,$33.30
