Date,Close/Last,Volume,Open,High,Low
01/05/2024,$38.13,3621509,$37.75,$38.23,$37.56
01/04/2024,$37.79,3715062,$37.92,$38.26,$37.63
01/03/2024,$37.76,4079259,$37.43,$37.825,$37.25
01/02/2024,$37.40,2994770,$36.47,$37.43,$36.40
12/29/2023,$36.66,2728651,$36.47,$36.70,$36.375
12/28/2023,$36.59,2029209,$36.23,$36.68,$36.14
12/27/2023,$36.32,2367212,$36.25,$36.37,$36.075
12/26/2023,$36.34,2764373,$36.22,$36.53,$36.17
12/22/2023,$36.23,4446020,$36.50,$36.78,$36.20
12/21/2023,$36.33,2887356,$36.25,$36.54,$36.05
12/20/2023,$36.19,3233771,$36.81,$36.94,$36.18
12/19/2023,$36.92,2476201,$36.92,$37.10,$36.67
12/18/2023,$36.82,2924672,$37.00,$37.20,$36.73
12/15/2023,$36.98,8110841,$37.70,$37.73,$36.80
12/14/2023,$37.87,6452204,$38.73,$38.82,$37.78
12/13/2023,$38.51,4953023,$36.99,$38.56,$36.80
12/12/2023,$36.98,3425229,$37.25,$37.26,$36.66
12/11/2023,$37.26,3762758,$37.00,$37.49,$36.91
12/08/2023,$37.08,4199620,$37.27,$37.39,$36.7401
12/07/2023,$37.30,4221717,$37.53,$37.53,$37.00
12/06/2023,$37.45,3532656,$37.21,$37.48,$36.86
12/05/2023,$37.05,3345069,$37.17,$37.17,$36.76
12/04/2023,$37.17,4062175,$37.04,$37.405,$36.98
12/01/2023,$37.36,4185588,$36.93,$37.38,$36.69
11/30/2023,$36.94,4435243,$37.08,$37.13,$36.60
11/29/2023,$36.98,5079677,$37.35,$37.47,$36.7942
11/28/2023,$37.31,5313598,$37.58,$37.85,$37.28
11/27/2023,$37.50,2906157,$37.68,$37.68,$37.32
11/24/2023,$37.64,1091456,$37.62,$37.70,$37.43
11/22/2023,$37.54,3015475,$37.78,$37.78,$37.35
11/21/2023,$37.66,3232946,$37.46,$37.68,$37.14
11/20/2023,$37.43,3734894,$36.98,$37.47,$36.61
11/17/2023,$37.18,3294753,$37.22,$37.32,$36.98
11/16/2023,$37.04,3328036,$37.06,$37.30,$36.91
11/15/2023,$36.82,3440590,$36.53,$37.05,$36.51
11/14/2023,$36.63,4494599,$35.75,$36.66,$35.72
11/13/2023,$35.12,2742352,$35.29,$35.359,$34.92
11/10/2023,$35.30,2176081,$35.62,$35.65,$35.27
11/09/2023,$35.39,1952446,$35.70,$35.95,$35.345
11/08/2023,$35.69,2207003,$35.96,$36.01,$35.305
11/07/2023,$36.10,2526923,$36.08,$36.195,$35.807
11/06/2023,$35.97,2491522,$36.45,$36.51,$35.93
11/03/2023,$36.82,3727675,$37.05,$37.15,$36.75
11/02/2023,$36.57,2989669,$36.08,$36.77,$36.08
11/01/2023,$36.05,3075289,$35.72,$36.34,$35.47
10/31/2023,$35.60,2795515,$35.57,$35.675,$35.285
10/30/2023,$35.40,2774636,$35.33,$35.62,$35.025
10/27/2023,$35.13,4503509,$35.70,$35.85,$34.91
10/26/2023,$36.06,3460182,$35.80,$36.35,$35.80
10/25/2023,$35.76,3168629,$35.64,$35.85,$35.52
10/24/2023,$35.70,3498010,$35.36,$35.80,$35.16
10/23/2023,$34.99,4014404,$34.95,$35.405,$34.73
10/20/2023,$35.28,5252393,$35.71,$35.88,$35.27
10/19/2023,$35.66,3740772,$35.85,$36.08,$35.54
10/18/2023,$35.82,3081011,$36.06,$36.10,$35.59
10/17/2023,$36.08,2484821,$35.89,$36.205,$35.80
10/16/2023,$36.16,2442667,$35.74,$36.23,$35.55
10/13/2023,$35.60,4039540,$35.64,$35.74,$35.305
10/12/2023,$35.30,5601512,$35.38,$35.455,$34.98
10/11/2023,$35.46,2607799,$35.13,$35.50,$34.98
10/10/2023,$35.02,3070074,$34.76,$35.11,$34.66
10/09/2023,$34.77,2733719,$34.24,$34.79,$34.18
10/06/2023,$34.25,5237945,$33.35,$34.32,$32.975
10/05/2023,$33.78,4748327,$33.53,$33.975,$33.14
10/04/2023,$33.59,4710967,$33.61,$33.75,$33.035
10/03/2023,$33.61,8440077,$32.40,$33.775,$32.18
10/02/2023,$32.60,6489412,$33.90,$34.00,$32.41
09/29/2023,$34.18,4533371,$34.98,$35.10,$34.005
09/28/2023,$34.57,6501602,$35.47,$35.47,$34.45
09/27/2023,$35.24,5474748,$35.23,$35.44,$35.015
09/26/2023,$35.31,3691854,$35.81,$35.825,$35.2625
09/25/2023,$35.92,2216637,$35.79,$35.95,$35.66
09/22/2023,$36.05,2920626,$36.00,$36.28,$35.93
09/21/2023,$36.20,2786366,$36.60,$36.63,$36.135
09/20/2023,$36.56,3159027,$37.03,$37.03,$36.38
09/19/2023,$36.80,4448389,$36.80,$37.04,$36.59
09/18/2023,$36.77,2272016,$37.03,$37.03,$36.37
09/15/2023,$36.91,9503248,$36.87,$37.09,$36.745
09/14/2023,$36.89,4211963,$36.41,$36.90,$36.32
09/13/2023,$36.16,3073200,$35.86,$36.355,$35.78
09/12/2023,$35.87,2981656,$35.52,$35.94,$35.36
09/11/2023,$35.58,3032933,$35.64,$35.98,$35.49
09/08/2023,$35.62,2850274,$35.44,$35.80,$35.37
09/07/2023,$35.46,3746617,$35.32,$35.70,$35.025
09/06/2023,$35.09,3638016,$35.00,$35.165,$34.685
09/05/2023,$34.96,3527824,$35.44,$35.61,$34.77
09/01/2023,$35.69,2819859,$36.32,$36.32,$35.31
08/31/2023,$36.07,2906018,$36.43,$36.60,$36.06
08/30/2023,$36.29,2073470,$36.34,$36.68,$36.165
08/29/2023,$36.46,1980892,$36.39,$36.555,$36.26
08/28/2023,$36.38,1235049,$36.36,$36.5461,$36.215
08/25/2023,$36.27,1890754,$36.10,$36.47,$36.02
08/24/2023,$36.04,2829929,$36.35,$36.84,$36.03
08/23/2023,$36.38,2270208,$36.24,$36.41,$36.045
08/22/2023,$36.06,1840435,$35.96,$36.16,$35.76
08/21/2023,$35.89,2251213,$36.06,$36.29,$35.58
08/18/2023,$36.17,2185864,$35.78,$36.325,$35.78
08/17/2023,$35.87,2310140,$36.20,$36.515,$35.87
08/16/2023,$36.24,2480810,$36.19,$36.385,$35.955
08/15/2023,$36.03,4152041,$36.61,$36.96,$36.02
08/14/2023,$36.86,5256305,$36.80,$36.97,$36.635
08/11/2023,$36.87,3956701,$36.34,$36.88,$36.25
08/10/2023,$36.30,2711692,$36.49,$36.78,$36.20
08/09/2023,$36.19,4600312,$36.38,$36.525,$36.01
08/08/2023,$36.48,4136115,$36.04,$36.515,$35.73
08/07/2023,$36.12,4114986,$36.09,$36.69,$36.09
08/04/2023,$36.30,5665939,$36.97,$37.35,$36.03
08/03/2023,$37.17,5332491,$38.26,$38.33,$37.165
08/02/2023,$38.62,4459239,$38.77,$38.81,$38.22
08/01/2023,$38.99,3018105,$39.50,$39.67,$38.905
07/31/2023,$39.39,4000582,$39.60,$39.69,$39.27
07/28/2023,$39.34,1671628,$39.47,$39.64,$39.04
07/27/2023,$39.24,2340360,$39.89,$40.04,$39.05
07/26/2023,$40.02,2071823,$39.98,$40.42,$39.84
07/25/2023,$40.05,1838277,$39.90,$40.245,$39.79
07/24/2023,$40.00,2081585,$40.06,$40.21,$39.74
07/21/2023,$40.09,3341032,$39.90,$40.24,$39.795
07/20/2023,$39.67,2115831,$39.34,$39.795,$39.11
07/19/2023,$39.17,2092430,$38.83,$39.345,$38.83
07/18/2023,$38.85,1989369,$39.22,$39.59,$38.49
07/17/2023,$39.24,1980431,$39.69,$39.79,$39.23
07/14/2023,$39.75,3586657,$39.63,$39.88,$39.34
07/13/2023,$39.85,2424374,$39.41,$39.85,$39.24
07/12/2023,$39.45,2511315,$39.12,$39.64,$38.9501
07/11/2023,$38.92,1604168,$38.65,$38.96,$38.43
07/10/2023,$38.57,2114040,$38.70,$38.76,$38.155
07/07/2023,$38.77,1914899,$38.91,$39.045,$38.56
07/06/2023,$39.10,2371554,$39.19,$39.23,$38.721
07/05/2023,$39.54,2841259,$38.87,$39.87,$38.78
07/03/2023,$39.02,1245533,$38.70,$39.08,$38.66
06/30/2023,$38.88,2595657,$38.75,$38.975,$38.51
06/29/2023,$38.61,2804658,$38.00,$38.68,$37.89
06/28/2023,$38.34,2467824,$38.85,$38.85,$38.24
06/27/2023,$38.86,2718657,$38.92,$39.05,$38.62
06/26/2023,$38.77,3410432,$38.60,$38.97,$38.4398
06/23/2023,$38.49,4873973,$39.34,$39.38,$38.335
06/22/2023,$39.22,2566441,$39.53,$39.60,$38.955
06/21/2023,$39.45,3261316,$39.13,$39.52,$38.59
06/20/2023,$39.29,3532191,$39.04,$39.48,$38.93
06/16/2023,$39.07,6888138,$39.45,$39.655,$39.00
06/15/2023,$39.11,1928123,$38.87,$39.215,$38.68
06/14/2023,$38.82,3752907,$38.90,$39.075,$38.66
06/13/2023,$38.75,2886771,$38.39,$38.83,$38.36
06/12/2023,$38.75,2499376,$38.74,$38.76,$38.3506
06/09/2023,$38.61,3963769,$38.99,$39.08,$38.56
06/08/2023,$38.95,4700752,$38.37,$39.00,$38.06
06/07/2023,$38.50,4296259,$37.95,$38.635,$37.57
06/06/2023,$37.79,3510855,$38.29,$38.44,$37.675
06/05/2023,$38.14,2913404,$37.76,$38.18,$37.78
06/02/2023,$37.70,3804254,$36.97,$37.88,$36.96
06/01/2023,$37.18,5888734,$37.43,$37.47,$36.74
05/31/2023,$37.39,5362300,$37.08,$37.54,$36.71
05/30/2023,$37.00,2880706,$36.71,$37.065,$36.64
05/26/2023,$36.71,2813638,$36.89,$36.89,$36.45
