Date,Close/Last,Volume,Open,High,Low
01/03/2024,$22.48,2471125,$23.15,$23.35,$22.01
01/02/2024,$23.85,1272366,$23.47,$24.83,$23.11
12/29/2023,$23.85,971107,$24.57,$24.57,$23.78
12/28/2023,$24.59,1122890,$25.05,$25.09,$24.40
12/27/2023,$25.24,606485,$25.70,$25.85,$25.11
12/26/2023,$25.43,924169,$25.43,$25.8417,$25.30
12/22/2023,$25.25,2560071,$24.91,$25.41,$24.255
12/21/2023,$24.91,2673714,$24.16,$24.95,$23.81
12/20/2023,$23.01,10142120,$25.39,$25.5645,$20.85
12/19/2023,$27.22,1774866,$26.80,$27.39,$26.52
12/18/2023,$26.31,1887967,$25.45,$26.60,$25.20
12/15/2023,$25.89,2408660,$25.34,$26.00,$24.7915
12/14/2023,$24.70,4668527,$24.22,$26.30,$24.10
12/13/2023,$22.96,3221601,$20.70,$23.00,$20.4217
12/12/2023,$20.68,2200168,$21.65,$21.89,$20.63
12/11/2023,$21.95,2141978,$21.95,$22.53,$21.50
12/08/2023,$21.93,4838821,$22.25,$22.525,$21.63
12/07/2023,$21.97,4355108,$22.40,$22.65,$21.14
12/06/2023,$22.40,11541170,$22.50,$22.95,$22.05
12/05/2023,$25.74,1217093,$26.37,$26.56,$25.15
12/04/2023,$26.94,2344099,$26.49,$27.80,$26.22
12/01/2023,$25.77,2160080,$25.00,$25.85,$24.08
11/30/2023,$25.08,3607453,$25.75,$26.4497,$24.6101
11/29/2023,$25.09,8075898,$23.36,$26.49,$23.32
11/28/2023,$20.27,2403024,$18.93,$20.41,$18.61
11/27/2023,$19.10,1394903,$18.74,$19.58,$18.37
11/24/2023,$18.86,338177,$18.92,$19.23,$18.47
11/22/2023,$18.98,700765,$19.21,$19.62,$18.725
11/21/2023,$18.90,877708,$19.06,$19.1911,$18.58
11/20/2023,$19.27,1064744,$19.15,$20.20,$19.0037
11/17/2023,$19.15,1113687,$18.66,$19.26,$18.41
11/16/2023,$18.27,1113212,$19.01,$19.42,$18.08
11/15/2023,$19.33,1424380,$19.15,$20.87,$19.06
11/14/2023,$18.82,1491732,$17.75,$18.92,$17.35
11/13/2023,$16.65,941517,$17.00,$17.18,$16.29
11/10/2023,$17.15,918922,$17.57,$17.60,$16.78
11/09/2023,$17.74,863417,$18.78,$19.0825,$17.71
11/08/2023,$18.50,748076,$19.06,$19.06,$17.82
11/07/2023,$18.23,644474,$18.60,$19.05,$17.90
11/06/2023,$18.77,887491,$19.23,$19.32,$17.86
11/03/2023,$19.01,3721925,$18.19,$19.29,$17.98
11/02/2023,$17.26,3253722,$17.05,$17.95,$16.9907
11/01/2023,$16.62,1940525,$17.34,$17.50,$16.42
10/31/2023,$17.32,1545638,$17.43,$17.92,$16.76
10/30/2023,$17.28,1210112,$17.54,$18.05,$16.79
10/27/2023,$17.26,1043102,$18.74,$18.80,$17.1268
10/26/2023,$18.62,1202367,$18.99,$19.63,$18.60
10/25/2023,$18.96,985177,$19.01,$19.605,$18.48
10/24/2023,$19.00,1386517,$18.44,$19.23,$18.25
10/23/2023,$17.975,1097331,$17.57,$18.70,$17.19
10/20/2023,$18.07,1952598,$17.80,$18.23,$17.07
10/19/2023,$19.33,1304791,$19.49,$20.00,$19.02
10/18/2023,$19.31,1239973,$20.85,$20.85,$19.03
10/17/2023,$21.02,995182,$20.78,$21.81,$20.63
10/16/2023,$21.35,1079328,$20.69,$21.79,$20.34
10/13/2023,$20.70,656565,$21.18,$21.605,$20.54
10/12/2023,$21.13,895674,$23.14,$23.14,$21.01
10/11/2023,$23.06,1136417,$23.01,$23.59,$22.19
10/10/2023,$22.48,1229421,$20.74,$22.63,$20.60
10/09/2023,$20.51,803664,$20.21,$20.87,$19.97
10/06/2023,$20.78,1307976,$19.74,$21.11,$19.65
10/05/2023,$20.62,1222469,$20.98,$20.98,$20.21
10/04/2023,$21.10,1271661,$20.46,$21.18,$19.385
10/03/2023,$20.42,2033079,$21.92,$22.00,$19.85
10/02/2023,$22.38,1397421,$22.72,$23.08,$21.81
09/29/2023,$22.99,1222820,$23.00,$23.79,$22.80
09/28/2023,$22.48,882256,$21.99,$22.76,$21.51
09/27/2023,$22.25,693334,$22.61,$22.95,$21.77
09/26/2023,$22.04,739445,$22.17,$22.69,$21.88
09/25/2023,$22.70,903137,$21.90,$22.94,$21.52
09/22/2023,$22.15,724662,$22.35,$22.72,$21.93
09/21/2023,$22.23,1395068,$22.93,$23.15,$22.15
09/20/2023,$23.69,663646,$24.08,$24.39,$23.61
09/19/2023,$23.95,843630,$24.08,$24.99,$23.90
09/18/2023,$24.36,706262,$25.20,$25.30,$24.33
09/15/2023,$25.24,1187602,$25.58,$25.95,$24.72
09/14/2023,$25.44,1024664,$25.44,$26.21,$25.18
09/13/2023,$25.20,798925,$25.68,$26.29,$25.04
09/12/2023,$25.79,937526,$25.00,$26.305,$24.82
09/11/2023,$25.43,1783612,$26.73,$26.98,$25.11
09/08/2023,$26.48,824963,$27.10,$27.14,$25.64
