Date,Close/Last,Volume,Open,High,Low
01/05/2024,$41.63,732598,$41.42,$42.19,$41.28
01/04/2024,$41.40,897763,$41.31,$41.68,$41.06
01/03/2024,$41.20,479552,$41.00,$41.34,$40.91
01/02/2024,$41.04,762856,$40.71,$41.26,$40.67
12/29/2023,$41.13,474427,$40.82,$41.21,$40.75
12/28/2023,$41.02,620820,$40.97,$41.18,$40.81
12/27/2023,$41.06,484339,$40.90,$41.25,$40.76
12/26/2023,$40.95,210094,$40.71,$41.06,$40.71
12/22/2023,$40.71,785300,$40.55,$40.94,$40.55
12/21/2023,$40.38,667435,$40.17,$40.55,$40.17
12/20/2023,$40.06,948442,$40.78,$40.96,$40.05
12/19/2023,$40.87,734201,$40.59,$40.98,$40.59
12/18/2023,$40.53,794796,$41.12,$41.25,$40.42
12/15/2023,$41.01,1198398,$41.43,$41.43,$40.865
12/14/2023,$41.44,1465860,$41.54,$41.76,$41.25
12/13/2023,$41.29,696334,$39.96,$41.33,$39.63
12/12/2023,$39.82,962359,$40.49,$40.53,$39.47
12/11/2023,$40.76,591007,$40.50,$40.77,$40.23
12/08/2023,$40.71,442130,$40.80,$40.86,$40.48
12/07/2023,$40.86,530194,$40.94,$41.17,$40.83
12/06/2023,$40.94,571995,$40.59,$41.19,$40.59
12/05/2023,$40.48,485224,$40.67,$40.77,$40.385
12/04/2023,$40.66,831528,$40.44,$40.85,$40.21
12/01/2023,$40.64,585409,$40.15,$40.67,$40.055
11/30/2023,$40.08,1105257,$39.99,$40.20,$39.405
11/29/2023,$39.98,1000047,$40.59,$40.62,$39.86
11/28/2023,$40.68,779643,$40.82,$41.20,$40.66
11/27/2023,$40.76,481702,$41.02,$41.02,$40.57
11/24/2023,$41.08,239040,$41.16,$41.16,$40.95
11/22/2023,$41.05,444458,$41.05,$41.18,$40.78
11/21/2023,$40.96,894760,$41.18,$41.40,$40.87
11/20/2023,$41.01,480413,$40.90,$41.15,$40.68
11/17/2023,$41.17,398510,$41.25,$41.30,$40.965
11/16/2023,$41.04,984944,$41.25,$41.35,$40.89
11/15/2023,$41.47,677852,$41.08,$41.57,$41.08
11/14/2023,$41.17,615537,$40.81,$41.37,$40.76
11/13/2023,$40.25,577801,$40.27,$40.46,$40.09
11/10/2023,$40.38,958340,$40.71,$40.76,$40.19
11/09/2023,$40.73,742252,$40.49,$41.17,$40.49
11/08/2023,$40.46,492695,$40.47,$40.54,$40.21
11/07/2023,$40.61,897372,$41.08,$41.08,$40.5389
11/06/2023,$41.26,641040,$41.55,$41.70,$41.095
11/03/2023,$41.58,1092205,$42.00,$42.17,$41.33
11/02/2023,$41.65,1022954,$40.67,$41.74,$40.37
11/01/2023,$40.37,1145223,$39.84,$40.58,$39.70
10/31/2023,$39.73,1228196,$40.18,$40.30,$39.42
10/30/2023,$40.15,627509,$39.76,$40.30,$39.655
10/27/2023,$39.64,774057,$40.23,$40.34,$39.61
10/26/2023,$40.13,1222489,$39.61,$40.315,$39.58
