Date,Close/Last,Volume,Open,High,Low
01/05/2024,$71.44,1267502,$71.40,$71.80,$70.88
01/04/2024,$71.52,1931883,$71.15,$72.30,$70.99
01/03/2024,$71.04,2078587,$72.12,$72.12,$70.84
01/02/2024,$72.27,2060171,$72.51,$73.20,$72.03
12/29/2023,$73.63,874248,$73.46,$73.9919,$73.30
12/28/2023,$73.58,1158667,$73.62,$73.87,$73.41
12/27/2023,$73.69,1465582,$73.45,$73.96,$73.285
12/26/2023,$73.44,1076015,$72.81,$73.50,$72.7501
12/22/2023,$72.89,1006745,$72.88,$73.20,$72.46
12/21/2023,$72.58,1105751,$72.14,$72.605,$71.78
12/20/2023,$71.60,1320752,$72.57,$72.69,$71.47
12/19/2023,$72.79,1390902,$72.45,$72.83,$72.14
12/18/2023,$72.18,1386827,$72.30,$72.30,$71.21
12/15/2023,$72.08,5691594,$72.42,$72.54,$71.26
12/14/2023,$73.07,4047394,$72.17,$74.14,$72.17
12/13/2023,$71.19,3299168,$71.18,$71.58,$70.74
12/12/2023,$71.03,1281591,$70.67,$71.40,$70.53
12/11/2023,$70.67,2015009,$69.09,$70.78,$69.00
12/08/2023,$68.89,1970244,$69.17,$69.61,$68.62
12/07/2023,$69.06,1104085,$68.97,$69.40,$68.86
12/06/2023,$68.68,1005861,$68.78,$69.345,$68.55
12/05/2023,$68.30,1629856,$69.33,$69.49,$68.145
12/04/2023,$69.53,1444835,$68.75,$69.56,$68.47
12/01/2023,$69.30,2576796,$68.90,$69.47,$68.51
11/30/2023,$68.98,3730425,$67.95,$69.04,$67.60
11/29/2023,$67.71,1118515,$68.11,$68.38,$67.625
11/28/2023,$67.50,2218288,$67.32,$68.08,$67.08
11/27/2023,$67.44,1875697,$67.20,$67.79,$67.01
11/24/2023,$67.55,725934,$67.83,$68.00,$67.45
11/22/2023,$67.83,1026657,$67.45,$68.04,$67.27
11/21/2023,$67.41,1420912,$67.60,$67.81,$67.2706
11/20/2023,$67.68,1483941,$68.00,$68.00,$67.39
11/17/2023,$68.10,1429013,$67.91,$68.16,$67.39
11/16/2023,$67.63,2272831,$67.39,$68.08,$67.09
11/15/2023,$67.44,2488568,$67.02,$68.075,$66.87
11/14/2023,$66.94,4451312,$66.58,$67.315,$66.40
11/13/2023,$65.32,1941849,$65.60,$65.76,$65.145
11/10/2023,$65.83,2077728,$65.76,$66.02,$64.985
11/09/2023,$65.34,1804026,$65.84,$65.97,$65.21
11/08/2023,$65.40,2261676,$65.07,$65.89,$64.88
11/07/2023,$64.96,2863347,$65.42,$65.675,$64.69
11/06/2023,$65.59,2511439,$66.00,$66.16,$65.21
11/03/2023,$65.95,3982671,$66.54,$67.24,$65.835
11/02/2023,$65.40,3457841,$65.94,$66.47,$65.155
11/01/2023,$65.19,2709818,$65.32,$65.56,$64.44
10/31/2023,$65.28,3080384,$64.83,$65.46,$64.55
10/30/2023,$65.04,2877176,$65.72,$65.94,$64.275
10/27/2023,$65.03,2563477,$65.14,$65.50,$64.6025
10/26/2023,$65.10,3168165,$63.78,$66.17,$63.50
10/25/2023,$64.60,8114662,$65.45,$66.46,$63.05
10/24/2023,$70.25,1903237,$70.71,$70.90,$69.94
10/23/2023,$70.01,2392070,$70.52,$71.09,$69.86
10/20/2023,$70.24,1907856,$71.31,$71.405,$70.09
10/19/2023,$71.10,1977388,$72.02,$72.59,$70.86
10/18/2023,$72.08,1943438,$74.31,$74.31,$72.07
10/17/2023,$75.14,1531171,$74.24,$75.44,$74.0901
10/16/2023,$74.66,1501402,$74.91,$75.30,$74.24
10/13/2023,$74.12,1643571,$75.92,$76.13,$73.71
10/12/2023,$75.99,1457752,$77.34,$77.34,$75.41
10/11/2023,$77.16,1307032,$76.49,$77.19,$76.36
10/10/2023,$76.47,1996732,$75.63,$77.09,$75.44
10/09/2023,$75.45,874195,$74.95,$75.7878,$74.495
10/06/2023,$75.46,1704550,$74.04,$75.93,$73.69
10/05/2023,$74.60,1501517,$74.52,$74.80,$73.91
10/04/2023,$73.94,1591776,$73.36,$74.22,$72.80
10/03/2023,$73.36,1514421,$73.41,$73.94,$72.86
10/02/2023,$73.70,1682115,$73.95,$74.87,$73.35
09/29/2023,$74.16,1806682,$74.90,$75.07,$74.03
09/28/2023,$74.37,1164712,$73.76,$75.08,$73.35
09/27/2023,$73.59,1375596,$73.78,$74.09,$73.20
09/26/2023,$73.26,1873053,$74.18,$74.80,$73.03
09/25/2023,$74.82,1081938,$74.14,$75.13,$74.14
09/22/2023,$74.28,1147843,$73.77,$74.64,$73.77
09/21/2023,$73.92,956491,$74.77,$74.77,$73.88
