Date,Close/Last,Volume,Open,High,Low
01/05/2024,$15.96,810277,$15.86,$16.125,$15.84
01/04/2024,$15.93,960301,$15.98,$16.19,$15.78
01/03/2024,$15.93,1281184,$16.44,$16.44,$15.92
01/02/2024,$16.52,845162,$16.28,$16.695,$16.25
12/29/2023,$16.46,812005,$16.68,$16.75,$16.46
12/28/2023,$16.93,826970,$16.86,$16.955,$16.84
12/27/2023,$16.95,924543,$16.99,$17.03,$16.842
12/26/2023,$16.97,840596,$16.78,$17.00,$16.61
12/22/2023,$16.65,891249,$16.67,$16.83,$16.54
12/21/2023,$16.55,2155838,$16.60,$16.65,$16.28
12/20/2023,$16.43,2209782,$16.97,$17.06,$16.43
12/19/2023,$16.50,1650166,$16.40,$16.62,$16.30
12/18/2023,$16.36,1125421,$16.49,$16.67,$16.285
12/15/2023,$16.38,4338188,$16.42,$16.465,$16.1703
12/14/2023,$16.38,3084433,$16.62,$16.97,$16.215
12/13/2023,$16.31,1292801,$15.47,$16.32,$15.41
12/12/2023,$15.46,922310,$15.47,$15.61,$15.3531
12/11/2023,$15.50,950164,$15.39,$15.51,$15.30
12/08/2023,$15.43,1708368,$15.32,$15.595,$15.26
12/07/2023,$15.31,812349,$14.98,$15.31,$14.77
12/06/2023,$14.95,985109,$15.02,$15.37,$14.92
12/05/2023,$14.93,636910,$15.02,$15.07,$14.84
12/04/2023,$15.09,1042886,$14.79,$15.15,$14.78
12/01/2023,$14.93,1303372,$14.13,$14.97,$14.08
11/30/2023,$14.23,740135,$14.27,$14.375,$14.13
11/29/2023,$14.23,796974,$14.11,$14.42,$14.11
11/28/2023,$14.02,739248,$14.03,$14.03,$13.84
11/27/2023,$14.10,1100635,$14.05,$14.14,$13.975
11/24/2023,$14.13,481018,$14.06,$14.175,$14.00
11/22/2023,$14.08,570658,$14.14,$14.22,$13.98
11/21/2023,$14.04,822332,$14.22,$14.32,$13.985
11/20/2023,$14.30,835204,$14.26,$14.315,$14.13
11/17/2023,$14.27,952108,$14.27,$14.455,$14.23
11/16/2023,$14.13,1207914,$14.32,$14.36,$14.02
11/15/2023,$14.33,828510,$14.19,$14.455,$14.15
11/14/2023,$14.23,1355724,$14.01,$14.45,$13.93
11/13/2023,$13.49,978936,$13.33,$13.555,$13.27
11/10/2023,$13.43,802291,$13.36,$13.525,$13.19
11/09/2023,$13.31,768504,$13.57,$13.61,$13.21
11/08/2023,$13.56,807212,$13.80,$13.80,$13.515
11/07/2023,$13.75,890801,$13.76,$13.86,$13.64
11/06/2023,$13.87,1225138,$14.15,$14.19,$13.815
11/03/2023,$14.15,1258879,$14.00,$14.30,$13.955
11/02/2023,$13.66,1325703,$13.22,$13.67,$13.22
11/01/2023,$13.09,1215582,$12.92,$13.195,$12.87
10/31/2023,$12.99,1016662,$12.77,$12.99,$12.75
10/30/2023,$12.77,1263199,$12.57,$12.80,$12.52
10/27/2023,$12.43,1002505,$12.67,$12.67,$12.24
10/26/2023,$12.67,1141066,$12.36,$12.755,$12.35
10/25/2023,$12.35,1533263,$12.20,$12.405,$11.995
10/24/2023,$12.23,1539575,$12.37,$12.37,$12.0803
10/23/2023,$12.28,1520782,$12.07,$12.585,$12.065
10/20/2023,$12.07,2235093,$12.38,$12.38,$12.00
10/19/2023,$12.38,1555516,$12.40,$12.825,$12.32
10/18/2023,$12.39,2146651,$12.55,$13.18,$12.18
10/17/2023,$12.59,1859982,$12.27,$12.73,$12.2597
10/16/2023,$12.35,1587795,$12.22,$12.40,$12.20
10/13/2023,$12.08,1071139,$12.52,$12.5799,$12.02
10/12/2023,$12.38,1275557,$12.38,$12.43,$12.175
10/11/2023,$12.41,731432,$12.42,$12.61,$12.30
10/10/2023,$12.39,1364474,$12.32,$12.54,$12.29
10/09/2023,$12.29,697159,$12.22,$12.395,$12.15
10/06/2023,$12.29,967623,$12.13,$12.445,$12.07
10/05/2023,$12.29,1211887,$11.95,$12.345,$11.95
10/04/2023,$12.01,1085422,$11.73,$12.03,$11.64
10/03/2023,$11.71,1107047,$11.77,$11.82,$11.63
10/02/2023,$11.88,1009713,$12.11,$12.11,$11.81
09/29/2023,$12.11,1309682,$12.08,$12.26,$12.02
09/28/2023,$12.13,1989742,$12.11,$12.385,$12.11
09/27/2023,$12.08,1169503,$12.20,$12.31,$11.975
09/26/2023,$12.09,1081128,$12.14,$12.405,$12.08
09/25/2023,$12.30,1029133,$12.15,$12.33,$12.10
09/22/2023,$12.16,848661,$12.15,$12.26,$12.055
09/21/2023,$12.18,1586079,$12.37,$12.51,$12.16
09/20/2023,$12.45,775191,$12.72,$12.93,$12.45
09/19/2023,$12.62,988572,$12.67,$12.795,$12.46
09/18/2023,$12.64,1397344,$13.08,$13.16,$12.64
09/15/2023,$13.03,4375158,$13.12,$13.23,$12.87
09/14/2023,$13.19,1253720,$13.07,$13.21,$13.01
09/13/2023,$12.92,1399633,$13.02,$13.065,$12.61
09/12/2023,$12.96,1033428,$12.71,$12.985,$12.64
09/11/2023,$12.69,932441,$12.95,$13.08,$12.675
09/08/2023,$12.93,752539,$12.91,$13.02,$12.725
09/07/2023,$12.91,999245,$12.99,$13.07,$12.79
09/06/2023,$13.03,800357,$13.30,$13.38,$12.96
09/05/2023,$13.27,1091455,$13.59,$13.605,$13.24
09/01/2023,$13.72,749013,$13.38,$13.79,$13.38
08/31/2023,$13.33,769195,$13.29,$13.38,$13.25
08/30/2023,$13.28,684766,$13.48,$13.51,$13.265
08/29/2023,$13.48,1027589,$13.22,$13.50,$13.08
08/28/2023,$13.19,602224,$13.03,$13.23,$13.00
08/25/2023,$12.95,711023,$13.10,$13.19,$12.73
08/24/2023,$13.04,915404,$12.81,$13.12,$12.81
08/23/2023,$12.88,665131,$12.72,$12.97,$12.62
08/22/2023,$12.73,920587,$13.05,$13.25,$12.71
08/21/2023,$13.08,696771,$13.20,$13.28,$12.98
08/18/2023,$13.17,821387,$13.14,$13.29,$13.085
08/17/2023,$13.26,741675,$13.20,$13.30,$13.14
08/16/2023,$13.13,654939,$13.25,$13.39,$13.09
08/15/2023,$13.30,888200,$13.51,$13.57,$13.28
08/14/2023,$13.74,691013,$13.92,$13.93,$13.64
08/11/2023,$13.98,602520,$13.93,$14.045,$13.89
08/10/2023,$14.00,765056,$14.13,$14.23,$13.87
08/09/2023,$14.07,645977,$14.18,$14.25,$14.00
08/08/2023,$14.31,959984,$14.17,$14.34,$13.83
08/07/2023,$14.63,649337,$14.52,$14.67,$14.46
08/04/2023,$14.51,985789,$14.65,$14.80,$14.48
08/03/2023,$14.69,1069743,$14.32,$14.73,$14.16
08/02/2023,$14.34,1233957,$14.02,$14.3675,$14.02
08/01/2023,$14.24,1098698,$14.29,$14.29,$13.98
07/31/2023,$14.30,1204946,$14.21,$14.33,$14.165
07/28/2023,$14.23,1237202,$14.24,$14.395,$14.15
07/27/2023,$14.16,1761041,$14.39,$14.49,$14.08
07/26/2023,$14.31,1711502,$13.83,$14.42,$13.81
07/25/2023,$13.66,1572783,$13.78,$14.01,$13.635
07/24/2023,$13.79,1530736,$13.35,$13.81,$13.35
07/21/2023,$13.40,1606986,$13.63,$13.649,$13.31
07/20/2023,$13.52,2290452,$13.45,$13.66,$13.34
07/19/2023,$13.51,1993627,$13.29,$13.54,$12.93
07/18/2023,$12.90,1188536,$12.43,$12.935,$12.43
07/17/2023,$12.43,1010866,$12.26,$12.54,$12.23
07/14/2023,$12.29,1090793,$12.61,$12.64,$12.14
07/13/2023,$12.55,1220926,$12.41,$12.665,$12.37
07/12/2023,$12.33,5749459,$12.36,$12.54,$12.235
07/11/2023,$12.15,818904,$12.07,$12.2008,$11.93
07/10/2023,$12.03,814900,$11.88,$12.22,$11.88
07/07/2023,$11.94,797797,$11.69,$12.04,$11.69
07/06/2023,$11.67,1011896,$11.79,$11.88,$11.465
07/05/2023,$11.94,1129453,$11.98,$12.115,$11.80
07/03/2023,$12.11,366309,$11.96,$12.20,$11.92
06/30/2023,$11.92,995196,$12.25,$12.28,$11.91
06/29/2023,$12.35,925794,$12.31,$12.52,$12.275
06/28/2023,$12.15,786495,$12.16,$12.185,$12.02
06/27/2023,$12.21,777288,$12.04,$12.36,$11.93
06/26/2023,$12.03,986860,$12.06,$12.245,$12.01
06/23/2023,$12.00,1842928,$12.13,$12.28,$11.935
06/22/2023,$12.30,1659494,$12.52,$12.55,$12.09
06/21/2023,$12.61,1543056,$12.72,$12.72,$12.405
06/20/2023,$12.61,1978954,$12.85,$12.85,$12.55
06/16/2023,$12.87,33876710,$13.10,$13.18,$12.70
06/15/2023,$13.10,1585383,$12.70,$13.16,$12.70
06/14/2023,$12.82,1753997,$13.09,$13.30,$12.67
06/13/2023,$13.07,1632987,$13.01,$13.42,$12.92
06/12/2023,$12.99,2048394,$12.92,$13.335,$12.88
06/09/2023,$12.96,1451889,$12.88,$13.00,$12.83
