Date,Close/Last,Volume,Open,High,Low
01/05/2024,$37.37,183392,$37.33,$37.52,$36.85
01/04/2024,$37.27,183001,$38.30,$38.95,$37.155
01/03/2024,$38.24,162034,$39.39,$39.425,$38.12
01/02/2024,$39.50,287517,$39.97,$40.185,$38.01
12/29/2023,$39.80,191726,$39.03,$40.14,$39.02
12/28/2023,$39.57,228938,$38.57,$39.71,$38.57
12/27/2023,$38.81,162939,$38.56,$39.15,$38.49
12/26/2023,$38.85,73125,$37.94,$38.9699,$37.94
12/22/2023,$38.16,52627,$38.19,$38.69,$38.0212
12/21/2023,$38.39,159613,$37.89,$38.70,$37.89
12/20/2023,$37.68,160053,$38.92,$39.443,$37.68
12/19/2023,$38.99,69357,$38.25,$39.09,$38.25
12/18/2023,$38.13,138890,$38.37,$39.22,$38.035
12/15/2023,$38.78,147094,$38.95,$39.78,$38.21
12/14/2023,$38.94,351496,$39.68,$40.59,$38.83
12/13/2023,$38.99,94900,$38.36,$39.1415,$37.64
12/12/2023,$38.46,159791,$39.01,$39.36,$37.89
12/11/2023,$39.43,792566,$39.30,$40.06,$39.19
12/08/2023,$39.35,163523,$38.68,$39.75,$38.68
12/07/2023,$38.80,85009,$38.51,$39.3699,$38.51
12/06/2023,$38.61,96397,$39.59,$40.00,$38.58
12/05/2023,$39.50,140154,$39.19,$40.08,$38.84
12/04/2023,$39.49,237275,$39.34,$39.66,$38.85
12/01/2023,$39.22,196626,$39.00,$39.78,$38.60
11/30/2023,$39.22,134489,$38.51,$39.75,$38.51
11/29/2023,$38.73,140544,$39.40,$39.87,$38.72
11/28/2023,$39.23,123626,$39.24,$39.50,$38.545
11/27/2023,$39.12,179154,$39.10,$39.50,$38.60
11/24/2023,$39.32,42680,$39.28,$39.63,$39.04
11/22/2023,$39.50,341322,$38.25,$39.91,$38.25
11/21/2023,$38.22,86818,$38.61,$38.99,$38.15
11/20/2023,$38.85,241075,$38.24,$39.34,$38.01
11/17/2023,$38.31,191747,$37.65,$38.92,$37.19
11/16/2023,$37.41,345659,$38.79,$39.04,$36.97
11/15/2023,$38.97,257567,$39.39,$40.28,$38.69
11/14/2023,$39.12,433457,$38.00,$39.19,$37.53
11/13/2023,$37.35,333903,$37.56,$37.77,$37.03
11/10/2023,$37.67,411308,$37.66,$38.04,$37.305
11/09/2023,$37.25,446511,$37.94,$38.42,$36.92
11/08/2023,$37.76,432399,$38.68,$39.66,$37.71
