Date,Close/Last,Volume,Open,High,Low
01/26/2024,$10.89,1874014,$10.70,$11.27,$10.55
01/25/2024,$10.66,2313472,$10.25,$10.68,$10.10
01/24/2024,$10.03,629521,$9.76,$10.3954,$9.76
01/23/2024,$9.69,538215,$9.73,$10.19,$9.4606
01/22/2024,$9.73,806961,$8.75,$9.90,$8.62
01/19/2024,$9.12,952922,$8.93,$9.21,$8.52
01/18/2024,$8.94,1087234,$9.86,$9.96,$8.875
01/17/2024,$9.74,654534,$9.39,$9.90,$9.30
01/16/2024,$9.60,1658061,$8.91,$9.90,$8.46
01/12/2024,$9.01,737503,$9.23,$9.39,$8.81
01/11/2024,$9.25,868552,$9.35,$9.59,$8.88
01/10/2024,$9.23,775728,$9.09,$9.56,$8.85
01/09/2024,$9.00,3024328,$9.05,$9.37,$8.78
01/08/2024,$9.17,1561524,$8.38,$9.20,$8.2001
01/05/2024,$8.345,1875349,$8.60,$8.8129,$7.59
01/04/2024,$8.44,1568830,$8.05,$8.58,$7.6212
01/03/2024,$7.90,1072044,$8.00,$8.3436,$7.69
01/02/2024,$8.28,1744575,$9.60,$9.61,$8.05
12/29/2023,$9.61,999612,$10.00,$10.0411,$9.40
12/28/2023,$9.65,2823137,$9.24,$10.427,$9.1336
12/27/2023,$9.08,2937893,$9.215,$9.36,$8.375
12/26/2023,$7.97,3097006,$8.04,$8.90,$7.355
12/22/2023,$6.83,1315850,$6.30,$6.84,$6.26
12/21/2023,$6.32,596080,$6.50,$6.52,$6.1822
12/20/2023,$6.22,1121837,$6.35,$6.5899,$6.12
12/19/2023,$6.03,1441608,$5.63,$6.25,$5.52
12/18/2023,$5.48,874159,$5.22,$5.61,$5.11
12/15/2023,$5.25,758534,$5.53,$5.75,$5.21
12/14/2023,$5.50,3460609,$5.47,$5.66,$5.34
12/13/2023,$5.30,208711,$5.27,$5.3696,$5.10
12/12/2023,$5.25,250187,$5.07,$5.31,$4.95
12/11/2023,$4.97,330491,$5.85,$5.89,$4.78
12/08/2023,$5.82,497550,$5.77,$5.93,$5.68
12/07/2023,$5.74,409666,$5.43,$5.85,$5.27
12/06/2023,$5.40,164148,$5.37,$5.65,$5.31
12/05/2023,$5.40,641030,$5.44,$5.55,$5.295
12/04/2023,$5.24,164252,$5.41,$5.475,$5.13
12/01/2023,$5.35,165859,$5.70,$5.70,$4.99
11/30/2023,$5.54,444551,$4.84,$5.55,$4.825
11/29/2023,$4.77,115155,$4.83,$5.00,$4.50
11/28/2023,$4.74,103286,$4.74,$4.87,$4.585
11/27/2023,$4.70,217438,$5.03,$5.20,$4.60
