Date,Close/Last,Volume,Open,High,Low
01/03/2024,$52.15,1113770,$51.06,$52.2799,$50.80
01/02/2024,$51.49,1937568,$53.18,$53.41,$51.33
12/29/2023,$54.63,1662902,$54.31,$55.99,$54.31
12/28/2023,$54.17,2993008,$53.46,$55.4788,$53.07
12/27/2023,$51.97,964429,$52.31,$52.52,$51.50
12/26/2023,$51.89,691454,$51.91,$52.525,$51.45
12/22/2023,$51.50,1308853,$51.30,$51.89,$50.89
12/21/2023,$53.01,1590645,$52.22,$53.12,$51.70
12/20/2023,$50.98,1382020,$52.18,$52.45,$50.90
12/19/2023,$52.83,1663539,$52.00,$53.38,$51.93
12/18/2023,$51.70,2854837,$54.40,$54.40,$51.01
12/15/2023,$54.95,1893501,$55.95,$55.95,$54.25
12/14/2023,$55.00,2684747,$53.25,$55.53,$53.23
12/13/2023,$52.78,1129960,$52.17,$52.92,$51.63
12/12/2023,$52.95,1311606,$53.36,$53.87,$52.40
12/11/2023,$52.81,1189397,$52.00,$53.19,$51.40
12/08/2023,$52.06,1244986,$50.78,$52.554,$50.28
12/07/2023,$51.16,1724017,$52.09,$52.20,$50.53
12/06/2023,$51.99,1201361,$53.63,$53.89,$51.85
12/05/2023,$52.84,1094036,$51.61,$53.22,$51.5419
12/04/2023,$52.72,1663719,$53.02,$53.075,$51.88
12/01/2023,$54.43,1345710,$53.14,$54.86,$52.50
11/30/2023,$53.92,1796958,$55.21,$55.33,$53.52
11/29/2023,$54.54,2305907,$55.00,$55.19,$54.03
11/28/2023,$55.86,1701881,$57.42,$58.19,$55.54
11/27/2023,$56.73,3620867,$59.20,$59.90,$55.13
11/24/2023,$58.73,1808069,$59.98,$61.16,$57.70
11/22/2023,$59.38,2102100,$61.00,$61.05,$57.85
11/21/2023,$60.37,1780554,$61.56,$62.20,$59.81
11/20/2023,$62.55,3252764,$60.80,$64.46,$60.755
11/17/2023,$59.57,1024687,$60.00,$60.80,$59.12
11/16/2023,$59.53,2027833,$59.84,$61.59,$58.465
11/15/2023,$62.15,3176892,$62.70,$63.77,$60.40
11/14/2023,$60.73,1779520,$61.68,$61.8961,$59.56
11/13/2023,$60.57,2104733,$59.00,$61.54,$58.62
11/10/2023,$57.96,949937,$56.99,$58.13,$56.38
11/09/2023,$57.28,2127210,$59.25,$59.30,$56.45
11/08/2023,$59.10,1414173,$60.24,$60.89,$58.94
11/07/2023,$60.61,1567560,$61.04,$61.19,$58.84
11/06/2023,$61.43,3068030,$60.86,$63.25,$59.8738
11/03/2023,$58.72,2936312,$57.47,$60.28,$57.10
11/02/2023,$55.79,916220,$56.72,$57.46,$55.72
11/01/2023,$55.75,882694,$55.44,$56.09,$54.89
10/31/2023,$55.45,1646578,$57.21,$57.39,$54.54
10/30/2023,$57.80,1354682,$58.81,$59.56,$56.60
10/27/2023,$57.36,927320,$59.10,$60.10,$57.23
10/26/2023,$57.51,1463214,$56.15,$58.56,$56.00
10/25/2023,$56.06,1830140,$58.75,$59.15,$55.71
10/24/2023,$59.64,2034153,$58.11,$62.30,$58.11
10/23/2023,$57.48,889552,$57.08,$58.36,$56.2145
10/20/2023,$57.78,1348095,$57.89,$58.25,$56.881
10/19/2023,$58.43,3055593,$61.68,$62.51,$57.65
10/18/2023,$62.14,806298,$61.67,$62.66,$61.56
10/17/2023,$62.37,1241002,$61.80,$64.12,$61.56
10/16/2023,$62.09,1029602,$61.55,$63.565,$59.95
10/13/2023,$62.38,1567815,$60.66,$64.035,$60.57
10/12/2023,$61.52,3412644,$62.96,$63.26,$60.85
10/11/2023,$63.95,6072279,$64.08,$67.49,$63.30
10/10/2023,$62.76,3522903,$60.20,$63.39,$59.565
10/09/2023,$58.97,1810768,$56.79,$60.14,$56.79
10/06/2023,$57.37,2481080,$53.41,$57.80,$53.41
10/05/2023,$53.41,1852975,$54.21,$54.26,$52.17
10/04/2023,$54.47,1244574,$54.58,$55.11,$53.86
10/03/2023,$55.26,1527683,$56.30,$56.77,$54.84
10/02/2023,$57.11,827469,$57.77,$58.42,$56.40
09/29/2023,$57.81,1122568,$59.80,$60.67,$57.67
09/28/2023,$57.96,1493159,$57.30,$58.68,$56.96
09/27/2023,$57.53,864745,$58.17,$58.2374,$56.90
09/26/2023,$57.50,1546403,$57.44,$59.64,$57.25
09/25/2023,$58.06,1181428,$57.63,$59.50,$57.58
09/22/2023,$59.03,1925750,$60.14,$60.21,$58.98
09/21/2023,$57.09,1521585,$58.34,$58.38,$56.10
09/20/2023,$59.48,2050289,$58.91,$60.26,$58.78
09/19/2023,$58.88,844926,$58.99,$60.08,$58.42
09/18/2023,$58.99,776297,$58.54,$59.49,$57.70
09/15/2023,$59.15,701601,$59.63,$59.84,$58.32
09/14/2023,$59.60,1058913,$60.29,$60.37,$59.29
09/13/2023,$58.88,825380,$58.50,$59.7512,$58.50
09/12/2023,$59.11,1168482,$58.74,$60.14,$58.33
09/11/2023,$58.75,3149465,$59.73,$60.48,$58.06
09/08/2023,$57.95,2838553,$59.13,$60.18,$56.79
09/07/2023,$60.00,2922533,$61.21,$61.94,$59.23
09/06/2023,$64.19,2365627,$63.26,$65.50,$63.10
09/05/2023,$62.72,2061078,$61.81,$63.505,$60.90
09/01/2023,$63.39,5270915,$61.00,$66.0753,$60.55
08/31/2023,$59.60,2943297,$60.00,$61.45,$59.42
08/30/2023,$60.68,4580191,$58.69,$61.34,$58.30
08/29/2023,$60.01,5968619,$56.73,$60.88,$56.175
08/28/2023,$55.00,3598256,$52.87,$55.2323,$52.15
08/25/2023,$51.06,2337962,$50.30,$52.6599,$48.27
08/24/2023,$49.40,4168660,$48.11,$52.30,$48.11
08/23/2023,$48.80,1563225,$48.40,$49.25,$48.00
08/22/2023,$48.37,1392573,$50.00,$50.18,$47.88
08/21/2023,$48.64,1841268,$47.62,$49.13,$46.66
08/18/2023,$48.14,1322731,$47.11,$48.19,$47.04
08/17/2023,$49.08,1263350,$50.39,$50.50,$48.7666
08/16/2023,$49.14,2071682,$47.45,$49.70,$47.1696
08/15/2023,$48.21,1242754,$48.73,$49.39,$47.94
08/14/2023,$49.12,1565710,$48.17,$49.65,$47.81
08/11/2023,$49.22,3095698,$52.09,$52.539,$49.07
08/10/2023,$53.73,2271800,$55.42,$55.60,$53.68
08/09/2023,$53.80,757024,$55.03,$55.03,$53.66
08/08/2023,$54.28,1831103,$53.93,$54.82,$53.47
08/07/2023,$56.33,1057333,$57.68,$57.68,$55.50
08/04/2023,$57.31,1279713,$58.70,$58.85,$56.95
08/03/2023,$58.535,2997295,$57.60,$60.46,$57.59
08/02/2023,$55.44,3402104,$57.81,$58.08,$54.845
08/01/2023,$59.88,2616074,$58.62,$61.80,$58.50
07/31/2023,$60.20,2468567,$58.73,$60.95,$57.9484
07/28/2023,$58.71,4130857,$57.20,$59.35,$56.63
07/27/2023,$54.42,2827389,$53.85,$55.5957,$52.89
07/26/2023,$52.89,2806927,$51.27,$53.598,$51.27
07/25/2023,$51.26,2491228,$51.50,$52.40,$50.26
07/24/2023,$49.38,2995646,$46.14,$50.48,$45.69
07/21/2023,$46.45,1241856,$47.89,$48.22,$46.37
07/20/2023,$47.41,1148247,$46.27,$47.80,$46.19
07/19/2023,$47.07,3514733,$44.98,$48.52,$44.98
07/18/2023,$44.02,1455343,$45.41,$46.015,$43.64
07/17/2023,$46.56,1236934,$46.77,$47.57,$46.2701
07/14/2023,$46.97,1598086,$45.77,$47.385,$45.61
07/13/2023,$46.33,1870832,$46.11,$46.58,$45.38
07/12/2023,$45.27,2305693,$44.36,$46.025,$43.65
07/11/2023,$43.42,1751690,$43.11,$44.64,$42.80
07/10/2023,$42.62,1351243,$42.00,$43.07,$41.84
07/07/2023,$42.34,2789405,$39.86,$42.76,$39.83
07/06/2023,$39.83,1828580,$41.27,$42.00,$39.42
07/05/2023,$42.06,1966298,$40.32,$42.42,$40.14
07/03/2023,$41.12,3176780,$40.54,$42.385,$39.05
06/30/2023,$39.74,1487213,$39.92,$40.83,$39.66
06/29/2023,$39.65,753239,$39.20,$39.78,$38.95
06/28/2023,$39.90,1136040,$39.72,$40.22,$39.06
06/27/2023,$39.83,1016654,$39.91,$40.30,$39.55
06/26/2023,$38.96,752565,$38.93,$39.53,$38.76
06/23/2023,$38.99,1013195,$39.31,$39.42,$38.25
06/22/2023,$39.84,572883,$39.80,$40.1254,$39.20
06/21/2023,$39.90,2714553,$39.60,$40.24,$39.24
06/20/2023,$39.48,2438329,$40.75,$40.78,$38.95
06/16/2023,$42.03,1437235,$43.10,$43.44,$41.28
06/15/2023,$42.53,1779718,$43.03,$43.46,$42.34
06/14/2023,$41.92,1099387,$41.50,$42.29,$41.45
06/13/2023,$41.52,981736,$41.62,$42.61,$41.17
06/12/2023,$40.82,1100388,$41.86,$42.15,$40.67
06/09/2023,$41.70,1899726,$40.78,$42.515,$40.71
06/08/2023,$40.37,889844,$40.40,$40.80,$40.10
06/07/2023,$40.19,1274442,$40.06,$41.3563,$39.65
06/06/2023,$40.225,2042934,$38.99,$40.51,$38.75
06/05/2023,$39.12,1172301,$38.80,$39.2375,$37.95
06/02/2023,$38.98,2099265,$39.97,$40.10,$38.81
06/01/2023,$38.21,2019805,$36.82,$38.9198,$36.78
05/31/2023,$36.86,1956373,$36.90,$36.97,$36.00
05/30/2023,$36.94,3331482,$38.70,$38.70,$35.91
05/26/2023,$38.395,2219726,$38.61,$39.77,$38.28
05/25/2023,$37.96,2420921,$39.73,$39.78,$37.32
05/24/2023,$39.12,4002704,$39.00,$40.30,$38.02
05/23/2023,$38.62,1812814,$39.24,$39.89,$38.57
05/22/2023,$39.57,2423750,$39.00,$40.06,$38.6801
05/19/2023,$38.09,2126995,$38.54,$38.85,$37.52
05/18/2023,$38.66,4729816,$40.53,$40.89,$38.04
05/17/2023,$41.42,2086619,$40.87,$41.552,$40.23
05/16/2023,$41.24,5929544,$39.54,$41.81,$39.40
05/15/2023,$43.15,3064000,$41.75,$43.15,$39.80
05/12/2023,$41.01,1404643,$42.52,$42.52,$40.9506
05/11/2023,$42.95,1390258,$42.01,$43.28,$41.85
05/10/2023,$41.99,991361,$42.47,$42.7041,$41.40
05/09/2023,$42.64,1584430,$40.28,$42.78,$40.01
05/08/2023,$41.26,1960696,$42.97,$42.999,$41.0951
05/05/2023,$42.41,1076195,$42.80,$42.95,$42.39
05/04/2023,$42.36,1397339,$43.30,$43.34,$42.0438
05/03/2023,$42.76,784532,$42.68,$43.27,$42.27
05/02/2023,$42.60,1482320,$43.36,$43.36,$42.16
05/01/2023,$43.51,1257325,$44.23,$44.40,$43.20
04/28/2023,$44.27,1591416,$43.75,$44.915,$43.1547
04/27/2023,$43.76,1370749,$43.20,$44.20,$42.84
04/26/2023,$43.06,2354362,$44.23,$44.36,$42.86
04/25/2023,$42.93,1601949,$43.22,$43.33,$41.92
04/24/2023,$44.14,1602604,$45.73,$45.73,$43.90
04/21/2023,$46.26,1703371,$46.28,$46.82,$44.78
04/20/2023,$47.03,1963204,$48.73,$48.80,$46.53
04/19/2023,$49.03,1589827,$48.08,$49.52,$47.92
