Date,Close/Last,Volume,Open,High,Low
10/20/2023,29.48,29715290,29.60,30.16,29.47
10/19/2023,29.51,24517130,29.45,29.585,29.00
10/18/2023,29.45,23181120,29.98,30.07,29.27
10/17/2023,29.53,17619990,28.985,29.57,28.83
10/16/2023,29.00,16394460,28.86,29.19,28.64
10/13/2023,28.95,34511790,28.69,29.105,28.47
10/12/2023,27.74,22359660,28.32,28.42,27.59
10/11/2023,28.32,22283540,28.22,28.34,27.95
10/10/2023,27.81,18948770,27.67,27.87,27.482
10/09/2023,27.54,23042880,27.362,27.60,27.26
10/06/2023,26.89,25572490,26.36,27.10,26.26
10/05/2023,26.32,15613200,25.89,26.33,25.88
10/04/2023,25.91,17971600,26.13,26.17,25.62
10/03/2023,26.07,25713130,25.91,26.28,25.68
10/02/2023,25.99,28436820,26.555,26.56,25.885
09/29/2023,26.91,23094770,27.458,27.59,26.66
09/28/2023,27.05,28477320,26.87,27.0812,26.62
09/27/2023,26.91,33534670,27.56,27.60,26.66
09/26/2023,27.74,18917030,28.26,28.325,27.74
09/25/2023,28.51,16134990,28.771,28.79,28.26
09/22/2023,28.87,15054640,29.15,29.415,28.85
09/21/2023,28.91,23905170,29.09,29.245,28.785
09/20/2023,29.71,21914090,29.46,30.13,29.44
09/19/2023,29.40,13154300,29.84,29.86,29.31
09/18/2023,29.75,11023980,29.64,29.86,29.36
09/15/2023,29.72,24778890,29.42,29.885,29.40
09/14/2023,29.11,15558570,28.75,29.35,28.74
09/13/2023,28.72,10508920,28.80,28.98,28.58
09/12/2023,28.79,9549625,28.40,29.04,28.3807
09/11/2023,28.77,13542830,28.76,28.955,28.60
09/08/2023,28.34,17251290,28.39,28.81,28.28
09/07/2023,28.28,13897240,28.41,28.46,28.16
09/06/2023,28.47,14809730,28.33,28.74,28.24
09/05/2023,28.49,19547850,28.82,29.03,28.365
09/01/2023,29.09,20828500,29.66,29.85,29.06
08/31/2023,29.26,16439520,29.52,29.63,29.04
08/30/2023,29.52,14524030,29.78,30.00,29.4101
