Date,Close/Last,Volume,Open,High,Low
01/17/2024,$11.74,322326,$11.79,$12.08,$11.61
01/16/2024,$12.05,409989,$12.26,$12.28,$11.85
01/12/2024,$12.35,157120,$12.33,$12.47,$12.22
01/11/2024,$12.23,197186,$12.29,$12.29,$12.095
01/10/2024,$12.23,184995,$12.34,$12.365,$12.15
01/09/2024,$12.34,354585,$12.02,$12.49,$11.81
01/08/2024,$12.05,174617,$12.00,$12.07,$11.84
01/05/2024,$12.09,187855,$12.01,$12.12,$11.8706
01/04/2024,$11.94,444316,$12.11,$12.15,$11.94
01/03/2024,$12.01,276098,$11.79,$12.13,$11.788
01/02/2024,$11.79,250378,$11.74,$11.90,$11.59
12/29/2023,$11.58,283855,$11.70,$11.76,$11.52
12/28/2023,$11.65,418004,$11.72,$11.88,$11.65
12/27/2023,$11.87,171225,$11.76,$11.935,$11.685
12/26/2023,$11.82,116439,$11.87,$12.07,$11.82
12/22/2023,$11.88,229208,$12.19,$12.29,$11.85
12/21/2023,$12.18,197483,$12.22,$12.48,$12.095
12/20/2023,$12.28,531691,$12.08,$12.36,$12.08
12/19/2023,$12.10,302209,$12.00,$12.218,$12.00
12/18/2023,$12.02,613102,$11.75,$12.03,$11.74
12/15/2023,$11.61,3017245,$11.77,$12.0777,$11.61
12/14/2023,$11.85,832036,$11.57,$11.94,$11.50
12/13/2023,$11.59,701374,$11.28,$11.67,$11.27
12/12/2023,$11.31,456453,$11.30,$11.42,$11.07
12/11/2023,$11.53,738991,$12.25,$12.27,$11.39
12/08/2023,$12.28,484655,$12.43,$12.62,$12.24
12/07/2023,$12.32,362521,$12.34,$12.44,$12.20
12/06/2023,$12.26,645800,$12.51,$12.69,$12.24
12/05/2023,$12.47,284991,$12.47,$12.605,$12.24
12/04/2023,$12.56,545836,$12.68,$12.78,$12.37
12/01/2023,$12.67,598668,$12.51,$12.69,$12.455
11/30/2023,$12.56,1630287,$12.10,$12.56,$12.01
11/29/2023,$12.10,760997,$11.86,$12.23,$11.79
11/28/2023,$11.74,323069,$11.81,$11.90,$11.675
11/27/2023,$11.83,272450,$11.72,$11.93,$11.72
11/24/2023,$11.82,144304,$11.60,$11.90,$11.60
11/22/2023,$11.58,281383,$11.24,$11.59,$11.23
11/21/2023,$11.40,282795,$11.65,$11.73,$11.36
11/20/2023,$11.61,503922,$12.00,$12.00,$11.42
11/17/2023,$12.00,333155,$11.62,$12.00,$11.57
11/16/2023,$11.48,280045,$11.54,$11.60,$11.33
11/15/2023,$11.57,465231,$11.76,$11.86,$11.56
11/14/2023,$11.75,500623,$11.45,$11.75,$11.34
11/13/2023,$11.34,453948,$11.58,$11.73,$11.31
11/10/2023,$11.60,694263,$11.61,$11.7913,$11.48
11/09/2023,$11.47,230649,$11.35,$11.57,$11.35
11/08/2023,$11.25,718868,$11.57,$11.66,$11.18
11/07/2023,$11.48,395621,$11.59,$11.665,$11.41
11/06/2023,$11.67,647078,$11.88,$11.99,$11.62
11/03/2023,$11.85,442435,$11.15,$11.85,$11.05
11/02/2023,$11.28,720258,$11.85,$12.04,$11.10
11/01/2023,$11.42,1009213,$11.03,$11.88,$10.93
10/31/2023,$11.08,490370,$10.98,$11.14,$10.76
10/30/2023,$11.03,331166,$11.13,$11.25,$10.97
10/27/2023,$11.17,226222,$11.36,$11.415,$11.06
10/26/2023,$11.35,193689,$11.49,$11.55,$11.21
10/25/2023,$11.53,395396,$11.46,$11.63,$11.30
10/24/2023,$11.38,367511,$11.32,$11.49,$11.24
10/23/2023,$11.28,474515,$11.23,$11.40,$11.10
10/20/2023,$11.30,448489,$11.57,$11.60,$11.29
10/19/2023,$11.40,519441,$11.23,$11.55,$11.15
10/18/2023,$11.20,422418,$11.21,$11.49,$11.04
10/17/2023,$11.14,399882,$10.91,$11.18,$10.86
10/16/2023,$10.89,326180,$10.74,$10.94,$10.655
10/13/2023,$10.64,189610,$10.48,$10.74,$10.48
10/12/2023,$10.41,411517,$10.21,$10.45,$10.17
10/11/2023,$10.23,895334,$10.29,$10.54,$10.07
10/10/2023,$10.28,235295,$10.47,$10.50,$10.20
10/09/2023,$10.23,314429,$10.04,$10.40,$10.04
10/06/2023,$9.90,405006,$9.92,$10.075,$9.88
10/05/2023,$9.94,495421,$9.97,$10.10,$9.85
10/04/2023,$9.96,428824,$9.96,$10.115,$9.77
10/03/2023,$10.00,350768,$10.10,$10.16,$9.865
10/02/2023,$10.15,419303,$10.25,$10.42,$10.15
09/29/2023,$10.32,602715,$10.31,$10.755,$10.23
09/28/2023,$10.26,639621,$10.03,$10.30,$10.025
09/27/2023,$10.25,587969,$10.14,$10.31,$10.00
09/26/2023,$10.01,305866,$10.34,$10.55,$9.99
09/25/2023,$10.46,1860101,$10.09,$10.72,$10.05
09/22/2023,$10.04,5154347,$10.88,$11.18,$10.02
09/21/2023,$10.79,831267,$10.98,$11.08,$10.78
09/20/2023,$10.90,677508,$10.81,$11.29,$10.81
09/19/2023,$10.78,575339,$10.91,$11.01,$10.77
09/18/2023,$10.87,269998,$10.71,$10.91,$10.46
09/15/2023,$10.62,1006759,$10.75,$10.80,$10.62
09/14/2023,$10.75,350808,$10.91,$10.99,$10.70
09/13/2023,$10.90,266289,$10.78,$11.00,$10.7601
09/12/2023,$10.79,270360,$10.56,$10.93,$10.56
09/11/2023,$10.53,987576,$10.60,$10.79,$10.43
09/08/2023,$10.58,360826,$10.54,$10.61,$10.22
09/07/2023,$10.45,311985,$10.33,$10.52,$10.19
09/06/2023,$10.29,822306,$10.56,$10.65,$10.17
09/05/2023,$10.50,370922,$10.26,$10.56,$10.25
09/01/2023,$10.36,484821,$10.00,$10.36,$9.945
08/31/2023,$9.89,305417,$9.81,$9.99,$9.74
08/30/2023,$9.79,237315,$9.81,$9.87,$9.71
08/29/2023,$9.84,252376,$9.80,$9.86,$9.56
08/28/2023,$9.72,227232,$9.90,$9.90,$9.66
08/25/2023,$9.82,278019,$9.38,$9.87,$9.37
08/24/2023,$9.39,309293,$9.55,$9.64,$9.37
08/23/2023,$9.59,219437,$9.70,$9.70,$9.43
08/22/2023,$9.73,259638,$9.86,$9.86,$9.57
08/21/2023,$9.91,410765,$9.76,$9.93,$9.7101
08/18/2023,$9.76,357636,$9.35,$9.81,$9.26
08/17/2023,$9.36,183338,$9.56,$9.56,$9.325
08/16/2023,$9.43,536046,$9.23,$9.44,$9.17
08/15/2023,$9.17,266584,$9.36,$9.42,$9.13
08/14/2023,$9.39,756736,$9.68,$9.788,$9.32
08/11/2023,$9.78,557265,$9.39,$9.78,$9.30
08/10/2023,$9.34,741155,$9.10,$9.48,$9.0265
08/09/2023,$9.00,898124,$9.00,$9.25,$8.90
08/08/2023,$8.81,3376289,$8.39,$8.91,$8.34
08/07/2023,$8.49,2166490,$8.29,$8.50,$8.05
08/04/2023,$8.28,1205695,$8.45,$8.49,$8.20
08/03/2023,$8.38,3061234,$9.11,$9.48,$8.32
08/02/2023,$9.39,467477,$9.69,$9.73,$9.32
08/01/2023,$9.71,249304,$9.70,$9.81,$9.63
07/31/2023,$9.79,149964,$9.67,$9.89,$9.67
07/28/2023,$9.60,308868,$9.55,$9.77,$9.55
07/27/2023,$9.78,407752,$9.90,$9.95,$9.66
07/26/2023,$9.83,216094,$9.86,$10.00,$9.79
07/25/2023,$9.90,581601,$9.83,$10.08,$9.78
07/24/2023,$9.76,323486,$9.71,$9.88,$9.64
07/21/2023,$9.63,346362,$9.89,$9.9513,$9.61
07/20/2023,$9.92,198291,$9.92,$10.00,$9.83
07/19/2023,$9.89,253866,$9.93,$9.96,$9.85
07/18/2023,$9.85,294086,$9.66,$9.945,$9.65
07/17/2023,$9.62,305812,$9.60,$9.80,$9.40
07/14/2023,$9.60,175984,$9.88,$9.90,$9.58
07/13/2023,$9.80,154979,$9.83,$9.90,$9.70
07/12/2023,$9.83,286652,$9.93,$9.975,$9.75
07/11/2023,$9.87,361402,$9.64,$9.87,$9.64
07/10/2023,$9.64,442344,$9.62,$9.69,$9.42
07/07/2023,$9.70,306313,$9.43,$9.72,$9.41
07/06/2023,$9.38,278848,$9.33,$9.42,$9.24
07/05/2023,$9.44,608946,$9.78,$9.78,$9.37
07/03/2023,$9.69,46009,$9.90,$9.90,$9.63
06/30/2023,$9.55,228149,$9.67,$9.80,$9.55
06/29/2023,$9.65,192826,$9.48,$9.72,$9.48
06/28/2023,$9.48,531944,$9.38,$9.58,$9.28
06/27/2023,$9.44,135258,$9.49,$9.55,$9.41
06/26/2023,$9.49,297828,$9.12,$9.57,$9.12
06/23/2023,$9.18,339421,$9.50,$9.55,$9.155
06/22/2023,$9.58,215776,$9.71,$9.715,$9.57
06/21/2023,$9.75,304431,$9.59,$9.86,$9.59
06/20/2023,$9.64,731617,$9.97,$10.01,$9.47
06/16/2023,$10.00,1878281,$10.10,$10.215,$9.95
06/15/2023,$10.05,631809,$9.96,$10.24,$9.91
06/14/2023,$10.00,1484336,$10.05,$10.13,$9.96
06/13/2023,$9.93,472154,$10.05,$10.1899,$9.87
06/12/2023,$9.94,374357,$9.94,$10.155,$9.83
06/09/2023,$9.92,1874178,$9.86,$9.93,$9.64
06/08/2023,$9.95,984553,$10.20,$10.4079,$9.77
06/07/2023,$10.19,482180,$10.05,$10.31,$9.935
06/06/2023,$10.02,495557,$9.83,$10.0501,$9.77
06/05/2023,$9.88,330569,$10.15,$10.15,$9.86
06/02/2023,$10.01,408051,$9.93,$10.15,$9.76
06/01/2023,$9.76,708666,$9.73,$9.93,$9.58
05/31/2023,$9.65,848097,$9.66,$10.06,$9.62
05/30/2023,$9.78,790011,$10.08,$10.08,$9.69
