Date,Close/Last,Volume,Open,High,Low
10/20/2023,$21.93,757563,$22.22,$22.28,$21.93
10/19/2023,$22.20,748970,$22.56,$22.70,$22.13
10/18/2023,$22.47,859072,$22.34,$22.60,$22.12
10/17/2023,$22.55,928946,$21.93,$22.90,$21.93
10/16/2023,$22.03,933785,$21.47,$22.11,$21.44
10/13/2023,$21.19,893597,$21.48,$21.48,$21.00
10/12/2023,$21.43,1230729,$22.31,$22.33,$21.125
10/11/2023,$22.27,860157,$21.88,$22.28,$21.85
10/10/2023,$21.80,1168971,$21.31,$22.02,$21.31
10/09/2023,$21.17,865921,$20.66,$21.41,$20.56
10/06/2023,$20.76,625489,$20.55,$20.96,$20.41
10/05/2023,$20.66,657301,$20.89,$20.98,$20.525
10/04/2023,$20.98,1642286,$20.80,$21.31,$20.63
10/03/2023,$20.69,1043974,$21.04,$21.07,$20.382
10/02/2023,$20.99,1158555,$21.50,$21.64,$20.795
09/29/2023,$21.64,1107744,$21.61,$21.69,$21.29
09/28/2023,$21.28,806354,$21.04,$21.48,$21.021
09/27/2023,$20.97,923296,$21.09,$21.21,$20.90
09/26/2023,$20.97,825387,$21.41,$21.69,$20.97
09/25/2023,$21.59,613715,$21.30,$21.82,$21.25
09/22/2023,$21.54,575772,$21.74,$21.93,$21.45
09/21/2023,$21.72,581018,$21.66,$21.85,$21.55
09/20/2023,$21.77,609183,$22.07,$22.269,$21.75
09/19/2023,$21.95,635885,$22.11,$22.34,$21.95
09/18/2023,$22.15,1292993,$22.56,$22.66,$22.13
09/15/2023,$22.39,2094220,$22.38,$22.54,$22.25
09/14/2023,$22.52,1095284,$22.71,$22.85,$22.35
09/13/2023,$22.60,1195507,$23.13,$23.13,$22.425
09/12/2023,$23.21,1144777,$23.17,$23.275,$22.73
09/11/2023,$22.75,1406784,$23.29,$23.29,$22.68
09/08/2023,$23.08,620887,$23.40,$23.40,$22.945
09/07/2023,$23.57,844463,$23.48,$23.76,$23.12
09/06/2023,$23.41,862546,$23.98,$24.11,$23.325
