Date,Close/Last,Volume,Open,High,Low
01/05/2024,$83.16,524387,$82.91,$83.532,$82.875
01/04/2024,$83.37,474126,$83.01,$83.925,$83.01
01/03/2024,$83.10,424816,$84.45,$84.4541,$83.06
01/02/2024,$85.30,668287,$86.00,$86.52,$84.85
12/29/2023,$86.76,565829,$86.90,$87.37,$86.69
12/28/2023,$86.85,367775,$86.59,$87.13,$86.395
12/27/2023,$86.94,299348,$86.81,$87.47,$86.515
12/26/2023,$86.84,395826,$86.39,$87.08,$86.0735
12/22/2023,$86.37,449975,$86.00,$86.7574,$85.79
12/21/2023,$85.68,344221,$85.66,$85.83,$85.02
12/20/2023,$84.95,557856,$85.42,$86.05,$84.93
12/19/2023,$85.63,497132,$85.74,$85.94,$85.17
12/18/2023,$85.28,490400,$85.22,$85.49,$84.39
12/15/2023,$85.10,1544505,$85.68,$86.20,$84.955
12/14/2023,$85.74,787073,$84.47,$86.08,$84.33
12/13/2023,$83.91,818128,$82.98,$84.48,$82.49
12/12/2023,$82.97,742142,$82.95,$83.18,$82.49
12/11/2023,$82.85,443692,$82.67,$83.32,$82.51
12/08/2023,$82.63,468079,$82.05,$82.97,$82.05
12/07/2023,$82.24,365598,$82.13,$82.50,$81.61
12/06/2023,$82.07,554234,$81.96,$82.97,$81.96
12/05/2023,$81.57,461774,$81.71,$82.15,$81.14
12/04/2023,$82.39,587297,$81.46,$82.51,$81.34
12/01/2023,$81.96,633157,$80.69,$82.20,$80.38
11/30/2023,$80.78,1566114,$80.44,$80.99,$79.67
11/29/2023,$80.10,582995,$80.28,$80.64,$79.80
11/28/2023,$79.80,530843,$81.21,$81.47,$79.73
11/27/2023,$81.21,485363,$81.20,$81.62,$80.915
11/24/2023,$81.48,189280,$80.63,$81.58,$80.63
11/22/2023,$80.74,352098,$80.82,$81.16,$80.40
11/21/2023,$80.57,461400,$80.64,$81.12,$80.41
11/20/2023,$80.66,575823,$80.37,$80.90,$79.97
11/17/2023,$80.59,953025,$80.01,$80.66,$79.69
11/16/2023,$79.57,524709,$79.94,$80.33,$79.425
11/15/2023,$79.61,672634,$79.57,$80.10,$79.29
11/14/2023,$79.36,454886,$78.48,$79.46,$78.255
11/13/2023,$77.07,592069,$77.62,$77.76,$77.03
11/10/2023,$77.87,695134,$76.81,$77.98,$76.68
11/09/2023,$76.64,601117,$76.98,$77.1408,$76.28
11/08/2023,$76.45,629123,$77.12,$77.67,$76.28
11/07/2023,$76.94,489919,$77.18,$77.37,$76.81
11/06/2023,$77.47,768109,$76.84,$77.725,$76.6826
11/03/2023,$77.05,561593,$77.07,$77.96,$77.04
11/02/2023,$75.86,809147,$75.16,$76.56,$74.785
11/01/2023,$74.21,836283,$74.40,$74.56,$73.03
10/31/2023,$74.35,1807348,$74.32,$75.17,$73.92
10/30/2023,$74.37,908936,$74.23,$74.63,$73.62
10/27/2023,$73.51,1085650,$74.70,$76.03,$73.38
10/26/2023,$74.73,1509113,$71.57,$75.6301,$70.80
10/25/2023,$69.80,996768,$70.17,$70.71,$69.78
10/24/2023,$70.73,953935,$70.65,$71.11,$70.00
10/23/2023,$70.05,765646,$70.01,$70.90,$69.92
10/20/2023,$70.13,833513,$70.98,$71.17,$70.01
10/19/2023,$70.74,1053589,$71.14,$71.81,$70.29
10/18/2023,$71.22,616781,$73.79,$73.92,$71.20
10/17/2023,$74.76,936581,$74.05,$75.555,$74.02
10/16/2023,$74.47,409970,$74.33,$75.035,$74.00
10/13/2023,$73.58,387883,$74.52,$74.76,$73.26
10/12/2023,$74.63,628116,$76.11,$76.40,$74.33
10/11/2023,$75.88,559852,$74.89,$75.90,$74.66
10/10/2023,$74.85,738696,$75.54,$75.97,$74.82
10/09/2023,$75.24,604748,$73.97,$75.39,$73.81
10/06/2023,$74.81,994742,$73.31,$75.13,$72.6001
10/05/2023,$73.48,917195,$73.72,$74.445,$73.38
10/04/2023,$74.37,892983,$72.72,$74.598,$72.59
10/03/2023,$72.55,435290,$72.51,$73.21,$72.21
10/02/2023,$72.91,565151,$72.77,$73.61,$72.36
09/29/2023,$72.88,565383,$73.58,$73.775,$72.79
09/28/2023,$73.09,548779,$72.53,$73.84,$72.485
09/27/2023,$72.59,733911,$72.45,$72.90,$72.07
09/26/2023,$72.08,644306,$73.28,$73.525,$72.06
09/25/2023,$73.81,475073,$73.10,$74.11,$73.01
09/22/2023,$73.34,394821,$73.24,$73.85,$73.02
09/21/2023,$73.31,479267,$74.32,$74.32,$73.27
09/20/2023,$74.75,413677,$75.40,$75.73,$74.525
09/19/2023,$74.99,684609,$75.18,$75.55,$74.70
09/18/2023,$75.72,564307,$75.48,$76.197,$75.15
09/15/2023,$75.25,1415838,$74.86,$75.33,$74.47
09/14/2023,$75.21,830137,$75.80,$76.12,$75.10
09/13/2023,$75.15,497875,$75.16,$75.53,$74.735
09/12/2023,$75.44,395102,$75.25,$75.90,$75.05
09/11/2023,$75.84,526449,$75.99,$76.105,$75.05
09/08/2023,$75.71,493338,$75.88,$76.325,$75.44
09/07/2023,$75.89,825524,$76.52,$76.52,$75.08
09/06/2023,$77.00,343186,$76.88,$77.608,$76.47
09/05/2023,$76.69,449253,$79.00,$79.25,$75.84
09/01/2023,$79.46,455511,$79.37,$79.72,$78.875
08/31/2023,$78.94,1388008,$78.89,$79.79,$78.82
08/30/2023,$78.81,540665,$79.00,$79.68,$78.701
08/29/2023,$78.81,390741,$77.66,$78.885,$77.30
08/28/2023,$77.66,305697,$77.58,$78.285,$77.54
08/25/2023,$77.32,365155,$76.76,$77.76,$76.65
08/24/2023,$76.13,382317,$76.75,$77.63,$76.10
08/23/2023,$76.97,299534,$76.05,$77.08,$75.87
08/22/2023,$75.71,349473,$76.08,$76.15,$75.41
08/21/2023,$75.56,382447,$75.36,$75.65,$74.71
08/18/2023,$75.47,450168,$74.75,$75.97,$74.735
08/17/2023,$75.04,273845,$76.20,$76.34,$74.98
08/16/2023,$76.03,423846,$76.81,$77.30,$76.00
08/15/2023,$76.88,401169,$77.67,$78.00,$76.82
08/14/2023,$78.20,481263,$77.67,$78.22,$77.165
08/11/2023,$77.78,493975,$77.13,$77.84,$77.015
08/10/2023,$77.28,458984,$77.33,$77.95,$76.92
08/09/2023,$77.15,364876,$77.32,$77.60,$76.89
08/08/2023,$77.52,463811,$77.40,$77.675,$76.56
08/07/2023,$78.24,396791,$77.48,$78.52,$77.40
08/04/2023,$77.05,786505,$78.63,$78.63,$76.755
08/03/2023,$78.44,639863,$78.06,$78.71,$77.78
08/02/2023,$78.52,849101,$79.52,$79.9539,$78.37
08/01/2023,$79.99,939807,$79.05,$80.08,$78.88
07/31/2023,$79.33,832804,$79.42,$79.905,$78.83
07/28/2023,$79.09,1094476,$80.60,$80.76,$78.63
07/27/2023,$80.24,2415023,$78.16,$81.50,$73.28
07/26/2023,$86.76,1258510,$86.39,$87.05,$85.78
07/25/2023,$86.73,752451,$85.87,$87.285,$85.87
07/24/2023,$86.53,629753,$86.40,$87.09,$86.01
07/21/2023,$86.24,814853,$87.08,$87.19,$86.13
07/20/2023,$86.88,548193,$87.50,$87.62,$86.67
07/19/2023,$87.42,632998,$86.96,$87.63,$86.63
07/18/2023,$87.27,748225,$87.25,$87.9035,$87.06
07/17/2023,$87.40,636348,$86.14,$87.94,$85.85
07/14/2023,$86.31,752076,$86.17,$86.57,$85.49
07/13/2023,$86.56,587178,$86.49,$86.58,$85.80
07/12/2023,$85.98,739037,$86.59,$86.71,$85.78
07/11/2023,$85.59,581547,$85.47,$85.98,$84.96
07/10/2023,$85.14,523184,$83.74,$85.22,$83.71
07/07/2023,$83.57,851423,$82.95,$84.29,$82.95
07/06/2023,$83.26,780416,$83.75,$84.16,$82.61
07/05/2023,$84.35,672192,$84.74,$84.96,$84.18
07/03/2023,$85.67,353424,$85.84,$86.13,$85.35
06/30/2023,$86.35,763405,$86.33,$86.81,$86.11
06/29/2023,$85.73,638088,$84.35,$86.10,$84.35
06/28/2023,$84.75,1072391,$86.04,$86.285,$84.58
06/27/2023,$85.78,554669,$84.90,$85.94,$84.49
06/26/2023,$84.47,690960,$83.50,$84.66,$83.09
06/23/2023,$83.55,1613200,$83.53,$83.77,$83.06
06/22/2023,$84.31,665841,$85.01,$85.01,$84.11
06/21/2023,$84.96,774533,$83.49,$85.22,$83.21
06/20/2023,$84.00,1207896,$85.41,$85.41,$83.92
06/16/2023,$86.12,1752900,$85.76,$86.299,$85.35
06/15/2023,$85.40,962177,$83.94,$85.45,$83.46
06/14/2023,$84.14,953323,$85.10,$85.29,$83.65
06/13/2023,$85.19,1105315,$83.56,$85.22,$83.56
06/12/2023,$83.56,568223,$82.55,$83.7399,$82.1826
06/09/2023,$82.55,570162,$82.99,$83.24,$81.85
06/08/2023,$82.92,1234721,$81.90,$83.09,$81.49
06/07/2023,$82.37,959798,$79.87,$82.57,$79.83
06/06/2023,$80.16,801808,$78.77,$80.43,$78.52
06/05/2023,$78.91,486302,$79.49,$79.69,$78.175
06/02/2023,$79.80,638398,$77.85,$79.86,$77.77
06/01/2023,$77.19,893125,$76.46,$77.58,$75.96
05/31/2023,$76.49,7386525,$76.53,$76.78,$75.77
05/30/2023,$76.84,730197,$77.49,$77.61,$76.55
05/26/2023,$77.13,706221,$76.30,$77.38,$76.07
05/25/2023,$76.29,534165,$76.21,$76.68,$75.68
05/24/2023,$75.78,634423,$76.71,$76.75,$75.49
05/23/2023,$76.99,630420,$78.48,$79.08,$76.93
05/22/2023,$78.94,860866,$78.11,$78.96,$77.88
05/19/2023,$78.05,386940,$79.08,$79.11,$77.75
05/18/2023,$78.47,670414,$77.39,$78.59,$77.1212
05/17/2023,$77.40,453326,$77.44,$77.73,$76.89
05/16/2023,$76.97,696978,$76.54,$77.30,$76.23
05/15/2023,$77.12,430719,$77.12,$77.57,$76.72
05/12/2023,$77.14,440980,$77.77,$78.21,$76.52
05/11/2023,$77.45,602534,$77.79,$78.23,$76.59
05/10/2023,$78.13,635339,$78.31,$78.33,$77.08
05/09/2023,$77.85,725244,$78.22,$78.67,$77.765
05/08/2023,$78.29,713708,$78.78,$78.78,$77.69
05/05/2023,$78.64,864107,$79.29,$79.67,$78.24
05/04/2023,$78.29,833944,$79.00,$79.48,$78.00
05/03/2023,$78.70,1255698,$80.30,$80.755,$78.28
05/02/2023,$79.86,1753660,$80.27,$80.47,$78.79
05/01/2023,$80.27,1149114,$79.65,$80.90,$79.55
04/28/2023,$79.29,1745416,$77.99,$79.45,$77.86
04/27/2023,$77.65,2672618,$72.00,$78.22,$71.495
04/26/2023,$68.96,1239910,$69.36,$69.97,$68.78
04/25/2023,$70.09,771672,$70.37,$70.74,$69.997
04/24/2023,$70.55,664778,$70.70,$71.30,$70.43
04/21/2023,$70.95,805168,$70.87,$71.07,$70.285
04/20/2023,$70.62,776607,$70.08,$70.745,$69.76
04/19/2023,$70.43,550245,$70.75,$70.89,$70.10
04/18/2023,$70.95,639167,$71.41,$71.58,$70.63
04/17/2023,$71.11,613487,$70.92,$71.145,$70.4847
04/14/2023,$70.72,622813,$71.00,$71.625,$70.32
04/13/2023,$71.11,665791,$70.73,$71.15,$69.615
04/12/2023,$70.66,488045,$70.70,$71.11,$70.39
04/11/2023,$70.27,480724,$70.17,$70.655,$69.99
04/10/2023,$69.81,363671,$68.77,$69.82,$68.76
04/06/2023,$69.04,496393,$69.53,$69.63,$68.80
04/05/2023,$69.54,799238,$70.25,$70.50,$68.96
04/04/2023,$70.70,900886,$72.47,$72.47,$70.32
04/03/2023,$72.38,1023552,$72.79,$73.08,$71.96
03/31/2023,$73.01,777182,$72.25,$73.10,$72.085
03/30/2023,$71.75,614775,$71.86,$72.16,$71.6917
03/29/2023,$71.33,836499,$71.14,$71.405,$70.77
03/28/2023,$70.43,638135,$70.00,$70.48,$69.89
03/27/2023,$69.90,1082980,$69.81,$69.99,$69.30
03/24/2023,$69.05,758191,$68.58,$69.12,$67.98
03/23/2023,$69.04,1112315,$68.35,$69.96,$68.13
03/22/2023,$68.30,613324,$69.46,$69.95,$68.25
03/21/2023,$69.49,679493,$69.74,$69.995,$68.76
03/20/2023,$68.93,646168,$67.71,$69.03,$67.63
03/17/2023,$67.25,1342086,$67.95,$67.95,$66.71
03/16/2023,$68.07,819450,$66.59,$68.35,$66.54
03/15/2023,$67.17,1016412,$67.81,$68.00,$66.17
03/14/2023,$68.90,820457,$68.31,$69.18,$67.84
03/13/2023,$67.14,682879,$66.94,$68.05,$66.47
03/10/2023,$67.65,878778,$69.17,$69.17,$66.95
03/09/2023,$69.10,636678,$70.10,$70.41,$68.84
03/08/2023,$69.88,659431,$69.70,$70.04,$69.475
03/07/2023,$69.66,757378,$70.43,$70.50,$69.42
03/06/2023,$70.39,753234,$71.09,$71.2725,$70.24
03/03/2023,$71.08,1099155,$70.00,$71.08,$69.63
03/02/2023,$69.87,1027934,$68.84,$69.94,$68.6096
03/01/2023,$69.17,1339079,$69.25,$69.79,$69.02
02/28/2023,$69.54,9515858,$69.87,$70.485,$69.54
02/27/2023,$69.97,1108498,$70.19,$71.04,$69.90
02/24/2023,$69.66,959128,$69.35,$69.895,$68.82
02/23/2023,$70.30,1056403,$70.67,$71.32,$69.63
02/22/2023,$70.42,818772,$70.53,$71.16,$70.30
02/21/2023,$70.31,1087680,$71.73,$71.99,$70.28
02/17/2023,$72.47,724634,$71.51,$72.65,$71.36
02/16/2023,$71.47,634589,$71.46,$72.42,$71.22
02/15/2023,$72.45,607431,$71.70,$72.87,$71.70
02/14/2023,$71.89,841888,$71.97,$72.49,$71.27
02/13/2023,$72.05,866579,$70.96,$72.23,$70.83
02/10/2023,$70.82,1462137,$69.93,$71.23,$69.81
02/09/2023,$68.96,569490,$70.54,$70.7878,$68.94
02/08/2023,$70.17,427283,$70.38,$70.85,$69.97
02/07/2023,$70.85,798149,$70.51,$71.17,$69.65
02/06/2023,$71.00,1030058,$70.77,$71.34,$70.77
02/03/2023,$71.31,888084,$70.81,$71.49,$70.76
02/02/2023,$71.42,1213697,$71.90,$72.50,$71.18
02/01/2023,$70.55,1232546,$68.28,$70.89,$68.10
01/31/2023,$68.32,1454191,$66.81,$68.33,$66.81
01/30/2023,$66.57,841043,$67.09,$67.705,$66.45
01/27/2023,$67.21,751909,$66.39,$67.825,$66.32
01/26/2023,$66.62,959706,$67.46,$67.70,$65.98
01/25/2023,$67.06,718921,$66.58,$67.31,$66.09
01/24/2023,$67.21,472202,$66.78,$67.787,$65.93
01/23/2023,$66.76,1046955,$67.18,$67.37,$66.24
01/20/2023,$67.02,1116596,$66.69,$67.05,$66.12
01/19/2023,$66.50,811815,$68.54,$68.68,$66.46
01/18/2023,$68.78,812564,$69.59,$70.225,$68.65
01/17/2023,$69.46,580585,$70.42,$70.85,$69.38
01/13/2023,$70.62,682922,$69.72,$70.72,$69.50
01/12/2023,$70.03,640778,$70.52,$70.715,$69.79
01/11/2023,$70.36,578754,$69.80,$70.41,$69.57
01/10/2023,$69.59,540295,$69.12,$69.97,$68.98
01/09/2023,$69.10,620278,$68.66,$70.20,$68.36
01/06/2023,$68.59,601505,$67.64,$68.82,$67.37
01/05/2023,$66.83,726256,$68.08,$68.58,$66.69
01/04/2023,$68.44,772338,$68.30,$68.83,$67.73
01/03/2023,$67.90,759915,$67.69,$68.085,$67.00
12/30/2022,$67.26,457576,$67.42,$67.60,$66.6019
12/29/2022,$67.82,380153,$66.91,$68.18,$66.625
12/28/2022,$66.34,336738,$67.33,$67.67,$66.29
12/27/2022,$67.19,324942,$66.80,$67.425,$66.42
12/23/2022,$66.78,399337,$66.27,$66.999,$65.89
12/22/2022,$66.38,424512,$66.86,$66.86,$65.48
12/21/2022,$67.42,609902,$66.52,$67.57,$66.50
12/20/2022,$66.21,846498,$65.42,$66.81,$65.2901
12/19/2022,$65.65,800282,$65.85,$66.62,$65.39
12/16/2022,$66.05,1290185,$65.67,$66.27,$65.23
12/15/2022,$66.34,807554,$67.90,$67.90,$65.89
12/14/2022,$68.63,686505,$69.53,$69.96,$68.28
12/13/2022,$69.45,674253,$70.47,$70.7299,$68.71
12/12/2022,$68.93,597891,$68.22,$68.94,$67.68
12/09/2022,$67.90,427254,$68.52,$68.71,$67.85
12/08/2022,$68.37,531424,$68.00,$68.44,$67.71
12/07/2022,$67.78,678141,$67.31,$68.02,$67.16
12/06/2022,$67.43,755784,$68.89,$69.07,$66.56
12/05/2022,$68.85,695946,$69.00,$69.49,$68.14
12/02/2022,$70.24,739339,$68.90,$70.56,$68.65
12/01/2022,$69.79,1410397,$70.46,$70.72,$69.21
11/30/2022,$69.97,1097967,$68.43,$69.97,$67.80
11/29/2022,$68.46,884968,$68.31,$68.95,$68.06
11/28/2022,$68.59,639887,$69.64,$69.76,$68.53
11/25/2022,$70.22,343017,$70.37,$70.37,$69.84
11/23/2022,$70.08,746271,$70.40,$70.68,$69.835
11/22/2022,$70.12,929488,$70.47,$70.47,$69.62
11/21/2022,$70.23,864299,$69.87,$70.40,$69.68
11/18/2022,$69.86,864665,$70.59,$70.59,$69.09
11/17/2022,$69.63,1108415,$69.04,$69.64,$68.63
11/16/2022,$69.94,1009888,$70.74,$70.99,$69.75
11/15/2022,$70.65,940285,$70.23,$71.00,$70.03
11/14/2022,$69.45,1566167,$69.34,$70.03,$68.96
11/11/2022,$69.48,1829172,$68.89,$70.2125,$68.40
11/10/2022,$70.30,1702904,$69.40,$70.32,$69.10
11/09/2022,$67.31,938440,$67.67,$68.06,$67.11
11/08/2022,$68.26,999270,$68.69,$69.09,$67.30
11/07/2022,$68.25,1447449,$68.25,$68.48,$67.72
11/04/2022,$68.00,1303750,$68.91,$69.04,$67.29
11/03/2022,$67.91,1193548,$67.03,$68.49,$66.66
11/02/2022,$67.95,1014795,$70.00,$70.30,$67.87
11/01/2022,$70.22,624970,$70.28,$70.425,$69.13
10/31/2022,$69.58,1178412,$69.30,$70.049,$68.85
10/28/2022,$69.41,719888,$67.28,$69.605,$66.76
10/27/2022,$66.98,1069446,$65.66,$68.00,$64.94
10/26/2022,$65.27,852800,$65.43,$66.33,$64.88
10/25/2022,$65.07,827702,$63.61,$65.09,$63.49
10/24/2022,$63.73,810486,$63.34,$63.93,$63.055
10/21/2022,$62.84,754044,$61.27,$63.13,$61.005
10/20/2022,$61.01,584544,$62.42,$62.79,$60.975
10/19/2022,$62.57,754005,$63.06,$63.41,$61.97
10/18/2022,$63.51,578397,$63.96,$64.34,$62.66
10/17/2022,$62.55,814666,$61.04,$62.71,$61.00
10/14/2022,$60.08,740127,$61.03,$61.39,$59.79
10/13/2022,$60.97,921674,$58.71,$61.52,$58.175
