Date,Close/Last,Volume,Open,High,Low
10/20/2023,$77.80,5183656,$78.74,$79.09,$77.74
10/19/2023,$78.44,5563541,$79.07,$79.87,$78.2301
10/18/2023,$79.67,6781870,$80.47,$80.71,$79.525
10/17/2023,$80.48,10602220,$79.19,$81.07,$78.605
10/16/2023,$79.20,6958195,$77.74,$79.445,$77.63
10/13/2023,$77.65,5651907,$77.19,$77.855,$76.97
10/12/2023,$76.76,4038083,$76.88,$77.11,$76.285
10/11/2023,$76.96,4434127,$76.25,$77.01,$76.01
10/10/2023,$75.97,5040261,$75.06,$76.46,$74.78
10/09/2023,$75.06,3393989,$74.78,$75.34,$74.235
10/06/2023,$74.74,4635272,$74.46,$75.01,$73.91
10/05/2023,$74.70,4781934,$74.67,$75.03,$74.145
10/04/2023,$74.74,4707663,$73.30,$74.82,$73.25
10/03/2023,$73.27,6075317,$73.21,$73.87,$72.8659
10/02/2023,$74.10,4578676,$75.00,$75.04,$73.16
09/29/2023,$74.94,4179998,$75.51,$75.75,$74.58
09/28/2023,$75.42,3483111,$75.79,$76.05,$75.21
09/27/2023,$75.55,4442649,$75.67,$76.055,$75.135
09/26/2023,$75.53,5643933,$75.41,$76.27,$75.32
09/25/2023,$74.83,3885751,$74.75,$74.93,$74.5301
09/22/2023,$75.01,4351920,$74.76,$75.615,$74.35
09/21/2023,$75.27,5272598,$75.88,$76.14,$75.22
09/20/2023,$75.82,4826589,$75.98,$76.39,$75.73
09/19/2023,$75.77,4002720,$75.39,$76.125,$75.255
09/18/2023,$75.62,3337942,$75.86,$76.145,$75.14
09/15/2023,$75.67,11145110,$77.21,$77.41,$75.42
09/14/2023,$77.36,4424387,$76.79,$77.73,$76.735
09/13/2023,$77.31,4407900,$77.00,$77.53,$76.915
09/12/2023,$76.80,4181296,$76.99,$77.23,$76.28
09/11/2023,$77.04,8053756,$76.05,$77.17,$76.00
09/08/2023,$76.00,6695505,$76.12,$76.595,$75.05
09/07/2023,$73.94,6586147,$74.62,$74.76,$73.71
09/06/2023,$74.24,5753846,$75.12,$75.14,$73.25
09/05/2023,$75.16,6045567,$76.95,$77.00,$75.13
09/01/2023,$76.65,2993042,$77.22,$77.41,$76.475
08/31/2023,$76.48,9200069,$77.28,$77.41,$76.235
08/30/2023,$77.66,3298134,$78.22,$78.50,$77.525
08/29/2023,$78.21,4156307,$77.25,$78.25,$77.05
08/28/2023,$77.04,2783563,$77.29,$77.49,$76.63
08/25/2023,$76.86,3773271,$76.61,$77.19,$76.07
08/24/2023,$76.33,4793948,$77.25,$78.135,$76.29
08/23/2023,$77.04,7422835,$78.30,$78.98,$76.955
08/22/2023,$76.35,4536485,$75.69,$76.75,$75.36
08/21/2023,$75.94,5359172,$75.67,$76.26,$75.5439
08/18/2023,$75.88,6483931,$76.55,$76.71,$75.70
08/17/2023,$76.50,5741193,$77.99,$78.1097,$76.50
08/16/2023,$78.00,7264693,$79.12,$80.55,$77.905
08/15/2023,$79.64,3798828,$79.63,$80.21,$78.9584
08/14/2023,$79.85,3681994,$80.06,$80.42,$79.52
08/11/2023,$80.00,3383722,$80.00,$80.125,$79.46
08/10/2023,$80.00,3776325,$80.38,$81.09,$79.95
08/09/2023,$80.17,4551333,$80.57,$81.43,$80.03
08/08/2023,$80.08,5546495,$80.69,$80.92,$78.78
08/07/2023,$80.67,6831501,$78.33,$80.965,$77.935
08/04/2023,$78.68,9062442,$77.38,$80.14,$77.25
08/03/2023,$75.53,5748804,$75.72,$75.8242,$75.17
08/02/2023,$75.68,5325487,$76.00,$76.32,$75.35
08/01/2023,$75.68,4025933,$76.09,$76.38,$75.10
