Date,Close/Last,Volume,Open,High,Low
01/05/2024,$30.57,5701450,$30.19,$30.62,$30.10
01/04/2024,$30.28,4008595,$30.08,$30.38,$29.845
01/03/2024,$30.13,4439590,$30.18,$30.349,$29.975
01/02/2024,$30.49,4923403,$30.19,$30.7299,$30.08
12/29/2023,$30.45,2855870,$30.49,$30.64,$30.30
12/28/2023,$30.63,3575025,$30.61,$30.675,$30.51
12/27/2023,$30.56,2896370,$30.47,$30.575,$30.37
12/26/2023,$30.45,2201679,$30.15,$30.55,$30.15
12/22/2023,$30.23,2973110,$30.31,$30.50,$30.14
12/21/2023,$30.18,3703457,$29.97,$30.1947,$29.82
12/20/2023,$29.75,3642896,$30.29,$30.4189,$29.74
12/19/2023,$30.38,4435826,$30.25,$30.41,$30.16
12/18/2023,$30.10,7148409,$30.33,$30.53,$30.09
12/15/2023,$30.46,7860451,$30.48,$30.675,$30.275
12/14/2023,$30.57,5375159,$29.85,$30.80,$29.85
12/13/2023,$29.68,5506518,$29.47,$29.7635,$29.135
12/12/2023,$29.41,4178506,$29.52,$29.56,$29.34
12/11/2023,$29.50,5919689,$29.20,$29.525,$29.17
12/08/2023,$29.11,3790882,$29.08,$29.375,$29.01
12/07/2023,$29.01,4718517,$28.91,$29.20,$28.76
12/06/2023,$28.79,4608625,$28.72,$29.01,$28.63
12/05/2023,$28.46,4754766,$28.72,$28.78,$28.30
12/04/2023,$28.86,3449872,$28.88,$28.99,$28.53
12/01/2023,$28.84,3638603,$28.32,$28.90,$28.25
11/30/2023,$28.49,7180583,$28.43,$28.51,$28.02
11/29/2023,$28.22,3565710,$28.04,$28.41,$28.04
11/28/2023,$27.76,5052610,$27.77,$27.96,$27.57
11/27/2023,$27.87,2689019,$28.06,$28.14,$27.85
11/24/2023,$28.20,976645,$28.19,$28.31,$28.06
11/22/2023,$28.16,2723509,$28.30,$28.375,$28.08
11/21/2023,$28.11,3479232,$28.25,$28.38,$28.03
11/20/2023,$28.29,3660353,$28.30,$28.45,$28.02
