Date,Close/Last,Volume,Open,High,Low
01/05/2024,$25.74,4698055,$24.94,$25.905,$24.94
01/04/2024,$25.07,3613786,$24.75,$25.30,$24.69
01/03/2024,$24.83,3361579,$24.76,$25.01,$24.62
01/02/2024,$24.88,2774466,$24.60,$25.045,$24.57
12/29/2023,$24.65,1692827,$24.77,$24.84,$24.63
12/28/2023,$24.80,1199971,$24.75,$24.87,$24.63
12/27/2023,$24.79,1161275,$24.79,$24.88,$24.70
12/26/2023,$24.77,1567098,$24.58,$24.94,$24.555
12/22/2023,$24.61,1680330,$24.66,$24.8288,$24.55
12/21/2023,$24.50,1766039,$24.70,$24.74,$24.30
12/20/2023,$24.58,2640836,$24.71,$24.79,$24.485
12/19/2023,$24.81,3078016,$24.70,$24.89,$24.4027
12/18/2023,$24.62,3214692,$24.40,$24.80,$24.26
12/15/2023,$24.20,5971692,$24.635,$24.90,$24.05
12/14/2023,$24.67,3233584,$24.41,$24.80,$24.38
12/13/2023,$24.30,5145264,$22.85,$24.41,$22.765
12/12/2023,$22.91,2061926,$23.365,$23.365,$22.87
12/11/2023,$23.34,1528388,$23.33,$23.59,$23.16
12/08/2023,$23.30,3322362,$23.39,$23.66,$23.26
12/07/2023,$23.43,3422131,$23.04,$23.44,$22.86
12/06/2023,$23.00,2053141,$23.07,$23.265,$22.90
12/05/2023,$22.90,1820001,$23.00,$23.07,$22.655
12/04/2023,$23.18,1873013,$22.97,$23.255,$22.92
12/01/2023,$23.09,2550568,$22.69,$23.11,$22.555
11/30/2023,$22.67,4512341,$22.71,$22.86,$22.485
11/29/2023,$22.71,3872366,$22.16,$22.92,$22.16
11/28/2023,$22.16,1763209,$22.62,$22.62,$22.12
11/27/2023,$22.59,3165683,$22.32,$22.738,$22.295
11/24/2023,$22.82,751179,$22.74,$22.875,$22.67
11/22/2023,$22.70,1250200,$22.61,$22.89,$22.435
11/21/2023,$22.53,2038547,$22.56,$22.64,$22.45
11/20/2023,$22.54,2554043,$22.20,$22.56,$22.04
11/17/2023,$22.16,2128857,$22.57,$22.59,$22.115
11/16/2023,$22.35,2492733,$22.50,$22.63,$22.13
11/15/2023,$22.66,4123517,$22.00,$22.69,$21.99
11/14/2023,$22.04,2244230,$21.57,$22.06,$21.54
11/13/2023,$21.33,1816342,$21.53,$21.60,$21.245
11/10/2023,$21.65,2230099,$21.50,$21.735,$21.49
11/09/2023,$21.42,3719265,$21.81,$21.85,$21.31
11/08/2023,$21.91,1766613,$21.96,$22.02,$21.76
11/07/2023,$21.91,2665255,$21.76,$22.01,$21.685
11/06/2023,$21.96,2121511,$22.10,$22.13,$21.765
11/03/2023,$22.08,2139926,$22.06,$22.18,$21.99
11/02/2023,$21.89,2091691,$21.64,$21.985,$21.64
11/01/2023,$21.52,3571181,$21.45,$21.745,$21.27
10/31/2023,$21.51,9414796,$21.69,$22.38,$21.08
10/30/2023,$20.87,3658599,$21.13,$21.275,$20.82
10/27/2023,$20.93,2564777,$20.90,$21.125,$20.84
10/26/2023,$20.94,2713604,$20.72,$21.17,$20.69
10/25/2023,$20.64,4273763,$20.30,$20.845,$20.265
10/24/2023,$20.37,2665343,$20.37,$20.455,$20.19
10/23/2023,$20.17,3310606,$20.21,$20.45,$20.07
10/20/2023,$20.43,3480113,$21.00,$21.00,$20.37
10/19/2023,$20.91,6285822,$20.55,$21.125,$20.35
10/18/2023,$21.40,3203794,$21.46,$21.74,$21.28
10/17/2023,$21.69,3505756,$21.12,$21.76,$21.12
10/16/2023,$21.21,2938607,$21.15,$21.48,$20.96
10/13/2023,$20.93,1902036,$21.015,$21.07,$20.79
10/12/2023,$20.86,3178601,$21.30,$21.30,$20.695
10/11/2023,$21.32,3883500,$21.83,$21.83,$21.25
10/10/2023,$21.78,2603774,$21.62,$21.82,$21.361
10/09/2023,$21.50,3197260,$21.12,$21.585,$21.12
10/06/2023,$21.20,4583103,$21.59,$21.59,$20.97
10/05/2023,$21.49,3453300,$21.78,$21.84,$21.46
10/04/2023,$21.83,2691472,$21.93,$21.95,$21.535
10/03/2023,$21.83,3047006,$21.64,$21.86,$21.515
10/02/2023,$21.84,4006734,$22.19,$22.26,$21.69
09/29/2023,$22.28,3682836,$22.17,$22.50,$22.165
09/28/2023,$22.25,4041163,$22.28,$22.35,$21.79
09/27/2023,$22.16,3315110,$22.52,$22.52,$22.10
09/26/2023,$22.35,2284430,$22.75,$22.77,$22.35
09/25/2023,$22.80,2866030,$22.51,$22.905,$22.48
09/22/2023,$22.58,2137580,$22.95,$23.09,$22.57
09/21/2023,$22.90,2612500,$22.99,$23.15,$22.83
09/20/2023,$22.83,3701165,$23.30,$23.36,$22.78
09/19/2023,$23.30,3220000,$23.36,$23.495,$23.225
09/18/2023,$23.28,4138324,$23.43,$23.435,$23.195
09/15/2023,$23.50,8410420,$23.28,$23.57,$23.22
09/14/2023,$23.35,6819058,$22.58,$23.43,$22.515
09/13/2023,$22.45,4351375,$22.09,$22.515,$22.09
09/12/2023,$22.04,2981154,$21.93,$22.155,$21.85
09/11/2023,$21.91,2412255,$22.26,$22.34,$21.80
09/08/2023,$22.10,3110403,$21.91,$22.20,$21.82
09/07/2023,$21.89,5211869,$21.81,$22.12,$21.71
09/06/2023,$21.76,2269393,$21.86,$22.05,$21.655
09/05/2023,$21.84,2274666,$22.22,$22.49,$21.84
09/01/2023,$22.49,2576710,$22.37,$22.54,$22.25
08/31/2023,$22.24,4049467,$22.41,$22.52,$22.22
08/30/2023,$22.40,1915367,$22.32,$22.50,$22.26
08/29/2023,$22.25,2362079,$21.96,$22.28,$21.91
08/28/2023,$21.93,2497616,$21.73,$22.045,$21.65
08/25/2023,$21.76,1602182,$21.68,$21.875,$21.555
08/24/2023,$21.53,2366462,$21.49,$21.86,$21.45
08/23/2023,$21.58,1639770,$21.63,$21.69,$21.445
08/22/2023,$21.64,3229919,$21.51,$21.775,$21.24
08/21/2023,$21.47,6081484,$21.70,$21.75,$20.83
08/18/2023,$21.84,3889796,$21.74,$22.01,$21.72
08/17/2023,$21.87,2431736,$22.17,$22.22,$21.81
08/16/2023,$22.12,2719414,$22.14,$22.345,$22.07
08/15/2023,$22.25,2275505,$22.46,$22.55,$22.25
08/14/2023,$22.63,3344872,$22.54,$22.638,$22.28
08/11/2023,$22.59,2998167,$23.00,$23.125,$22.58
08/10/2023,$23.10,2781008,$23.13,$23.22,$22.99
08/09/2023,$23.03,2638639,$22.82,$23.115,$22.805
08/08/2023,$22.82,4717560,$22.91,$23.09,$22.685
08/07/2023,$23.25,3936104,$23.15,$23.71,$23.125
08/04/2023,$23.13,3564540,$23.06,$23.525,$23.03
08/03/2023,$22.92,4908587,$23.42,$23.52,$22.835
08/02/2023,$23.31,5317032,$23.175,$23.72,$23.065
08/01/2023,$23.24,10291080,$23.89,$24.00,$22.925
07/31/2023,$24.20,5248531,$24.43,$24.635,$24.15
07/28/2023,$24.32,3103069,$24.19,$24.425,$24.07
07/27/2023,$24.04,3938192,$24.135,$24.37,$23.93
07/26/2023,$23.95,3042190,$24.29,$24.40,$23.925
07/25/2023,$24.32,5345496,$23.97,$24.50,$23.835
07/24/2023,$23.90,3722577,$23.77,$23.96,$23.49
07/21/2023,$23.81,2707868,$23.82,$24.015,$23.585
07/20/2023,$23.81,3037729,$24.18,$24.18,$23.62
07/19/2023,$24.04,3339678,$24.29,$24.495,$24.005
07/18/2023,$24.21,2322606,$23.95,$24.25,$23.76
07/17/2023,$23.94,2215520,$23.92,$24.181,$23.83
07/14/2023,$24.05,3485634,$24.05,$24.195,$23.71
07/13/2023,$24.09,2718187,$23.96,$24.20,$23.765
07/12/2023,$24.01,4825821,$24.43,$24.51,$23.965
07/11/2023,$24.28,3326476,$23.95,$24.295,$23.88
07/10/2023,$23.91,4332667,$23.35,$24.005,$23.30
07/07/2023,$23.92,3339307,$23.52,$24.08,$23.52
07/06/2023,$23.61,3105503,$23.48,$23.67,$23.29
07/05/2023,$23.64,3787900,$24.09,$24.10,$23.45
07/03/2023,$24.39,1540495,$24.11,$24.53,$24.11
06/30/2023,$24.03,3145742,$23.86,$24.185,$23.68
06/29/2023,$23.67,5695840,$23.09,$23.70,$22.66
06/28/2023,$24.02,4451210,$24.20,$24.22,$23.67
06/27/2023,$24.22,4522556,$23.94,$24.57,$23.75
06/26/2023,$23.97,3934196,$23.55,$24.025,$23.55
06/23/2023,$23.60,5724429,$23.76,$23.93,$23.48
06/22/2023,$23.96,5532817,$24.19,$24.22,$23.63
06/21/2023,$24.41,5214654,$24.49,$24.745,$24.32
06/20/2023,$24.66,7777988,$25.50,$25.55,$24.64
06/16/2023,$26.01,53234600,$26.14,$26.22,$25.345
06/15/2023,$26.17,4421622,$25.67,$26.22,$25.45
06/14/2023,$25.82,6230670,$26.28,$26.28,$25.685
06/13/2023,$26.22,8722895,$26.86,$27.56,$25.69
06/12/2023,$26.96,4348086,$26.51,$27.02,$26.39
06/09/2023,$26.52,3016074,$26.48,$26.71,$26.34
06/08/2023,$26.45,2956888,$26.32,$26.6975,$26.27
06/07/2023,$26.31,4076199,$25.92,$26.44,$25.81
06/06/2023,$25.84,3210110,$25.36,$26.01,$25.36
06/05/2023,$25.45,4186314,$25.79,$25.84,$25.41
06/02/2023,$25.00,2567733,$24.39,$25.045,$24.37
06/01/2023,$24.16,2985886,$23.92,$24.305,$23.90
05/31/2023,$23.90,3196535,$24.25,$24.35,$23.75
05/30/2023,$24.46,1874692,$24.74,$24.83,$24.275
05/26/2023,$24.71,2071411,$24.88,$25.005,$24.63
05/25/2023,$24.86,2051647,$25.01,$25.15,$24.65
05/24/2023,$25.01,1799335,$25.45,$25.45,$25.01
05/23/2023,$25.41,1756799,$25.49,$25.66,$25.33
05/22/2023,$25.65,2969245,$25.67,$25.84,$25.55
05/19/2023,$25.76,1520458,$25.84,$25.84,$25.535
05/18/2023,$25.63,1703492,$25.70,$25.75,$25.36
05/17/2023,$25.77,1883169,$25.64,$25.96,$25.49
05/16/2023,$25.50,2514076,$25.82,$25.84,$25.49
05/15/2023,$25.83,2650705,$26.00,$26.07,$25.53
05/12/2023,$25.95,1938892,$25.68,$25.965,$25.625
05/11/2023,$25.68,1619115,$25.76,$25.88,$25.46
05/10/2023,$25.90,3950128,$25.73,$26.155,$25.45
05/09/2023,$25.72,2701943,$26.03,$26.04,$25.62
05/08/2023,$25.93,1672105,$25.73,$25.96,$25.665
05/05/2023,$25.70,2050669,$25.43,$25.855,$25.27
05/04/2023,$25.20,3679378,$25.40,$25.47,$24.95
05/03/2023,$25.10,4361515,$25.66,$26.11,$25.06
05/02/2023,$25.41,9784177,$25.31,$25.49,$24.06
05/01/2023,$24.63,4470037,$24.59,$24.93,$24.58
04/28/2023,$24.66,2226732,$24.19,$24.73,$24.13
04/27/2023,$24.26,2636600,$23.83,$24.335,$23.75
04/26/2023,$23.91,1823386,$24.32,$24.40,$23.82
04/25/2023,$24.34,2296058,$24.14,$24.44,$24.08
04/24/2023,$24.62,3053605,$24.55,$24.68,$24.34
04/21/2023,$24.42,2562824,$24.73,$24.75,$24.21
04/20/2023,$24.68,3213872,$24.88,$24.88,$24.505
04/19/2023,$24.99,1781852,$25.00,$25.08,$24.87
04/18/2023,$25.02,2968965,$25.00,$25.06,$24.72
04/17/2023,$24.91,1877589,$24.75,$24.93,$24.505
04/14/2023,$24.76,2670842,$24.765,$24.895,$24.44
04/13/2023,$24.86,3641331,$24.91,$24.91,$24.40
04/12/2023,$24.84,3369769,$25.25,$25.325,$24.785
04/11/2023,$25.24,2946761,$25.30,$25.46,$25.16
04/10/2023,$25.03,2346866,$25.06,$25.23,$24.73
04/06/2023,$25.06,3349640,$25.245,$25.28,$24.84
04/05/2023,$25.18,2937360,$25.08,$25.21,$24.84
04/04/2023,$25.04,2071842,$25.44,$25.495,$24.805
04/03/2023,$25.49,2278064,$25.50,$25.62,$25.31
03/31/2023,$25.49,2421764,$25.36,$25.56,$25.27
03/30/2023,$25.26,2216894,$25.34,$25.45,$25.13
03/29/2023,$25.17,3201874,$25.31,$25.38,$24.92
03/28/2023,$25.15,3184423,$24.84,$25.165,$24.72
03/27/2023,$24.82,2514489,$24.60,$24.95,$24.44
03/24/2023,$24.44,3083845,$23.88,$24.50,$23.79
03/23/2023,$24.01,4286761,$23.92,$24.415,$23.83
03/22/2023,$23.78,2304105,$24.03,$24.205,$23.76
03/21/2023,$23.94,1728475,$23.99,$24.19,$23.89
03/20/2023,$23.61,5755492,$23.50,$23.76,$23.345
03/17/2023,$23.31,2812822,$23.68,$23.87,$23.135
03/16/2023,$23.65,2216993,$23.13,$23.76,$22.99
03/15/2023,$23.42,4097267,$23.53,$23.56,$23.16
03/14/2023,$23.97,2691881,$23.54,$24.195,$23.53
03/13/2023,$23.30,2759140,$23.51,$23.78,$23.20
03/10/2023,$23.76,3619330,$24.53,$24.54,$23.69
03/09/2023,$24.62,2302177,$24.99,$25.17,$24.58
03/08/2023,$24.94,2939637,$25.105,$25.15,$24.715
03/07/2023,$25.02,4405234,$24.34,$25.10,$24.235
03/06/2023,$24.19,2873212,$24.45,$24.72,$24.14
03/03/2023,$24.58,3227013,$24.63,$24.725,$24.42
03/02/2023,$24.43,2940898,$24.255,$24.47,$24.02
03/01/2023,$24.38,4268694,$23.79,$24.455,$23.72
02/28/2023,$23.80,2892240,$23.77,$24.115,$23.77
02/27/2023,$23.80,1825916,$23.93,$24.045,$23.73
02/24/2023,$23.72,2333199,$23.41,$23.775,$23.295
02/23/2023,$23.56,3255582,$23.16,$23.58,$23.02
02/22/2023,$22.97,2623117,$23.13,$23.284,$22.9145
02/21/2023,$23.09,3118103,$23.25,$23.47,$22.885
02/17/2023,$23.52,2553417,$23.76,$23.81,$23.475
02/16/2023,$23.67,1887571,$23.50,$24.00,$23.45
02/15/2023,$23.75,2111170,$23.43,$23.83,$23.335
02/14/2023,$23.58,3620696,$23.70,$24.07,$23.53
02/13/2023,$23.52,2566430,$23.61,$23.61,$23.295
02/10/2023,$23.51,2930271,$23.28,$23.57,$23.06
02/09/2023,$23.20,3557520,$23.52,$23.56,$23.14
02/08/2023,$23.13,6082512,$22.36,$23.14,$22.35
02/07/2023,$22.14,10162460,$23.00,$23.38,$21.102
02/06/2023,$23.66,3499377,$23.48,$23.76,$23.39
02/03/2023,$23.66,3120537,$23.70,$23.91,$23.54
02/02/2023,$23.82,2225096,$23.67,$23.855,$23.39
02/01/2023,$23.76,4510405,$23.48,$23.76,$23.205
01/31/2023,$24.09,4842732,$23.38,$24.20,$23.28
01/30/2023,$23.17,3777220,$23.71,$23.83,$23.17
01/27/2023,$23.76,2263588,$23.75,$23.83,$23.485
01/26/2023,$23.78,3580089,$23.60,$23.90,$23.59
01/25/2023,$23.42,4009333,$22.85,$23.555,$22.85
01/24/2023,$22.92,5391092,$22.51,$23.30,$22.51
01/23/2023,$22.70,2751533,$22.76,$22.99,$22.465
01/20/2023,$22.56,2661457,$22.26,$22.61,$22.01
01/19/2023,$22.15,3206025,$22.11,$22.28,$21.79
01/18/2023,$22.29,2978868,$22.31,$22.535,$22.25
01/17/2023,$22.23,2225570,$22.48,$22.56,$22.09
01/13/2023,$22.43,2762379,$22.44,$22.70,$22.33
01/12/2023,$22.55,2238743,$22.22,$22.565,$21.995
01/11/2023,$22.05,3295514,$22.32,$22.51,$21.96
01/10/2023,$22.24,2001828,$22.52,$22.54,$22.18
01/09/2023,$22.40,2249108,$22.92,$22.9899,$22.39
01/06/2023,$22.82,2318981,$22.34,$22.89,$22.27
01/05/2023,$22.09,4103774,$21.88,$22.17,$21.68
01/04/2023,$21.93,3772963,$21.85,$22.16,$21.82
01/03/2023,$21.73,3373170,$22.25,$22.338,$21.54
12/30/2022,$22.25,1622906,$22.22,$22.28,$21.98
12/29/2022,$22.34,1166731,$22.16,$22.42,$22.16
12/28/2022,$22.01,2022451,$22.42,$22.485,$21.985
12/27/2022,$22.42,1340559,$22.28,$22.53,$22.20
12/23/2022,$22.18,1857538,$21.96,$22.2175,$21.93
12/22/2022,$21.95,4316787,$21.68,$21.985,$21.49
12/21/2022,$21.80,5912074,$21.67,$21.90,$21.49
12/20/2022,$21.39,2942921,$21.31,$21.49,$21.255
12/19/2022,$21.26,4302075,$21.58,$21.80,$21.215
12/16/2022,$21.33,3675487,$21.57,$21.66,$21.05
12/15/2022,$21.75,2836106,$22.08,$22.15,$21.69
12/14/2022,$22.31,2655803,$22.27,$22.65,$22.16
12/13/2022,$22.29,3424433,$22.62,$22.72,$22.12
12/12/2022,$22.28,4059261,$22.12,$22.31,$21.75
12/09/2022,$22.10,3169738,$22.19,$22.38,$22.06
12/08/2022,$22.22,4487044,$22.77,$22.84,$22.20
12/07/2022,$22.61,1838807,$22.74,$22.94,$22.47
12/06/2022,$22.76,2239092,$22.44,$22.77,$22.30
12/05/2022,$22.47,2035347,$22.71,$22.835,$22.325
12/02/2022,$22.97,3278308,$22.70,$23.045,$22.49
12/01/2022,$22.93,3473063,$23.05,$23.175,$22.80
11/30/2022,$22.98,2743711,$22.77,$23.00,$22.345
11/29/2022,$22.75,2763099,$22.30,$22.77,$22.195
11/28/2022,$22.34,1756528,$22.54,$22.69,$22.31
11/25/2022,$22.78,736407,$22.61,$22.885,$22.58
11/23/2022,$22.58,1832680,$22.60,$22.70,$22.43
11/22/2022,$22.56,2996666,$22.49,$22.715,$22.44
11/21/2022,$22.39,3103458,$22.44,$22.47,$22.145
11/18/2022,$22.53,2227987,$22.52,$22.61,$22.15
11/17/2022,$22.28,1587020,$22.16,$22.335,$21.92
11/16/2022,$22.46,2178790,$22.17,$22.535,$22.17
11/15/2022,$22.26,2510404,$22.31,$22.51,$21.885
11/14/2022,$22.00,3795636,$21.58,$22.495,$21.55
11/11/2022,$21.62,7203881,$22.61,$22.69,$21.60
11/10/2022,$22.49,6684367,$23.20,$23.23,$22.125
11/09/2022,$22.57,2044201,$22.71,$22.995,$22.47
11/08/2022,$22.85,2570639,$22.91,$23.04,$22.695
11/07/2022,$22.71,2079266,$22.86,$22.9782,$22.51
11/04/2022,$22.79,2011709,$22.79,$23.055,$22.48
11/03/2022,$22.41,2018159,$22.18,$22.76,$22.01
11/02/2022,$22.33,1989886,$22.83,$22.99,$22.30
11/01/2022,$22.93,2414523,$23.18,$23.26,$22.595
10/31/2022,$22.96,2734894,$22.96,$23.19,$22.66
10/28/2022,$23.03,3983974,$23.14,$23.32,$22.79
10/27/2022,$23.05,4070992,$23.44,$23.61,$22.92
10/26/2022,$23.42,5553590,$23.37,$23.88,$22.975
10/25/2022,$23.12,8451035,$22.15,$23.15,$21.10
10/24/2022,$21.51,4723799,$21.40,$21.605,$21.03
10/21/2022,$21.22,3619842,$20.92,$21.315,$20.57
10/20/2022,$20.85,1891340,$21.19,$21.325,$20.66
10/19/2022,$21.16,1599652,$21.26,$21.44,$21.06
10/18/2022,$21.43,1766163,$21.26,$21.565,$21.17
10/17/2022,$20.93,1612606,$20.80,$21.12,$20.76
10/14/2022,$20.52,2180281,$20.88,$21.10,$20.475
10/13/2022,$20.72,2422211,$19.73,$20.79,$19.565
10/12/2022,$20.08,1439828,$20.24,$20.40,$20.04
10/11/2022,$20.23,1775864,$20.19,$20.45,$20.07
10/10/2022,$20.33,3185476,$19.97,$20.41,$19.895
10/07/2022,$19.89,2919065,$20.38,$20.455,$19.80
10/06/2022,$20.66,2175738,$20.71,$21.03,$20.635
10/05/2022,$20.88,2788336,$20.78,$21.015,$20.46
10/04/2022,$20.99,3107079,$20.34,$20.99,$20.34
