Date,Close/Last,Volume,Open,High,Low
12/15/2023,32.40,772612,32.75,32.87,31.74
12/14/2023,32.80,2537891,31.50,32.90,31.50
12/13/2023,30.66,1015547,29.27,30.66,29.02
12/12/2023,29.16,1386889,29.69,29.69,28.66
12/11/2023,30.50,834843,30.20,30.7879,30.01
12/08/2023,30.54,1300819,30.30,30.81,30.07
12/07/2023,29.81,1334060,30.20,30.50,29.40
12/06/2023,29.86,1770768,31.09,31.61,29.82
12/05/2023,31.56,2081757,33.11,33.35,31.50
12/04/2023,33.01,1641189,33.23,33.84,32.78
12/01/2023,33.86,1615315,33.17,34.78,32.8738
11/30/2023,33.29,1297715,33.648,34.725,32.608
11/29/2023,32.97,869711,33.67,33.89,32.82
11/28/2023,33.20,615567,33.50,34.04,33.10
11/27/2023,33.35,659309,33.49,33.64,32.82
11/24/2023,34.02,458836,33.59,34.63,33.59
11/22/2023,33.73,1141428,32.22,33.83,31.65
11/21/2023,33.66,766650,33.782,34.10,33.0825
11/20/2023,34.31,864892,34.67,35.10,34.27
11/17/2023,34.20,1610724,33.33,34.58,33.33
11/16/2023,32.77,1790930,34.02,34.14,31.8499
11/15/2023,34.75,1101695,34.55,35.95,34.46
11/14/2023,34.72,1033266,33.85,35.0003,33.79
11/13/2023,33.62,740367,33.30,33.7937,32.97
11/10/2023,33.10,1152288,33.06,33.31,32.28
11/09/2023,32.42,1260427,33.22,33.63,32.36
11/08/2023,32.86,1654632,33.87,34.3899,32.77
11/07/2023,34.29,1745190,35.16,35.35,33.8349
11/06/2023,36.45,1212833,38.63,38.70,35.96
11/03/2023,38.48,627389,38.79,39.38,37.68
11/02/2023,39.07,1088799,37.15,39.09,36.58
11/01/2023,37.15,990666,37.70,38.175,36.50
10/31/2023,37.24,637478,36.76,37.37,35.79
10/30/2023,36.37,763913,36.61,37.37,35.49
10/27/2023,36.63,1388731,37.78,37.93,35.86
10/26/2023,37.67,828471,37.08,38.0699,36.08
10/25/2023,37.99,855380,38.08,38.44,37.47
10/24/2023,38.12,1235497,39.08,39.26,37.98
10/23/2023,38.70,1151697,39.12,39.81,38.34
10/20/2023,39.85,1264760,41.25,41.53,39.74
10/19/2023,41.31,1150877,41.07,42.13,40.17
10/18/2023,41.44,877828,41.31,41.8919,40.81
10/17/2023,40.88,1007341,39.81,41.13,39.43
10/16/2023,39.97,770888,39.61,40.04,38.75
10/13/2023,39.23,1572070,38.92,39.66,38.45
10/12/2023,37.56,998010,38.21,38.2982,36.96
10/11/2023,37.60,1295542,36.9406,37.635,36.1895
10/10/2023,37.72,1018025,37.62,38.30,37.11
10/09/2023,37.50,1971079,36.61,37.7904,36.24
10/06/2023,34.62,1175900,33.88,35.35,33.37
10/05/2023,33.38,1481255,32.52,33.89,32.47
10/04/2023,33.27,2094378,35.11,35.24,32.62
10/03/2023,36.24,1038085,36.01,36.42,35.2799
10/02/2023,36.50,1435359,39.06,39.29,35.89
09/29/2023,39.12,998913,40.71,40.71,38.84
09/28/2023,40.62,1612613,40.08,41.10,40.00
09/27/2023,40.19,1261343,39.10,40.75,38.80
09/26/2023,37.87,907694,37.46,38.56,37.34
09/25/2023,38.28,833795,36.90,38.305,36.802
09/22/2023,36.92,980012,37.76,38.305,36.77
09/21/2023,37.13,870239,38.52,38.81,36.97
09/20/2023,38.00,726877,38.73,39.71,37.95
09/19/2023,39.23,663225,40.91,41.06,38.835
09/18/2023,40.43,745232,41.07,41.288,39.96
09/15/2023,40.36,1433153,41.25,41.57,40.0801
09/14/2023,41.87,1314621,42.38,42.82,41.68
09/13/2023,41.41,943064,42.66,42.66,40.88
09/12/2023,42.39,1095133,41.33,42.59,41.12
09/11/2023,40.43,1124820,42.62,42.93,40.23
09/08/2023,42.17,918957,41.69,42.87,41.63
09/07/2023,41.18,620361,41.24,41.835,40.93
09/06/2023,41.29,821213,41.05,41.9994,40.45
09/05/2023,41.26,1140332,41.96,42.709,41.22
09/01/2023,41.69,1417840,40.54,41.94,40.50
08/31/2023,39.80,1338055,40.01,40.12,39.07
08/30/2023,39.72,849611,39.50,40.06,39.16
08/29/2023,39.23,945365,39.04,39.32,37.96
08/28/2023,38.81,690573,38.96,39.50,38.2899
08/25/2023,38.3225,1075076,37.955,38.7425,37.125
08/24/2023,37.40,628272,37.2325,38.2125,37.1275
08/23/2023,37.83,1449072,38.00,38.1962,36.9425
08/22/2023,38.7675,709688,39.61,39.9275,38.6975
08/21/2023,39.455,931784,40.0175,40.50,38.75
08/18/2023,39.39,1067468,37.99,39.445,37.7503
08/17/2023,38.6275,1135320,38.7575,39.50,38.5345
08/16/2023,37.65,1087596,38.0775,39.0675,37.5625
08/15/2023,37.9475,1505180,38.515,38.6396,37.555
08/14/2023,39.4625,748904,39.5525,39.6825,38.6875
08/11/2023,40.14,1096876,38.9325,40.375,38.88
08/10/2023,39.0625,1599792,39.96,40.3825,38.475
08/09/2023,39.87,1699680,39.645,40.905,39.0075
08/08/2023,38.7625,1344532,36.75,38.7775,36.1575
08/07/2023,38.195,765540,38.00,38.3225,37.32
08/04/2023,37.735,1776656,37.4775,38.6625,37.1075
08/03/2023,37.165,1988540,35.9325,37.8275,35.319
08/02/2023,35.6475,1611248,36.3675,36.51,34.8625
08/01/2023,36.8525,800388,36.31,36.9025,35.7575
07/31/2023,37.0875,873784,36.5975,37.1863,36.525
07/28/2023,36.0625,985636,35.105,36.0625,34.6025
07/27/2023,34.655,1435136,35.8825,36.12,34.3775
07/26/2023,35.22,784360,34.335,35.4575,34.14
07/25/2023,34.93,677752,34.5525,35.59,34.0538
