Date,Close/Last,Volume,Open,High,Low
01/05/2024,$48.38,1393740,$48.25,$48.83,$47.99
01/04/2024,$48.36,1452008,$47.84,$48.429,$47.39
01/03/2024,$48.11,2140649,$49.40,$49.40,$47.85
01/02/2024,$49.90,1812701,$50.28,$51.17,$49.69
12/29/2023,$51.06,863412,$51.22,$51.585,$50.77
12/28/2023,$51.47,947194,$50.80,$51.51,$50.58
12/27/2023,$51.00,844826,$51.43,$51.53,$50.46
12/26/2023,$51.40,952210,$50.98,$51.51,$50.73
12/22/2023,$51.02,842183,$50.99,$51.745,$50.68
12/21/2023,$51.08,1136189,$50.52,$51.255,$50.43
12/20/2023,$50.00,1779441,$51.28,$51.84,$49.99
12/19/2023,$51.38,1860403,$52.21,$52.59,$51.32
12/18/2023,$51.97,2304136,$50.25,$52.565,$49.76
12/15/2023,$50.38,3325530,$51.16,$51.3687,$49.86
12/14/2023,$51.29,2461228,$50.81,$51.91,$50.34
12/13/2023,$49.86,3298859,$48.37,$50.51,$47.83
12/12/2023,$48.37,3715721,$47.72,$49.02,$47.0898
12/11/2023,$48.89,1745143,$48.80,$49.19,$48.15
12/08/2023,$48.70,1529049,$48.53,$49.23,$48.37
12/07/2023,$48.71,1514981,$48.02,$48.88,$47.415
12/06/2023,$47.845,1148949,$48.07,$48.6601,$47.58
12/05/2023,$47.97,1691509,$48.91,$48.99,$47.84
12/04/2023,$49.03,2611295,$48.36,$49.90,$48.36
12/01/2023,$48.46,1980471,$46.16,$48.68,$45.865
11/30/2023,$46.41,3006056,$46.51,$46.86,$46.05
11/29/2023,$46.43,1674506,$46.00,$46.82,$46.00
11/28/2023,$45.71,1488467,$45.27,$46.035,$44.85
11/27/2023,$45.36,1180078,$45.89,$45.90,$45.23
11/24/2023,$46.15,482077,$45.79,$46.20,$45.54
11/22/2023,$45.62,1341588,$45.06,$46.01,$45.055
11/21/2023,$45.08,1830509,$44.35,$45.365,$43.74
11/20/2023,$44.67,1359464,$45.27,$45.30,$44.20
11/17/2023,$45.15,1183332,$45.64,$45.66,$44.69
11/16/2023,$45.13,1502331,$46.73,$46.96,$44.71
11/15/2023,$46.83,3188642,$45.21,$47.20,$45.14
11/14/2023,$45.12,1777309,$43.91,$45.719,$43.86
11/13/2023,$42.88,2155018,$43.00,$43.42,$42.69
11/10/2023,$43.11,1688854,$43.21,$43.37,$42.66
11/09/2023,$43.26,1759104,$44.30,$44.53,$43.22
11/08/2023,$44.04,2358860,$45.48,$45.50,$43.98
11/07/2023,$45.44,1592282,$45.50,$46.03,$45.40
11/06/2023,$45.83,1932701,$47.10,$47.38,$45.63
