Date,Close/Last,Volume,Open,High,Low
01/05/2024,$65.57,1485781,$66.20,$66.26,$65.37
01/04/2024,$66.27,917852,$66.40,$66.59,$66.14
01/03/2024,$65.91,1534554,$66.20,$66.63,$65.885
01/02/2024,$66.62,1580212,$66.44,$67.14,$66.40
12/29/2023,$67.11,796472,$67.22,$67.2475,$66.73
12/28/2023,$67.22,1880606,$66.83,$67.365,$66.71
12/27/2023,$67.04,1789944,$66.97,$67.44,$66.795
12/26/2023,$66.72,1412870,$67.12,$67.182,$66.52
12/22/2023,$67.00,1601823,$66.36,$67.155,$66.12
12/21/2023,$66.62,1885353,$66.46,$66.80,$66.095
12/20/2023,$65.58,1744567,$66.06,$66.81,$65.57
12/19/2023,$66.19,1942911,$66.00,$66.74,$65.74
12/18/2023,$66.13,1448683,$66.08,$66.26,$65.77
12/15/2023,$66.08,2445502,$66.60,$66.75,$66.01
12/14/2023,$66.88,4397887,$66.66,$67.38,$66.50
12/13/2023,$65.92,2317255,$64.61,$65.92,$64.18
12/12/2023,$64.65,2089272,$64.50,$64.83,$64.40
12/11/2023,$65.09,3934259,$64.12,$65.35,$64.12
12/08/2023,$64.54,2388687,$63.78,$64.61,$63.70
12/07/2023,$63.36,1766205,$63.38,$63.78,$62.87
12/06/2023,$62.73,2928261,$62.89,$63.215,$62.43
12/05/2023,$62.88,2643240,$63.15,$63.89,$62.73
12/04/2023,$63.26,4776346,$62.09,$63.28,$62.05
12/01/2023,$60.71,1818850,$59.50,$60.83,$59.27
11/30/2023,$60.04,2394480,$60.31,$60.82,$59.81
11/29/2023,$60.55,3120956,$59.86,$60.80,$59.74
11/28/2023,$59.35,2119217,$59.00,$59.73,$58.77
11/27/2023,$58.89,1360679,$59.25,$59.48,$58.86
11/24/2023,$59.50,736303,$59.17,$59.53,$58.97
11/22/2023,$58.64,983073,$58.94,$59.10,$58.61
11/21/2023,$58.85,2091102,$58.66,$59.27,$58.53
11/20/2023,$58.27,1174870,$57.92,$58.41,$57.74
11/17/2023,$58.14,1019759,$58.10,$58.27,$57.62
11/16/2023,$57.79,1296306,$58.46,$58.614,$57.61
