Date,Close/Last,Volume,Open,High,Low
01/05/2024,$115.98,351801,$115.28,$117.69,$115.22
01/04/2024,$116.57,227398,$115.11,$116.84,$114.3001
01/03/2024,$115.67,230130,$120.38,$120.725,$115.38
01/02/2024,$122.07,206723,$119.81,$123.6199,$119.81
12/29/2023,$120.81,167710,$122.26,$123.24,$120.57
12/28/2023,$122.30,148610,$122.21,$123.46,$121.57
12/27/2023,$122.33,175940,$122.90,$123.54,$121.3675
12/26/2023,$122.28,113191,$121.30,$122.66,$120.755
12/22/2023,$121.29,191740,$121.18,$122.44,$120.53
12/21/2023,$120.68,253591,$118.51,$120.87,$117.90
12/20/2023,$117.13,213314,$119.55,$120.50,$116.71
12/19/2023,$119.55,294936,$117.78,$119.77,$116.965
12/18/2023,$116.50,242543,$117.69,$117.8858,$115.68
12/15/2023,$117.50,1009512,$123.85,$124.36,$117.01
12/14/2023,$123.89,554874,$118.49,$127.24,$118.49
12/13/2023,$116.04,324525,$110.86,$116.16,$108.08
12/12/2023,$111.09,144679,$110.88,$111.49,$109.845
12/11/2023,$110.75,231056,$110.15,$111.12,$109.61
12/08/2023,$109.93,100819,$110.38,$111.485,$109.075
12/07/2023,$110.40,184965,$110.83,$111.68,$109.64
12/06/2023,$110.75,290693,$107.82,$112.30,$107.6385
12/05/2023,$106.395,271438,$109.61,$109.875,$106.36
12/04/2023,$110.61,646832,$109.64,$111.27,$108.08
12/01/2023,$110.33,267858,$105.03,$110.50,$104.90
11/30/2023,$105.03,205761,$104.24,$105.31,$103.075
11/29/2023,$104.20,152894,$105.00,$105.45,$103.795
11/28/2023,$103.84,162773,$104.57,$104.76,$103.55
11/27/2023,$104.76,144285,$103.99,$104.88,$103.13
11/24/2023,$104.72,67454,$102.50,$104.95,$102.50
11/22/2023,$103.46,105354,$104.25,$105.00,$102.75
11/21/2023,$103.00,226662,$104.12,$104.12,$102.22
11/20/2023,$104.47,235749,$102.88,$104.52,$100.844
11/17/2023,$102.84,193930,$102.91,$104.20,$102.42
11/16/2023,$101.99,154785,$103.64,$103.95,$101.71
11/15/2023,$104.10,180442,$103.11,$106.06,$103.10
11/14/2023,$103.24,277174,$100.20,$105.28,$100.20
11/13/2023,$97.31,153174,$97.99,$98.70,$97.23
11/10/2023,$98.91,168934,$98.21,$99.49,$96.45
11/09/2023,$97.05,244877,$101.24,$101.24,$96.04
11/08/2023,$100.76,111530,$101.39,$102.185,$100.75
11/07/2023,$100.96,195453,$100.85,$101.62,$100.02
11/06/2023,$101.00,218749,$102.59,$102.99,$99.89
11/03/2023,$102.65,196157,$102.15,$104.455,$102.15
11/02/2023,$100.78,323234,$97.93,$101.21,$97.64
11/01/2023,$96.63,445450,$97.55,$97.88,$92.65
10/31/2023,$98.32,208361,$96.85,$98.525,$96.54
10/30/2023,$96.99,253005,$97.45,$98.04,$95.07
10/27/2023,$96.58,213880,$98.47,$99.2147,$96.296
10/26/2023,$98.75,243401,$98.50,$99.25,$96.68
10/25/2023,$97.93,402208,$100.08,$100.69,$97.79
10/24/2023,$101.18,210447,$103.01,$103.7397,$101.18
10/23/2023,$102.50,317521,$102.95,$105.00,$102.46
10/20/2023,$103.42,302335,$104.44,$104.44,$103.29
10/19/2023,$104.05,316077,$104.59,$105.46,$103.86
10/18/2023,$104.59,545097,$107.02,$107.5355,$103.84
10/17/2023,$108.81,420531,$108.53,$112.00,$108.00
10/16/2023,$108.90,490384,$113.00,$113.55,$108.78
10/13/2023,$112.06,282772,$111.29,$112.37,$110.38
10/12/2023,$110.84,210569,$110.40,$111.095,$108.68
10/11/2023,$110.68,275347,$111.78,$112.3081,$109.7501
10/10/2023,$111.66,343755,$108.34,$112.40,$108.15
10/09/2023,$108.03,210721,$107.44,$108.885,$106.31
10/06/2023,$108.48,339887,$105.68,$109.13,$104.52
10/05/2023,$107.20,599124,$104.00,$108.1685,$103.53
10/04/2023,$105.28,1654753,$103.69,$106.55,$101.1101
10/03/2023,$113.64,645436,$116.56,$117.96,$113.45
10/02/2023,$117.45,582066,$115.73,$119.895,$115.64
09/29/2023,$116.56,272509,$117.29,$118.35,$116.41
09/28/2023,$116.34,235699,$116.21,$116.84,$115.63
09/27/2023,$116.11,172203,$115.34,$116.58,$114.44
09/26/2023,$115.33,246482,$116.90,$117.45,$114.91
09/25/2023,$117.64,206221,$115.51,$118.36,$114.9011
09/22/2023,$115.995,281678,$115.95,$116.98,$114.9584
09/21/2023,$115.80,483609,$114.00,$118.38,$113.58
09/20/2023,$114.58,118235,$116.07,$116.85,$114.53
09/19/2023,$114.94,206678,$115.20,$115.86,$113.93
09/18/2023,$115.20,165482,$117.67,$117.67,$115.18
09/15/2023,$117.17,276543,$118.14,$118.54,$116.95
09/14/2023,$118.40,188060,$119.45,$119.45,$117.75
09/13/2023,$118.08,246073,$118.31,$118.31,$116.11
09/12/2023,$117.62,169619,$116.06,$117.99,$116.06
09/11/2023,$115.89,167375,$116.03,$117.00,$115.54
09/08/2023,$115.21,168157,$115.01,$115.55,$114.77
09/07/2023,$115.01,255412,$115.14,$116.01,$114.6434
09/06/2023,$115.74,270146,$117.41,$117.62,$115.20
09/05/2023,$116.88,386205,$121.72,$121.72,$116.83
09/01/2023,$122.21,183931,$123.76,$124.39,$121.721
08/31/2023,$122.92,193211,$125.47,$125.50,$122.85
08/30/2023,$125.53,284048,$124.84,$126.76,$123.97
08/29/2023,$125.66,373553,$122.49,$127.28,$121.355
08/28/2023,$122.14,142416,$121.74,$122.705,$120.875
08/25/2023,$120.92,165779,$121.62,$121.96,$119.08
08/24/2023,$120.82,213404,$120.98,$122.115,$120.27
08/23/2023,$121.73,171729,$120.71,$122.00,$120.10
