Date,Close/Last,Volume,Open,High,Low
10/23/2023,$161.30,11092060,$163.40,$166.50,$160.475
10/20/2023,$163.02,2211355,$165.13,$166.18,$161.27
10/19/2023,$166.08,1877346,$164.22,$167.75,$162.855
10/18/2023,$164.97,2127514,$165.59,$167.255,$163.81
10/17/2023,$164.02,1423575,$161.11,$164.32,$161.10
10/16/2023,$161.41,1459974,$162.36,$162.84,$160.82
10/13/2023,$160.98,1665912,$159.10,$162.13,$158.01
10/12/2023,$156.35,1731124,$156.69,$158.27,$155.495
10/11/2023,$154.98,2121748,$152.01,$155.24,$151.82
10/10/2023,$153.65,1152522,$153.00,$154.86,$152.10
10/09/2023,$153.38,1715465,$150.15,$154.20,$149.27
10/06/2023,$145.65,1753644,$142.78,$147.455,$141.75
10/05/2023,$141.94,1690858,$142.06,$144.70,$141.70
10/04/2023,$143.26,2871013,$147.01,$147.25,$141.64
10/03/2023,$149.50,1684745,$148.28,$149.7399,$147.81
10/02/2023,$149.12,1531807,$153.07,$153.5841,$147.96
09/29/2023,$153.00,1866858,$156.47,$157.19,$152.00
09/28/2023,$156.64,2475010,$157.46,$158.55,$155.595
09/27/2023,$158.04,3103717,$154.69,$158.80,$153.61
09/26/2023,$152.04,1965015,$150.33,$153.03,$149.487
09/25/2023,$151.94,1306770,$150.53,$152.92,$149.78
09/22/2023,$150.12,1543457,$152.16,$153.09,$150.00
09/21/2023,$150.93,1803738,$156.83,$156.94,$150.685
09/20/2023,$156.28,1626063,$157.94,$159.98,$156.03
09/19/2023,$159.04,1601523,$164.58,$164.68,$158.18
09/18/2023,$162.60,1321239,$162.18,$162.96,$160.26
09/15/2023,$160.35,2770873,$162.91,$163.82,$160.26
09/14/2023,$164.88,2666146,$162.59,$165.43,$162.085
09/13/2023,$160.45,2451642,$161.70,$162.265,$157.48
09/12/2023,$161.25,1332942,$159.65,$162.05,$159.33
09/11/2023,$157.95,1689315,$161.92,$162.86,$156.751
09/08/2023,$160.52,1639570,$159.95,$161.64,$158.94
09/07/2023,$158.33,1958790,$157.76,$159.79,$157.33
09/06/2023,$157.81,1430128,$157.01,$158.95,$156.59
