Date,Close/Last,Volume,Open,High,Low
10/23/2023,$216.34,177754,$219.38,$220.53,$216.12
10/20/2023,$219.09,406616,$222.43,$223.035,$219.01
10/19/2023,$221.33,285843,$222.56,$224.77,$221.00
10/18/2023,$223.01,259877,$223.60,$225.19,$221.855
10/17/2023,$222.96,278070,$224.44,$226.07,$221.706
10/16/2023,$225.16,254298,$225.33,$225.93,$222.60
10/13/2023,$224.83,266034,$221.80,$225.32,$219.92
10/12/2023,$218.81,220776,$220.79,$220.9654,$217.33
10/11/2023,$220.30,222678,$219.54,$221.1568,$218.5762
10/10/2023,$219.34,324353,$222.45,$222.87,$218.56
10/09/2023,$221.44,665239,$208.81,$221.79,$208.81
10/06/2023,$202.52,238765,$199.60,$203.77,$199.11
10/05/2023,$200.29,167163,$201.68,$202.63,$200.27
10/04/2023,$201.65,251108,$201.66,$203.51,$199.63
10/03/2023,$202.22,230737,$201.44,$202.80,$200.43
10/02/2023,$202.01,260397,$204.34,$204.98,$201.75
09/29/2023,$204.58,189411,$205.71,$206.845,$204.1005
09/28/2023,$205.06,340823,$204.54,$206.84,$203.96
09/27/2023,$203.19,210611,$201.19,$203.21,$200.465
09/26/2023,$200.41,214353,$200.67,$202.313,$200.04
09/25/2023,$201.33,174396,$200.55,$202.36,$199.57
09/22/2023,$201.08,241117,$202.22,$203.40,$200.04
09/21/2023,$202.50,566536,$204.66,$205.125,$199.57
09/20/2023,$205.58,539192,$210.22,$210.22,$205.51
09/19/2023,$208.92,261277,$212.61,$212.73,$208.585
09/18/2023,$212.28,178312,$212.04,$213.84,$210.55
09/15/2023,$211.65,344624,$212.62,$214.1932,$211.59
09/14/2023,$212.93,179320,$209.58,$212.99,$209.3878
09/13/2023,$209.52,211505,$212.08,$212.71,$209.07
09/12/2023,$211.35,127907,$210.04,$212.94,$210.04
09/11/2023,$211.10,141592,$210.59,$211.92,$208.37
09/08/2023,$210.84,170319,$209.38,$210.985,$208.76
09/07/2023,$209.38,420602,$209.53,$210.65,$208.16
09/06/2023,$209.20,325992,$216.35,$216.93,$209.10
09/05/2023,$217.12,182826,$220.78,$220.78,$217.12
09/01/2023,$220.86,127767,$221.68,$222.099,$220.27
08/31/2023,$220.32,161013,$221.14,$222.61,$220.30
08/30/2023,$220.81,189499,$219.45,$221.405,$219.235
08/29/2023,$219.02,158885,$218.36,$219.50,$216.55
08/28/2023,$218.96,160474,$218.57,$220.50,$218.12
08/25/2023,$218.55,121051,$219.64,$219.64,$217.07
08/24/2023,$218.11,142551,$218.17,$221.0226,$217.70
08/23/2023,$220.22,166259,$221.02,$221.02,$218.86
08/22/2023,$220.62,133155,$220.30,$221.615,$219.55
08/21/2023,$219.91,239618,$219.61,$220.89,$218.34
08/18/2023,$219.44,464205,$219.78,$222.60,$218.81
08/17/2023,$220.31,369915,$224.66,$225.1118,$220.01
08/16/2023,$223.73,182196,$222.38,$225.48,$222.38
08/15/2023,$222.78,258932,$226.75,$228.12,$222.62
08/14/2023,$227.69,212764,$227.15,$228.28,$225.46
08/11/2023,$226.88,190898,$225.37,$227.245,$223.36
08/10/2023,$224.69,186026,$226.72,$227.48,$224.00
08/09/2023,$227.66,187667,$226.44,$228.83,$224.95
08/08/2023,$226.02,217324,$228.34,$230.11,$224.81
08/07/2023,$230.54,232302,$227.60,$232.53,$227.60
08/04/2023,$226.84,360069,$227.46,$228.335,$225.78
08/03/2023,$226.26,589490,$229.48,$235.465,$218.51
08/02/2023,$227.82,331410,$229.91,$230.53,$227.615
08/01/2023,$229.97,220896,$229.60,$231.68,$228.62
07/31/2023,$229.67,305449,$231.17,$231.17,$227.395
07/28/2023,$230.45,220590,$232.69,$232.69,$228.32
07/27/2023,$230.59,288112,$233.69,$233.69,$228.13
07/26/2023,$234.46,246414,$231.96,$235.61,$231.04
07/25/2023,$231.59,162975,$228.90,$231.94,$226.33
07/24/2023,$231.22,148865,$231.71,$232.93,$230.535
07/21/2023,$231.57,201962,$232.95,$233.60,$230.49
07/20/2023,$232.87,213230,$231.07,$233.38,$229.90
07/19/2023,$229.48,308601,$229.45,$230.35,$227.34
07/18/2023,$229.60,272400,$233.09,$235.29,$227.84
07/17/2023,$233.08,282104,$228.93,$234.90,$228.43
07/14/2023,$228.35,233865,$227.43,$228.39,$225.80
07/13/2023,$228.28,212590,$228.62,$229.70,$227.00
07/12/2023,$229.59,190032,$232.02,$232.02,$228.69
07/11/2023,$230.97,222469,$228.25,$232.00,$226.72
07/10/2023,$227.87,212170,$224.66,$227.94,$224.66
07/07/2023,$224.25,504087,$225.23,$227.21,$223.55
07/06/2023,$225.90,266094,$226.81,$227.60,$225.35
07/05/2023,$227.68,239669,$227.82,$228.46,$225.6978
07/03/2023,$228.75,151612,$225.96,$230.00,$225.50
06/30/2023,$227.60,305126,$226.00,$228.24,$224.83
06/29/2023,$226.96,299331,$219.98,$227.08,$219.98
06/28/2023,$220.42,238405,$221.20,$221.20,$218.655
06/27/2023,$221.18,178889,$217.84,$221.33,$216.925
06/26/2023,$218.58,259795,$215.56,$218.76,$212.00
06/23/2023,$216.96,499412,$217.55,$217.87,$215.855
06/22/2023,$217.95,237601,$218.94,$219.6735,$216.225
06/21/2023,$219.68,211360,$218.47,$219.77,$217.32
06/20/2023,$218.47,333227,$221.52,$221.52,$217.905
