Date,Close/Last,Volume,Open,High,Low
10/23/2023,$4.25,6662227,$4.17,$4.36,$4.06
10/20/2023,$4.26,7536212,$4.25,$4.45,$4.245
10/19/2023,$4.26,4441408,$4.29,$4.305,$4.20
10/18/2023,$4.32,7710486,$4.46,$4.615,$4.28
10/17/2023,$4.36,5846573,$4.16,$4.40,$4.13
10/16/2023,$4.15,6401081,$4.12,$4.22,$4.1014
10/13/2023,$4.14,11478040,$3.88,$4.23,$3.84
10/12/2023,$3.66,6031702,$3.92,$3.95,$3.65
10/11/2023,$3.93,7034206,$3.85,$3.94,$3.795
10/10/2023,$3.81,3817323,$3.79,$3.835,$3.76
10/09/2023,$3.80,4056050,$3.85,$3.92,$3.76
10/06/2023,$3.78,5496362,$3.60,$3.84,$3.60
10/05/2023,$3.61,4648624,$3.65,$3.69,$3.55
10/04/2023,$3.65,4294650,$3.69,$3.735,$3.60
10/03/2023,$3.70,6249027,$3.62,$3.74,$3.60
10/02/2023,$3.62,11384080,$3.80,$3.80,$3.61
09/29/2023,$3.91,5943148,$3.99,$4.12,$3.83
09/28/2023,$3.90,5065819,$3.88,$3.91,$3.82
09/27/2023,$3.86,4618926,$3.87,$3.87,$3.78
09/26/2023,$3.87,3772891,$3.97,$3.99,$3.86
09/25/2023,$4.01,3830770,$3.97,$4.02,$3.92
09/22/2023,$3.98,4370587,$4.03,$4.10,$3.96
09/21/2023,$3.99,4789270,$3.98,$4.0299,$3.90
09/20/2023,$4.08,5495665,$4.03,$4.14,$4.005
09/19/2023,$4.01,5300165,$4.18,$4.18,$4.01
09/18/2023,$4.19,5073989,$4.20,$4.24,$4.11
09/15/2023,$4.22,22710550,$4.17,$4.335,$4.15
09/14/2023,$4.08,6340841,$4.00,$4.14,$3.99
09/13/2023,$3.96,4440148,$4.03,$4.07,$3.96
09/12/2023,$4.01,5028655,$4.03,$4.17,$4.00
09/11/2023,$4.06,4249789,$4.07,$4.17,$4.05
09/08/2023,$4.00,3460487,$4.05,$4.145,$3.99
09/07/2023,$4.05,4501710,$4.12,$4.13,$4.02
09/06/2023,$4.15,5116617,$4.16,$4.24,$4.10
09/05/2023,$4.17,6179334,$4.27,$4.29,$4.15
09/01/2023,$4.35,4159185,$4.46,$4.50,$4.34
08/31/2023,$4.39,5065164,$4.47,$4.495,$4.37
08/30/2023,$4.48,7961565,$4.65,$4.745,$4.44
08/29/2023,$4.60,5381879,$4.41,$4.61,$4.38
08/28/2023,$4.45,4469346,$4.35,$4.51,$4.31
08/25/2023,$4.31,4052764,$4.34,$4.36,$4.215
08/24/2023,$4.34,5821362,$4.37,$4.41,$4.26
08/23/2023,$4.41,10678600,$4.15,$4.47,$4.14
08/22/2023,$4.08,8598844,$4.15,$4.15,$3.96
08/21/2023,$4.11,15778330,$4.35,$4.42,$4.07
08/18/2023,$4.58,5629737,$4.46,$4.60,$4.44
08/17/2023,$4.49,9443401,$4.58,$4.60,$4.45
08/16/2023,$4.47,4345124,$4.55,$4.605,$4.45
08/15/2023,$4.55,5004498,$4.66,$4.69,$4.54
08/14/2023,$4.72,4670802,$4.73,$4.80,$4.625
08/11/2023,$4.80,5883803,$4.64,$4.80,$4.605
08/10/2023,$4.59,8010098,$4.77,$4.80,$4.57
08/09/2023,$4.68,12580080,$5.04,$5.07,$4.675
08/08/2023,$5.14,5052617,$5.05,$5.165,$4.92
08/07/2023,$5.16,3997254,$5.22,$5.29,$5.08
08/04/2023,$5.25,5156539,$5.27,$5.37,$5.24
08/03/2023,$5.21,4722130,$5.25,$5.30,$5.165
08/02/2023,$5.29,4270796,$5.46,$5.49,$5.28
08/01/2023,$5.51,4932949,$5.56,$5.6201,$5.47
07/31/2023,$5.76,4500888,$5.63,$5.82,$5.61
07/28/2023,$5.58,3922309,$5.62,$5.62,$5.52
07/27/2023,$5.53,6232828,$5.85,$5.86,$5.51
07/26/2023,$5.96,4799597,$5.88,$5.97,$5.845
07/25/2023,$5.88,4472372,$5.78,$5.92,$5.78
07/24/2023,$5.77,4155591,$5.86,$5.88,$5.71
07/21/2023,$5.84,3213768,$5.88,$5.93,$5.81
07/20/2023,$5.89,5098316,$6.11,$6.18,$5.88
07/19/2023,$6.13,4278278,$6.12,$6.19,$6.10
07/18/2023,$6.13,6953647,$6.04,$6.23,$5.99
07/17/2023,$5.92,5545157,$5.81,$5.95,$5.7501
07/14/2023,$5.92,7596610,$5.95,$6.12,$5.92
07/13/2023,$5.94,6582611,$5.92,$5.98,$5.84
07/12/2023,$5.83,11574020,$5.45,$5.90,$5.44
07/11/2023,$5.35,5913140,$5.40,$5.44,$5.32
07/10/2023,$5.37,5586624,$5.06,$5.39,$5.05
07/07/2023,$5.11,5308074,$5.105,$5.18,$5.095
