Date,Close/Last,Volume,Open,High,Low
01/05/2024,$35.26,2200064,$34.17,$35.60,$34.17
01/04/2024,$34.36,1319771,$34.57,$34.645,$34.16
01/03/2024,$34.69,1191780,$35.67,$35.67,$34.45
01/02/2024,$36.29,1655189,$36.50,$36.96,$35.94
12/29/2023,$36.84,968082,$37.08,$37.455,$36.735
12/28/2023,$37.25,953962,$37.02,$37.28,$36.77
12/27/2023,$37.14,1212569,$36.68,$37.40,$36.6775
12/26/2023,$36.63,803584,$36.04,$36.71,$35.96
12/22/2023,$35.91,668167,$35.82,$36.305,$35.71
12/21/2023,$35.89,927683,$34.95,$36.01,$34.76
12/20/2023,$34.60,1009852,$34.96,$35.63,$34.59
12/19/2023,$35.23,960692,$34.67,$35.27,$34.63
12/18/2023,$34.46,1314114,$35.58,$35.58,$34.445
12/15/2023,$35.47,3128384,$35.82,$36.10,$35.28
12/14/2023,$35.64,2682480,$34.00,$36.26,$33.98
12/13/2023,$33.29,1631130,$32.20,$33.45,$31.20
12/12/2023,$32.28,1232173,$32.17,$32.515,$31.7501
12/11/2023,$32.37,872898,$32.12,$32.46,$31.91
12/08/2023,$32.10,1098958,$32.25,$32.73,$32.10
12/07/2023,$32.49,1549144,$31.32,$32.52,$31.31
12/06/2023,$31.28,949316,$31.16,$31.94,$31.15
12/05/2023,$30.71,1761368,$31.60,$31.87,$30.48
12/04/2023,$31.90,1405619,$31.27,$32.34,$31.26
12/01/2023,$31.33,3994625,$29.96,$31.45,$29.75
11/30/2023,$29.99,1154253,$30.28,$30.36,$29.67
11/29/2023,$30.00,1214099,$30.35,$30.79,$29.99
11/28/2023,$30.00,1883243,$30.09,$30.10,$29.735
11/27/2023,$30.23,1256380,$30.19,$30.40,$29.96
11/24/2023,$30.50,607253,$30.21,$30.71,$30.16
11/22/2023,$30.18,1144695,$30.12,$30.51,$29.90
11/21/2023,$29.87,1200613,$29.94,$30.205,$29.74
11/20/2023,$30.19,1219072,$29.95,$30.295,$29.81
11/17/2023,$30.00,1426756,$30.05,$30.58,$29.985
11/16/2023,$29.65,1283588,$29.87,$30.01,$29.34
11/15/2023,$30.00,1803560,$28.90,$30.125,$28.90
11/14/2023,$28.77,2151882,$27.96,$29.06,$27.96
11/13/2023,$27.04,1196630,$26.59,$27.29,$26.40
11/10/2023,$26.64,1025248,$26.74,$26.85,$26.35
11/09/2023,$26.78,1016685,$27.74,$27.77,$26.68
11/08/2023,$27.62,785559,$27.50,$27.77,$27.4612
11/07/2023,$27.50,894385,$27.63,$27.78,$27.32
11/06/2023,$27.77,1833963,$29.02,$29.18,$27.65
11/03/2023,$28.92,1399141,$28.14,$29.13,$28.13
11/02/2023,$27.85,1240429,$27.67,$28.01,$27.33
11/01/2023,$27.30,1840784,$26.95,$27.52,$26.74
10/31/2023,$26.85,2519507,$26.00,$27.105,$25.90
10/30/2023,$25.88,2143397,$26.53,$26.645,$25.45
10/27/2023,$26.17,2054283,$27.01,$27.32,$26.11
10/26/2023,$26.96,5225114,$28.59,$28.73,$25.4302
10/25/2023,$28.82,2024986,$29.12,$29.27,$28.74
10/24/2023,$29.23,1339448,$29.85,$30.04,$29.22
10/23/2023,$29.79,1339419,$29.86,$30.2584,$29.74
10/20/2023,$30.10,1277939,$29.75,$30.23,$29.69
10/19/2023,$29.79,1289999,$29.86,$30.385,$29.67
10/18/2023,$30.00,896023,$30.29,$30.3899,$29.95
10/17/2023,$30.75,1326253,$30.00,$31.20,$29.90
10/16/2023,$30.30,1105088,$30.04,$30.61,$29.94
10/13/2023,$29.82,1189783,$29.92,$30.15,$29.65
10/12/2023,$29.91,1345470,$30.84,$30.97,$29.57
10/11/2023,$30.86,1374714,$31.02,$31.375,$30.70
10/10/2023,$30.82,1162359,$30.39,$31.08,$30.285
10/09/2023,$30.39,1026769,$29.99,$30.55,$29.69
10/06/2023,$30.25,2390349,$29.48,$30.73,$29.46
10/05/2023,$30.03,1713624,$31.29,$31.56,$29.98
10/04/2023,$31.53,2758841,$32.00,$32.07,$30.90
10/03/2023,$31.68,1032965,$32.01,$32.45,$31.525
10/02/2023,$32.30,926551,$33.03,$33.295,$32.2126
09/29/2023,$33.06,888086,$33.23,$33.55,$33.00
09/28/2023,$32.94,849429,$32.28,$33.22,$32.26
09/27/2023,$32.41,870773,$32.31,$32.685,$32.23
09/26/2023,$32.19,949252,$32.57,$33.08,$32.16
09/25/2023,$32.99,861126,$32.44,$33.35,$32.36
09/22/2023,$32.60,709205,$32.89,$33.06,$32.59
09/21/2023,$32.67,873598,$32.69,$33.02,$32.475
09/20/2023,$32.86,908521,$33.07,$33.28,$32.83
09/19/2023,$32.83,1377921,$32.93,$33.13,$32.69
09/18/2023,$32.81,1404169,$33.16,$33.239,$32.70
09/15/2023,$33.36,3084409,$33.47,$34.13,$33.20
09/14/2023,$34.38,1194479,$33.94,$34.71,$33.94
09/13/2023,$33.65,1135665,$33.46,$33.715,$33.385
09/12/2023,$33.47,1070529,$32.63,$33.54,$32.59
09/11/2023,$32.56,1842895,$33.20,$33.26,$31.77
09/08/2023,$33.53,795717,$33.58,$33.72,$33.14
09/07/2023,$33.51,1657396,$34.20,$34.23,$33.51
09/06/2023,$34.58,1582048,$34.07,$35.155,$34.07
09/05/2023,$33.52,1062193,$33.91,$33.91,$33.34
09/01/2023,$34.21,743350,$33.93,$34.2299,$33.78
08/31/2023,$33.75,996914,$33.90,$34.08,$33.68
08/30/2023,$33.70,789097,$33.83,$34.06,$33.61
08/29/2023,$34.01,633580,$33.62,$34.135,$33.45
08/28/2023,$33.60,683642,$33.74,$34.08,$33.51
08/25/2023,$33.54,662405,$33.36,$33.74,$33.19
08/24/2023,$33.19,783123,$33.39,$33.97,$33.17
08/23/2023,$33.58,979206,$32.69,$33.62,$32.60
08/22/2023,$32.90,777510,$33.52,$33.56,$32.69
08/21/2023,$33.37,968492,$33.70,$33.9183,$33.2075
08/18/2023,$33.62,1275096,$32.50,$33.64,$32.331
08/17/2023,$32.74,955579,$33.20,$33.3441,$32.63
08/16/2023,$33.06,1247953,$33.19,$33.5745,$32.88
08/15/2023,$33.51,1038522,$34.45,$34.45,$33.44
08/14/2023,$34.76,1170094,$34.04,$34.855,$33.94
08/11/2023,$34.27,1372367,$35.06,$35.2025,$34.145
08/10/2023,$35.49,1383170,$35.39,$35.57,$34.97
08/09/2023,$35.35,890725,$35.33,$35.845,$35.15
08/08/2023,$35.53,1775201,$35.11,$35.72,$34.72
08/07/2023,$35.59,2250545,$37.29,$37.29,$35.385
08/04/2023,$37.55,1001872,$37.70,$37.83,$37.11
08/03/2023,$37.59,1067969,$37.86,$38.13,$37.22
08/02/2023,$37.97,1067317,$38.05,$38.13,$37.535
08/01/2023,$38.52,1284231,$38.36,$38.705,$38.18
07/31/2023,$38.61,1651272,$38.68,$38.785,$37.95
07/28/2023,$38.72,2340390,$38.39,$39.13,$38.08
07/27/2023,$37.70,5242101,$38.60,$40.29,$37.34
