Date,Close/Last,Volume,Open,High,Low
01/05/2024,$24.33,998175,$24.24,$24.69,$24.22
01/04/2024,$24.41,1326419,$24.58,$24.70,$24.365
01/03/2024,$24.47,1173820,$25.11,$25.16,$24.465
01/02/2024,$25.33,1018102,$25.07,$25.56,$25.00
12/29/2023,$25.33,750619,$25.56,$25.6301,$25.32
12/28/2023,$25.67,711829,$25.58,$25.78,$25.56
12/27/2023,$25.69,698314,$25.74,$25.79,$25.535
12/26/2023,$25.64,1028803,$25.39,$25.745,$25.30
12/22/2023,$25.37,1180205,$25.36,$25.63,$25.25
12/21/2023,$25.26,873381,$25.25,$25.335,$24.945
12/20/2023,$25.03,1493504,$25.50,$25.80,$25.02
12/19/2023,$25.44,1381886,$25.19,$25.54,$25.11
12/18/2023,$25.01,1262883,$25.20,$25.23,$24.845
12/15/2023,$24.99,2992043,$25.23,$25.44,$24.88
12/14/2023,$25.36,3382618,$24.90,$25.57,$24.82
12/13/2023,$24.72,2224849,$23.69,$24.755,$23.64
12/12/2023,$23.78,878808,$23.74,$23.855,$23.61
12/11/2023,$23.80,781886,$23.57,$23.842,$23.37
12/08/2023,$23.61,855242,$23.70,$23.925,$23.53
12/07/2023,$23.67,708984,$23.29,$23.68,$23.10
12/06/2023,$23.22,1003439,$23.52,$23.94,$23.20
12/05/2023,$23.28,838369,$23.48,$23.50,$23.23
12/04/2023,$23.64,1226779,$22.94,$23.64,$22.94
12/01/2023,$23.05,1166400,$21.93,$23.14,$21.93
11/30/2023,$22.18,716822,$22.35,$22.49,$22.15
11/29/2023,$22.29,1067329,$22.16,$22.515,$22.125
11/28/2023,$21.95,681723,$22.00,$22.00,$21.70
11/27/2023,$21.96,740307,$21.86,$22.005,$21.75
11/24/2023,$22.03,232644,$22.02,$22.095,$21.915
11/22/2023,$21.99,513620,$22.07,$22.14,$21.84
11/21/2023,$21.77,736644,$22.25,$22.27,$21.76
11/20/2023,$22.33,863510,$22.18,$22.36,$22.08
11/17/2023,$22.32,1071694,$22.37,$22.61,$22.27
11/16/2023,$22.15,1008130,$22.31,$22.43,$21.87
