Date,Close/Last,Volume,Open,High,Low
10/25/2023,$9.03,5804808,$9.21,$9.29,$9.01
10/24/2023,$9.32,5658232,$9.34,$9.595,$9.2498
10/23/2023,$9.17,5031483,$9.05,$9.39,$8.9731
10/20/2023,$9.13,5349274,$8.95,$9.23,$8.89
10/19/2023,$8.97,5382537,$9.24,$9.24,$8.96
10/18/2023,$9.21,5151217,$9.50,$9.56,$9.15
10/17/2023,$9.60,6263910,$9.22,$9.64,$9.22
10/16/2023,$9.32,3913882,$9.16,$9.385,$9.14
10/13/2023,$9.14,5588925,$9.30,$9.365,$9.12
10/12/2023,$9.29,7034192,$9.74,$9.77,$9.28
10/11/2023,$9.72,6391355,$10.05,$10.18,$9.68
10/10/2023,$10.04,4895841,$9.86,$10.19,$9.86
10/09/2023,$9.87,3637355,$9.80,$9.96,$9.715
10/06/2023,$9.93,5126323,$9.62,$9.99,$9.62
10/05/2023,$9.73,4888517,$9.57,$9.82,$9.49
10/04/2023,$9.68,4485560,$9.50,$9.69,$9.43
10/03/2023,$9.53,4405543,$9.62,$9.78,$9.49
10/02/2023,$9.73,5825411,$9.77,$9.90,$9.59
09/29/2023,$9.81,4609796,$9.84,$10.01,$9.69
09/28/2023,$9.68,3848864,$9.60,$9.84,$9.48
09/27/2023,$9.57,4445714,$9.64,$9.77,$9.44
09/26/2023,$9.53,5751388,$9.61,$9.77,$9.49
09/25/2023,$9.68,3894790,$9.57,$9.77,$9.55
09/22/2023,$9.70,5372136,$9.91,$9.97,$9.64
09/21/2023,$9.83,7254032,$10.01,$10.02,$9.82
09/20/2023,$10.22,4892010,$10.45,$10.65,$10.21
09/19/2023,$10.47,4591808,$10.58,$10.60,$10.36
09/18/2023,$10.60,5412100,$10.65,$10.79,$10.58
09/15/2023,$10.67,8992215,$10.47,$10.695,$10.43
09/14/2023,$10.57,6470819,$10.65,$10.66,$10.42
09/13/2023,$10.62,4808526,$10.76,$10.8107,$10.59
09/12/2023,$10.80,5042763,$10.81,$11.01,$10.79
09/11/2023,$10.84,5331806,$10.82,$10.90,$10.71
09/08/2023,$10.74,4880789,$10.69,$10.80,$10.515
09/07/2023,$10.74,4420290,$10.61,$10.77,$10.523
09/06/2023,$10.79,5866782,$10.77,$10.935,$10.70
09/05/2023,$10.82,9895076,$11.00,$11.02,$10.66
09/01/2023,$11.11,9246343,$11.18,$11.37,$11.06
08/31/2023,$10.89,28595700,$11.10,$11.165,$10.765
08/30/2023,$11.06,7217966,$10.90,$11.15,$10.90
08/29/2023,$11.02,9553660,$10.475,$11.08,$10.45
08/28/2023,$10.55,4881541,$10.62,$10.72,$10.50
08/25/2023,$10.54,4784373,$10.38,$10.60,$10.33
08/24/2023,$10.37,4885104,$10.52,$10.52,$10.27
08/23/2023,$10.50,6019393,$10.39,$10.60,$10.335
08/22/2023,$10.38,6452116,$10.50,$10.605,$10.32
08/21/2023,$10.39,6461214,$10.285,$10.445,$10.13
08/18/2023,$10.25,8363501,$9.86,$10.30,$9.84
08/17/2023,$10.07,7550140,$10.24,$10.32,$10.05
08/16/2023,$10.19,4759005,$10.33,$10.42,$10.16
08/15/2023,$10.41,4962335,$10.55,$10.605,$10.395
08/14/2023,$10.65,5419157,$10.66,$10.68,$10.51
08/11/2023,$10.72,6713569,$10.605,$10.79,$10.58
08/10/2023,$10.73,6645948,$10.93,$11.10,$10.66
08/09/2023,$10.80,10370540,$11.04,$11.10,$10.75
08/08/2023,$11.10,8251270,$11.09,$11.16,$10.93
08/07/2023,$11.34,9660159,$11.31,$11.50,$11.07
08/04/2023,$11.28,11685000,$11.68,$11.76,$11.22
08/03/2023,$11.54,22053160,$11.38,$11.80,$10.89
08/02/2023,$12.44,14714860,$12.54,$12.56,$12.18
08/01/2023,$12.87,9869704,$12.68,$12.89,$12.53
07/31/2023,$12.86,10249180,$12.80,$13.015,$12.715
07/28/2023,$12.73,9038996,$12.45,$12.74,$12.37
07/27/2023,$12.23,10579480,$12.88,$12.94,$12.09
07/26/2023,$12.74,12181140,$12.46,$12.80,$12.40
07/25/2023,$12.54,5928576,$12.74,$12.89,$12.52
07/24/2023,$12.74,7934035,$12.68,$12.93,$12.64
07/21/2023,$12.76,8728545,$12.91,$12.95,$12.65
07/20/2023,$12.81,10455910,$12.95,$13.08,$12.57
07/19/2023,$13.12,16594230,$12.68,$13.23,$12.6665
07/18/2023,$12.59,12920090,$12.51,$12.76,$12.39
07/17/2023,$12.49,15187670,$12.34,$12.85,$12.22
07/14/2023,$12.38,14574640,$12.50,$12.505,$12.06
07/13/2023,$12.45,18580430,$11.98,$12.61,$11.84
07/12/2023,$11.94,15229590,$12.04,$12.115,$11.69
07/11/2023,$11.83,23071350,$11.47,$12.02,$11.325
07/10/2023,$11.21,14643430,$10.88,$11.27,$10.54
07/07/2023,$10.79,12637720,$10.40,$10.91,$10.40
07/06/2023,$10.41,10432990,$10.57,$10.64,$10.195
07/05/2023,$10.72,12285660,$10.72,$10.76,$10.39
07/03/2023,$10.66,12439310,$10.00,$10.80,$9.98
06/30/2023,$9.98,8507290,$10.125,$10.14,$9.86
06/29/2023,$9.97,11985820,$9.99,$10.15,$9.71
06/28/2023,$10.18,13019540,$10.01,$10.52,$9.98
06/27/2023,$9.94,11603780,$9.60,$10.02,$9.56
06/26/2023,$9.63,5827200,$9.47,$9.74,$9.38
06/23/2023,$9.49,12427230,$9.36,$9.58,$9.30
06/22/2023,$9.45,14820900,$9.69,$9.71,$9.10
06/21/2023,$9.76,5614564,$9.96,$10.06,$9.75
06/20/2023,$10.00,7452896,$9.95,$10.05,$9.64
06/16/2023,$10.03,14175450,$10.07,$10.22,$9.945
06/15/2023,$9.98,10373900,$9.82,$10.14,$9.80
06/14/2023,$9.95,8686713,$9.65,$9.98,$9.5803
06/13/2023,$9.60,10102740,$9.47,$9.69,$9.36
06/12/2023,$9.36,6533923,$9.36,$9.41,$9.23
06/09/2023,$9.41,4525763,$9.61,$9.7993,$9.40
06/08/2023,$9.50,5689767,$9.36,$9.54,$9.17
06/07/2023,$9.40,8088914,$9.20,$9.58,$9.16
06/06/2023,$9.12,10484390,$8.73,$9.12,$8.60
06/05/2023,$9.03,6164327,$9.29,$9.325,$8.98
06/02/2023,$9.34,9531196,$9.12,$9.35,$8.9218
06/01/2023,$9.02,4888049,$8.92,$9.12,$8.785
05/31/2023,$8.92,5338238,$8.82,$9.0299,$8.74
05/30/2023,$8.92,7134857,$9.00,$9.18,$8.91
05/26/2023,$8.82,4551730,$8.60,$8.88,$8.60
05/25/2023,$8.60,5062614,$8.66,$8.74,$8.58
05/24/2023,$8.60,2911643,$8.55,$8.66,$8.46
05/23/2023,$8.68,4313195,$8.70,$8.865,$8.59
05/22/2023,$8.76,6963236,$8.47,$8.785,$8.45
05/19/2023,$8.47,4813013,$8.58,$8.67,$8.43
05/18/2023,$8.62,5201886,$8.425,$8.67,$8.39
05/17/2023,$8.46,9628962,$8.38,$8.655,$8.34
05/16/2023,$8.35,9509032,$8.53,$8.59,$8.31
05/15/2023,$8.65,10032870,$8.72,$8.745,$8.51
05/12/2023,$8.74,15479100,$9.62,$9.64,$8.71
05/11/2023,$9.65,23998440,$9.55,$9.96,$9.18
05/10/2023,$9.07,11103990,$9.31,$9.38,$8.79
05/09/2023,$9.11,7773504,$8.87,$9.17,$8.84
05/08/2023,$8.91,4851807,$8.82,$8.95,$8.76
05/05/2023,$8.85,5325243,$8.62,$8.86,$8.60
05/04/2023,$8.48,6071719,$8.36,$8.60,$8.21
05/03/2023,$8.38,6099973,$8.41,$8.5913,$8.33
05/02/2023,$8.46,7051046,$8.75,$8.79,$8.41
05/01/2023,$8.82,6564045,$8.80,$8.85,$8.645
04/28/2023,$8.85,4550133,$8.77,$8.94,$8.72
04/27/2023,$8.82,8924682,$8.90,$8.94,$8.72
04/26/2023,$8.82,7099173,$9.15,$9.25,$8.80
04/25/2023,$9.09,4345307,$9.30,$9.37,$9.05
04/24/2023,$9.40,3980023,$9.63,$9.69,$9.3837
04/21/2023,$9.64,4759774,$9.69,$9.76,$9.55
04/20/2023,$9.73,3626656,$9.70,$9.835,$9.62
04/19/2023,$9.82,3042264,$9.67,$9.86,$9.62
04/18/2023,$9.84,3515879,$9.97,$10.02,$9.75
04/17/2023,$9.88,7762073,$9.85,$9.91,$9.58
04/14/2023,$10.00,8618503,$10.04,$10.105,$9.915
04/13/2023,$10.07,5893610,$10.09,$10.14,$9.90
04/12/2023,$10.01,5637420,$10.12,$10.20,$9.66
04/11/2023,$9.96,6217222,$10.00,$10.02,$9.825
04/10/2023,$9.98,5884941,$9.93,$10.00,$9.645
04/06/2023,$10.01,6895036,$9.72,$10.08,$9.71
04/05/2023,$9.75,9488757,$9.70,$9.78,$9.52
04/04/2023,$9.76,6472652,$9.80,$9.80,$9.605
04/03/2023,$9.76,8771609,$9.65,$9.82,$9.53
03/31/2023,$9.71,7841557,$9.50,$9.73,$9.48
03/30/2023,$9.46,11434230,$9.22,$9.48,$9.20
03/29/2023,$9.10,8636694,$8.83,$9.22,$8.7404
03/28/2023,$8.67,3027492,$8.60,$8.71,$8.54
03/27/2023,$8.61,4069819,$8.76,$8.84,$8.52
03/24/2023,$8.68,5012974,$8.50,$8.735,$8.375
03/23/2023,$8.57,9078133,$8.89,$9.06,$8.54
03/22/2023,$8.93,4657163,$9.32,$9.40,$8.92
03/21/2023,$9.34,6674508,$8.93,$9.38,$8.88
03/20/2023,$8.80,6042040,$9.16,$9.19,$8.80
03/17/2023,$9.19,6001220,$9.29,$9.37,$9.0437
03/16/2023,$9.31,4246829,$9.10,$9.37,$8.98
03/15/2023,$9.20,5927906,$8.81,$9.22,$8.76
03/14/2023,$9.11,7339626,$9.33,$9.475,$9.00
03/13/2023,$8.99,8538136,$8.85,$9.27,$8.71
03/10/2023,$9.01,12786970,$9.32,$9.37,$8.51
03/09/2023,$9.44,7287528,$9.58,$9.832,$9.35
03/08/2023,$9.65,3962497,$9.42,$9.72,$9.34
03/07/2023,$9.42,6980367,$9.71,$9.78,$9.40
03/06/2023,$9.72,4740506,$9.945,$10.04,$9.675
03/03/2023,$9.90,4934989,$9.61,$9.95,$9.5793
03/02/2023,$9.62,8129153,$9.48,$9.74,$9.21
03/01/2023,$9.73,4785393,$10.01,$10.1103,$9.70
02/28/2023,$10.07,6183898,$9.73,$10.16,$9.72
02/27/2023,$9.72,4516777,$9.72,$9.875,$9.6097
02/24/2023,$9.59,6090404,$9.81,$9.92,$9.47
02/23/2023,$10.09,4670674,$10.065,$10.10,$9.715
02/22/2023,$9.95,5135780,$9.89,$10.095,$9.79
02/21/2023,$9.90,5568913,$10.13,$10.29,$9.83
02/17/2023,$10.35,9328886,$10.20,$10.37,$9.81
02/16/2023,$10.34,8078142,$10.432,$10.92,$10.33
02/15/2023,$10.63,7763673,$10.06,$10.63,$10.02
02/14/2023,$10.06,5431509,$9.89,$10.26,$9.81
02/13/2023,$9.92,5829663,$9.98,$10.08,$9.81
02/10/2023,$9.98,8612299,$9.92,$10.325,$9.84
02/09/2023,$10.08,16889520,$11.066,$11.16,$9.90
02/08/2023,$10.47,13081260,$10.60,$10.795,$10.39
02/07/2023,$10.55,7756744,$10.60,$10.74,$10.22
02/06/2023,$10.60,6529778,$10.63,$10.73,$10.42
02/03/2023,$10.74,11173860,$10.765,$11.235,$10.55
02/02/2023,$11.14,15067780,$11.12,$11.52,$10.97
02/01/2023,$10.78,10457710,$10.26,$10.88,$10.16
01/31/2023,$10.41,7155356,$10.24,$10.42,$10.15
01/30/2023,$10.15,6890667,$10.30,$10.65,$10.01
01/27/2023,$10.39,12460910,$9.61,$10.545,$9.59
01/26/2023,$9.64,5726950,$9.94,$10.00,$9.55
01/25/2023,$9.69,5877772,$9.55,$9.7801,$9.325
01/24/2023,$9.71,5210978,$9.60,$9.84,$9.56
01/23/2023,$9.71,5774715,$9.58,$9.78,$9.43
01/20/2023,$9.52,6450920,$9.16,$9.57,$9.06
01/19/2023,$9.05,3549713,$9.18,$9.30,$9.04
01/18/2023,$9.31,7824450,$9.66,$9.70,$9.17
01/17/2023,$9.52,7924347,$9.36,$9.675,$9.29
01/13/2023,$9.32,10717580,$8.93,$9.44,$8.90
01/12/2023,$9.04,7845606,$8.81,$9.05,$8.49
01/11/2023,$8.76,4901476,$8.76,$8.84,$8.63
01/10/2023,$8.72,6335325,$8.49,$8.735,$8.37
01/09/2023,$8.55,7311232,$8.44,$8.69,$8.39
01/06/2023,$8.25,5880104,$8.14,$8.32,$7.9279
01/05/2023,$8.11,4469130,$8.16,$8.23,$7.95
01/04/2023,$8.36,9287906,$8.17,$8.37,$8.05
01/03/2023,$8.08,5282396,$8.26,$8.38,$7.915
12/30/2022,$8.14,9435821,$7.85,$8.17,$7.76
12/29/2022,$8.05,7422597,$7.77,$8.15,$7.735
12/28/2022,$7.70,6281967,$7.67,$7.81,$7.565
12/27/2022,$7.70,5352966,$7.85,$7.93,$7.68
12/23/2022,$7.95,5243930,$7.99,$8.00,$7.76
12/22/2022,$7.99,7869711,$8.05,$8.11,$7.69
12/21/2022,$8.17,4776648,$8.17,$8.235,$7.97
12/20/2022,$8.10,6312410,$8.13,$8.43,$8.02
12/19/2022,$8.20,8209672,$8.56,$8.56,$8.03
12/16/2022,$8.61,12381280,$8.57,$8.72,$8.365
12/15/2022,$8.67,9036284,$8.825,$9.00,$8.61
12/14/2022,$9.09,11071030,$9.27,$9.44,$8.94
12/13/2022,$9.35,10907230,$10.10,$10.24,$9.24
12/12/2022,$9.58,6070387,$9.40,$9.64,$9.31
12/09/2022,$9.31,5323417,$9.49,$9.49,$9.2746
12/08/2022,$9.52,6337301,$9.43,$9.56,$9.155
12/07/2022,$9.26,5071047,$9.27,$9.42,$9.165
12/06/2022,$9.39,7658206,$9.67,$9.7601,$9.21
12/05/2022,$9.67,4483406,$10.00,$10.17,$9.65
12/02/2022,$9.99,8184424,$9.68,$10.05,$9.575
12/01/2022,$9.87,8576058,$9.60,$10.08,$9.55
11/30/2022,$9.59,7533446,$9.29,$9.63,$9.05
11/29/2022,$9.18,7360015,$9.28,$9.429,$9.03
11/28/2022,$9.19,5920974,$9.30,$9.54,$9.07
11/25/2022,$9.39,1823816,$9.33,$9.43,$9.24
