Date,Close/Last,Volume,Open,High,Low
10/23/2023,$17.34,276089,$17.51,$17.92,$17.182
10/20/2023,$17.77,221978,$18.28,$18.40,$17.69
10/19/2023,$18.08,355491,$17.82,$18.42,$17.20
10/18/2023,$17.96,283198,$17.81,$18.07,$17.75
10/17/2023,$17.81,451854,$17.30,$18.085,$17.17
10/16/2023,$17.42,558466,$17.88,$18.22,$16.845
10/13/2023,$17.39,377002,$16.89,$17.39,$16.6772
10/12/2023,$16.35,386869,$16.64,$16.66,$16.051
10/11/2023,$16.43,419175,$15.75,$16.46,$15.65
10/10/2023,$15.94,311738,$15.89,$16.03,$15.63
10/09/2023,$15.84,515787,$15.32,$15.85,$15.1515
10/06/2023,$14.75,406464,$14.56,$14.87,$14.41
10/05/2023,$14.76,428295,$14.35,$15.04,$14.10
10/04/2023,$14.64,1022647,$15.31,$15.31,$14.16
10/03/2023,$15.71,480911,$15.98,$16.16,$15.43
10/02/2023,$16.08,779522,$16.85,$16.85,$15.95
09/29/2023,$16.88,637587,$17.38,$17.58,$16.84
09/28/2023,$17.40,460534,$17.89,$18.16,$17.36
09/27/2023,$18.07,630946,$17.35,$18.14,$17.35
09/26/2023,$17.01,836725,$18.06,$18.24,$17.00
09/25/2023,$17.88,1310557,$16.81,$17.94,$16.53
09/22/2023,$16.86,1130121,$17.14,$17.7394,$16.67
09/21/2023,$15.88,648465,$16.20,$16.37,$15.80
09/20/2023,$16.29,892651,$16.52,$16.85,$16.28
09/19/2023,$16.84,1274763,$16.42,$16.94,$16.26
09/18/2023,$16.42,1112525,$16.10,$16.91,$16.02
09/15/2023,$15.96,1718813,$16.11,$16.83,$15.71
09/14/2023,$15.75,771546,$15.47,$16.00,$15.34
09/13/2023,$15.20,790819,$14.99,$15.29,$14.70
09/12/2023,$14.94,531832,$15.45,$15.73,$14.66
09/11/2023,$15.19,331409,$15.78,$15.8699,$15.02
09/08/2023,$15.64,291440,$15.07,$15.66,$14.73
09/07/2023,$15.00,345335,$14.81,$15.40,$14.72
09/06/2023,$14.87,268384,$15.15,$15.47,$14.86
09/05/2023,$15.11,484412,$15.31,$15.97,$14.96
09/01/2023,$15.18,313118,$15.01,$15.60,$14.89
08/31/2023,$14.73,277394,$14.80,$15.10,$14.34
08/30/2023,$14.66,235450,$14.58,$14.96,$14.36
08/29/2023,$14.51,344793,$13.93,$14.54,$13.6806
08/28/2023,$14.06,188112,$13.80,$14.37,$13.80
08/25/2023,$13.65,180952,$13.50,$13.73,$13.20
08/24/2023,$13.28,162056,$13.16,$13.54,$13.16
08/23/2023,$13.32,395764,$13.67,$13.67,$12.90
08/22/2023,$13.85,306251,$14.19,$14.50,$13.75
08/21/2023,$14.07,340551,$14.36,$14.88,$14.03
08/18/2023,$14.14,180559,$14.00,$14.21,$13.75
08/17/2023,$14.08,239603,$14.21,$14.49,$14.00
08/16/2023,$14.02,195846,$13.98,$14.525,$13.95
08/15/2023,$14.05,337645,$14.46,$14.74,$13.90
08/14/2023,$14.72,293669,$14.27,$14.86,$14.13
08/11/2023,$14.46,198088,$14.39,$14.79,$14.25
08/10/2023,$14.42,338199,$15.09,$15.2024,$14.31
08/09/2023,$14.97,582401,$15.00,$15.70,$14.65
08/08/2023,$14.84,552110,$13.845,$14.98,$13.47
08/07/2023,$14.16,527878,$14.80,$14.80,$13.67
08/04/2023,$14.48,327151,$14.75,$15.19,$14.37
08/03/2023,$14.76,362167,$14.15,$15.15,$13.86
08/02/2023,$13.80,334917,$14.41,$14.48,$13.6701
08/01/2023,$14.50,536418,$15.08,$15.08,$14.08
07/31/2023,$15.15,922311,$14.42,$15.16,$14.07
07/28/2023,$13.74,363435,$13.86,$14.09,$13.51
07/27/2023,$13.74,483169,$14.52,$14.625,$13.65
07/26/2023,$14.38,444539,$14.50,$14.74,$14.13
07/25/2023,$14.33,643408,$14.90,$15.22,$14.19
07/24/2023,$14.89,1425565,$13.90,$15.145,$13.32
07/21/2023,$12.94,530459,$13.85,$13.85,$12.80
07/20/2023,$13.59,1563044,$12.86,$14.07,$12.68
07/19/2023,$12.86,3414448,$12.05,$13.32,$11.80
07/18/2023,$12.87,488431,$13.855,$13.88,$12.83
07/17/2023,$13.87,417340,$12.23,$13.89,$12.22
07/14/2023,$12.31,491980,$13.77,$13.85,$12.25
07/13/2023,$13.77,275525,$13.57,$13.94,$13.34
07/12/2023,$13.56,182590,$13.45,$13.65,$13.16
07/11/2023,$13.17,286824,$12.79,$13.48,$12.70
07/10/2023,$12.63,238197,$12.37,$12.65,$12.07
07/07/2023,$12.45,366152,$11.17,$12.62,$11.14
07/06/2023,$11.25,428286,$11.22,$11.33,$10.58
07/05/2023,$11.36,307384,$11.67,$11.96,$11.26
07/03/2023,$11.67,326669,$11.20,$11.96,$11.15
06/30/2023,$10.88,943849,$11.94,$12.00,$10.82
06/29/2023,$11.84,323120,$10.75,$11.90,$10.75
