Date,Close/Last,Volume,Open,High,Low
01/05/2024,$46.60,585767,$45.85,$47.1425,$45.73
01/04/2024,$46.49,431656,$46.88,$47.22,$45.0279
01/03/2024,$46.81,559500,$47.92,$47.92,$46.70
01/02/2024,$48.46,527875,$48.11,$49.10,$48.00
12/29/2023,$48.59,341835,$49.22,$49.65,$48.52
12/28/2023,$49.36,337541,$49.00,$49.449,$48.91
12/27/2023,$49.16,365704,$49.12,$49.46,$48.67
12/26/2023,$49.07,342617,$48.46,$49.23,$48.135
12/22/2023,$48.26,340383,$48.33,$48.78,$48.07
12/21/2023,$47.83,634345,$47.96,$48.28,$47.39
12/20/2023,$47.57,798988,$48.23,$49.22,$47.56
12/19/2023,$48.49,854922,$47.67,$48.66,$47.21
12/18/2023,$47.41,824307,$47.48,$47.77,$46.94
12/15/2023,$47.25,1456970,$47.80,$47.97,$46.74
12/14/2023,$47.70,1589143,$47.71,$48.98,$47.47
12/13/2023,$46.32,1066827,$44.37,$46.33,$43.75
12/12/2023,$44.27,686344,$44.98,$44.98,$44.17
12/11/2023,$44.87,568916,$44.57,$45.52,$43.40
12/08/2023,$44.57,610280,$44.53,$44.73,$43.965
12/07/2023,$44.51,459424,$43.89,$44.555,$43.5965
12/06/2023,$43.57,402770,$43.72,$44.91,$43.52
12/05/2023,$43.14,413249,$43.76,$43.93,$42.99
12/04/2023,$44.00,505177,$42.49,$44.17,$42.0061
12/01/2023,$43.41,568162,$41.01,$43.70,$40.925
11/30/2023,$41.25,609976,$41.09,$41.59,$40.79
11/29/2023,$40.95,576262,$40.75,$41.48,$40.53
11/28/2023,$40.19,339576,$40.52,$40.92,$39.38
11/27/2023,$40.54,459840,$40.44,$40.62,$39.61
11/24/2023,$40.83,137355,$40.47,$40.8725,$40.17
11/22/2023,$40.49,275392,$40.63,$40.925,$40.27
11/21/2023,$40.19,297925,$40.86,$41.51,$40.10
11/20/2023,$41.12,303300,$41.49,$41.72,$39.825
11/17/2023,$41.53,588045,$41.38,$41.895,$40.22
11/16/2023,$40.84,510771,$41.35,$41.41,$40.60
11/15/2023,$41.41,543121,$40.60,$41.84,$40.60
11/14/2023,$40.73,859988,$39.10,$41.17,$39.0052
11/13/2023,$37.43,269563,$37.08,$37.55,$36.7304
11/10/2023,$37.38,261570,$37.16,$37.51,$36.70
11/09/2023,$36.98,635102,$37.77,$37.88,$36.70
11/08/2023,$37.65,340049,$38.17,$38.17,$37.49
11/07/2023,$38.07,379344,$38.19,$38.47,$37.50
11/06/2023,$38.43,544369,$38.52,$38.67,$38.08
11/03/2023,$38.55,743146,$38.11,$38.93,$37.91
11/02/2023,$36.91,840402,$35.23,$37.13,$35.22
11/01/2023,$34.81,451992,$34.33,$34.89,$33.91
10/31/2023,$34.43,385639,$34.04,$34.51,$33.915
10/30/2023,$34.05,337695,$33.57,$34.19,$33.32
10/27/2023,$33.05,617060,$33.71,$33.71,$32.69
10/26/2023,$33.75,515762,$33.20,$34.16,$32.9861
10/25/2023,$33.00,548064,$33.04,$33.225,$32.16
10/24/2023,$33.32,549016,$33.92,$33.9743,$32.50
10/23/2023,$33.69,538081,$33.35,$34.21,$33.09
10/20/2023,$33.48,943885,$34.84,$34.84,$33.25
10/19/2023,$34.74,662651,$35.03,$35.95,$34.69
10/18/2023,$35.02,1298742,$37.16,$37.28,$34.96
10/17/2023,$36.54,1088893,$35.35,$37.16,$35.35
10/16/2023,$35.71,722744,$35.33,$36.13,$35.30
10/13/2023,$34.85,612168,$36.09,$36.09,$34.67
10/12/2023,$35.61,732882,$36.04,$36.04,$35.305
10/11/2023,$36.04,788852,$35.50,$36.155,$35.23
10/10/2023,$35.44,640785,$35.18,$36.0575,$35.11
10/09/2023,$34.91,975151,$35.25,$35.67,$34.354
10/06/2023,$35.63,830644,$35.01,$36.58,$34.51
10/05/2023,$35.44,789183,$34.26,$35.59,$34.15
10/04/2023,$34.38,704370,$34.57,$34.6725,$33.88
10/03/2023,$34.49,618829,$35.50,$35.60,$34.27
10/02/2023,$35.77,538168,$36.96,$36.96,$35.52
09/29/2023,$36.99,469796,$36.64,$37.37,$36.64
09/28/2023,$36.29,426747,$36.15,$36.79,$35.6701
09/27/2023,$36.12,662041,$36.10,$36.50,$35.78
09/26/2023,$36.04,444189,$36.15,$36.82,$35.34
09/25/2023,$36.64,467654,$36.29,$36.87,$36.005
09/22/2023,$36.38,657830,$36.35,$36.685,$36.02
09/21/2023,$36.35,485179,$37.02,$37.17,$36.301
09/20/2023,$37.25,626633,$37.94,$38.27,$37.22
09/19/2023,$37.56,1081470,$38.80,$39.065,$37.51
09/18/2023,$38.81,1206523,$38.27,$39.755,$37.43
