Date,Close/Last,Volume,Open,High,Low
01/05/2024,$53.83,4007134,$52.93,$54.25,$52.6101
01/04/2024,$52.60,1695665,$53.04,$53.42,$52.56
01/03/2024,$52.76,3080023,$53.59,$53.80,$52.73
01/02/2024,$53.73,2344092,$53.84,$54.13,$53.195
12/29/2023,$54.12,1964530,$54.20,$54.41,$54.07
12/28/2023,$54.11,1527875,$54.03,$54.22,$53.77
12/27/2023,$54.05,1491272,$53.69,$54.08,$53.63
12/26/2023,$53.84,1066969,$53.57,$54.07,$53.42
12/22/2023,$53.57,1352749,$53.57,$53.91,$53.43
12/21/2023,$53.47,1694765,$53.31,$53.68,$53.12
12/20/2023,$52.72,2075212,$53.33,$53.73,$52.68
12/19/2023,$53.65,2696970,$53.36,$53.88,$53.23
12/18/2023,$53.19,1921957,$52.99,$53.48,$52.895
12/15/2023,$52.80,5428646,$52.45,$53.255,$52.375
12/14/2023,$52.78,5529055,$54.38,$54.53,$52.36
12/13/2023,$54.21,2626207,$54.37,$54.495,$53.70
12/12/2023,$54.14,1455776,$53.68,$54.23,$53.54
12/11/2023,$53.66,1464451,$53.18,$53.90,$53.04
12/08/2023,$53.26,1634764,$52.72,$53.355,$52.72
12/07/2023,$52.74,1988002,$52.26,$52.825,$52.26
12/06/2023,$52.31,1523180,$52.45,$52.89,$52.225
12/05/2023,$52.18,2116110,$52.75,$52.84,$52.06
12/04/2023,$52.91,2722327,$52.64,$52.94,$52.10
12/01/2023,$52.90,2005409,$52.62,$53.24,$52.62
11/30/2023,$52.60,3258135,$51.84,$52.665,$51.79
11/29/2023,$51.59,1955086,$52.23,$52.3514,$51.47
11/28/2023,$51.95,2083055,$52.76,$52.955,$51.95
11/27/2023,$52.62,1984829,$52.03,$52.705,$52.00
11/24/2023,$52.27,776291,$52.39,$52.55,$52.16
11/22/2023,$52.28,1591817,$51.96,$52.41,$51.76
11/21/2023,$52.02,1430366,$51.39,$52.115,$51.29
11/20/2023,$51.48,2628232,$51.56,$51.66,$51.22
11/17/2023,$51.47,2113768,$51.71,$52.13,$51.38
11/16/2023,$51.53,2641176,$51.55,$51.935,$51.265
11/15/2023,$51.55,3511510,$51.62,$52.065,$51.45
11/14/2023,$51.51,4064500,$50.85,$51.57,$50.57
11/13/2023,$50.34,4508386,$49.60,$50.575,$49.36
11/10/2023,$49.55,2132236,$49.09,$49.655,$48.82
11/09/2023,$48.76,3726824,$48.57,$49.23,$48.39
11/08/2023,$48.34,2041132,$48.58,$48.79,$47.88
11/07/2023,$48.27,1738811,$48.38,$48.54,$48.04
