Date,Close/Last,Volume,Open,High,Low
01/05/2024,$79.97,1215036,$79.00,$80.95,$78.79
01/04/2024,$79.55,1115658,$79.93,$80.21,$79.465
01/03/2024,$79.99,1036030,$80.74,$81.25,$79.19
01/02/2024,$81.42,1096334,$80.34,$81.49,$80.25
12/29/2023,$80.97,767699,$81.32,$81.84,$80.64
12/28/2023,$81.85,938001,$81.24,$82.27,$81.24
12/27/2023,$81.41,971245,$81.16,$81.69,$80.97
12/26/2023,$82.08,798901,$80.78,$82.498,$80.60
12/22/2023,$80.70,1174090,$81.11,$81.945,$80.33
12/21/2023,$80.45,1172206,$80.40,$80.55,$79.03
12/20/2023,$79.60,1870431,$79.83,$80.09,$78.99
12/19/2023,$79.99,2187602,$79.20,$80.275,$79.06
12/18/2023,$79.06,1589428,$80.05,$80.27,$78.59
12/15/2023,$79.62,3711914,$79.86,$80.65,$79.20
12/14/2023,$80.19,2914471,$79.98,$82.71,$79.34
12/13/2023,$78.73,1514489,$76.12,$79.295,$75.763
12/12/2023,$76.46,1805589,$76.90,$76.94,$75.63
12/11/2023,$76.67,2234306,$76.57,$76.865,$76.29
12/08/2023,$76.82,1104367,$76.97,$77.44,$76.455
12/07/2023,$77.00,1157248,$75.93,$77.91,$75.73
12/06/2023,$75.71,987785,$75.81,$76.81,$75.62
12/05/2023,$75.42,1844991,$76.03,$76.405,$75.095
12/04/2023,$76.30,1861186,$76.26,$77.01,$76.12
12/01/2023,$76.78,1654778,$75.46,$76.79,$75.46
11/30/2023,$75.38,1810999,$75.25,$75.71,$74.88
11/29/2023,$75.23,1400649,$75.94,$76.555,$75.19
11/28/2023,$75.67,1192384,$75.53,$75.92,$74.84
11/27/2023,$74.84,2480091,$74.61,$74.95,$74.165
11/24/2023,$74.73,603149,$74.76,$75.38,$74.66
11/22/2023,$74.99,2439776,$74.07,$75.00,$73.42
11/21/2023,$73.60,1770549,$73.76,$73.97,$72.94
11/20/2023,$73.87,1581519,$73.55,$74.12,$72.89
11/17/2023,$73.94,1153269,$75.22,$75.22,$73.815
11/16/2023,$74.64,1434432,$73.65,$74.69,$73.48
11/15/2023,$74.00,1161011,$73.82,$74.79,$73.665
11/14/2023,$73.66,2019501,$72.68,$73.93,$72.50
11/13/2023,$71.23,3677144,$70.98,$71.75,$69.73
11/10/2023,$71.74,2533130,$71.28,$72.005,$70.22
11/09/2023,$71.54,2565488,$71.62,$71.88,$70.77
11/08/2023,$71.02,2393436,$71.62,$72.59,$70.42
11/07/2023,$71.59,5036173,$77.98,$78.31,$70.11
11/06/2023,$72.34,2928845,$72.13,$72.86,$71.35
11/03/2023,$72.71,2609615,$70.23,$73.20,$70.025
11/02/2023,$69.45,1942704,$68.74,$69.72,$68.45
11/01/2023,$68.06,1957884,$68.16,$68.64,$67.07
10/31/2023,$68.35,3075819,$66.04,$68.95,$65.81
10/30/2023,$65.26,4522349,$68.53,$68.78,$63.21
10/27/2023,$67.85,3680446,$67.38,$68.285,$66.87
10/26/2023,$67.17,2139922,$66.34,$67.95,$66.19
10/25/2023,$66.10,2601195,$65.96,$66.40,$65.46
10/24/2023,$66.08,1544141,$65.41,$66.76,$64.91
10/23/2023,$64.76,2222375,$65.08,$65.57,$64.30
10/20/2023,$65.64,1271963,$66.56,$67.01,$65.60
10/19/2023,$66.40,2851565,$67.05,$67.24,$66.04
10/18/2023,$66.99,2143642,$66.74,$67.29,$66.67
10/17/2023,$67.56,1400881,$65.77,$68.19,$65.61
10/16/2023,$66.39,1287205,$65.45,$66.75,$64.42
10/13/2023,$64.80,2103684,$64.35,$64.835,$63.96
10/12/2023,$64.01,4268921,$65.96,$66.00,$63.54
10/11/2023,$65.55,1536715,$65.94,$66.185,$65.14
