Date,Close/Last,Volume,Open,High,Low
10/25/2023,$18.11,1569042,$19.58,$19.91,$17.4303
10/24/2023,$18.29,869367,$17.96,$18.42,$17.90
10/23/2023,$17.97,543221,$18.03,$18.40,$17.91
10/20/2023,$18.00,557435,$17.98,$18.32,$17.88
10/19/2023,$18.02,437038,$18.01,$18.3799,$17.86
10/18/2023,$17.88,528544,$17.84,$18.22,$17.84
10/17/2023,$17.99,644521,$17.77,$18.33,$17.56
10/16/2023,$17.77,841948,$17.90,$17.915,$17.57
10/13/2023,$17.74,845214,$17.89,$18.01,$17.40
10/12/2023,$18.03,648190,$18.71,$19.04,$17.97
10/11/2023,$18.70,397801,$18.76,$19.09,$18.63
10/10/2023,$18.87,644484,$19.55,$19.55,$18.86
10/09/2023,$19.45,672349,$19.79,$20.07,$19.25
10/06/2023,$19.82,468517,$19.02,$19.82,$19.02
10/05/2023,$19.04,323907,$18.93,$19.185,$18.89
10/04/2023,$18.89,689378,$18.88,$19.0699,$18.52
10/03/2023,$18.94,526621,$19.34,$19.37,$18.73
10/02/2023,$19.55,453497,$19.29,$19.87,$19.29
09/29/2023,$19.32,417437,$19.08,$19.61,$19.08
09/28/2023,$19.02,513249,$19.31,$19.48,$18.955
09/27/2023,$19.35,437080,$19.24,$19.45,$19.06
09/26/2023,$19.13,412900,$19.26,$19.72,$19.13
09/25/2023,$19.35,353990,$19.06,$19.58,$18.97
09/22/2023,$19.06,320526,$19.56,$19.6164,$19.06
09/21/2023,$19.47,777311,$18.51,$19.73,$18.30
09/20/2023,$18.56,209282,$18.82,$19.00,$18.53
09/19/2023,$18.81,242266,$18.94,$19.115,$18.79
09/18/2023,$18.91,340514,$18.61,$19.265,$18.46
09/15/2023,$18.74,406833,$18.51,$18.8243,$18.495
09/14/2023,$18.53,386716,$18.29,$18.58,$18.21
09/13/2023,$18.15,633148,$18.61,$18.64,$17.995
09/12/2023,$18.61,322934,$18.79,$18.99,$18.59
09/11/2023,$18.74,329802,$18.84,$19.17,$18.68
09/08/2023,$18.64,246242,$18.65,$18.82,$18.56
09/07/2023,$18.58,364519,$18.88,$18.88,$18.37
09/06/2023,$18.97,527418,$19.06,$19.06,$18.59
