Date,Close/Last,Volume,Open,High,Low
01/05/2024,$58.79,340375,$59.35,$59.52,$58.65
01/04/2024,$58.97,409459,$61.44,$61.44,$58.91
01/03/2024,$59.78,435568,$57.81,$59.84,$57.81
01/02/2024,$57.93,485144,$57.41,$58.27,$57.22
12/29/2023,$57.19,262658,$56.29,$57.215,$56.22
12/28/2023,$56.55,234738,$57.18,$57.54,$56.49
12/27/2023,$57.44,286983,$58.21,$58.21,$57.30
12/26/2023,$57.77,191537,$57.01,$58.2975,$57.01
12/22/2023,$57.77,401969,$57.01,$58.2975,$57.01
12/21/2023,$56.26,794127,$56.02,$56.53,$55.755
12/20/2023,$55.98,420154,$57.38,$57.62,$55.97
12/19/2023,$57.20,499425,$56.50,$57.33,$56.50
12/18/2023,$56.59,495593,$56.06,$56.97,$56.06
12/15/2023,$55.23,675521,$56.24,$56.54,$55.08
12/14/2023,$56.47,315683,$55.34,$56.56,$55.34
12/13/2023,$54.67,488714,$53.64,$54.77,$53.39
12/12/2023,$53.41,652174,$53.61,$53.86,$52.975
12/11/2023,$54.37,1154601,$54.49,$54.62,$53.435
12/08/2023,$55.37,412640,$54.48,$55.95,$53.80
12/07/2023,$53.74,623596,$55.77,$55.77,$52.99
12/06/2023,$54.98,1822577,$56.42,$56.85,$54.93
12/05/2023,$56.54,1022066,$56.73,$57.57,$56.51
12/04/2023,$57.05,388678,$56.64,$57.28,$56.47
12/01/2023,$57.05,384325,$56.26,$57.96,$56.26
11/30/2023,$56.34,564596,$57.43,$58.02,$56.29
11/29/2023,$57.43,330201,$57.96,$58.21,$57.25
11/28/2023,$57.67,500124,$57.54,$58.6046,$57.39
11/27/2023,$57.32,358083,$57.15,$57.81,$57.06
11/24/2023,$57.60,149331,$57.12,$58.23,$57.12
11/22/2023,$56.91,1037250,$56.53,$57.05,$55.68
11/21/2023,$57.56,641461,$57.44,$57.94,$56.59
11/20/2023,$57.75,432218,$57.94,$58.1782,$57.41
11/17/2023,$57.65,477281,$56.09,$58.00,$56.09
11/16/2023,$55.51,564097,$56.06,$56.10,$54.62
11/15/2023,$56.50,427022,$56.57,$57.23,$56.32
11/14/2023,$56.95,563145,$57.08,$57.34,$56.62
11/13/2023,$56.70,336775,$56.02,$57.0538,$55.91
11/10/2023,$56.02,328418,$55.45,$56.05,$54.685
11/09/2023,$54.76,337088,$55.17,$55.7212,$54.68
11/08/2023,$54.77,1274574,$55.27,$55.68,$53.52
11/07/2023,$55.98,822532,$57.07,$57.08,$55.87
11/06/2023,$57.23,567313,$57.68,$58.13,$57.19
