Date,Close/Last,Volume,Open,High,Low
10/20/2023,$16.97,5910225,$17.00,$17.175,$16.93
10/19/2023,$17.09,4831039,$17.09,$17.26,$17.07
10/18/2023,$17.14,6115511,$17.18,$17.28,$17.10
10/17/2023,$17.35,7210493,$17.09,$17.40,$17.09
10/16/2023,$17.21,7474214,$16.97,$17.30,$16.97
10/13/2023,$16.90,13208800,$16.84,$17.19,$16.77
10/12/2023,$16.46,26816410,$16.40,$16.89,$16.21
10/11/2023,$17.61,15897150,$17.86,$17.93,$17.55
10/10/2023,$17.85,11061000,$17.85,$18.00,$17.78
10/09/2023,$17.75,8642698,$17.58,$17.80,$17.53
10/06/2023,$17.79,5476641,$17.59,$17.855,$17.535
10/05/2023,$17.61,5069477,$17.52,$17.645,$17.46
10/04/2023,$17.44,7318783,$17.19,$17.455,$17.155
10/03/2023,$17.00,6774998,$17.09,$17.24,$16.98
10/02/2023,$17.18,4530045,$17.03,$17.19,$17.03
09/29/2023,$17.11,9560040,$17.13,$17.29,$17.05
09/28/2023,$16.96,18047550,$17.04,$17.15,$16.72
09/27/2023,$17.44,10292240,$17.42,$17.505,$17.33
09/26/2023,$17.27,5946590,$17.43,$17.495,$17.25
09/25/2023,$17.61,4992906,$17.56,$17.68,$17.41
09/22/2023,$17.78,5319254,$17.89,$17.945,$17.74
09/21/2023,$17.74,5630226,$17.91,$17.97,$17.74
09/20/2023,$17.89,4888715,$17.96,$18.11,$17.88
09/19/2023,$17.79,3171375,$17.74,$17.815,$17.69
09/18/2023,$17.76,3944287,$17.75,$17.875,$17.71
09/15/2023,$17.75,16969940,$18.08,$18.125,$17.695
09/14/2023,$18.11,2914074,$18.11,$18.175,$18.03
09/13/2023,$18.00,4102405,$18.04,$18.05,$17.93
09/12/2023,$18.06,6679975,$18.04,$18.18,$18.01
09/11/2023,$17.95,5196728,$17.84,$17.95,$17.735
09/08/2023,$17.75,5796787,$17.62,$17.76,$17.58
09/07/2023,$17.52,5920719,$17.55,$17.60,$17.48
09/06/2023,$17.58,5049269,$17.69,$17.75,$17.545
09/05/2023,$17.77,5746380,$17.82,$17.9524,$17.76
09/01/2023,$17.52,5315228,$17.52,$17.5775,$17.45
