Date,Close/Last,Volume,Open,High,Low
01/05/2024,$14.53,2392243,$14.56,$14.665,$14.4918
01/04/2024,$14.44,3208923,$14.38,$14.585,$14.37
01/03/2024,$14.66,2836498,$14.56,$14.7375,$14.52
01/02/2024,$14.76,2625143,$14.68,$14.82,$14.66
12/29/2023,$15.02,1933374,$15.05,$15.07,$14.95
12/28/2023,$15.01,1712678,$15.06,$15.095,$15.00
12/27/2023,$15.19,1467384,$15.11,$15.22,$15.11
12/26/2023,$15.15,965983,$15.08,$15.18,$15.05
12/22/2023,$15.03,2290271,$15.06,$15.12,$14.98
12/21/2023,$14.97,2083224,$14.93,$14.98,$14.865
12/20/2023,$14.76,3138489,$14.94,$14.985,$14.76
12/19/2023,$15.06,2148792,$15.08,$15.115,$15.01
12/18/2023,$14.99,2234510,$15.06,$15.07,$14.93
12/15/2023,$14.91,3155390,$14.86,$15.01,$14.85
12/14/2023,$14.99,3016835,$14.96,$15.08,$14.8766
12/13/2023,$14.89,2105594,$14.69,$14.905,$14.59
12/12/2023,$14.72,1646969,$14.70,$14.745,$14.655
12/11/2023,$14.57,1805551,$14.57,$14.60,$14.53
12/08/2023,$14.59,2617337,$14.48,$14.64,$14.47
12/07/2023,$14.42,1620409,$14.33,$14.44,$14.295
12/06/2023,$14.21,2671067,$14.31,$14.415,$14.2014
12/05/2023,$14.11,1618329,$14.15,$14.17,$14.08
12/04/2023,$14.09,2028576,$14.00,$14.125,$13.99
12/01/2023,$14.13,5858520,$14.02,$14.165,$13.97
11/30/2023,$14.08,1612582,$14.07,$14.09,$14.005
11/29/2023,$14.08,1968181,$14.03,$14.14,$14.02
11/28/2023,$13.88,2034308,$13.87,$13.94,$13.82
11/27/2023,$13.90,968657,$13.90,$13.945,$13.8229
11/24/2023,$13.94,1762711,$13.90,$13.95,$13.86
11/22/2023,$13.83,1111195,$13.85,$13.88,$13.79
11/21/2023,$13.89,5780914,$13.94,$13.97,$13.87
11/20/2023,$13.93,1299961,$13.91,$13.97,$13.89
11/17/2023,$13.98,1754561,$13.88,$13.98,$13.855
11/16/2023,$13.67,1723573,$13.71,$13.76,$13.63
11/15/2023,$13.65,1851410,$13.69,$13.72,$13.635
11/14/2023,$13.55,2666837,$13.34,$13.59,$13.34
11/13/2023,$13.12,1894737,$13.12,$13.185,$13.075
11/10/2023,$13.13,3199529,$13.07,$13.13,$12.95
11/09/2023,$12.94,3111959,$13.00,$13.09,$12.91
11/08/2023,$13.04,2013798,$13.02,$13.105,$12.9744
11/07/2023,$13.02,7289207,$13.00,$13.10,$12.965
11/06/2023,$13.26,5234625,$13.28,$13.33,$13.18
11/03/2023,$13.26,8125646,$13.07,$13.29,$13.055
11/02/2023,$12.63,4741892,$12.53,$12.69,$12.445
11/01/2023,$12.71,8903183,$12.73,$12.84,$12.59
10/31/2023,$12.84,13390190,$12.69,$12.86,$12.69
10/30/2023,$12.87,10975470,$12.67,$12.87,$12.66
10/27/2023,$12.63,9263790,$12.69,$12.71,$12.455
10/26/2023,$12.61,3611777,$12.54,$12.66,$12.505
10/25/2023,$12.68,2105105,$12.67,$12.7786,$12.605
10/24/2023,$12.76,1935307,$12.76,$12.8245,$12.71
10/23/2023,$12.81,2099544,$12.75,$12.9599,$12.75
10/20/2023,$12.75,4921503,$12.84,$12.875,$12.70
10/19/2023,$12.96,4618380,$12.93,$13.175,$12.92
10/18/2023,$13.03,4739270,$13.14,$13.155,$13.01
10/17/2023,$13.33,1745706,$13.16,$13.39,$13.16
10/16/2023,$13.25,1729944,$13.21,$13.27,$13.145
10/13/2023,$13.07,2164582,$13.23,$13.28,$13.04
10/12/2023,$13.35,1598112,$13.50,$13.50,$13.3123
10/11/2023,$13.66,1600887,$13.61,$13.675,$13.56
10/10/2023,$13.50,1523185,$13.54,$13.59,$13.47
10/09/2023,$13.28,1157673,$13.16,$13.29,$13.125
10/06/2023,$13.52,1865073,$13.38,$13.575,$13.2617
10/05/2023,$13.25,1792749,$13.11,$13.26,$13.075
10/04/2023,$13.10,1957711,$13.09,$13.12,$12.98
10/03/2023,$12.89,2142596,$12.95,$12.98,$12.86
10/02/2023,$13.02,2055093,$13.22,$13.24,$12.99
09/29/2023,$13.18,2065196,$13.34,$13.36,$13.155
09/28/2023,$13.22,2676858,$13.13,$13.31,$13.13
09/27/2023,$13.01,1905337,$13.02,$13.06,$12.915
09/26/2023,$13.05,2809600,$13.06,$13.21,$13.02
09/25/2023,$13.12,2979843,$13.01,$13.12,$12.934
09/22/2023,$12.99,6033810,$13.235,$13.26,$12.98
09/21/2023,$13.95,1903877,$13.89,$14.07,$13.885
09/20/2023,$13.88,1548623,$14.05,$14.125,$13.87
09/19/2023,$13.87,1877487,$13.81,$13.89,$13.79
