Date,Close/Last,Volume,Open,High,Low
10/23/2023,$45.00,614857,$44.84,$45.56,$44.68
10/20/2023,$45.10,399325,$45.75,$45.915,$44.68
10/19/2023,$45.55,515035,$45.44,$45.9199,$44.51
10/18/2023,$45.86,542960,$46.15,$46.62,$45.675
10/17/2023,$46.08,529487,$46.13,$46.95,$45.93
10/16/2023,$45.93,632928,$46.30,$46.53,$45.02
10/13/2023,$45.89,609245,$45.32,$46.65,$45.32
10/12/2023,$45.05,342899,$45.08,$45.4299,$44.47
10/11/2023,$44.52,368205,$43.86,$44.655,$43.37
10/10/2023,$44.31,460682,$44.04,$45.27,$44.00
10/09/2023,$44.00,895043,$43.56,$44.84,$43.56
10/06/2023,$42.71,341686,$43.14,$43.47,$42.245
10/05/2023,$43.14,611171,$40.99,$43.18,$40.99
10/04/2023,$40.97,518615,$42.17,$42.26,$40.68
10/03/2023,$42.83,325540,$43.00,$43.10,$41.80
10/02/2023,$43.10,508106,$44.96,$45.34,$43.05
09/29/2023,$45.00,521320,$45.16,$45.60,$44.64
09/28/2023,$45.09,535339,$44.77,$45.3495,$44.25
09/27/2023,$44.43,490361,$44.73,$45.42,$44.09
09/26/2023,$44.24,444309,$43.09,$45.08,$42.84
09/25/2023,$43.19,302733,$42.43,$43.44,$42.11
09/22/2023,$42.57,317828,$42.26,$43.4418,$42.26
09/21/2023,$42.05,410255,$42.26,$43.25,$41.52
09/20/2023,$41.95,368516,$42.51,$42.85,$41.95
09/19/2023,$42.09,400925,$43.00,$43.2499,$41.80
09/18/2023,$42.65,520326,$41.57,$42.94,$41.51
09/15/2023,$40.97,753024,$41.18,$41.56,$40.845
09/14/2023,$41.24,339509,$40.85,$42.07,$40.85
09/13/2023,$40.43,441864,$40.89,$41.68,$40.11
09/12/2023,$40.95,306489,$41.30,$41.99,$40.80
09/11/2023,$42.17,472028,$43.41,$43.83,$41.97
09/08/2023,$43.47,435933,$41.39,$43.59,$41.39
09/07/2023,$41.24,447507,$41.25,$41.56,$41.005
09/06/2023,$41.41,492800,$41.85,$42.73,$41.38
09/05/2023,$41.72,871768,$42.53,$42.55,$40.80
09/01/2023,$43.15,505744,$43.53,$43.609,$42.90
08/31/2023,$42.97,573577,$44.29,$44.29,$42.5501
08/30/2023,$44.42,382695,$44.47,$44.89,$43.62
08/29/2023,$44.71,299178,$44.83,$45.131,$44.42
08/28/2023,$44.55,333557,$44.58,$45.485,$44.30
08/25/2023,$44.40,415803,$45.39,$45.4999,$44.01
08/24/2023,$45.32,302462,$45.47,$46.42,$45.21
08/23/2023,$45.55,480082,$45.85,$46.045,$44.31
08/22/2023,$46.67,371659,$46.72,$47.36,$46.65
08/21/2023,$46.72,331990,$46.88,$47.44,$46.31
08/18/2023,$46.71,518606,$45.29,$46.84,$45.10
08/17/2023,$46.06,380425,$45.91,$46.875,$45.37
08/16/2023,$45.40,552985,$45.04,$46.29,$45.04
08/15/2023,$44.93,348024,$44.79,$45.44,$44.64
08/14/2023,$45.28,365314,$45.13,$45.58,$44.3301
08/11/2023,$45.23,558381,$45.02,$45.56,$44.72
08/10/2023,$45.28,550317,$46.31,$46.62,$45.26
08/09/2023,$46.21,1191764,$46.70,$48.40,$45.90
08/08/2023,$44.47,591385,$44.11,$44.88,$43.32
08/07/2023,$44.77,473528,$44.09,$44.94,$43.76
08/04/2023,$43.96,500964,$44.09,$44.39,$43.485
08/03/2023,$43.60,773122,$42.29,$44.15,$42.17
08/02/2023,$41.87,616944,$41.74,$42.4299,$40.94
08/01/2023,$42.21,596489,$42.79,$42.84,$41.44
07/31/2023,$42.89,659634,$42.20,$43.1099,$41.88
07/28/2023,$41.66,1930808,$39.30,$41.88,$39.20
07/27/2023,$39.39,1711933,$38.87,$40.11,$38.67
07/26/2023,$38.81,917231,$38.51,$39.39,$38.32
07/25/2023,$38.95,1198022,$37.99,$39.82,$37.83
07/24/2023,$37.99,739567,$36.96,$38.00,$36.81
07/21/2023,$36.72,596731,$36.70,$36.91,$35.51
07/20/2023,$36.61,348606,$36.95,$37.075,$35.95
07/19/2023,$36.75,473452,$36.60,$36.75,$36.06
07/18/2023,$36.60,402518,$36.81,$36.84,$36.14
07/17/2023,$37.00,483915,$35.81,$37.08,$35.81
07/14/2023,$35.91,393169,$37.34,$37.34,$35.66
07/13/2023,$37.48,378684,$37.75,$38.05,$37.33
07/12/2023,$37.63,344559,$38.05,$38.35,$37.53
07/11/2023,$37.94,433921,$37.50,$38.05,$37.31
07/10/2023,$37.19,499028,$38.09,$38.525,$37.04
07/07/2023,$38.28,368771,$37.00,$38.28,$36.905
07/06/2023,$36.84,470422,$37.99,$38.155,$36.3414
07/05/2023,$38.51,512372,$37.53,$38.93,$37.22
07/03/2023,$37.67,266890,$38.35,$38.88,$37.60
06/30/2023,$38.24,609756,$37.37,$38.30,$37.00
06/29/2023,$36.74,457095,$36.34,$37.48,$36.11
06/28/2023,$36.05,643969,$35.45,$36.42,$35.305
06/27/2023,$35.30,564946,$35.89,$36.26,$35.29
06/26/2023,$36.15,644757,$37.39,$37.87,$36.14
06/23/2023,$37.46,1951448,$37.16,$37.84,$37.05
06/22/2023,$37.79,416025,$37.87,$37.87,$36.91
06/21/2023,$38.21,567571,$37.94,$38.685,$37.94
06/20/2023,$37.94,570930,$37.56,$37.95,$36.50
06/16/2023,$37.65,844602,$38.30,$38.30,$37.21
06/15/2023,$37.96,638161,$37.72,$38.29,$37.16
06/14/2023,$37.55,744211,$35.92,$37.79,$35.75
06/13/2023,$35.61,764674,$35.02,$35.62,$34.77
06/12/2023,$36.25,646006,$36.70,$36.88,$36.06
06/09/2023,$36.83,535342,$36.59,$37.66,$36.53
06/08/2023,$36.22,635222,$36.60,$37.03,$35.86
06/07/2023,$36.60,643600,$36.74,$37.18,$35.96
06/06/2023,$36.34,860145,$35.59,$36.66,$35.03
06/05/2023,$36.07,573761,$37.10,$37.23,$36.01
06/02/2023,$37.82,424559,$37.73,$38.09,$37.40
06/01/2023,$36.97,424406,$36.61,$38.058,$36.61
05/31/2023,$36.05,730700,$36.39,$36.53,$35.29
05/30/2023,$37.17,488498,$37.31,$37.78,$36.89
05/26/2023,$37.81,341645,$37.40,$37.91,$37.36
05/25/2023,$37.02,375617,$37.46,$37.69,$36.72
05/24/2023,$37.75,538440,$37.50,$38.40,$37.055
05/23/2023,$37.63,367873,$38.36,$38.52,$37.45
05/22/2023,$38.45,568564,$38.82,$39.53,$38.16
05/19/2023,$38.82,538680,$38.32,$39.3305,$38.15
05/18/2023,$37.94,463365,$37.82,$38.01,$36.82
05/17/2023,$38.07,487604,$38.07,$38.53,$37.92
05/16/2023,$38.02,455322,$38.61,$39.245,$37.97
05/15/2023,$38.75,417958,$39.51,$40.375,$38.64
05/12/2023,$39.15,501030,$41.43,$42.33,$39.02
05/11/2023,$40.51,646213,$39.04,$40.93,$39.04
05/10/2023,$39.22,697176,$38.11,$39.60,$37.765
05/09/2023,$37.95,633966,$37.03,$38.38,$36.38
05/08/2023,$37.66,733657,$38.14,$38.36,$36.60
05/05/2023,$37.75,1039045,$38.18,$40.28,$37.38
05/04/2023,$36.01,698284,$36.41,$36.63,$35.40
05/03/2023,$37.04,578467,$39.04,$39.15,$36.92
05/02/2023,$39.03,729870,$39.67,$39.71,$38.56
05/01/2023,$39.95,546200,$39.85,$40.05,$39.1701
04/28/2023,$39.82,360606,$39.99,$40.6284,$39.67
04/27/2023,$40.27,405336,$40.72,$40.90,$40.05
04/26/2023,$40.75,640449,$42.46,$42.50,$40.502
04/25/2023,$42.47,828527,$42.54,$43.23,$42.02
04/24/2023,$42.46,590472,$40.84,$43.38,$40.84
04/21/2023,$40.03,615851,$39.73,$40.16,$38.97
04/20/2023,$39.78,398618,$40.76,$41.105,$39.72
04/19/2023,$41.21,464998,$41.43,$41.825,$40.24
04/18/2023,$42.14,528683,$41.37,$42.39,$40.74
04/17/2023,$41.80,472315,$40.50,$42.18,$40.50
04/14/2023,$40.21,453856,$40.46,$41.02,$39.60
04/13/2023,$40.18,503738,$39.55,$41.12,$39.55
04/12/2023,$39.42,413051,$39.25,$39.78,$39.02
04/11/2023,$39.27,590223,$38.59,$39.74,$38.58
04/10/2023,$38.42,333819,$38.26,$39.12,$38.17
04/06/2023,$37.95,494187,$38.84,$38.90,$37.72
04/05/2023,$38.75,517174,$38.10,$38.8985,$37.385
04/04/2023,$38.39,742122,$38.86,$38.90,$37.74
04/03/2023,$38.95,1379499,$41.31,$41.5863,$38.03
03/31/2023,$41.68,924859,$41.20,$41.74,$40.98
03/30/2023,$41.05,524944,$41.87,$41.90,$40.42
03/29/2023,$41.59,505328,$43.00,$43.35,$41.55
03/28/2023,$42.79,459906,$42.95,$43.561,$42.69
03/27/2023,$42.92,687652,$42.70,$43.34,$41.92
03/24/2023,$42.16,669574,$41.81,$42.70,$41.24
03/23/2023,$42.62,701912,$44.26,$45.67,$42.40
03/22/2023,$43.97,589726,$44.48,$45.21,$43.11
03/21/2023,$44.59,601557,$44.00,$45.01,$43.7691
03/20/2023,$42.22,698286,$41.08,$42.93,$41.03
03/17/2023,$40.72,950433,$41.75,$42.29,$40.27
03/16/2023,$41.31,895876,$41.32,$41.67,$39.96
03/15/2023,$41.77,903667,$42.80,$43.0081,$41.24
03/14/2023,$44.49,610338,$44.38,$45.92,$44.23
03/13/2023,$43.86,1004544,$43.33,$44.90,$41.75
03/10/2023,$47.46,1083182,$49.20,$50.18,$47.36
03/09/2023,$49.17,887397,$51.59,$51.91,$48.99
03/08/2023,$51.37,737501,$51.78,$52.80,$50.60
03/07/2023,$51.14,636329,$51.43,$51.43,$49.8301
03/06/2023,$51.54,641264,$52.88,$52.88,$50.6189
03/03/2023,$52.88,563230,$52.60,$53.25,$51.375
