Date,Close/Last,Volume,Open,High,Low
01/05/2024,$35.07,397726,$36.07,$36.75,$35.04
01/04/2024,$36.45,251477,$36.32,$36.83,$36.15
01/03/2024,$36.45,307629,$36.65,$37.08,$36.14
01/02/2024,$36.71,265564,$37.57,$37.57,$35.90
12/29/2023,$38.02,280349,$38.92,$39.00,$37.92
12/28/2023,$38.79,190554,$38.65,$39.08,$38.56
12/27/2023,$38.80,220162,$38.63,$39.03,$38.3723
12/26/2023,$38.56,204256,$38.43,$38.93,$38.32
12/22/2023,$38.38,272929,$38.34,$38.86,$37.89
12/21/2023,$38.14,209571,$38.32,$39.29,$37.45
12/20/2023,$37.87,503739,$40.19,$40.8499,$37.84
12/19/2023,$40.50,698919,$39.44,$40.57,$39.22
12/18/2023,$39.32,575853,$38.13,$39.4566,$37.965
12/15/2023,$38.35,1714993,$38.06,$38.66,$37.455
12/14/2023,$37.69,664158,$38.00,$38.61,$36.93
12/13/2023,$37.56,559039,$37.06,$37.59,$36.53
12/12/2023,$37.03,468088,$36.83,$37.12,$36.40
12/11/2023,$36.70,548531,$35.66,$37.275,$35.33
12/08/2023,$36.00,473122,$36.01,$36.32,$35.41
12/07/2023,$36.18,259473,$37.25,$37.34,$35.83
12/06/2023,$37.37,299022,$38.69,$39.00,$37.37
12/05/2023,$38.69,661349,$37.36,$38.82,$37.25
12/04/2023,$37.54,1053704,$37.25,$37.63,$36.55
12/01/2023,$37.61,501026,$37.17,$37.71,$36.80
11/30/2023,$37.50,510978,$38.00,$38.46,$37.01
11/29/2023,$38.00,478550,$38.01,$39.03,$37.20
11/28/2023,$37.75,495687,$38.43,$38.61,$37.62
11/27/2023,$38.50,461559,$38.56,$38.95,$37.945
11/24/2023,$38.66,132597,$38.04,$38.98,$38.04
11/22/2023,$38.20,590064,$38.11,$38.93,$37.52
11/21/2023,$38.04,454545,$38.38,$38.745,$37.92
11/20/2023,$38.74,771945,$38.06,$39.29,$38.06
11/17/2023,$38.40,577158,$39.24,$39.814,$37.71
11/16/2023,$39.07,485218,$38.54,$39.22,$38.18
11/15/2023,$38.74,2409939,$38.97,$39.13,$37.85
11/14/2023,$40.78,607777,$39.96,$41.09,$39.53
11/13/2023,$39.55,584080,$39.19,$39.64,$37.87
11/10/2023,$38.66,557474,$37.99,$38.95,$37.44
11/09/2023,$37.43,395977,$39.50,$39.50,$37.32
11/08/2023,$39.09,856517,$35.23,$39.3225,$35.13
11/07/2023,$35.20,448641,$35.11,$36.82,$34.71
11/06/2023,$34.14,295604,$35.06,$35.12,$34.10
11/03/2023,$35.19,380957,$34.15,$35.21,$33.9599
11/02/2023,$33.69,217601,$34.04,$34.80,$33.40
11/01/2023,$33.59,294480,$34.15,$34.15,$32.47
10/31/2023,$34.20,282522,$34.00,$34.48,$33.39
10/30/2023,$33.96,242206,$33.46,$34.08,$33.00
10/27/2023,$33.21,225829,$34.66,$34.68,$32.99
10/26/2023,$34.40,487406,$35.98,$36.20,$33.28
10/25/2023,$35.85,356223,$35.88,$36.27,$35.25
10/24/2023,$36.10,327639,$35.05,$36.13,$34.64
10/23/2023,$34.66,255042,$33.81,$34.83,$33.44
10/20/2023,$34.03,320044,$35.80,$35.80,$33.97
10/19/2023,$35.745,314888,$36.63,$36.75,$35.715
10/18/2023,$36.62,358155,$35.96,$37.06,$35.8075
10/17/2023,$35.84,339555,$35.70,$35.95,$35.445
10/16/2023,$35.86,235127,$34.77,$36.11,$34.4301
10/13/2023,$34.34,270282,$35.23,$35.23,$33.71
10/12/2023,$35.24,210159,$36.11,$36.79,$35.13
10/11/2023,$36.19,250871,$35.91,$36.36,$35.51
10/10/2023,$35.82,290284,$36.58,$37.325,$35.79
10/09/2023,$36.58,263295,$35.69,$36.59,$35.21
10/06/2023,$36.10,321626,$34.59,$36.41,$34.46
10/05/2023,$35.09,400422,$34.89,$35.44,$34.71
10/04/2023,$34.90,357870,$33.82,$35.04,$33.74
10/03/2023,$33.84,441848,$33.24,$33.95,$32.93
10/02/2023,$33.30,452437,$33.52,$33.70,$32.79
09/29/2023,$33.52,437773,$33.56,$33.97,$33.05
09/28/2023,$33.21,512448,$32.66,$33.25,$32.21
09/27/2023,$32.66,559351,$32.29,$32.91,$32.1601
09/26/2023,$32.00,502855,$31.14,$32.16,$30.93
09/25/2023,$31.30,360066,$31.00,$31.70,$30.5817
09/22/2023,$31.10,330327,$31.88,$31.89,$31.05
09/21/2023,$31.68,394242,$31.70,$32.42,$31.58
09/20/2023,$32.00,682005,$35.26,$35.26,$31.40
09/19/2023,$35.23,458578,$35.38,$35.82,$35.08
09/18/2023,$35.45,423785,$35.11,$36.20,$35.10
09/15/2023,$35.38,1589219,$35.97,$36.03,$34.54
09/14/2023,$35.97,411138,$35.15,$36.28,$35.15
09/13/2023,$35.41,461404,$34.91,$35.49,$34.45
09/12/2023,$35.01,349994,$34.27,$35.45,$34.1931
09/11/2023,$34.78,471802,$35.27,$35.6499,$34.75
09/08/2023,$35.36,446019,$35.46,$36.09,$34.68
09/07/2023,$35.58,1287375,$35.00,$35.69,$31.2401
09/06/2023,$37.24,919219,$38.61,$39.00,$37.21
09/05/2023,$37.98,540223,$36.79,$38.03,$36.13
09/01/2023,$36.93,251028,$36.75,$37.06,$36.24
08/31/2023,$36.61,511437,$36.85,$37.35,$36.35
08/30/2023,$36.82,229615,$35.25,$37.23,$35.25
08/29/2023,$35.28,432530,$34.26,$35.43,$34.13
08/28/2023,$34.47,295311,$33.97,$34.88,$33.48
08/25/2023,$33.63,331109,$33.91,$34.23,$33.48
08/24/2023,$34.01,285792,$34.91,$35.19,$33.96
08/23/2023,$34.81,487610,$34.68,$35.45,$34.26
08/22/2023,$34.63,261136,$35.21,$35.29,$34.41
08/21/2023,$34.66,334536,$35.84,$36.29,$34.59
08/18/2023,$35.86,270376,$34.08,$35.99,$34.08
08/17/2023,$34.71,384021,$35.76,$35.76,$34.585
08/16/2023,$35.87,497653,$36.34,$37.09,$35.845
08/15/2023,$35.84,338492,$34.17,$36.17,$34.10
08/14/2023,$34.45,233574,$34.49,$34.66,$33.75
08/11/2023,$34.35,245745,$33.17,$34.43,$32.9274
08/10/2023,$33.33,391837,$33.85,$34.21,$33.005
08/09/2023,$33.51,471495,$34.51,$34.57,$33.33
