Date,Close/Last,Volume,Open,High,Low
01/05/2024,$32.44,3164266,$32.20,$32.765,$32.19
01/04/2024,$32.19,4143225,$32.27,$32.56,$31.955
01/03/2024,$32.12,2557709,$33.00,$33.00,$32.08
01/02/2024,$33.10,3593740,$32.64,$33.21,$32.44
12/29/2023,$32.64,2954350,$32.94,$32.95,$32.355
12/28/2023,$32.94,1838796,$32.92,$33.065,$32.775
12/27/2023,$32.95,2005809,$33.05,$33.19,$32.825
12/26/2023,$33.11,1501614,$33.01,$33.23,$32.75
12/22/2023,$32.86,2173548,$33.11,$33.13,$32.67
12/21/2023,$32.97,2605236,$32.80,$33.00,$32.425
12/20/2023,$32.51,2420351,$32.89,$33.09,$32.44
12/19/2023,$32.98,1916619,$32.88,$33.12,$32.765
12/18/2023,$32.70,3437659,$32.74,$32.995,$32.375
12/15/2023,$32.85,9528750,$32.60,$33.525,$32.58
12/14/2023,$32.74,6359166,$31.81,$32.76,$31.765
12/13/2023,$31.50,3493575,$31.31,$31.56,$30.83
12/12/2023,$31.33,3312080,$31.54,$31.62,$31.21
12/11/2023,$31.60,5234437,$31.08,$31.92,$31.08
12/08/2023,$31.22,2843178,$30.90,$31.31,$30.685
12/07/2023,$30.83,5064697,$31.26,$31.33,$30.67
12/06/2023,$31.14,3490213,$31.13,$31.555,$31.02
12/05/2023,$30.82,3403394,$31.26,$31.43,$30.5601
12/04/2023,$31.50,3282053,$31.21,$31.805,$31.10
12/01/2023,$31.31,3577669,$30.76,$31.36,$30.46
11/30/2023,$30.74,4610394,$30.44,$30.795,$30.28
11/29/2023,$30.64,3172382,$30.40,$30.90,$30.40
11/28/2023,$30.18,2198889,$30.32,$30.35,$30.05
11/27/2023,$30.35,2138114,$30.40,$30.54,$30.30
11/24/2023,$30.62,1045312,$30.55,$30.69,$30.295
11/22/2023,$30.47,1924421,$30.42,$30.655,$30.26
11/21/2023,$30.23,1852914,$30.33,$30.45,$30.205
11/20/2023,$30.51,3046420,$30.27,$30.68,$30.09
11/17/2023,$30.34,2707786,$30.03,$30.35,$29.87
11/16/2023,$29.83,3800354,$30.24,$30.485,$29.74
11/15/2023,$30.24,4357438,$29.88,$30.33,$29.74
11/14/2023,$29.87,2919633,$29.25,$29.905,$29.06
11/13/2023,$28.73,2900361,$28.78,$28.92,$28.545
11/10/2023,$28.98,2539702,$28.60,$29.11,$28.27
11/09/2023,$28.64,2453982,$29.15,$29.15,$28.55
11/08/2023,$28.98,2883614,$29.14,$29.33,$28.87
11/07/2023,$29.09,2444695,$29.26,$29.385,$29.01
11/06/2023,$29.41,2843262,$29.64,$29.73,$29.34
11/03/2023,$29.76,2822451,$29.53,$30.025,$29.53
11/02/2023,$29.08,3320150,$28.62,$29.20,$28.56
