Date,Close/Last,Volume,Open,High,Low
01/05/2024,$17.90,6173535,$17.39,$18.025,$17.33
01/04/2024,$17.50,4227669,$17.36,$17.625,$17.2501
01/03/2024,$17.27,4198978,$17.50,$17.5248,$17.14
01/02/2024,$17.75,4070937,$17.71,$17.86,$17.52
12/29/2023,$17.84,2261291,$17.94,$18.085,$17.79
12/28/2023,$18.07,2129485,$17.95,$18.165,$17.91
12/27/2023,$18.04,2772744,$18.01,$18.10,$17.90
12/26/2023,$17.96,2909467,$17.72,$18.01,$17.655
12/22/2023,$17.70,3356725,$17.60,$17.82,$17.52
12/21/2023,$17.48,3895800,$17.20,$17.49,$17.14
12/20/2023,$17.08,4517411,$17.49,$17.605,$17.08
12/19/2023,$17.60,3928088,$17.42,$17.77,$17.34
12/18/2023,$17.34,3644455,$17.60,$17.68,$17.31
12/15/2023,$17.54,11243060,$17.51,$17.685,$17.295
12/14/2023,$17.58,11535780,$16.80,$17.71,$16.78
12/13/2023,$16.34,7672142,$15.52,$16.38,$15.42
12/12/2023,$15.52,6578917,$15.27,$15.54,$15.22
12/11/2023,$15.24,4935693,$15.13,$15.32,$15.10
12/08/2023,$15.21,7126376,$15.17,$15.27,$15.06
12/07/2023,$15.13,7076360,$15.06,$15.17,$14.805
12/06/2023,$15.00,4003540,$15.10,$15.24,$14.9325
12/05/2023,$15.00,6790399,$14.93,$15.07,$14.665
12/04/2023,$15.03,6847254,$14.73,$15.07,$14.71
12/01/2023,$14.86,6636217,$14.30,$14.86,$14.135
11/30/2023,$14.27,36096690,$14.40,$14.52,$14.225
11/29/2023,$14.28,8324031,$13.85,$14.45,$13.85
11/28/2023,$13.77,12294470,$13.73,$13.85,$13.53
11/27/2023,$13.77,4308253,$13.71,$13.77,$13.55
11/24/2023,$13.81,1820928,$13.77,$13.825,$13.67
11/22/2023,$13.85,3171399,$13.88,$13.91,$13.70
11/21/2023,$13.75,4676077,$13.84,$13.91,$13.585
11/20/2023,$13.96,3816382,$13.83,$13.98,$13.625
11/17/2023,$13.84,3551230,$13.88,$13.93,$13.77
11/16/2023,$13.71,4279514,$13.67,$13.83,$13.615
11/15/2023,$13.74,6147797,$13.63,$13.96,$13.60
11/14/2023,$13.70,4838116,$13.42,$13.85,$13.40
11/13/2023,$12.96,3830031,$12.97,$13.04,$12.825
11/10/2023,$13.08,4233361,$12.92,$13.13,$12.68
11/09/2023,$12.78,4544770,$13.20,$13.285,$12.77
11/08/2023,$13.28,4688749,$13.29,$13.43,$13.22
