Date,Close/Last,Volume,Open,High,Low
10/25/2023,$4.20,11015370,$4.26,$4.29,$4.19
10/24/2023,$4.31,18650660,$4.50,$4.54,$4.22
10/23/2023,$4.46,15273830,$4.43,$4.57,$4.36
10/20/2023,$4.48,14224940,$4.40,$4.52,$4.33
10/19/2023,$4.405,16388640,$4.41,$4.62,$4.34
10/18/2023,$4.40,15962920,$4.44,$4.44,$4.255
10/17/2023,$4.50,13170020,$4.57,$4.645,$4.42
10/16/2023,$4.60,10152220,$4.50,$4.67,$4.48
10/13/2023,$4.48,12641360,$4.52,$4.54,$4.37
10/12/2023,$4.53,11872910,$4.73,$4.73,$4.48
10/11/2023,$4.70,9795270,$4.65,$4.73,$4.60
10/10/2023,$4.605,12850640,$4.57,$4.73,$4.5601
10/09/2023,$4.53,14585340,$4.58,$4.58,$4.3301
10/06/2023,$4.70,9523517,$4.61,$4.79,$4.60
10/05/2023,$4.69,12885060,$4.72,$4.79,$4.6101
10/04/2023,$4.73,16221220,$4.56,$4.76,$4.455
10/03/2023,$4.51,17849120,$4.64,$4.67,$4.45
10/02/2023,$4.64,16303670,$4.58,$4.69,$4.52
09/29/2023,$4.60,16363010,$4.57,$4.70,$4.53
09/28/2023,$4.56,27431220,$4.39,$4.75,$4.34
09/27/2023,$4.44,12065320,$4.40,$4.51,$4.39
09/26/2023,$4.39,15063410,$4.42,$4.57,$4.38
09/25/2023,$4.45,12175110,$4.49,$4.505,$4.36
09/22/2023,$4.52,11025620,$4.55,$4.56,$4.43
09/21/2023,$4.53,12669650,$4.55,$4.68,$4.50
09/20/2023,$4.58,10403470,$4.68,$4.76,$4.57
09/19/2023,$4.65,15614400,$4.69,$4.75,$4.57
09/18/2023,$4.69,21675900,$4.97,$4.97,$4.67
09/15/2023,$4.97,78318510,$5.08,$5.18,$4.96
09/14/2023,$5.13,14163910,$4.97,$5.15,$4.95
09/13/2023,$4.92,22044140,$5.07,$5.07,$4.88
09/12/2023,$5.12,12985870,$5.15,$5.26,$5.09
09/11/2023,$5.16,21495180,$5.22,$5.27,$5.07
09/08/2023,$5.18,18548260,$5.37,$5.38,$5.17
09/07/2023,$5.39,23889460,$5.53,$5.64,$5.33
09/06/2023,$5.59,32132390,$5.82,$5.85,$5.56
09/05/2023,$5.89,18357550,$5.91,$6.10,$5.825
09/01/2023,$5.93,11344570,$5.94,$5.98,$5.90
08/31/2023,$5.92,16725730,$5.99,$6.04,$5.89
08/30/2023,$5.98,18533280,$6.08,$6.11,$5.97
08/29/2023,$6.09,12096950,$6.09,$6.16,$6.05
08/28/2023,$6.07,15954830,$6.16,$6.27,$6.04
08/25/2023,$6.06,14960500,$6.12,$6.165,$5.98
08/24/2023,$6.14,10878160,$6.27,$6.30,$6.12
08/23/2023,$6.29,14121520,$6.19,$6.30,$6.14
08/22/2023,$6.20,14137960,$6.31,$6.40,$6.165
08/21/2023,$6.31,11462900,$6.36,$6.41,$6.29
08/18/2023,$6.35,15645630,$6.35,$6.44,$6.30
08/17/2023,$6.46,13431730,$6.41,$6.52,$6.36
08/16/2023,$6.41,12741360,$6.46,$6.57,$6.40
08/15/2023,$6.46,15185800,$6.54,$6.54,$6.43
08/14/2023,$6.62,13041180,$6.46,$6.67,$6.43
08/11/2023,$6.50,11416730,$6.49,$6.51,$6.415
08/10/2023,$6.53,10307940,$6.52,$6.57,$6.42
08/09/2023,$6.48,15042630,$6.56,$6.64,$6.40
