Date,Close/Last,Volume,Open,High,Low
10/20/2023,$24.38,18606270,$24.51,$24.59,$24.19
10/19/2023,$25.07,13496280,$24.97,$25.48,$24.90
10/18/2023,$25.88,13103370,$26.24,$26.26,$25.82
10/17/2023,$26.65,16078840,$26.96,$27.165,$26.52
10/16/2023,$27.64,14941780,$26.61,$27.91,$26.51
10/13/2023,$27.05,25619560,$26.48,$27.19,$26.36
10/12/2023,$27.83,32118910,$29.95,$29.95,$27.55
10/11/2023,$30.34,8762183,$30.46,$30.80,$30.19
10/10/2023,$30.27,7783398,$29.65,$30.32,$29.59
10/09/2023,$29.23,7493793,$29.09,$29.365,$28.835
10/06/2023,$29.61,10870830,$28.70,$29.73,$28.66
10/05/2023,$28.65,4877138,$28.60,$28.68,$28.25
10/04/2023,$28.39,5457058,$28.43,$28.57,$28.28
10/03/2023,$28.46,7515840,$28.28,$28.57,$28.22
10/02/2023,$29.07,5809356,$29.248,$29.27,$28.86
09/29/2023,$29.13,9443816,$29.30,$29.55,$28.93
09/28/2023,$28.55,12698940,$28.38,$28.655,$28.07
09/27/2023,$28.95,8363554,$29.10,$29.17,$28.68
09/26/2023,$29.03,10521630,$28.95,$29.32,$28.91
09/25/2023,$29.78,7537438,$29.40,$29.87,$29.35
09/22/2023,$30.41,8385231,$30.955,$30.99,$30.355
09/21/2023,$29.81,9400871,$29.65,$30.06,$29.51
09/20/2023,$30.35,7038530,$30.32,$30.7585,$30.32
09/19/2023,$30.64,9677700,$30.60,$30.79,$30.41
09/18/2023,$31.12,9074358,$31.08,$31.17,$30.705
09/15/2023,$31.57,7347428,$31.78,$31.835,$31.445
09/14/2023,$31.72,6813220,$31.90,$32.02,$31.53
09/13/2023,$31.69,4821198,$31.63,$31.8999,$31.50
09/12/2023,$31.73,7047581,$31.72,$32.14,$31.61
09/11/2023,$31.92,9831818,$32.21,$32.285,$31.65
09/08/2023,$32.40,5461209,$32.345,$32.4861,$32.00
09/07/2023,$32.34,12472710,$32.48,$32.50,$31.96
