Date,Close/Last,Volume,Open,High,Low
01/05/2024,$40.15,1344960,$39.51,$40.625,$39.4085
01/04/2024,$39.59,1084372,$39.91,$40.39,$39.54
01/03/2024,$39.87,1009855,$40.03,$40.34,$39.40
01/02/2024,$40.42,921757,$40.09,$40.51,$39.98
12/29/2023,$40.41,904412,$40.50,$40.925,$40.36
12/28/2023,$40.73,844960,$40.63,$40.94,$40.55
12/27/2023,$40.75,869483,$40.67,$40.96,$40.53
12/26/2023,$40.59,1039107,$39.97,$40.75,$39.89
12/22/2023,$39.91,932228,$39.50,$39.965,$39.25
12/21/2023,$39.21,711888,$38.64,$39.23,$38.58
12/20/2023,$38.38,809794,$38.78,$39.22,$38.37
12/19/2023,$38.90,822172,$38.20,$38.995,$37.95
12/18/2023,$38.15,743626,$38.77,$38.77,$38.15
12/15/2023,$38.59,4121268,$38.73,$38.83,$38.32
12/14/2023,$38.85,1117499,$38.08,$39.08,$38.00
12/13/2023,$37.51,1257916,$36.50,$37.535,$36.345
12/12/2023,$36.45,989629,$36.72,$36.76,$36.245
12/11/2023,$36.75,781548,$36.67,$37.015,$36.50
12/08/2023,$36.89,710299,$36.39,$37.00,$36.29
12/07/2023,$36.43,915204,$36.27,$36.685,$36.10
12/06/2023,$36.21,853867,$36.94,$37.42,$36.15
12/05/2023,$36.64,1503814,$36.61,$36.81,$36.37
12/04/2023,$36.83,1793312,$36.23,$36.83,$36.07
12/01/2023,$36.36,1463848,$35.28,$36.38,$35.22
11/30/2023,$35.44,1001086,$35.24,$35.66,$35.05
11/29/2023,$35.19,990509,$34.81,$35.40,$34.81
11/28/2023,$34.63,979692,$34.59,$34.69,$34.34
11/27/2023,$34.67,754381,$34.90,$34.90,$34.545
11/24/2023,$35.04,313091,$35.00,$35.22,$34.92
11/22/2023,$34.91,838916,$34.88,$35.03,$34.67
11/21/2023,$34.64,874739,$34.77,$34.90,$34.48
11/20/2023,$34.90,726153,$34.92,$35.165,$34.69
11/17/2023,$35.02,613411,$35.06,$35.30,$34.9812
11/16/2023,$34.75,862684,$34.98,$35.19,$34.54
11/15/2023,$35.02,949621,$34.83,$35.22,$34.776
11/14/2023,$34.81,1099618,$34.74,$35.36,$34.54
11/13/2023,$33.91,832694,$33.64,$34.01,$33.49
11/10/2023,$33.93,1119736,$33.56,$34.09,$33.16
11/09/2023,$33.64,810581,$34.53,$34.54,$33.62
11/08/2023,$34.30,736546,$34.52,$34.62,$34.165
11/07/2023,$34.58,938042,$34.15,$34.84,$34.15
11/06/2023,$34.35,817531,$34.56,$34.88,$33.992
11/03/2023,$34.87,1412379,$34.20,$35.06,$34.1396
11/02/2023,$33.45,823830,$33.02,$33.49,$32.75
11/01/2023,$32.58,972243,$32.21,$32.60,$31.98
10/31/2023,$32.18,800311,$32.03,$32.24,$31.92
10/30/2023,$31.99,922093,$32.01,$32.24,$31.71
10/27/2023,$31.68,1357814,$32.21,$32.21,$31.38
10/26/2023,$32.22,1141254,$32.28,$32.67,$32.1409
10/25/2023,$32.15,1253766,$32.40,$32.57,$32.02
10/24/2023,$32.64,1868688,$32.18,$32.65,$32.14
10/23/2023,$32.06,1566162,$32.00,$32.315,$31.79
10/20/2023,$32.26,1801527,$32.09,$32.57,$31.72
10/19/2023,$32.16,1823341,$32.49,$32.99,$32.03
10/18/2023,$32.65,1472009,$33.65,$33.65,$32.52
10/17/2023,$34.18,1713909,$33.56,$34.59,$33.545
10/16/2023,$33.84,1501258,$33.60,$34.32,$33.54
10/13/2023,$33.26,1370570,$34.07,$34.295,$33.19
10/12/2023,$33.96,1588628,$35.05,$35.11,$33.84
10/11/2023,$34.91,1380267,$35.37,$35.58,$34.69
10/10/2023,$35.25,1070374,$35.12,$35.67,$35.12
10/09/2023,$35.21,998898,$35.34,$35.57,$35.02
10/06/2023,$35.50,1442299,$35.14,$36.011,$34.69
10/05/2023,$35.33,1359446,$34.88,$35.6338,$34.70
10/04/2023,$35.02,1487645,$35.06,$35.145,$34.62
10/03/2023,$35.05,2979763,$35.47,$35.69,$34.65
10/02/2023,$35.80,2275904,$36.55,$36.71,$35.685
09/29/2023,$36.63,1580811,$37.15,$37.455,$36.4101
09/28/2023,$36.92,2772114,$35.35,$37.17,$35.05
09/27/2023,$36.24,2103178,$36.38,$36.479,$35.86
09/26/2023,$36.25,1934469,$36.82,$37.12,$36.175
09/25/2023,$37.07,1297062,$37.05,$37.2395,$36.76
09/22/2023,$37.21,1077865,$37.51,$37.69,$37.035
09/21/2023,$37.49,1213266,$37.74,$37.7904,$36.975
09/20/2023,$37.93,1396355,$38.45,$38.74,$37.88
09/19/2023,$38.23,1852608,$38.35,$38.78,$38.11
09/18/2023,$38.32,1306678,$38.61,$38.62,$38.07
09/15/2023,$38.67,5546594,$38.24,$38.76,$38.125
09/14/2023,$38.20,1510508,$37.50,$38.23,$37.50
09/13/2023,$37.21,1326585,$37.22,$37.47,$37.00
09/12/2023,$37.06,1079748,$36.46,$37.265,$36.46
09/11/2023,$36.37,1128636,$37.26,$37.39,$36.305
09/08/2023,$37.04,1169664,$36.58,$37.10,$36.511
09/07/2023,$36.58,1546675,$36.63,$37.17,$36.19
09/06/2023,$36.84,1464111,$36.75,$37.26,$36.37
09/05/2023,$36.41,2280862,$36.36,$36.65,$35.90
09/01/2023,$36.34,917625,$35.93,$36.37,$35.731
08/31/2023,$35.69,884231,$35.98,$36.035,$35.66
08/30/2023,$35.77,699787,$35.67,$35.87,$35.56
08/29/2023,$35.57,1146894,$35.15,$35.74,$34.97
08/28/2023,$35.08,831222,$34.96,$35.435,$34.89
08/25/2023,$34.73,763582,$34.64,$35.02,$34.38
08/24/2023,$34.58,598161,$34.62,$35.09,$34.46
08/23/2023,$34.67,836366,$34.41,$34.855,$34.22
08/22/2023,$34.25,948839,$34.97,$35.33,$34.24
08/21/2023,$34.24,874993,$34.32,$34.43,$34.00
08/18/2023,$34.14,722734,$33.85,$34.229,$33.85
08/17/2023,$34.03,893444,$34.41,$34.5506,$33.735
08/16/2023,$34.24,729769,$34.23,$34.75,$34.22
08/15/2023,$34.45,1171394,$34.52,$34.56,$34.23
08/14/2023,$34.97,712036,$34.84,$35.09,$34.55
08/11/2023,$35.02,708428,$34.59,$35.1433,$34.59
08/10/2023,$35.07,986707,$35.42,$35.68,$34.89
08/09/2023,$35.12,830946,$35.42,$35.53,$35.02
08/08/2023,$35.40,1458950,$35.00,$35.53,$34.43
08/07/2023,$35.57,1549991,$35.38,$35.61,$35.175
08/04/2023,$35.50,1484451,$35.69,$36.10,$35.44
08/03/2023,$35.68,1633940,$35.52,$35.915,$35.32
08/02/2023,$35.89,1419854,$35.77,$36.00,$35.38
08/01/2023,$36.16,2082622,$36.70,$36.71,$36.03
07/31/2023,$36.79,1142037,$37.08,$37.195,$36.72
