Date,Close/Last,Volume,Open,High,Low
01/05/2024,$29.05,1274393,$28.63,$29.27,$28.595
01/04/2024,$29.05,1332275,$29.07,$29.57,$29.04
01/03/2024,$29.19,912066,$29.67,$29.67,$29.13
01/02/2024,$29.95,624391,$29.81,$30.095,$29.68
12/29/2023,$30.15,706483,$30.28,$30.46,$30.13
12/28/2023,$30.37,552424,$30.31,$30.4904,$30.305
12/27/2023,$30.46,417143,$30.44,$30.555,$30.21
12/26/2023,$30.24,585752,$30.20,$30.375,$30.0332
12/22/2023,$30.10,609993,$30.30,$30.32,$29.975
12/21/2023,$30.06,695304,$30.20,$30.23,$29.68
12/20/2023,$29.95,959050,$30.19,$30.63,$29.95
12/19/2023,$30.20,664925,$29.79,$30.3082,$29.77
12/18/2023,$29.59,988501,$29.80,$29.95,$29.37
12/15/2023,$29.58,2094811,$29.69,$29.86,$29.31
12/14/2023,$29.72,1140304,$29.20,$30.18,$29.05
12/13/2023,$28.68,807631,$27.89,$28.71,$27.625
12/12/2023,$27.89,826770,$27.61,$27.995,$27.46
12/11/2023,$27.58,839345,$27.23,$27.77,$27.23
12/08/2023,$27.36,765720,$26.87,$27.44,$26.87
12/07/2023,$26.98,1030842,$26.85,$27.11,$26.70
12/06/2023,$26.74,663953,$26.63,$26.99,$26.63
12/05/2023,$26.48,565912,$26.56,$26.6292,$26.375
12/04/2023,$26.67,833130,$26.30,$26.73,$26.30
12/01/2023,$26.40,1358975,$26.02,$26.645,$25.95
11/30/2023,$26.19,1621283,$25.98,$26.48,$25.86
11/29/2023,$25.83,1502937,$25.85,$26.095,$25.67
11/28/2023,$25.69,896537,$25.63,$25.905,$25.39
11/27/2023,$25.76,1007071,$25.55,$25.78,$25.41
11/24/2023,$25.68,346286,$25.74,$25.80,$25.585
11/22/2023,$25.74,786111,$25.89,$25.94,$25.68
11/21/2023,$25.70,888966,$25.91,$25.91,$25.65
11/20/2023,$26.05,812769,$25.78,$26.16,$25.58
11/17/2023,$25.87,884911,$25.98,$26.02,$25.755
11/16/2023,$25.71,771427,$25.83,$26.09,$25.69
11/15/2023,$25.82,946522,$25.41,$25.97,$25.36
11/14/2023,$25.45,1146621,$24.92,$25.65,$24.81
11/13/2023,$24.23,671883,$24.26,$24.37,$24.04
11/10/2023,$24.49,828343,$24.34,$24.51,$24.06
11/09/2023,$24.62,927853,$24.70,$25.12,$24.55
11/08/2023,$24.57,1678877,$24.70,$24.745,$24.42
11/07/2023,$24.80,707046,$25.01,$25.05,$24.73
11/06/2023,$25.14,790574,$25.07,$25.19,$24.81
11/03/2023,$25.11,1152079,$25.27,$25.57,$25.01
11/02/2023,$24.86,1366536,$24.11,$25.03,$23.98
11/01/2023,$24.16,1863533,$24.38,$24.47,$23.28
10/31/2023,$23.07,1088242,$23.02,$23.30,$22.78
10/30/2023,$22.95,942465,$22.92,$23.14,$22.75
10/27/2023,$22.60,745944,$22.96,$23.06,$22.52
10/26/2023,$22.78,1161751,$22.27,$22.875,$22.27
10/25/2023,$22.27,914411,$22.67,$22.73,$22.175
10/24/2023,$22.87,1196092,$22.92,$23.04,$22.68
10/23/2023,$22.77,623173,$22.96,$23.09,$22.68
10/20/2023,$23.09,932091,$23.53,$23.56,$23.08
10/19/2023,$23.51,1100647,$23.53,$23.76,$23.34
10/18/2023,$23.64,746345,$23.57,$23.80,$23.34
10/17/2023,$23.90,1101884,$23.47,$24.23,$23.34
10/16/2023,$23.70,916516,$23.79,$24.15,$23.67
10/13/2023,$23.53,790946,$24.06,$24.17,$23.42
10/12/2023,$23.99,911258,$24.71,$24.71,$23.88
10/11/2023,$24.67,1116550,$24.65,$24.92,$24.27
10/10/2023,$24.64,1411122,$24.77,$24.94,$24.59
10/09/2023,$24.73,664736,$24.16,$24.83,$24.16
10/06/2023,$24.39,619755,$23.94,$24.52,$23.93
10/05/2023,$24.23,721182,$24.04,$24.33,$23.70
10/04/2023,$24.01,1448476,$23.72,$24.02,$23.5973
10/03/2023,$23.75,1128591,$24.79,$24.91,$23.73
10/02/2023,$25.29,915510,$25.55,$25.68,$25.21
09/29/2023,$25.82,1053940,$25.79,$26.18,$25.63
09/28/2023,$25.54,1399516,$25.38,$25.63,$25.08
09/27/2023,$25.31,1472222,$25.72,$25.84,$25.145
09/26/2023,$25.54,1506059,$26.31,$26.395,$25.46
09/25/2023,$26.54,550898,$26.29,$26.69,$26.26
09/22/2023,$26.50,747969,$26.68,$26.91,$26.24
09/21/2023,$26.68,461754,$26.71,$26.85,$26.53
09/20/2023,$27.00,776433,$27.88,$28.05,$26.93
09/19/2023,$27.70,541733,$27.67,$28.13,$27.49
09/18/2023,$27.66,619918,$27.42,$27.78,$27.31
09/15/2023,$27.50,2002831,$27.39,$27.70,$27.22
09/14/2023,$27.48,851300,$27.38,$27.51,$26.90
09/13/2023,$27.18,654433,$27.11,$27.26,$26.79
09/12/2023,$27.03,758236,$27.06,$27.26,$26.90
09/11/2023,$27.13,389227,$27.15,$27.345,$26.985
09/08/2023,$27.08,421169,$26.76,$27.08,$26.61
09/07/2023,$26.75,924256,$27.02,$27.03,$26.575
09/06/2023,$27.26,546076,$27.23,$27.415,$27.04
09/05/2023,$27.29,731900,$27.64,$27.64,$26.975
09/01/2023,$27.75,562272,$27.70,$27.97,$27.555
