Date,Close/Last,Volume,Open,High,Low
01/05/2024,$36.56,34970,$36.32,$37.04,$35.5515
01/04/2024,$36.76,36258,$36.54,$37.587,$36.54
01/03/2024,$36.74,75335,$37.30,$38.25,$36.45
01/02/2024,$38.28,131663,$38.54,$39.00,$38.19
12/29/2023,$38.67,84491,$38.75,$39.005,$38.47
12/28/2023,$38.39,42993,$38.27,$38.54,$38.12
12/27/2023,$38.40,75863,$38.46,$38.635,$38.25
12/26/2023,$38.06,52772,$38.05,$38.25,$37.76
12/22/2023,$37.78,45738,$37.82,$37.8799,$36.85
12/21/2023,$37.62,78385,$36.96,$37.62,$36.77
12/20/2023,$35.97,55072,$36.74,$36.82,$35.97
12/19/2023,$35.64,77751,$35.72,$36.53,$34.8042
12/18/2023,$34.97,44690,$34.81,$35.09,$34.29
12/15/2023,$34.66,26435,$34.98,$35.01,$34.39
12/14/2023,$35.58,65774,$34.83,$35.72,$34.1398
12/13/2023,$33.77,35922,$32.93,$33.94,$32.64
12/12/2023,$32.61,28675,$32.80,$32.80,$32.4001
12/11/2023,$32.72,44532,$32.62,$32.89,$32.49
12/08/2023,$32.86,35119,$32.29,$32.87,$32.11
12/07/2023,$32.91,20684,$33.03,$33.03,$32.38
12/06/2023,$32.71,17148,$33.17,$33.24,$32.70
12/05/2023,$32.63,27994,$32.69,$32.84,$32.43
12/04/2023,$32.86,33242,$32.70,$32.99,$32.65
12/01/2023,$32.81,52321,$32.18,$32.81,$32.18
11/30/2023,$32.15,62889,$32.15,$32.40,$31.80
11/29/2023,$31.64,76113,$31.81,$32.28,$31.64
11/28/2023,$31.61,63203,$31.31,$31.86,$31.31
11/27/2023,$31.25,74462,$31.02,$31.29,$30.91
11/24/2023,$31.04,59709,$31.35,$31.35,$30.61
11/22/2023,$31.79,51117,$32.00,$32.27,$31.68
11/21/2023,$32.26,33898,$32.03,$32.49,$32.03
11/20/2023,$32.27,46846,$32.18,$32.5892,$32.02
11/17/2023,$32.21,194949,$31.54,$32.49,$31.475
11/16/2023,$31.94,205793,$31.20,$31.99,$31.05
11/15/2023,$30.96,109628,$30.94,$31.30,$30.90
11/14/2023,$30.87,71908,$30.34,$30.965,$30.325
11/13/2023,$29.65,43213,$29.24,$29.75,$29.24
11/10/2023,$29.23,57027,$28.97,$29.33,$28.46
11/09/2023,$29.61,85108,$30.00,$30.24,$29.27
11/08/2023,$30.66,90409,$30.19,$31.04,$30.11
11/07/2023,$26.52,44200,$26.47,$26.76,$26.4033
11/06/2023,$26.88,47493,$26.96,$27.0099,$26.6801
11/03/2023,$26.88,41383,$26.93,$27.03,$26.6601
11/02/2023,$26.65,75570,$26.06,$26.65,$26.06
11/01/2023,$25.35,42000,$24.95,$25.38,$24.87
10/31/2023,$24.87,153096,$24.88,$25.05,$24.69
10/30/2023,$24.84,38077,$24.89,$24.98,$24.70
10/27/2023,$24.53,50860,$24.63,$24.70,$24.38
10/26/2023,$24.45,30425,$24.64,$24.67,$24.28
10/25/2023,$24.65,43358,$24.99,$24.99,$24.59
10/24/2023,$25.31,68062,$25.07,$25.39,$25.07
10/23/2023,$24.76,37067,$24.63,$24.95,$24.63
10/20/2023,$24.59,37207,$24.99,$25.01,$24.54
10/19/2023,$25.19,32696,$25.19,$25.4802,$25.08
10/18/2023,$25.41,72014,$25.91,$26.00,$25.3502
10/17/2023,$26.73,54499,$26.26,$26.73,$26.26
10/16/2023,$26.27,35171,$26.07,$26.41,$25.99
10/13/2023,$26.14,34711,$26.33,$26.33,$25.98
10/12/2023,$26.41,115963,$27.08,$27.09,$26.25
10/11/2023,$26.74,34122,$26.65,$26.80,$26.5154
10/10/2023,$26.40,46629,$26.08,$26.4099,$26.06
10/09/2023,$25.88,31134,$25.62,$25.93,$25.52
10/06/2023,$25.75,37190,$25.21,$25.86,$25.15
10/05/2023,$25.21,46399,$25.03,$25.31,$24.95
10/04/2023,$24.89,72822,$25.00,$25.00,$24.62
10/03/2023,$25.05,68288,$25.31,$25.46,$25.01
10/02/2023,$25.66,40484,$26.09,$26.22,$25.57
09/29/2023,$26.24,22224,$26.70,$26.70,$26.1319
09/28/2023,$26.58,59837,$26.15,$26.6182,$26.08
09/27/2023,$26.08,38019,$26.16,$26.30,$25.88
09/26/2023,$26.11,53941,$26.20,$26.50,$25.98
09/25/2023,$26.61,58961,$26.06,$26.66,$25.99
09/22/2023,$26.41,58879,$26.58,$26.72,$26.26
09/21/2023,$26.30,45749,$26.83,$27.34,$26.23
09/20/2023,$27.35,27125,$27.47,$27.6114,$27.24
09/19/2023,$27.34,54343,$27.30,$27.49,$27.07
09/18/2023,$27.52,36117,$28.00,$28.00,$27.37
09/15/2023,$28.34,46088,$28.59,$28.67,$28.18
09/14/2023,$28.99,34648,$28.68,$28.99,$28.68
09/13/2023,$28.54,20917,$28.74,$28.74,$28.42
09/12/2023,$29.15,24142,$29.35,$29.71,$29.12
09/11/2023,$29.78,32859,$29.80,$29.81,$29.60
09/08/2023,$29.51,36999,$29.49,$29.67,$29.3501
09/07/2023,$29.25,35073,$29.14,$29.37,$28.91
