Date,Close/Last,Volume,Open,High,Low
01/05/2024,$29.91,1976969,$29.77,$30.085,$29.72
01/04/2024,$29.77,2346091,$30.05,$30.16,$29.755
01/03/2024,$30.02,4754081,$29.23,$30.3493,$29.22
01/02/2024,$29.34,2665588,$29.36,$29.50,$29.13
12/29/2023,$29.48,2717736,$29.44,$29.50,$29.14
12/28/2023,$29.51,1646148,$29.40,$29.55,$29.36
12/27/2023,$29.44,1736396,$29.53,$29.65,$29.36
12/26/2023,$29.59,1098909,$29.49,$29.66,$29.43
12/22/2023,$29.45,1852185,$29.47,$29.775,$29.42
12/21/2023,$29.21,2184887,$29.10,$29.31,$28.94
12/20/2023,$29.06,2555812,$29.42,$29.48,$29.04
12/19/2023,$29.42,2178224,$29.25,$29.5162,$29.25
12/18/2023,$29.30,3731045,$29.23,$29.44,$29.07
12/15/2023,$29.31,8251786,$29.59,$29.67,$29.22
12/14/2023,$29.59,4379002,$29.57,$29.755,$29.325
12/13/2023,$29.35,4005908,$29.35,$29.47,$28.81
12/12/2023,$29.35,3047434,$29.33,$29.585,$29.21
12/11/2023,$29.38,4687103,$29.21,$29.515,$29.08
12/08/2023,$28.99,3017343,$29.01,$29.11,$28.69
12/07/2023,$28.86,3504815,$28.88,$28.98,$28.61
12/06/2023,$28.81,3414966,$28.82,$29.235,$28.77
12/05/2023,$28.75,2519425,$28.88,$28.88,$28.555
12/04/2023,$28.89,3523588,$28.33,$28.99,$28.2521
12/01/2023,$28.57,3641719,$28.37,$28.725,$28.22
11/30/2023,$28.45,7062585,$27.95,$28.495,$27.87
11/29/2023,$28.04,3952245,$27.82,$28.235,$27.82
11/28/2023,$27.49,2965860,$27.33,$27.60,$27.195
11/27/2023,$27.28,2330479,$27.35,$27.40,$27.10
11/24/2023,$27.33,918914,$27.12,$27.335,$27.00
11/22/2023,$27.04,1964735,$27.04,$27.185,$26.87
11/21/2023,$26.87,2204513,$26.91,$27.04,$26.775
11/20/2023,$26.92,2237829,$26.88,$27.03,$26.655
11/17/2023,$26.99,4172001,$27.03,$27.18,$26.725
11/16/2023,$26.82,5607724,$26.20,$26.96,$25.83
11/15/2023,$27.67,3003131,$27.65,$27.89,$27.56
11/14/2023,$27.53,3646563,$27.11,$27.54,$27.015
11/13/2023,$26.88,4209647,$26.96,$27.20,$26.31
11/10/2023,$27.14,1873853,$26.83,$27.155,$26.6702
11/09/2023,$26.78,1663979,$26.94,$26.96,$26.73
11/08/2023,$26.83,1830392,$27.08,$27.26,$26.7609
11/07/2023,$26.94,2210713,$27.31,$27.38,$26.875
